<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGH_PE,D,20070813,000000,3.0086,3.0086,3.0086,3.0086,0,0
KGH_PE,D,20070814,000000,2.9169,2.9169,2.9169,2.9169,0,0
KGH_PE,D,20070816,000000,2.7792,2.7792,2.7792,2.7792,0,0
KGH_PE,D,20070817,000000,2.9169,2.9169,2.9169,2.9169,0,0
KGH_PE,D,20070820,000000,2.871,2.871,2.871,2.871,0,0
KGH_PE,D,20070821,000000,2.7792,2.7792,2.7792,2.7792,0,0
KGH_PE,D,20070822,000000,2.9169,2.9169,2.9169,2.9169,0,0
KGH_PE,D,20070823,000000,3.0086,3.0086,3.0086,3.0086,0,0
KGH_PE,D,20070824,000000,3.0544,3.0544,3.0544,3.0544,0,0
KGH_PE,D,20070827,000000,3.1005,3.1005,3.1005,3.1005,0,0
KGH_PE,D,20070828,000000,3.0544,3.0544,3.0544,3.0544,0,0
KGH_PE,D,20070829,000000,3.0544,3.0544,3.0544,3.0544,0,0
KGH_PE,D,20070830,000000,3.0086,3.0086,3.0086,3.0086,0,0
KGH_PE,D,20070831,000000,3.1462,3.1462,3.1462,3.1462,0,0
KGH_PE,D,20070903,000000,3.1462,3.1462,3.1462,3.1462,0,0
KGH_PE,D,20070904,000000,3.1005,3.1005,3.1005,3.1005,0,0
KGH_PE,D,20070905,000000,3.0544,3.0544,3.0544,3.0544,0,0
KGH_PE,D,20070906,000000,3.0086,3.0086,3.0086,3.0086,0,0
KGH_PE,D,20070907,000000,2.9169,2.9169,2.9169,2.9169,0,0
KGH_PE,D,20070910,000000,2.9628,2.9628,2.9628,2.9628,0,0
KGH_PE,D,20070911,000000,2.9628,2.9628,2.9628,2.9628,0,0
KGH_PE,D,20070912,000000,3.0544,3.0544,3.0544,3.0544,0,0
KGH_PE,D,20070913,000000,3.1462,3.1462,3.1462,3.1462,0,0
KGH_PE,D,20070914,000000,3.1005,3.1005,3.1005,3.1005,0,0
KGH_PE,D,20070917,000000,3.1973,3.1973,3.1973,3.1973,0,0
KGH_PE,D,20070918,000000,3.2433,3.2433,3.2433,3.2433,0,0
KGH_PE,D,20070919,000000,3.4268,3.4268,3.4268,3.4268,0,0
KGH_PE,D,20070920,000000,3.3809,3.3809,3.3809,3.3809,0,0
KGH_PE,D,20070921,000000,3.4268,3.4268,3.4268,3.4268,0,0
KGH_PE,D,20070924,000000,3.4268,3.4268,3.4268,3.4268,0,0
KGH_PE,D,20070925,000000,3.3809,3.3809,3.3809,3.3809,0,0
KGH_PE,D,20070926,000000,3.3809,3.3809,3.3809,3.3809,0,0
KGH_PE,D,20070927,000000,3.3809,3.3809,3.3809,3.3809,0,0
KGH_PE,D,20070928,000000,3.3809,3.3809,3.3809,3.3809,0,0
KGH_PE,D,20071001,000000,3.4268,3.4268,3.4268,3.4268,0,0
KGH_PE,D,20071002,000000,3.5186,3.5186,3.5186,3.5186,0,0
KGH_PE,D,20071003,000000,3.4727,3.4727,3.4727,3.4727,0,0
KGH_PE,D,20071004,000000,3.5186,3.5186,3.5186,3.5186,0,0
KGH_PE,D,20071005,000000,3.5186,3.5186,3.5186,3.5186,0,0
KGH_PE,D,20071008,000000,3.4727,3.4727,3.4727,3.4727,0,0
KGH_PE,D,20071009,000000,3.5186,3.5186,3.5186,3.5186,0,0
KGH_PE,D,20071010,000000,3.5186,3.5186,3.5186,3.5186,0,0
KGH_PE,D,20071011,000000,3.7531,3.7531,3.7531,3.7531,0,0
KGH_PE,D,20071012,000000,3.7531,3.7531,3.7531,3.7531,0,0
KGH_PE,D,20071015,000000,3.8909,3.8909,3.8909,3.8909,0,0
KGH_PE,D,20071016,000000,3.799,3.799,3.799,3.799,0,0
KGH_PE,D,20071017,000000,3.799,3.799,3.799,3.799,0,0
KGH_PE,D,20071018,000000,3.6104,3.6104,3.6104,3.6104,0,0
KGH_PE,D,20071019,000000,3.6563,3.6563,3.6563,3.6563,0,0
KGH_PE,D,20071022,000000,3.6104,3.6104,3.6104,3.6104,0,0
KGH_PE,D,20071023,000000,3.7024,3.7024,3.7024,3.7024,0,0
KGH_PE,D,20071024,000000,3.6563,3.6563,3.6563,3.6563,0,0
KGH_PE,D,20071025,000000,3.7531,3.7531,3.7531,3.7531,0,0
KGH_PE,D,20071026,000000,3.799,3.799,3.799,3.799,0,0
KGH_PE,D,20071029,000000,3.8448,3.8448,3.8448,3.8448,0,0
KGH_PE,D,20071030,000000,3.7531,3.7531,3.7531,3.7531,0,0
KGH_PE,D,20071031,000000,3.7024,3.7024,3.7024,3.7024,0,0
KGH_PE,D,20071102,000000,3.5646,3.5646,3.5646,3.5646,0,0
KGH_PE,D,20071105,000000,3.4727,3.4727,3.4727,3.4727,0,0
KGH_PE,D,20071106,000000,3.2892,3.2892,3.2892,3.2892,0,0
KGH_PE,D,20071107,000000,3.2433,3.2433,3.2433,3.2433,0,0
KGH_PE,D,20071108,000000,3.2433,3.2433,3.2433,3.2433,0,0
KGH_PE,D,20071109,000000,3.2892,3.2892,3.0086,3.0544,0,0
KGH_PE,D,20071112,000000,3.0086,3.0544,2.9628,3.0086,0,0
KGH_PE,D,20071113,000000,3.1462,3.1462,3.0086,3.0544,0,0
KGH_PE,D,20071114,000000,3.1005,3.1005,3.0544,3.0544,0,0
KGH_PE,D,20071115,000000,3.1005,3.1462,2.9628,3.0086,0,0
KGH_PE,D,20071116,000000,3.0086,3.0544,2.9628,2.9628,0,0
KGH_PE,D,20071119,000000,3.0086,3.0086,2.9169,2.9628,0,0
KGH_PE,D,20071120,000000,2.9169,2.9169,2.871,2.9169,0,0
KGH_PE,D,20071121,000000,2.8251,2.9169,2.8251,2.871,0,0
KGH_PE,D,20071122,000000,2.9169,2.9169,2.7792,2.7792,0,0
KGH_PE,D,20071123,000000,2.8251,2.8251,2.7792,2.8251,0,0
KGH_PE,D,20071126,000000,2.871,2.871,2.7792,2.7792,0,0
KGH_PE,D,20071127,000000,2.7792,2.7792,2.6416,2.6873,0,0
KGH_PE,D,20071128,000000,2.6873,2.7792,2.5906,2.7792,0,0
KGH_PE,D,20071129,000000,2.8251,2.8251,2.7792,2.8251,0,0
KGH_PE,D,20071130,000000,2.871,2.9169,2.871,2.871,0,0
KGH_PE,D,20071203,000000,2.9169,2.9169,2.7792,2.7792,0,0
KGH_PE,D,20071204,000000,2.7792,2.8251,2.7333,2.7792,0,0
KGH_PE,D,20071205,000000,2.7792,3.0086,2.7792,3.0086,0,0
KGH_PE,D,20071206,000000,3.0086,3.0086,2.9628,2.9628,0,0
KGH_PE,D,20071207,000000,3.0086,3.0086,2.9628,3.0086,0,0
KGH_PE,D,20071210,000000,3.0086,3.0544,2.9628,2.9628,0,0
KGH_PE,D,20071211,000000,2.9628,2.9628,2.9169,2.9169,0,0
KGH_PE,D,20071212,000000,2.871,2.9169,2.871,2.9169,0,0
KGH_PE,D,20071213,000000,2.871,2.9169,2.8251,2.871,0,0
KGH_PE,D,20071214,000000,2.871,2.871,2.7333,2.7792,0,0
KGH_PE,D,20071217,000000,2.7333,2.7333,2.5906,2.5906,0,0
KGH_PE,D,20071218,000000,2.6416,2.6416,2.5444,2.5906,0,0
KGH_PE,D,20071219,000000,2.5906,2.6416,2.5444,2.6416,0,0
KGH_PE,D,20071220,000000,2.6416,2.7333,2.6416,2.6873,0,0
KGH_PE,D,20071221,000000,2.6873,2.7333,2.6873,2.7333,0,0
KGH_PE,D,20071227,000000,2.7792,2.8251,2.7333,2.7792,0,0
KGH_PE,D,20071228,000000,2.7333,2.7792,2.6873,2.6873,0,0
KGH_PE,D,20080102,000000,2.6873,2.7333,2.6416,2.6416,0,0
KGH_PE,D,20080103,000000,2.6416,2.7333,2.6416,2.7333,0,0
KGH_PE,D,20080104,000000,2.8251,2.8251,2.7333,2.7333,0,0
KGH_PE,D,20080107,000000,2.7333,2.7333,2.6873,2.6873,0,0
KGH_PE,D,20080108,000000,2.6873,2.7792,2.6873,2.7792,0,0
KGH_PE,D,20080109,000000,2.7792,2.7792,2.6873,2.7333,0,0
KGH_PE,D,20080110,000000,2.7333,2.7333,2.6416,2.6873,0,0
KGH_PE,D,20080111,000000,2.6873,2.6873,2.6416,2.6873,0,0
KGH_PE,D,20080114,000000,2.6873,2.6873,2.6873,2.6873,0,0
KGH_PE,D,20080115,000000,2.6873,2.6873,2.5444,2.5444,0,0
KGH_PE,D,20080116,000000,2.4069,2.4529,2.2692,2.4069,0,0
KGH_PE,D,20080117,000000,2.4529,2.4529,2.3611,2.4069,0,0
KGH_PE,D,20080118,000000,2.3611,2.4069,2.3151,2.4069,0,0
KGH_PE,D,20080121,000000,2.3151,2.3151,2.1775,2.2233,0,0
KGH_PE,D,20080122,000000,2.0857,2.2233,2.0857,2.2233,0,0
KGH_PE,D,20080123,000000,2.3151,2.3151,2.1316,2.1775,0,0
KGH_PE,D,20080124,000000,2.2233,2.2692,2.1775,2.2692,0,0
KGH_PE,D,20080125,000000,2.3151,2.3611,2.3151,2.3611,0,0
KGH_PE,D,20080128,000000,2.2692,2.3151,2.2692,2.2692,0,0
KGH_PE,D,20080129,000000,2.3151,2.3611,2.3151,2.3611,0,0
KGH_PE,D,20080130,000000,2.3611,2.3611,2.3151,2.3611,0,0
KGH_PE,D,20080131,000000,2.3611,2.3611,2.2233,2.3151,0,0
KGH_PE,D,20080201,000000,2.4069,2.4529,2.4069,2.4529,0,0
KGH_PE,D,20080204,000000,2.5444,2.5444,2.4987,2.4987,0,0
KGH_PE,D,20080205,000000,2.4987,2.4987,2.4069,2.4069,0,0
KGH_PE,D,20080206,000000,2.3611,2.4529,2.3611,2.4069,0,0
KGH_PE,D,20080207,000000,2.4069,2.4069,2.3151,2.4069,0,0
KGH_PE,D,20080208,000000,2.4987,2.5444,2.4529,2.5444,0,0
KGH_PE,D,20080211,000000,2.5444,2.5906,2.4987,2.4987,0,0
KGH_PE,D,20080212,000000,2.5444,2.6416,2.5444,2.6416,0,0
KGH_PE,D,20080213,000000,2.5906,2.6873,2.5906,2.6873,0,0
KGH_PE,D,20080214,000000,2.7333,2.7792,2.6873,2.6873,0,0
KGH_PE,D,20080215,000000,2.6873,2.7333,2.5444,2.5444,0,0
KGH_PE,D,20080218,000000,2.5906,2.6416,2.5906,2.5906,0,0
KGH_PE,D,20080219,000000,2.6416,2.6416,2.5906,2.6416,0,0
KGH_PE,D,20080220,000000,2.6416,2.6873,2.5906,2.6873,0,0
KGH_PE,D,20080221,000000,2.7333,2.7333,2.6873,2.6873,0,0
KGH_PE,D,20080222,000000,2.6873,2.6873,2.5906,2.6416,0,0
KGH_PE,D,20080225,000000,2.6873,2.7333,2.6873,2.7333,0,0
KGH_PE,D,20080226,000000,2.6873,2.7333,2.6416,2.6416,0,0
KGH_PE,D,20080227,000000,2.6416,2.7333,2.6416,2.7333,0,0
KGH_PE,D,20080228,000000,2.7333,2.7333,2.6416,2.6416,0,0
KGH_PE,D,20080229,000000,2.6416,2.6416,2.5906,2.6416,0,0
KGH_PE,D,20080303,000000,2.5906,2.6416,2.5444,2.5906,0,0
KGH_PE,D,20080304,000000,2.5906,2.6416,2.5444,2.5906,0,0
KGH_PE,D,20080305,000000,2.5906,2.5906,2.4987,2.5906,0,0
KGH_PE,D,20080306,000000,2.6416,2.6416,2.5444,2.5444,0,0
KGH_PE,D,20080307,000000,2.4987,2.5444,2.4987,2.4987,0,0
KGH_PE,D,20080310,000000,2.4987,2.5444,2.4529,2.4529,0,0
KGH_PE,D,20080311,000000,2.4069,2.4987,2.4069,2.4529,0,0
KGH_PE,D,20080312,000000,2.4987,2.4987,2.4529,2.4987,0,0
KGH_PE,D,20080313,000000,2.4529,2.4987,2.4069,2.4069,0,0
KGH_PE,D,20080314,000000,2.4069,2.4529,2.3611,2.3611,0,0
KGH_PE,D,20080317,000000,2.3151,2.3151,2.2233,2.2233,0,0
KGH_PE,D,20080318,000000,2.2233,2.2233,2.2233,2.2233,0,0
KGH_PE,D,20080319,000000,2.2692,2.2692,2.1775,2.2233,0,0
KGH_PE,D,20080320,000000,2.1775,2.1775,2.1316,2.1316,0,0
KGH_PE,D,20080325,000000,2.2233,2.2233,2.1775,2.1775,0,0
KGH_PE,D,20080326,000000,2.1775,2.2233,2.1775,2.2233,0,0
KGH_PE,D,20080327,000000,2.2692,2.4069,2.2233,2.4069,0,0
KGH_PE,D,20080328,000000,2.4069,2.4529,2.4069,2.4529,0,0
KGH_PE,D,20080331,000000,2.4069,2.4069,2.4069,2.4069,0,0
KGH_PE,D,20080401,000000,2.4069,2.4529,2.3611,2.4069,0,0
KGH_PE,D,20080402,000000,2.4529,2.4529,2.4069,2.4069,0,0
KGH_PE,D,20080403,000000,2.4069,2.4069,2.3611,2.3611,0,0
KGH_PE,D,20080404,000000,2.3611,2.4529,2.3611,2.4069,0,0
KGH_PE,D,20080407,000000,2.4529,2.4987,2.4529,2.4987,0,0
KGH_PE,D,20080408,000000,2.4987,2.4987,2.4529,2.4529,0,0
KGH_PE,D,20080409,000000,2.4069,2.4987,2.4069,2.4987,0,0
KGH_PE,D,20080410,000000,2.4987,2.4987,2.4529,2.4529,0,0
KGH_PE,D,20080411,000000,2.4529,2.4987,2.3611,2.3611,0,0
KGH_PE,D,20080414,000000,2.3611,2.3611,2.3151,2.3151,0,0
KGH_PE,D,20080415,000000,2.3151,2.4069,2.3151,2.3611,0,0
KGH_PE,D,20080416,000000,2.4069,2.4529,2.3611,2.4529,0,0
KGH_PE,D,20080417,000000,2.4529,2.4987,2.4529,2.4987,0,0
KGH_PE,D,20080418,000000,2.4987,2.4987,2.4529,2.4529,0,0
KGH_PE,D,20080421,000000,2.4529,2.4529,2.4069,2.4529,0,0
KGH_PE,D,20080422,000000,2.4529,2.4987,2.4529,2.4529,0,0
KGH_PE,D,20080423,000000,2.4529,2.4987,2.3611,2.3611,0,0
KGH_PE,D,20080424,000000,2.4069,2.4529,2.4069,2.4529,0,0
KGH_PE,D,20080425,000000,2.4529,2.4529,2.4069,2.4069,0,0
KGH_PE,D,20080428,000000,2.4529,2.4529,2.4069,2.4529,0,0
KGH_PE,D,20080429,000000,2.4529,2.4529,2.4069,2.4069,0,0
KGH_PE,D,20080430,000000,2.4069,2.4069,2.3611,2.4069,0,0
KGH_PE,D,20080505,000000,2.4529,2.4987,2.4069,2.4987,0,0
KGH_PE,D,20080506,000000,2.5444,2.5444,2.4987,2.4987,0,0
KGH_PE,D,20080507,000000,2.5444,2.5906,2.5444,2.5444,0,0
KGH_PE,D,20080508,000000,2.4987,2.5906,2.4987,2.5444,0,0
KGH_PE,D,20080509,000000,2.5444,2.5444,2.4529,2.4529,0,0
KGH_PE,D,20080512,000000,2.4987,2.4987,2.4529,2.4529,0,0
KGH_PE,D,20080513,000000,2.4529,2.4987,2.4529,2.4987,0,0
KGH_PE,D,20080514,000000,2.4987,2.5444,2.4987,2.5444,0,0
KGH_PE,D,20080515,000000,2.5444,2.5444,2.4987,2.4987,0,0
KGH_PE,D,20080516,000000,2.4987,2.5444,2.4987,2.5444,0,0
KGH_PE,D,20080519,000000,2.5444,2.5906,2.5444,2.5906,0,0
KGH_PE,D,20080520,000000,2.6416,2.6416,2.5444,2.5444,0,0
KGH_PE,D,20080521,000000,2.5444,2.5444,2.5444,2.5444,0,0
KGH_PE,D,20080523,000000,2.5444,2.5444,2.4529,2.5444,0,0
KGH_PE,D,20080526,000000,2.5444,2.5444,2.4987,2.4987,0,0
KGH_PE,D,20080527,000000,2.5444,2.5444,2.4529,2.4529,0,0
KGH_PE,D,20080528,000000,2.4987,2.4987,2.4529,2.4529,0,0
KGH_PE,D,20080529,000000,2.4529,2.4529,2.3151,2.3611,0,0
KGH_PE,D,20080530,000000,2.4069,2.4529,2.3611,2.3611,0,0
KGH_PE,D,20080602,000000,2.3611,2.3611,2.3151,2.3611,0,0
KGH_PE,D,20080603,000000,2.3611,2.4069,2.3611,2.4069,0,0
KGH_PE,D,20080604,000000,2.4069,2.4069,2.3611,2.3611,0,0
KGH_PE,D,20080605,000000,2.3611,2.3611,2.3611,2.3611,0,0
KGH_PE,D,20080606,000000,2.4069,2.4069,2.3611,2.3611,0,0
KGH_PE,D,20080609,000000,2.3611,2.4069,2.3151,2.3611,0,0
KGH_PE,D,20080610,000000,2.3151,2.3611,2.2233,2.2233,0,0
KGH_PE,D,20080611,000000,2.2233,2.2692,2.2233,2.2233,0,0
KGH_PE,D,20080612,000000,2.2233,2.2692,2.2233,2.2692,0,0
KGH_PE,D,20080613,000000,2.2692,2.2692,2.2692,2.2692,0,0
KGH_PE,D,20080616,000000,2.3151,2.3151,2.2233,2.2233,0,0
KGH_PE,D,20080617,000000,2.2233,2.2692,2.2233,2.2692,0,0
KGH_PE,D,20080618,000000,2.2692,2.2692,2.2692,2.2692,0,0
KGH_PE,D,20080619,000000,2.2233,2.3151,2.2233,2.3151,0,0
KGH_PE,D,20080620,000000,2.3151,2.4069,2.3151,2.3611,0,0
KGH_PE,D,20080623,000000,2.3611,2.4069,2.3151,2.3151,0,0
KGH_PE,D,20080624,000000,2.3611,2.3611,2.3151,2.3611,0,0
KGH_PE,D,20080625,000000,2.4069,2.4069,2.3611,2.3611,0,0
