<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGL_PE,D,20160203,000000,13.141,13.141,13.141,13.141,0,0
KGL_PE,D,20160204,000000,12.858,13.141,12.858,13.141,0,0
KGL_PE,D,20160205,000000,13.046,13.141,12.858,12.858,0,0
KGL_PE,D,20160208,000000,12.952,13.141,12.952,13.141,0,0
KGL_PE,D,20160209,000000,12.858,13.046,12.575,12.858,0,0
KGL_PE,D,20160210,000000,12.858,12.858,12.858,12.858,0,0
KGL_PE,D,20160211,000000,12.858,13.046,12.858,13.046,0,0
KGL_PE,D,20160217,000000,12.858,13.046,12.858,13.046,0,0
KGL_PE,D,20160222,000000,12.952,12.952,12.952,12.952,0,0
KGL_PE,D,20160225,000000,12.952,13.046,12.952,13.046,0,0
KGL_PE,D,20160301,000000,13.141,13.237,12.952,13.141,0,0
KGL_PE,D,20160302,000000,13.046,13.141,13.046,13.141,0,0
KGL_PE,D,20160309,000000,13.046,13.141,13.046,13.046,0,0
KGL_PE,D,20160311,000000,13.046,13.141,13.046,13.141,0,0
KGL_PE,D,20160314,000000,13.141,13.141,13.141,13.141,0,0
KGL_PE,D,20160315,000000,13.141,13.141,13.141,13.141,0,0
KGL_PE,D,20160316,000000,13.046,13.046,13.046,13.046,0,0
KGL_PE,D,20160317,000000,13.046,13.046,13.046,13.046,0,0
KGL_PE,D,20160318,000000,13.046,13.141,13.046,13.141,0,0
KGL_PE,D,20160321,000000,13.046,13.046,13.046,13.046,0,0
KGL_PE,D,20160322,000000,13.046,13.141,12.669,12.669,0,0
KGL_PE,D,20160323,000000,13.046,13.046,13.046,13.046,0,0
KGL_PE,D,20160324,000000,13.046,13.046,12.669,13.046,0,0
KGL_PE,D,20160330,000000,11.44,11.44,11.44,11.44,0,0
KGL_PE,D,20160404,000000,11.44,11.44,11.44,11.44,0,0
KGL_PE,D,20160405,000000,11.44,11.44,11.44,11.44,0,0
KGL_PE,D,20160408,000000,11.44,11.44,11.44,11.44,0,0
KGL_PE,D,20160411,000000,11.44,11.818,11.44,11.818,0,0
KGL_PE,D,20160412,000000,11.912,12.48,11.912,12.102,0,0
KGL_PE,D,20160413,000000,12.196,12.669,12.006,12.669,0,0
KGL_PE,D,20160414,000000,12.575,12.575,12.006,12.006,0,0
KGL_PE,D,20160415,000000,12.575,13.33,12.102,13.33,0,0
KGL_PE,D,20160418,000000,12.952,13.33,12.952,13.33,0,0
KGL_PE,D,20160419,000000,13.237,13.803,13.237,13.615,0,0
KGL_PE,D,20160420,000000,13.519,13.615,13.425,13.425,0,0
KGL_PE,D,20160421,000000,13.141,13.33,13.141,13.33,0,0
KGL_PE,D,20160425,000000,12.858,13.33,12.858,13.33,0,0
KGL_PE,D,20160426,000000,12.858,12.858,12.858,12.858,0,0
KGL_PE,D,20160427,000000,12.764,12.764,12.764,12.764,0,0
KGL_PE,D,20160428,000000,12.764,12.764,12.764,12.764,0,0
KGL_PE,D,20160429,000000,13.33,13.803,13.237,13.33,0,0
KGL_PE,D,20160504,000000,13.046,13.046,13.046,13.046,0,0
KGL_PE,D,20160505,000000,13.141,13.141,13.141,13.141,0,0
KGL_PE,D,20160510,000000,13.141,13.141,13.141,13.141,0,0
KGL_PE,D,20160511,000000,13.425,13.803,13.425,13.803,0,0
KGL_PE,D,20160517,000000,13.519,13.519,13.519,13.519,0,0
KGL_PE,D,20160518,000000,13.519,13.519,13.519,13.519,0,0
KGL_PE,D,20160519,000000,13.33,13.33,13.33,13.33,0,0
KGL_PE,D,20160520,000000,13.33,13.33,13.33,13.33,0,0
KGL_PE,D,20160523,000000,13.33,13.33,13.33,13.33,0,0
KGL_PE,D,20160527,000000,13.141,13.141,13.141,13.141,0,0
KGL_PE,D,20160530,000000,13.046,13.046,13.046,13.046,0,0
KGL_PE,D,20160601,000000,13.046,13.046,13.046,13.046,0,0
KGL_PE,D,20160606,000000,13.046,13.046,13.046,13.046,0,0
KGL_PE,D,20160607,000000,13.33,13.33,13.33,13.33,0,0
KGL_PE,D,20160609,000000,13.33,13.33,13.046,13.046,0,0
KGL_PE,D,20160615,000000,13.615,13.615,12.384,13.615,0,0
KGL_PE,D,20160616,000000,12.575,13.141,12.384,12.384,0,0
KGL_PE,D,20160617,000000,13.425,13.425,13.425,13.425,0,0
KGL_PE,D,20160620,000000,13.141,13.141,13.141,13.141,0,0
KGL_PE,D,20160621,000000,12.952,12.952,12.952,12.952,0,0
KGL_PE,D,20160622,000000,13.33,13.33,13.33,13.33,0,0
KGL_PE,D,20160623,000000,12.952,12.952,12.952,12.952,0,0
KGL_PE,D,20160624,000000,12.952,12.952,12.575,12.575,0,0
KGL_PE,D,20160629,000000,12.575,12.952,12.575,12.952,0,0
KGL_PE,D,20160705,000000,12.952,12.952,12.384,12.952,0,0
KGL_PE,D,20160712,000000,12.952,12.952,12.384,12.952,0,0
KGL_PE,D,20160714,000000,12.384,13.046,12.384,12.952,0,0
KGL_PE,D,20160719,000000,12.858,12.858,12.858,12.858,0,0
KGL_PE,D,20160725,000000,12.858,12.858,12.858,12.858,0,0
KGL_PE,D,20160726,000000,12.858,12.858,12.858,12.858,0,0
KGL_PE,D,20160805,000000,12.858,12.858,12.858,12.858,0,0
KGL_PE,D,20160811,000000,12.858,12.858,12.858,12.858,0,0
KGL_PE,D,20160816,000000,12.858,12.858,12.858,12.858,0,0
KGL_PE,D,20160819,000000,12.858,12.858,12.858,12.858,0,0
KGL_PE,D,20160822,000000,12.858,12.858,12.858,12.858,0,0
KGL_PE,D,20160823,000000,12.858,12.858,12.858,12.858,0,0
KGL_PE,D,20160901,000000,12.384,12.575,12.384,12.575,0,0
KGL_PE,D,20160905,000000,12.196,12.196,12.196,12.196,0,0
KGL_PE,D,20160907,000000,11.061,11.156,11.061,11.156,0,0
KGL_PE,D,20160908,000000,11.156,11.156,11.156,11.156,0,0
KGL_PE,D,20160909,000000,11.628,11.628,11.628,11.628,0,0
KGL_PE,D,20160913,000000,11.156,11.723,11.156,11.628,0,0
KGL_PE,D,20160926,000000,11.628,11.628,11.628,11.628,0,0
KGL_PE,D,20160927,000000,11.628,11.628,11.628,11.628,0,0
KGL_PE,D,20160928,000000,11.628,11.628,11.628,11.628,0,0
KGL_PE,D,20160930,000000,11.628,11.628,11.628,11.628,0,0
KGL_PE,D,20161003,000000,11.628,11.628,11.628,11.628,0,0
KGL_PE,D,20161004,000000,11.628,11.628,11.628,11.628,0,0
KGL_PE,D,20161019,000000,11.156,11.628,11.156,11.628,0,0
KGL_PE,D,20161026,000000,11.628,11.628,11.628,11.628,0,0
KGL_PE,D,20161031,000000,11.628,11.628,11.628,11.628,0,0
KGL_PE,D,20161102,000000,11.628,11.628,11.628,11.628,0,0
KGL_PE,D,20161103,000000,11.628,11.628,11.628,11.628,0,0
KGL_PE,D,20161108,000000,11.534,11.534,11.534,11.534,0,0
KGL_PE,D,20161109,000000,11.628,11.628,11.628,11.628,0,0
KGL_PE,D,20161114,000000,11.534,11.534,11.534,11.534,0,0
KGL_PE,D,20161115,000000,11.628,11.628,11.628,11.628,0,0
KGL_PE,D,20161116,000000,11.534,11.534,11.534,11.534,0,0
KGL_PE,D,20161118,000000,10.778,10.873,10.494,10.873,0,0
KGL_PE,D,20161121,000000,10.873,10.873,10.873,10.873,0,0
KGL_PE,D,20161125,000000,10.873,10.873,10.873,10.873,0,0
KGL_PE,D,20161128,000000,10.873,10.873,10.873,10.873,0,0
KGL_PE,D,20161129,000000,10.873,10.873,10.873,10.873,0,0
KGL_PE,D,20161207,000000,10.873,11.346,10.873,10.873,0,0
KGL_PE,D,20161208,000000,10.873,10.873,10.778,10.778,0,0
KGL_PE,D,20161209,000000,10.778,10.778,10.589,10.589,0,0
KGL_PE,D,20161212,000000,10.589,10.589,10.589,10.589,0,0
KGL_PE,D,20161215,000000,10.683,11.346,10.683,11.346,0,0
KGL_PE,D,20161221,000000,10.873,10.873,10.873,10.873,0,0
KGL_PE,D,20161222,000000,10.778,10.873,10.589,10.873,0,0
KGL_PE,D,20161223,000000,10.589,10.589,10.589,10.589,0,0
KGL_PE,D,20161229,000000,10.683,10.873,10.683,10.873,0,0
KGL_PE,D,20161230,000000,10.873,10.873,10.589,10.589,0,0
KGL_PE,D,20170102,000000,10.873,10.873,10.873,10.873,0,0
KGL_PE,D,20170105,000000,10.873,10.873,10.873,10.873,0,0
KGL_PE,D,20170111,000000,10.399,10.399,10.399,10.399,0,0
KGL_PE,D,20170117,000000,10.873,10.873,10.873,10.873,0,0
KGL_PE,D,20170123,000000,10.873,10.873,10.873,10.873,0,0
KGL_PE,D,20170126,000000,10.873,10.873,10.399,10.873,0,0
KGL_PE,D,20170131,000000,10.873,10.873,10.873,10.873,0,0
KGL_PE,D,20170203,000000,10.873,10.873,10.873,10.873,0,0
