<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPL_PE,D,20110527,000000,8.5654,8.5654,8.5654,8.5654,0,0
KPL_PE,D,20110530,000000,8.4469,8.917,8.3894,8.6821,0,0
KPL_PE,D,20110531,000000,8.6821,8.6821,8.3894,8.4469,0,0
KPL_PE,D,20110601,000000,8.3894,8.5052,8.3302,8.5052,0,0
KPL_PE,D,20110602,000000,8.5052,8.5654,8.3302,8.5654,0,0
KPL_PE,D,20110603,000000,8.3894,8.6229,8.3894,8.5654,0,0
KPL_PE,D,20110606,000000,8.3302,8.5052,8.3302,8.4469,0,0
KPL_PE,D,20110607,000000,8.4469,8.5052,7.685,8.3302,0,0
KPL_PE,D,20110608,000000,8.3302,8.5052,8.3302,8.5052,0,0
KPL_PE,D,20110609,000000,8.3302,8.4469,8.3302,8.3894,0,0
KPL_PE,D,20110610,000000,8.3894,8.3894,8.3302,8.3894,0,0
KPL_PE,D,20110613,000000,8.3302,8.3894,8.3302,8.3302,0,0
KPL_PE,D,20110614,000000,8.0368,8.3894,8.0368,8.2718,0,0
KPL_PE,D,20110615,000000,8.0368,8.2718,7.8017,8.2118,0,0
KPL_PE,D,20110616,000000,7.8604,8.2718,7.8604,8.0368,0,0
KPL_PE,D,20110617,000000,7.7437,8.0368,7.7437,7.8604,0,0
KPL_PE,D,20110620,000000,7.8017,7.8604,7.5096,7.7437,0,0
KPL_PE,D,20110621,000000,7.6263,7.6263,7.5096,7.6263,0,0
KPL_PE,D,20110622,000000,7.6263,7.685,7.5667,7.6263,0,0
KPL_PE,D,20110624,000000,7.5096,7.5096,7.5096,7.5096,0,0
KPL_PE,D,20110627,000000,7.5096,7.6263,7.3912,7.5667,0,0
KPL_PE,D,20110628,000000,7.3912,7.5667,7.3322,7.3912,0,0
KPL_PE,D,20110629,000000,7.3912,7.6263,7.3912,7.5667,0,0
KPL_PE,D,20110630,000000,7.5096,7.5667,7.2745,7.5667,0,0
KPL_PE,D,20110701,000000,7.2745,7.6263,7.2745,7.5667,0,0
KPL_PE,D,20110704,000000,7.5667,7.5667,7.5667,7.5667,0,0
KPL_PE,D,20110705,000000,7.2745,7.5096,7.2745,7.45,0,0
KPL_PE,D,20110706,000000,7.45,7.45,7.45,7.45,0,0
KPL_PE,D,20110707,000000,7.45,7.45,7.3912,7.45,0,0
KPL_PE,D,20110708,000000,7.2155,7.5096,7.2155,7.3912,0,0
KPL_PE,D,20110711,000000,7.2745,7.45,7.2155,7.45,0,0
KPL_PE,D,20110712,000000,7.2155,7.3912,7.1564,7.3912,0,0
KPL_PE,D,20110713,000000,7.2155,7.45,7.2155,7.3912,0,0
KPL_PE,D,20110714,000000,7.2155,7.3912,7.2155,7.2745,0,0
KPL_PE,D,20110715,000000,6.9807,7.2155,6.9807,7.2155,0,0
KPL_PE,D,20110718,000000,7.2155,7.2155,6.5114,6.8631,0,0
KPL_PE,D,20110719,000000,6.6287,6.8631,6.5702,6.5702,0,0
KPL_PE,D,20110720,000000,6.5702,6.6287,6.4529,6.6287,0,0
KPL_PE,D,20110721,000000,6.5114,6.6287,6.5114,6.6287,0,0
KPL_PE,D,20110722,000000,6.5114,6.6287,6.5114,6.6287,0,0
KPL_PE,D,20110725,000000,6.5114,6.5114,6.4529,6.5114,0,0
KPL_PE,D,20110726,000000,6.4529,6.4529,6.3941,6.4529,0,0
KPL_PE,D,20110727,000000,6.5114,6.5114,6.3941,6.5114,0,0
KPL_PE,D,20110728,000000,6.3355,6.5114,6.1596,6.5114,0,0
KPL_PE,D,20110729,000000,6.5114,6.5114,6.1596,6.2182,0,0
KPL_PE,D,20110801,000000,6.1596,6.1596,5.6902,5.8661,0,0
KPL_PE,D,20110802,000000,5.9249,6.1008,5.7488,6.1008,0,0
KPL_PE,D,20110803,000000,6.2767,6.2767,5.6314,6.0421,0,0
KPL_PE,D,20110804,000000,5.7488,5.7488,5.5729,5.6902,0,0
KPL_PE,D,20110805,000000,5.3382,5.6902,5.2209,5.6902,0,0
KPL_PE,D,20110808,000000,5.3382,5.7488,5.2209,5.5142,0,0
KPL_PE,D,20110809,000000,5.1037,5.1037,4.5755,4.6344,0,0
KPL_PE,D,20110810,000000,4.6344,4.9275,4.341,4.6344,0,0
KPL_PE,D,20110811,000000,4.5755,4.9862,4.3998,4.8103,0,0
KPL_PE,D,20110812,000000,5.2795,5.2795,4.8103,5.1622,0,0
KPL_PE,D,20110816,000000,5.2795,5.6902,5.2795,5.6902,0,0
KPL_PE,D,20110817,000000,5.6902,5.6902,5.6314,5.6314,0,0
KPL_PE,D,20110818,000000,5.3969,5.3969,4.9862,5.3382,0,0
KPL_PE,D,20110819,000000,5.1037,5.3382,5.1037,5.2795,0,0
KPL_PE,D,20110822,000000,5.1622,5.1622,5.1622,5.1622,0,0
KPL_PE,D,20110823,000000,5.3382,5.3382,4.9275,4.9275,0,0
KPL_PE,D,20110824,000000,4.9275,4.9275,4.9275,4.9275,0,0
KPL_PE,D,20110825,000000,4.9275,4.9275,4.9275,4.9275,0,0
KPL_PE,D,20110826,000000,4.9275,4.9275,4.9275,4.9275,0,0
KPL_PE,D,20110829,000000,4.9275,5.2795,4.5755,5.2209,0,0
KPL_PE,D,20110830,000000,5.2795,5.5729,5.2795,5.3382,0,0
KPL_PE,D,20110831,000000,5.5729,5.6902,5.1622,5.2209,0,0
KPL_PE,D,20110901,000000,5.3969,5.3969,5.1622,5.1622,0,0
KPL_PE,D,20110902,000000,5.1622,5.1622,4.8103,4.8103,0,0
KPL_PE,D,20110905,000000,4.6344,4.8103,4.4584,4.517,0,0
KPL_PE,D,20110906,000000,4.517,4.517,4.3998,4.3998,0,0
KPL_PE,D,20110907,000000,4.3998,4.7516,4.3998,4.7516,0,0
KPL_PE,D,20110908,000000,4.7516,4.7516,4.5755,4.7516,0,0
KPL_PE,D,20110909,000000,4.9862,5.4556,4.9862,5.3969,0,0
KPL_PE,D,20110912,000000,5.1622,5.1622,4.7516,5.1037,0,0
