<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRC_PE,D,20080402,000000,103.4,103.4,103.4,103.4,0,0
KRC_PE,D,20080403,000000,97.784,102.19,93.751,99.84,0,0
KRC_PE,D,20080404,000000,99.472,99.472,92.438,96.563,0,0
KRC_PE,D,20080407,000000,96.47,106.79,96.47,104.25,0,0
KRC_PE,D,20080408,000000,103.6,103.6,99.189,100.69,0,0
KRC_PE,D,20080409,000000,96.47,97.599,92.907,93.094,0,0
KRC_PE,D,20080410,000000,95.626,103.31,93.188,103.13,0,0
KRC_PE,D,20080411,000000,103.5,103.5,100.5,103.4,0,0
KRC_PE,D,20080414,000000,99.472,100.5,98.067,98.253,0,0
KRC_PE,D,20080415,000000,98.34,102.19,98.253,98.253,0,0
KRC_PE,D,20080416,000000,100.88,100.88,96.751,100.41,0,0
KRC_PE,D,20080417,000000,101.06,101.06,96.47,96.563,0,0
KRC_PE,D,20080418,000000,96.47,100.03,95.626,99.84,0,0
KRC_PE,D,20080421,000000,94.031,100.41,94.031,100.41,0,0
KRC_PE,D,20080422,000000,100.03,100.03,93.751,95.251,0,0
KRC_PE,D,20080423,000000,89.907,94.594,82.594,93.844,0,0
KRC_PE,D,20080424,000000,85.594,93.47,85.594,92.531,0,0
KRC_PE,D,20080425,000000,92.626,99.75,92.626,97.97,0,0
KRC_PE,D,20080428,000000,98.155,98.155,87.188,94.97,0,0
KRC_PE,D,20080429,000000,95.063,95.063,88.313,94.97,0,0
KRC_PE,D,20080430,000000,94.594,101.63,89.72,93.844,0,0
KRC_PE,D,20080505,000000,99.189,100.31,93.751,95.251,0,0
KRC_PE,D,20080506,000000,94.594,104.9,94.594,103.97,0,0
KRC_PE,D,20080507,000000,104.35,114.47,100.59,114.29,0,0
KRC_PE,D,20080508,000000,106.79,120.09,106.79,110.16,0,0
KRC_PE,D,20080509,000000,111.19,113.62,111.19,112.69,0,0
KRC_PE,D,20080512,000000,112.03,112.03,103.6,111,0,0
KRC_PE,D,20080513,000000,103.78,108.84,99.189,108.84,0,0
KRC_PE,D,20080514,000000,104.62,107.34,104.62,104.72,0,0
KRC_PE,D,20080515,000000,101.63,105.84,99.472,105.84,0,0
KRC_PE,D,20080516,000000,99.75,108.84,99.75,108.84,0,0
KRC_PE,D,20080519,000000,103.22,104.72,103.22,104.72,0,0
KRC_PE,D,20080520,000000,107.06,107.44,107.06,107.44,0,0
KRC_PE,D,20080521,000000,100.5,106.12,99.189,106.12,0,0
KRC_PE,D,20080523,000000,105.19,106.97,105.19,106.97,0,0
KRC_PE,D,20080526,000000,107.34,111.47,104.07,108.56,0,0
KRC_PE,D,20080527,000000,108.47,108.47,101.91,106.12,0,0
KRC_PE,D,20080528,000000,107.34,108.47,100.78,107.44,0,0
KRC_PE,D,20080529,000000,101.91,107.06,100.5,100.97,0,0
KRC_PE,D,20080530,000000,103.6,106.31,101.63,105.28,0,0
KRC_PE,D,20080602,000000,104.9,108.66,67.219,67.219,0,0
KRC_PE,D,20080603,000000,67.219,67.219,64.688,64.688,0,0
KRC_PE,D,20080604,000000,64.688,66.376,64.688,66.376,0,0
KRC_PE,D,20080605,000000,63.844,66.938,63,66.938,0,0
KRC_PE,D,20080606,000000,67.126,67.5,64.782,67.407,0,0
KRC_PE,D,20080609,000000,67.407,67.407,63,66.188,0,0
KRC_PE,D,20080610,000000,63,65.532,62.063,65.25,0,0
KRC_PE,D,20080611,000000,65.626,66.656,65.626,66.376,0,0
KRC_PE,D,20080612,000000,66.376,66.376,66.188,66.188,0,0
KRC_PE,D,20080613,000000,66.188,66.376,66.188,66.376,0,0
KRC_PE,D,20080616,000000,66.376,66.563,66.376,66.563,0,0
