<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KTY_PE,D,20070813,000000,11.455,11.455,11.455,11.455,0,0
KTY_PE,D,20070814,000000,11.235,11.235,11.235,11.235,0,0
KTY_PE,D,20070816,000000,10.951,10.951,10.951,10.951,0,0
KTY_PE,D,20070817,000000,10.673,10.673,10.673,10.673,0,0
KTY_PE,D,20070820,000000,10.673,10.673,10.673,10.673,0,0
KTY_PE,D,20070821,000000,10.559,10.559,10.559,10.559,0,0
KTY_PE,D,20070822,000000,11.064,11.064,11.064,11.064,0,0
KTY_PE,D,20070823,000000,11.515,11.515,11.515,11.515,0,0
KTY_PE,D,20070824,000000,10.951,10.951,10.951,10.951,0,0
KTY_PE,D,20070827,000000,11.567,11.567,11.567,11.567,0,0
KTY_PE,D,20070828,000000,11.846,11.846,11.846,11.846,0,0
KTY_PE,D,20070829,000000,11.959,11.959,11.959,11.959,0,0
KTY_PE,D,20070830,000000,11.846,11.846,11.846,11.846,0,0
KTY_PE,D,20070831,000000,12.35,12.35,12.35,12.35,0,0
KTY_PE,D,20070903,000000,13.019,13.019,13.019,13.019,0,0
KTY_PE,D,20070904,000000,13.019,13.019,13.019,13.019,0,0
KTY_PE,D,20070905,000000,12.741,12.741,12.741,12.741,0,0
KTY_PE,D,20070906,000000,12.689,12.689,12.689,12.689,0,0
KTY_PE,D,20070907,000000,12.463,12.463,12.463,12.463,0,0
KTY_PE,D,20070910,000000,12.07,12.07,12.07,12.07,0,0
KTY_PE,D,20070911,000000,12.409,12.409,12.409,12.409,0,0
KTY_PE,D,20070912,000000,12.409,12.409,12.409,12.409,0,0
KTY_PE,D,20070913,000000,12.575,12.575,12.575,12.575,0,0
KTY_PE,D,20070914,000000,12.125,12.125,12.125,12.125,0,0
KTY_PE,D,20070917,000000,11.906,11.906,11.906,11.906,0,0
KTY_PE,D,20070918,000000,12.184,12.184,12.184,12.184,0,0
KTY_PE,D,20070919,000000,12.628,12.628,12.628,12.628,0,0
KTY_PE,D,20070920,000000,13.019,13.019,13.019,13.019,0,0
KTY_PE,D,20070921,000000,12.35,12.35,12.35,12.35,0,0
KTY_PE,D,20070924,000000,12.463,12.463,12.463,12.463,0,0
KTY_PE,D,20070925,000000,11.734,11.734,11.734,11.734,0,0
KTY_PE,D,20070926,000000,11.846,11.846,11.846,11.846,0,0
KTY_PE,D,20070927,000000,11.846,11.846,11.846,11.846,0,0
KTY_PE,D,20070928,000000,11.567,11.567,11.567,11.567,0,0
KTY_PE,D,20071001,000000,11.29,11.29,11.29,11.29,0,0
KTY_PE,D,20071002,000000,11.402,11.402,11.402,11.402,0,0
KTY_PE,D,20071003,000000,11.29,11.29,11.29,11.29,0,0
KTY_PE,D,20071004,000000,11.29,11.29,11.29,11.29,0,0
KTY_PE,D,20071005,000000,11.343,11.343,11.343,11.343,0,0
KTY_PE,D,20071008,000000,11.402,11.402,11.402,11.402,0,0
KTY_PE,D,20071009,000000,11.29,11.29,11.29,11.29,0,0
KTY_PE,D,20071010,000000,11.455,11.455,11.455,11.455,0,0
KTY_PE,D,20071011,000000,11.567,11.567,11.567,11.567,0,0
KTY_PE,D,20071012,000000,11.455,11.455,11.455,11.455,0,0
KTY_PE,D,20071015,000000,11.734,11.734,11.734,11.734,0,0
KTY_PE,D,20071016,000000,11.567,11.567,11.567,11.567,0,0
KTY_PE,D,20071017,000000,11.627,11.627,11.627,11.627,0,0
KTY_PE,D,20071018,000000,11.515,11.515,11.515,11.515,0,0
KTY_PE,D,20071019,000000,11.515,11.515,11.515,11.515,0,0
KTY_PE,D,20071022,000000,11.402,11.402,11.402,11.402,0,0
KTY_PE,D,20071023,000000,11.627,11.627,11.627,11.627,0,0
KTY_PE,D,20071024,000000,11.515,11.515,11.515,11.515,0,0
KTY_PE,D,20071025,000000,11.29,11.29,11.29,11.29,0,0
KTY_PE,D,20071026,000000,11.235,11.235,11.235,11.235,0,0
KTY_PE,D,20071029,000000,10.951,10.951,10.951,10.951,0,0
KTY_PE,D,20071030,000000,10.898,10.898,10.898,10.898,0,0
KTY_PE,D,20071031,000000,10.839,10.839,10.839,10.839,0,0
KTY_PE,D,20071102,000000,10.056,10.056,10.056,10.056,0,0
KTY_PE,D,20071105,000000,10.228,10.228,10.228,10.228,0,0
KTY_PE,D,20071106,000000,10.056,10.056,10.056,10.056,0,0
KTY_PE,D,20071107,000000,9.949,9.949,9.949,9.949,0,0
KTY_PE,D,20071108,000000,10.228,10.228,10.228,10.228,0,0
KTY_PE,D,20071109,000000,10.559,10.559,9.724,9.836,0,0
KTY_PE,D,20071112,000000,9.89,10.004,9.836,9.949,0,0
KTY_PE,D,20071113,000000,9.949,10.117,9.778,9.778,0,0
KTY_PE,D,20071114,000000,10.056,10.056,9.778,9.949,0,0
KTY_PE,D,20071115,000000,10.117,10.117,9.4444,9.4444,0,0
KTY_PE,D,20071116,000000,9.4444,9.4444,8.717,9.274,0,0
KTY_PE,D,20071119,000000,9.1684,9.4991,9.1684,9.387,0,0
KTY_PE,D,20071120,000000,9.1684,9.387,9.0554,9.2212,0,0
KTY_PE,D,20071121,000000,9.1684,9.1684,8.4931,8.4931,0,0
KTY_PE,D,20071122,000000,8.3259,9.0554,8.3259,8.8303,0,0
KTY_PE,D,20071123,000000,8.8303,9.1082,8.8303,8.9961,0,0
