<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KVT_PE,D,20151216,000000,6.6866,6.6866,6.6866,6.6866,0,0
KVT_PE,D,20151217,000000,6.3958,6.9045,6.3958,6.9045,0,0
KVT_PE,D,20151218,000000,6.9045,7.0499,6.6866,6.6866,0,0
KVT_PE,D,20151221,000000,6.5412,6.9045,6.5412,6.9045,0,0
KVT_PE,D,20151222,000000,6.9773,6.9773,6.9045,6.9045,0,0
KVT_PE,D,20151223,000000,6.9045,6.9045,6.7593,6.9045,0,0
KVT_PE,D,20151228,000000,6.9045,6.9045,6.7593,6.8318,0,0
KVT_PE,D,20151229,000000,6.8318,6.8318,6.6866,6.8318,0,0
KVT_PE,D,20151230,000000,6.8318,6.9045,6.6866,6.9045,0,0
KVT_PE,D,20160104,000000,6.9045,6.9045,6.8318,6.9045,0,0
KVT_PE,D,20160105,000000,6.9045,7.922,6.8318,7.922,0,0
KVT_PE,D,20160107,000000,7.922,7.922,7.7765,7.922,0,0
KVT_PE,D,20160108,000000,7.922,7.922,7.922,7.922,0,0
KVT_PE,D,20160111,000000,7.9952,7.9952,7.5588,7.5588,0,0
KVT_PE,D,20160112,000000,7.5588,7.6315,7.268,7.413,0,0
KVT_PE,D,20160113,000000,7.486,7.486,7.486,7.486,0,0
KVT_PE,D,20160114,000000,7.486,7.486,6.9773,6.9773,0,0
KVT_PE,D,20160115,000000,6.9773,6.9773,6.8318,6.8318,0,0
KVT_PE,D,20160118,000000,6.8318,6.8318,6.5412,6.5412,0,0
KVT_PE,D,20160119,000000,6.6138,6.6138,6.5412,6.5412,0,0
KVT_PE,D,20160120,000000,6.5412,6.5412,6.1777,6.1777,0,0
KVT_PE,D,20160121,000000,6.3231,6.3231,5.887,6.1777,0,0
KVT_PE,D,20160122,000000,6.1777,6.1777,6.1777,6.1777,0,0
KVT_PE,D,20160125,000000,5.9598,6.0324,5.9598,6.0324,0,0
KVT_PE,D,20160126,000000,6.0324,6.1777,6.0324,6.1777,0,0
KVT_PE,D,20160127,000000,6.2504,6.6866,6.1777,6.6866,0,0
KVT_PE,D,20160128,000000,6.6138,7.1227,6.6138,7.1227,0,0
KVT_PE,D,20160129,000000,7.1227,7.1227,6.8318,7.0499,0,0
KVT_PE,D,20160201,000000,7.1227,7.1227,7.1227,7.1227,0,0
KVT_PE,D,20160202,000000,7.268,7.268,6.6138,6.6138,0,0
KVT_PE,D,20160203,000000,6.6866,6.6866,6.6866,6.6866,0,0
KVT_PE,D,20160204,000000,6.6138,6.6866,6.6138,6.6866,0,0
KVT_PE,D,20160205,000000,6.6866,6.6866,6.6138,6.6866,0,0
KVT_PE,D,20160208,000000,6.6138,6.6866,6.6138,6.6866,0,0
KVT_PE,D,20160209,000000,6.6866,7.0499,6.6866,7.0499,0,0
KVT_PE,D,20160210,000000,7.0499,7.0499,6.9773,6.9773,0,0
KVT_PE,D,20160211,000000,6.9773,6.9773,6.9773,6.9773,0,0
KVT_PE,D,20160212,000000,6.9773,6.9773,6.9773,6.9773,0,0
KVT_PE,D,20160215,000000,6.9773,6.9773,6.9773,6.9773,0,0
KVT_PE,D,20160216,000000,6.9773,6.9773,6.9773,6.9773,0,0
KVT_PE,D,20160217,000000,6.9773,6.9773,6.9773,6.9773,0,0
KVT_PE,D,20160218,000000,6.9773,6.9773,6.7593,6.7593,0,0
KVT_PE,D,20160219,000000,6.7593,6.7593,6.7593,6.7593,0,0
KVT_PE,D,20160222,000000,6.7593,6.7593,6.6138,6.6138,0,0
KVT_PE,D,20160223,000000,6.6138,6.6138,6.6138,6.6138,0,0
KVT_PE,D,20160224,000000,6.6138,6.6138,6.6138,6.6138,0,0
KVT_PE,D,20160225,000000,6.6138,6.6138,6.5412,6.6138,0,0
KVT_PE,D,20160226,000000,6.6138,6.6138,6.6138,6.6138,0,0
KVT_PE,D,20160229,000000,6.6138,6.6866,6.4685,6.6866,0,0
KVT_PE,D,20160301,000000,6.6866,6.6866,6.6138,6.6138,0,0
KVT_PE,D,20160302,000000,6.6138,6.6866,6.6138,6.6866,0,0
KVT_PE,D,20160303,000000,6.6866,6.9045,6.6866,6.6866,0,0
KVT_PE,D,20160304,000000,6.6866,6.6866,6.4685,6.6138,0,0
KVT_PE,D,20160307,000000,6.6138,6.6866,6.6138,6.6866,0,0
KVT_PE,D,20160308,000000,6.4685,6.6866,6.4685,6.5412,0,0
KVT_PE,D,20160309,000000,6.4685,6.4685,6.4685,6.4685,0,0
KVT_PE,D,20160310,000000,6.4685,6.7593,6.4685,6.7593,0,0
KVT_PE,D,20160311,000000,6.5412,6.7593,6.5412,6.7593,0,0
KVT_PE,D,20160314,000000,6.9773,6.9773,6.8318,6.8318,0,0
KVT_PE,D,20160315,000000,6.9773,7.0499,6.8318,6.9773,0,0
KVT_PE,D,20160316,000000,7.0499,7.0499,6.9773,6.9773,0,0
KVT_PE,D,20160317,000000,6.9773,6.9773,6.8318,6.9045,0,0
KVT_PE,D,20160318,000000,6.9045,6.9045,6.9045,6.9045,0,0
KVT_PE,D,20160321,000000,7.0499,7.0499,6.6866,6.6866,0,0
KVT_PE,D,20160322,000000,6.7593,6.7593,6.6138,6.6138,0,0
