<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LAB_PE,D,20140304,000000,15.088,15.088,15.088,15.088,0,0
LAB_PE,D,20140305,000000,18.086,21.664,18.086,19.247,0,0
LAB_PE,D,20140306,000000,19.923,23.598,19.923,21.664,0,0
LAB_PE,D,20140307,000000,21.858,21.858,17.603,20.601,0,0
LAB_PE,D,20140310,000000,19.15,20.117,18.666,20.117,0,0
LAB_PE,D,20140311,000000,19.15,19.15,19.15,19.15,0,0
LAB_PE,D,20140312,000000,18.763,18.956,17.699,18.956,0,0
LAB_PE,D,20140313,000000,18.57,19.923,18.57,19.923,0,0
LAB_PE,D,20140314,000000,19.44,20.601,19.44,19.633,0,0
LAB_PE,D,20140317,000000,19.923,19.923,19.633,19.633,0,0
LAB_PE,D,20140318,000000,19.633,19.73,19.633,19.633,0,0
LAB_PE,D,20140319,000000,19.44,19.44,19.44,19.44,0,0
LAB_PE,D,20140320,000000,20.117,22.052,20.117,22.052,0,0
LAB_PE,D,20140321,000000,22.148,22.148,19.827,21.085,0,0
LAB_PE,D,20140324,000000,19.73,20.117,19.73,20.117,0,0
LAB_PE,D,20140325,000000,20.407,21.374,20.214,20.601,0,0
LAB_PE,D,20140326,000000,20.601,20.601,20.601,20.601,0,0
LAB_PE,D,20140327,000000,20.601,20.601,20.601,20.601,0,0
LAB_PE,D,20140328,000000,20.601,21.085,20.601,21.085,0,0
LAB_PE,D,20140331,000000,20.601,20.697,20.601,20.697,0,0
LAB_PE,D,20140401,000000,20.697,22.438,19.44,22.342,0,0
LAB_PE,D,20140402,000000,21.761,22.342,21.761,22.342,0,0
LAB_PE,D,20140403,000000,23.598,28.241,23.115,27.758,0,0
LAB_PE,D,20140404,000000,27.081,33.271,27.081,33.271,0,0
LAB_PE,D,20140407,000000,35.205,35.205,28.144,31.723,0,0
LAB_PE,D,20140408,000000,32.207,32.207,29.306,29.306,0,0
LAB_PE,D,20140410,000000,30.563,34.141,30.176,30.176,0,0
LAB_PE,D,20140411,000000,29.402,29.402,29.208,29.208,0,0
LAB_PE,D,20140414,000000,29.111,30.273,26.113,30.273,0,0
LAB_PE,D,20140415,000000,32.593,32.593,29.885,29.885,0,0
LAB_PE,D,20140416,000000,30.659,31.143,30.659,31.143,0,0
LAB_PE,D,20140417,000000,31.723,35.205,31.723,35.205,0,0
LAB_PE,D,20140422,000000,35.108,35.108,31.433,31.433,0,0
LAB_PE,D,20140423,000000,31.24,31.626,28.918,31.626,0,0
LAB_PE,D,20140424,000000,30.273,33.174,28.918,33.174,0,0
LAB_PE,D,20140520,000000,14.12,14.12,14.12,14.12,0,0
LAB_PE,D,20140521,000000,14.12,15.765,11.896,15.765,0,0
LAB_PE,D,20140522,000000,15.765,15.765,15.765,15.765,0,0
LAB_PE,D,20140523,000000,15.765,15.765,13.153,15.475,0,0
