<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPP_PE,D,20070813,000000,46.376,46.376,46.376,46.376,0,0
LPP_PE,D,20070814,000000,30.34,30.34,30.34,30.34,0,0
LPP_PE,D,20070816,000000,29.559,29.559,29.559,29.559,0,0
LPP_PE,D,20070817,000000,29.993,29.993,29.993,29.993,0,0
LPP_PE,D,20070820,000000,30.165,30.165,30.165,30.165,0,0
LPP_PE,D,20070821,000000,30.685,30.685,30.685,30.685,0,0
LPP_PE,D,20070822,000000,31.379,31.379,31.379,31.379,0,0
LPP_PE,D,20070823,000000,33.286,33.286,33.286,33.286,0,0
LPP_PE,D,20070824,000000,33.46,33.46,33.46,33.46,0,0
LPP_PE,D,20070827,000000,33.979,33.979,33.979,33.979,0,0
LPP_PE,D,20070828,000000,35.539,35.539,35.539,35.539,0,0
LPP_PE,D,20070829,000000,33.286,33.286,33.286,33.286,0,0
LPP_PE,D,20070830,000000,34.153,34.153,34.153,34.153,0,0
LPP_PE,D,20070831,000000,35.974,35.974,35.974,35.974,0,0
LPP_PE,D,20070903,000000,36.147,36.147,36.147,36.147,0,0
LPP_PE,D,20070904,000000,36.754,36.754,36.754,36.754,0,0
LPP_PE,D,20070905,000000,37.013,37.013,37.013,37.013,0,0
LPP_PE,D,20070906,000000,35.799,35.799,35.799,35.799,0,0
LPP_PE,D,20070907,000000,34.76,34.76,34.76,34.76,0,0
LPP_PE,D,20070910,000000,33.46,33.46,33.46,33.46,0,0
LPP_PE,D,20070911,000000,32.679,32.679,32.679,32.679,0,0
LPP_PE,D,20070912,000000,32.071,32.071,32.071,32.071,0,0
LPP_PE,D,20070913,000000,30.772,30.772,30.772,30.772,0,0
LPP_PE,D,20070914,000000,29.993,29.993,29.993,29.993,0,0
LPP_PE,D,20070917,000000,30.512,30.512,30.512,30.512,0,0
LPP_PE,D,20070918,000000,31.726,31.726,31.726,31.726,0,0
LPP_PE,D,20070919,000000,32.071,32.071,32.071,32.071,0,0
LPP_PE,D,20070920,000000,31.466,31.466,31.466,31.466,0,0
LPP_PE,D,20070921,000000,30.252,30.252,30.252,30.252,0,0
LPP_PE,D,20070924,000000,30.252,30.252,30.252,30.252,0,0
LPP_PE,D,20070925,000000,29.733,29.733,29.733,29.733,0,0
LPP_PE,D,20070926,000000,30.252,30.252,30.252,30.252,0,0
LPP_PE,D,20070927,000000,30.946,30.946,30.946,30.946,0,0
LPP_PE,D,20070928,000000,31.033,31.033,31.033,31.033,0,0
LPP_PE,D,20071001,000000,30.946,30.946,30.946,30.946,0,0
LPP_PE,D,20071002,000000,32.071,32.071,32.071,32.071,0,0
LPP_PE,D,20071003,000000,32.679,32.679,32.679,32.679,0,0
LPP_PE,D,20071004,000000,33.286,33.286,33.286,33.286,0,0
LPP_PE,D,20071005,000000,33.46,33.46,33.46,33.46,0,0
LPP_PE,D,20071008,000000,33.721,33.721,33.721,33.721,0,0
LPP_PE,D,20071009,000000,34.066,34.066,34.066,34.066,0,0
LPP_PE,D,20071010,000000,34.76,34.76,34.76,34.76,0,0
LPP_PE,D,20071011,000000,35.886,35.886,35.886,35.886,0,0
LPP_PE,D,20071012,000000,35.886,35.886,35.886,35.886,0,0
LPP_PE,D,20071015,000000,36.926,36.926,36.926,36.926,0,0
LPP_PE,D,20071016,000000,36.581,36.581,36.581,36.581,0,0
LPP_PE,D,20071017,000000,36.495,36.495,36.495,36.495,0,0
LPP_PE,D,20071018,000000,36.926,36.926,36.926,36.926,0,0
LPP_PE,D,20071019,000000,36.84,36.84,36.84,36.84,0,0
LPP_PE,D,20071022,000000,35.974,35.974,35.974,35.974,0,0
LPP_PE,D,20071023,000000,36.147,36.147,36.147,36.147,0,0
LPP_PE,D,20071024,000000,36.495,36.495,36.495,36.495,0,0
LPP_PE,D,20071025,000000,36.84,36.84,36.84,36.84,0,0
LPP_PE,D,20071026,000000,36.926,36.926,36.926,36.926,0,0
LPP_PE,D,20071029,000000,36.84,36.84,36.84,36.84,0,0
LPP_PE,D,20071030,000000,36.495,36.495,36.495,36.495,0,0
LPP_PE,D,20071031,000000,36.405,36.405,36.405,36.405,0,0
LPP_PE,D,20071102,000000,35.713,35.713,35.713,35.713,0,0
LPP_PE,D,20071105,000000,34.76,34.76,34.76,34.76,0,0
LPP_PE,D,20071106,000000,35.192,35.192,35.192,35.192,0,0
LPP_PE,D,20071107,000000,33.026,33.026,33.026,33.026,0,0
