<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LTS_PE,D,20070813,000000,7.3938,7.3938,7.3938,7.3938,0,0
LTS_PE,D,20070814,000000,8.049,8.049,8.049,8.049,0,0
LTS_PE,D,20070816,000000,7.3938,7.3938,7.3938,7.3938,0,0
LTS_PE,D,20070817,000000,7.4874,7.4874,7.4874,7.4874,0,0
LTS_PE,D,20070820,000000,7.2066,7.2066,7.2066,7.2066,0,0
LTS_PE,D,20070821,000000,7.3938,7.3938,7.3938,7.3938,0,0
LTS_PE,D,20070822,000000,7.8617,7.8617,7.8617,7.8617,0,0
LTS_PE,D,20070823,000000,7.8617,7.8617,7.8617,7.8617,0,0
LTS_PE,D,20070824,000000,8.049,8.049,8.049,8.049,0,0
LTS_PE,D,20070827,000000,7.8617,7.8617,7.8617,7.8617,0,0
LTS_PE,D,20070828,000000,7.581,7.581,7.581,7.581,0,0
LTS_PE,D,20070829,000000,7.581,7.581,7.581,7.581,0,0
LTS_PE,D,20070830,000000,7.7682,7.7682,7.7682,7.7682,0,0
LTS_PE,D,20070831,000000,7.9554,7.9554,7.9554,7.9554,0,0
LTS_PE,D,20070903,000000,7.9554,7.9554,7.9554,7.9554,0,0
LTS_PE,D,20070904,000000,8.049,8.049,8.049,8.049,0,0
LTS_PE,D,20070905,000000,8.049,8.049,8.049,8.049,0,0
LTS_PE,D,20070906,000000,7.9554,7.9554,7.9554,7.9554,0,0
LTS_PE,D,20070907,000000,7.9554,7.9554,7.9554,7.9554,0,0
LTS_PE,D,20070910,000000,7.6745,7.6745,7.6745,7.6745,0,0
LTS_PE,D,20070911,000000,7.581,7.581,7.581,7.581,0,0
LTS_PE,D,20070912,000000,7.7682,7.7682,7.7682,7.7682,0,0
LTS_PE,D,20070913,000000,8.2361,8.2361,8.2361,8.2361,0,0
LTS_PE,D,20070914,000000,8.3297,8.3297,8.3297,8.3297,0,0
LTS_PE,D,20070917,000000,8.1425,8.1425,8.1425,8.1425,0,0
LTS_PE,D,20070918,000000,8.3297,8.3297,8.3297,8.3297,0,0
LTS_PE,D,20070919,000000,8.6105,8.6105,8.6105,8.6105,0,0
LTS_PE,D,20070920,000000,8.7977,8.7977,8.7977,8.7977,0,0
LTS_PE,D,20070921,000000,8.7041,8.7041,8.7041,8.7041,0,0
LTS_PE,D,20070924,000000,8.5168,8.5168,8.5168,8.5168,0,0
LTS_PE,D,20070925,000000,8.4233,8.4233,8.4233,8.4233,0,0
LTS_PE,D,20070926,000000,8.3297,8.3297,8.3297,8.3297,0,0
LTS_PE,D,20070927,000000,8.1425,8.1425,8.1425,8.1425,0,0
LTS_PE,D,20070928,000000,8.049,8.049,8.049,8.049,0,0
LTS_PE,D,20071001,000000,7.9554,7.9554,7.9554,7.9554,0,0
LTS_PE,D,20071002,000000,8.2361,8.2361,8.2361,8.2361,0,0
LTS_PE,D,20071003,000000,8.6105,8.6105,8.6105,8.6105,0,0
LTS_PE,D,20071004,000000,8.9849,8.9849,8.9849,8.9849,0,0
LTS_PE,D,20071005,000000,8.9849,8.9849,8.9849,8.9849,0,0
LTS_PE,D,20071008,000000,8.7977,8.7977,8.7977,8.7977,0,0
LTS_PE,D,20071009,000000,8.7041,8.7041,8.7041,8.7041,0,0
LTS_PE,D,20071010,000000,8.6105,8.6105,8.6105,8.6105,0,0
LTS_PE,D,20071011,000000,8.6105,8.6105,8.6105,8.6105,0,0
LTS_PE,D,20071012,000000,8.6105,8.6105,8.6105,8.6105,0,0
LTS_PE,D,20071015,000000,8.5168,8.5168,8.5168,8.5168,0,0
LTS_PE,D,20071016,000000,8.4233,8.4233,8.4233,8.4233,0,0
LTS_PE,D,20071017,000000,8.4233,8.4233,8.4233,8.4233,0,0
LTS_PE,D,20071018,000000,8.4233,8.4233,8.4233,8.4233,0,0
LTS_PE,D,20071019,000000,8.4233,8.4233,8.4233,8.4233,0,0
LTS_PE,D,20071022,000000,8.2361,8.2361,8.2361,8.2361,0,0
LTS_PE,D,20071023,000000,8.4233,8.4233,8.4233,8.4233,0,0
LTS_PE,D,20071024,000000,8.3297,8.3297,8.3297,8.3297,0,0
LTS_PE,D,20071025,000000,8.2361,8.2361,8.2361,8.2361,0,0
LTS_PE,D,20071026,000000,8.2361,8.2361,8.2361,8.2361,0,0
LTS_PE,D,20071029,000000,8.4233,8.4233,8.4233,8.4233,0,0
LTS_PE,D,20071030,000000,8.3297,8.3297,8.3297,8.3297,0,0
LTS_PE,D,20071031,000000,8.4233,8.4233,8.4233,8.4233,0,0
LTS_PE,D,20071102,000000,8.1425,8.1425,8.1425,8.1425,0,0
LTS_PE,D,20071105,000000,7.9554,7.9554,7.9554,7.9554,0,0
LTS_PE,D,20071106,000000,8.049,8.049,8.049,8.049,0,0
LTS_PE,D,20071107,000000,7.7682,7.7682,7.7682,7.7682,0,0
LTS_PE,D,20071108,000000,7.7682,7.7682,7.7682,7.7682,0,0
LTS_PE,D,20071109,000000,7.8617,7.8617,7.4874,7.4874,0,0
LTS_PE,D,20071112,000000,7.4874,7.581,7.4874,7.4874,0,0
LTS_PE,D,20071113,000000,7.581,7.9554,7.581,7.9554,0,0
LTS_PE,D,20071114,000000,8.049,8.049,7.8617,7.8617,0,0
LTS_PE,D,20071115,000000,7.9554,7.9554,7.3001,7.3001,0,0
LTS_PE,D,20071116,000000,7.2066,7.3938,7.2066,7.3938,0,0
LTS_PE,D,20071119,000000,7.4874,7.4874,7.3001,7.3938,0,0
LTS_PE,D,20071120,000000,7.4874,7.4874,7.4874,7.4874,0,0
LTS_PE,D,20071121,000000,7.3938,7.581,7.3001,7.581,0,0
LTS_PE,D,20071122,000000,7.581,7.581,7.2066,7.4874,0,0
LTS_PE,D,20071123,000000,7.4874,7.581,7.3938,7.4874,0,0
LTS_PE,D,20071126,000000,7.4874,7.581,7.2066,7.3001,0,0
LTS_PE,D,20071127,000000,7.2066,7.3938,7.2066,7.3001,0,0
LTS_PE,D,20071128,000000,7.3001,7.4874,7.2066,7.3001,0,0
LTS_PE,D,20071129,000000,7.3938,7.4874,7.3938,7.4874,0,0
LTS_PE,D,20071130,000000,7.4874,7.9554,7.4874,7.9554,0,0
LTS_PE,D,20071203,000000,7.9554,7.9554,7.6745,7.6745,0,0
LTS_PE,D,20071204,000000,7.6745,7.6745,7.581,7.6745,0,0
LTS_PE,D,20071205,000000,7.7682,7.9554,7.6745,7.9554,0,0
LTS_PE,D,20071206,000000,7.9554,8.2361,7.7682,7.8617,0,0
LTS_PE,D,20071207,000000,7.8617,7.9554,7.7682,7.9554,0,0
LTS_PE,D,20071210,000000,7.9554,8.049,7.7682,8.049,0,0
LTS_PE,D,20071211,000000,8.049,8.049,7.9554,8.049,0,0
LTS_PE,D,20071212,000000,7.7682,8.049,7.7682,8.049,0,0
