<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LTX_PE,D,20070813,000000,50.993,50.993,50.993,50.993,0,0
LTX_PE,D,20070814,000000,50.993,50.993,50.993,50.993,0,0
LTX_PE,D,20070816,000000,44.586,44.586,44.586,44.586,0,0
LTX_PE,D,20070817,000000,44.327,44.327,44.327,44.327,0,0
LTX_PE,D,20070820,000000,45.686,45.686,45.686,45.686,0,0
LTX_PE,D,20070821,000000,45.686,45.686,45.686,45.686,0,0
LTX_PE,D,20070822,000000,46.269,46.269,46.269,46.269,0,0
LTX_PE,D,20070823,000000,48.922,48.922,48.922,48.922,0,0
LTX_PE,D,20070824,000000,48.469,48.469,48.469,48.469,0,0
LTX_PE,D,20070827,000000,51.445,51.445,51.445,51.445,0,0
LTX_PE,D,20070828,000000,48.599,48.599,48.599,48.599,0,0
LTX_PE,D,20070829,000000,50.28,50.28,50.28,50.28,0,0
LTX_PE,D,20070830,000000,51.769,51.769,51.769,51.769,0,0
LTX_PE,D,20070831,000000,52.804,52.804,52.804,52.804,0,0
LTX_PE,D,20070903,000000,54.034,54.034,54.034,54.034,0,0
LTX_PE,D,20070904,000000,52.481,52.481,52.481,52.481,0,0
LTX_PE,D,20070905,000000,49.116,49.116,49.116,49.116,0,0
LTX_PE,D,20070906,000000,47.886,47.886,47.886,47.886,0,0
LTX_PE,D,20070907,000000,45.686,45.686,45.686,45.686,0,0
LTX_PE,D,20070910,000000,45.038,45.038,45.038,45.038,0,0
LTX_PE,D,20070911,000000,46.01,46.01,46.01,46.01,0,0
LTX_PE,D,20070912,000000,45.816,45.816,45.816,45.816,0,0
LTX_PE,D,20070913,000000,45.621,45.621,45.621,45.621,0,0
LTX_PE,D,20070914,000000,45.492,45.492,45.492,45.492,0,0
LTX_PE,D,20070917,000000,44.133,44.133,44.133,44.133,0,0
LTX_PE,D,20070918,000000,45.944,45.944,45.944,45.944,0,0
LTX_PE,D,20070919,000000,47.109,47.109,47.109,47.109,0,0
LTX_PE,D,20070920,000000,46.658,46.658,46.658,46.658,0,0
LTX_PE,D,20070921,000000,46.658,46.658,46.658,46.658,0,0
LTX_PE,D,20070924,000000,46.075,46.075,46.075,46.075,0,0
LTX_PE,D,20070925,000000,45.556,45.556,45.556,45.556,0,0
LTX_PE,D,20070926,000000,45.686,45.686,45.686,45.686,0,0
LTX_PE,D,20070927,000000,45.621,45.621,45.621,45.621,0,0
LTX_PE,D,20070928,000000,44.91,44.91,44.91,44.91,0,0
LTX_PE,D,20071001,000000,44.975,44.975,44.975,44.975,0,0
LTX_PE,D,20071002,000000,45.492,45.492,45.492,45.492,0,0
LTX_PE,D,20071003,000000,44.586,44.586,44.586,44.586,0,0
LTX_PE,D,20071004,000000,45.235,45.235,45.235,45.235,0,0
LTX_PE,D,20071005,000000,45.556,45.556,45.556,45.556,0,0
LTX_PE,D,20071008,000000,45.816,45.816,45.816,45.816,0,0
LTX_PE,D,20071009,000000,48.469,48.469,48.469,48.469,0,0
LTX_PE,D,20071010,000000,49.827,49.827,49.827,49.827,0,0
LTX_PE,D,20071011,000000,50.993,50.993,50.993,50.993,0,0
LTX_PE,D,20071012,000000,50.798,50.798,50.798,50.798,0,0
LTX_PE,D,20071015,000000,51.704,51.704,51.704,51.704,0,0
LTX_PE,D,20071016,000000,49.698,49.698,49.698,49.698,0,0
LTX_PE,D,20071017,000000,49.57,49.57,49.57,49.57,0,0
LTX_PE,D,20071018,000000,47.24,47.24,47.24,47.24,0,0
LTX_PE,D,20071019,000000,47.175,47.175,47.175,47.175,0,0
LTX_PE,D,20071022,000000,46.851,46.851,46.851,46.851,0,0
LTX_PE,D,20071023,000000,47.692,47.692,47.692,47.692,0,0
LTX_PE,D,20071024,000000,47.628,47.628,47.628,47.628,0,0
LTX_PE,D,20071025,000000,46.592,46.592,46.592,46.592,0,0
LTX_PE,D,20071026,000000,45.168,45.168,45.168,45.168,0,0
LTX_PE,D,20071029,000000,43.423,43.423,43.423,43.423,0,0
LTX_PE,D,20071030,000000,41.803,41.803,41.803,41.803,0,0
LTX_PE,D,20071031,000000,41.092,41.092,41.092,41.092,0,0
LTX_PE,D,20071102,000000,41.35,41.35,41.35,41.35,0,0
LTX_PE,D,20071105,000000,38.309,38.309,38.309,38.309,0,0
LTX_PE,D,20071106,000000,38.244,38.244,38.244,38.244,0,0
LTX_PE,D,20071107,000000,37.727,37.727,37.727,37.727,0,0
LTX_PE,D,20071108,000000,37.468,37.468,37.468,37.468,0,0
LTX_PE,D,20071109,000000,38.309,38.762,34.556,36.562,0,0
LTX_PE,D,20071112,000000,36.109,36.562,35.333,35.979,0,0
LTX_PE,D,20071113,000000,35.979,35.979,34.751,35.396,0,0
LTX_PE,D,20071114,000000,36.045,36.045,35.074,35.138,0,0
LTX_PE,D,20071115,000000,34.88,35.138,31.579,33.327,0,0
