<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LVC_PE,D,20140411,000000,46.006,46.006,46.006,46.006,0,0
LVC_PE,D,20140414,000000,45.767,45.767,44.421,44.739,0,0
LVC_PE,D,20140415,000000,44.739,45.133,44.5,44.739,0,0
LVC_PE,D,20140416,000000,44.739,45.056,44.5,44.5,0,0
LVC_PE,D,20140417,000000,44.264,45.213,44.264,44.739,0,0
LVC_PE,D,20140422,000000,45.452,46.165,44.899,46.086,0,0
LVC_PE,D,20140423,000000,45.926,46.244,45.69,46.086,0,0
LVC_PE,D,20140424,000000,46.086,46.086,46.086,46.086,0,0
LVC_PE,D,20140425,000000,45.69,46.086,44.739,46.086,0,0
LVC_PE,D,20140428,000000,46.244,46.244,44.899,45.926,0,0
LVC_PE,D,20140429,000000,45.926,45.926,44.739,45.926,0,0
LVC_PE,D,20140430,000000,46.086,46.086,44.739,45.69,0,0
LVC_PE,D,20140502,000000,45.926,45.926,44.739,44.739,0,0
LVC_PE,D,20140505,000000,45.767,45.849,44.977,44.977,0,0
LVC_PE,D,20140506,000000,44.977,45.452,44.739,44.977,0,0
LVC_PE,D,20140507,000000,44.739,44.739,44.185,44.579,0,0
LVC_PE,D,20140508,000000,44.579,44.579,44.5,44.5,0,0
LVC_PE,D,20140509,000000,44.5,44.5,43.947,44.026,0,0
LVC_PE,D,20140512,000000,44.026,44.026,41.571,42.76,0,0
LVC_PE,D,20140513,000000,43.234,43.234,42.284,42.68,0,0
LVC_PE,D,20140514,000000,42.284,42.284,41.965,42.284,0,0
LVC_PE,D,20140515,000000,42.204,43.475,42.204,43.475,0,0
LVC_PE,D,20140516,000000,43.475,43.475,42.204,43.475,0,0
LVC_PE,D,20140519,000000,43.392,43.392,43.392,43.392,0,0
LVC_PE,D,20140520,000000,42.521,42.601,41.493,42.521,0,0
LVC_PE,D,20140521,000000,42.521,42.521,41.333,42.363,0,0
LVC_PE,D,20140522,000000,42.601,44.579,42.204,44.579,0,0
LVC_PE,D,20140523,000000,44.343,44.739,44.343,44.739,0,0
LVC_PE,D,20140526,000000,44.739,44.899,44.739,44.899,0,0
LVC_PE,D,20140527,000000,44.819,44.899,44.185,44.659,0,0
LVC_PE,D,20140528,000000,44.659,44.739,44.659,44.739,0,0
LVC_PE,D,20140529,000000,44.264,44.264,43.788,44.026,0,0
LVC_PE,D,20140530,000000,43.788,46.006,43.077,45.926,0,0
LVC_PE,D,20140602,000000,45.849,45.849,44.185,44.579,0,0
LVC_PE,D,20140603,000000,44.739,44.739,42.363,44.343,0,0
LVC_PE,D,20140604,000000,42.76,44.343,42.76,44.264,0,0
LVC_PE,D,20140605,000000,43.234,43.867,43.234,43.867,0,0
LVC_PE,D,20140606,000000,44.264,45.373,43.788,43.788,0,0
LVC_PE,D,20140609,000000,44.579,45.612,43.788,45.612,0,0
LVC_PE,D,20140610,000000,45.529,45.529,45.529,45.529,0,0
LVC_PE,D,20140611,000000,45.529,45.529,44.819,45.294,0,0
LVC_PE,D,20140612,000000,45.294,45.294,45.213,45.294,0,0
LVC_PE,D,20140613,000000,44.739,45.294,44.739,45.294,0,0
LVC_PE,D,20140616,000000,45.294,45.294,43.788,45.133,0,0
LVC_PE,D,20140617,000000,45.294,45.294,44.421,45.213,0,0
LVC_PE,D,20140618,000000,45.213,45.373,45.213,45.213,0,0
LVC_PE,D,20140620,000000,45.373,45.373,45.213,45.373,0,0
LVC_PE,D,20140623,000000,45.213,45.373,45.213,45.373,0,0
LVC_PE,D,20140624,000000,45.612,45.612,44.659,45.373,0,0
LVC_PE,D,20140625,000000,45.452,45.452,45.213,45.213,0,0
LVC_PE,D,20140626,000000,43.63,45.213,43.63,45.213,0,0
LVC_PE,D,20140627,000000,45.213,45.213,44.977,44.977,0,0
LVC_PE,D,20140630,000000,45.133,45.133,44.264,44.739,0,0
LVC_PE,D,20140701,000000,44.739,44.739,43.71,43.788,0,0
LVC_PE,D,20140702,000000,44.421,44.5,43.154,44.5,0,0
LVC_PE,D,20140703,000000,44.5,44.5,44.5,44.5,0,0
LVC_PE,D,20140704,000000,44.5,44.5,44.5,44.5,0,0
LVC_PE,D,20140707,000000,44.5,44.5,44.5,44.5,0,0
LVC_PE,D,20140708,000000,44.5,44.5,44.264,44.421,0,0
LVC_PE,D,20140709,000000,44.421,44.421,43.234,44.421,0,0
LVC_PE,D,20140710,000000,44.421,44.421,43.154,44.343,0,0
LVC_PE,D,20140711,000000,44.343,44.343,43.234,44.026,0,0
LVC_PE,D,20140714,000000,43.077,44.185,43.077,44.185,0,0
LVC_PE,D,20140715,000000,44.185,44.185,37.139,37.139,0,0
LVC_PE,D,20140716,000000,37.375,37.375,36.662,36.662,0,0
LVC_PE,D,20140717,000000,36.9,36.9,35.712,36.821,0,0
LVC_PE,D,20140718,000000,36.821,37.375,35.949,37.375,0,0
LVC_PE,D,20140721,000000,36.821,36.821,35.79,36.506,0,0
LVC_PE,D,20140722,000000,36.582,36.821,36.347,36.347,0,0
LVC_PE,D,20140723,000000,36.108,36.347,36.108,36.347,0,0
LVC_PE,D,20140724,000000,36.347,36.347,36.186,36.267,0,0
LVC_PE,D,20140725,000000,36.741,36.741,35.949,36.108,0,0
LVC_PE,D,20140728,000000,36.979,36.979,36.662,36.662,0,0
LVC_PE,D,20140729,000000,35.435,36.405,35.435,36.001,0,0
LVC_PE,D,20140730,000000,36.081,36.081,35.676,35.84,0,0
LVC_PE,D,20140731,000000,35.757,35.84,35.352,35.84,0,0
LVC_PE,D,20140801,000000,36.001,36.001,34.382,35.919,0,0
LVC_PE,D,20140804,000000,35.676,36.323,35.676,36.162,0,0
LVC_PE,D,20140805,000000,36.485,36.485,34.786,34.786,0,0
LVC_PE,D,20140806,000000,34.869,34.869,34.382,34.382,0,0
LVC_PE,D,20140807,000000,34.382,34.382,32.197,33.654,0,0
LVC_PE,D,20140808,000000,33.654,33.654,30.985,32.603,0,0
LVC_PE,D,20140811,000000,33.006,33.006,32.603,32.603,0,0
LVC_PE,D,20140812,000000,33.087,33.087,32.197,32.603,0,0
LVC_PE,D,20140813,000000,33.087,33.087,32.603,32.603,0,0
LVC_PE,D,20140814,000000,33.087,33.087,31.633,32.603,0,0
LVC_PE,D,20140818,000000,33.087,33.087,31.875,32.845,0,0
LVC_PE,D,20140819,000000,32.845,32.845,32.197,32.603,0,0
LVC_PE,D,20140820,000000,32.603,32.603,31.714,32.603,0,0
LVC_PE,D,20140821,000000,32.603,32.603,32.197,32.197,0,0
LVC_PE,D,20140822,000000,32.279,32.603,32.279,32.603,0,0
LVC_PE,D,20140825,000000,32.197,34.303,32.197,33.25,0,0
LVC_PE,D,20140826,000000,33.25,33.25,32.279,32.603,0,0
LVC_PE,D,20140827,000000,32.603,32.603,32.441,32.603,0,0
LVC_PE,D,20140828,000000,32.603,32.603,32.197,32.197,0,0
LVC_PE,D,20140829,000000,32.197,32.197,31.227,31.794,0,0
LVC_PE,D,20140901,000000,32.197,32.197,30.744,32.197,0,0
LVC_PE,D,20140902,000000,32.197,32.197,31.146,32.197,0,0
LVC_PE,D,20140903,000000,31.39,34.382,30.177,30.177,0,0
LVC_PE,D,20140904,000000,30.177,30.338,29.447,30.338,0,0
LVC_PE,D,20140905,000000,30.338,30.338,29.044,29.044,0,0
LVC_PE,D,20140908,000000,29.205,29.205,28.315,29.205,0,0
LVC_PE,D,20140909,000000,29.205,29.205,28.073,28.315,0,0
LVC_PE,D,20140910,000000,28.556,28.556,28.315,28.477,0,0
LVC_PE,D,20140911,000000,30.177,30.177,28.881,28.961,0,0
LVC_PE,D,20140912,000000,29.124,30.014,29.124,30.014,0,0
LVC_PE,D,20140915,000000,30.177,30.581,30.014,30.581,0,0
LVC_PE,D,20140916,000000,30.581,31.309,30.581,31.309,0,0
