<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LWB_PE,D,20090722,000000,10.559,10.559,10.559,10.559,0,0
LWB_PE,D,20090723,000000,10.559,10.876,10.559,10.876,0,0
LWB_PE,D,20090724,000000,10.955,11.75,10.955,11.59,0,0
LWB_PE,D,20090727,000000,11.829,11.908,11.433,11.67,0,0
LWB_PE,D,20090728,000000,11.75,11.75,11.51,11.59,0,0
LWB_PE,D,20090729,000000,11.51,11.75,11.51,11.75,0,0
LWB_PE,D,20090730,000000,11.75,11.829,11.75,11.829,0,0
LWB_PE,D,20090731,000000,11.908,11.987,11.829,11.987,0,0
LWB_PE,D,20090803,000000,11.987,12.067,11.829,11.908,0,0
LWB_PE,D,20090804,000000,11.987,11.987,11.59,11.67,0,0
LWB_PE,D,20090805,000000,11.59,11.67,11.59,11.59,0,0
LWB_PE,D,20090806,000000,11.59,11.67,11.51,11.67,0,0
LWB_PE,D,20090807,000000,11.59,12.067,11.59,12.067,0,0
LWB_PE,D,20090810,000000,12.067,12.146,11.987,12.146,0,0
LWB_PE,D,20090811,000000,12.067,12.305,12.067,12.146,0,0
LWB_PE,D,20090812,000000,12.067,12.146,11.75,12.067,0,0
LWB_PE,D,20090813,000000,12.067,12.701,12.067,12.543,0,0
LWB_PE,D,20090814,000000,12.623,12.623,12.465,12.465,0,0
LWB_PE,D,20090817,000000,12.227,12.227,12.067,12.146,0,0
LWB_PE,D,20090818,000000,12.146,12.146,11.987,12.067,0,0
LWB_PE,D,20090819,000000,12.305,12.305,11.987,12.305,0,0
LWB_PE,D,20090820,000000,12.305,12.465,12.305,12.465,0,0
LWB_PE,D,20090821,000000,12.543,12.623,12.383,12.623,0,0
LWB_PE,D,20090824,000000,12.623,12.623,12.383,12.465,0,0
LWB_PE,D,20090825,000000,12.623,12.623,12.067,12.146,0,0
LWB_PE,D,20090826,000000,12.146,12.305,12.067,12.146,0,0
LWB_PE,D,20090827,000000,12.146,12.146,11.987,12.146,0,0
LWB_PE,D,20090828,000000,12.146,12.383,12.146,12.305,0,0
LWB_PE,D,20090831,000000,12.305,12.383,12.146,12.383,0,0
LWB_PE,D,20090901,000000,12.305,12.305,11.829,12.067,0,0
LWB_PE,D,20090902,000000,11.75,12.067,11.433,11.67,0,0
LWB_PE,D,20090903,000000,11.51,11.908,11.51,11.908,0,0
LWB_PE,D,20090904,000000,11.908,12.067,9.924,9.924,0,0
LWB_PE,D,20090907,000000,9.764,9.924,9.764,9.844,0,0
LWB_PE,D,20090908,000000,10.082,10.082,9.606,9.686,0,0
LWB_PE,D,20090909,000000,9.686,9.686,9.527,9.527,0,0
LWB_PE,D,20090910,000000,9.527,9.686,9.1297,9.2885,0,0
LWB_PE,D,20090911,000000,9.3666,9.527,9.3666,9.527,0,0
LWB_PE,D,20090914,000000,9.4478,9.4478,9.1297,9.2086,0,0
LWB_PE,D,20090915,000000,9.2885,9.4478,9.2086,9.2885,0,0
LWB_PE,D,20090916,000000,9.4478,9.527,9.3666,9.527,0,0
LWB_PE,D,20090917,000000,9.606,9.924,9.527,9.924,0,0
LWB_PE,D,20090918,000000,9.844,10.082,9.844,10.082,0,0
LWB_PE,D,20090921,000000,10.003,10.321,10.003,10.242,0,0
LWB_PE,D,20090922,000000,10.082,10.559,10.082,10.559,0,0
LWB_PE,D,20090923,000000,10.479,10.638,10.479,10.559,0,0
LWB_PE,D,20090924,000000,10.4,10.638,10.4,10.638,0,0
LWB_PE,D,20090925,000000,10.479,10.559,10.4,10.559,0,0
LWB_PE,D,20090928,000000,10.4,10.638,10.4,10.638,0,0
LWB_PE,D,20090929,000000,10.638,10.638,10.559,10.559,0,0
LWB_PE,D,20090930,000000,10.4,10.638,10.4,10.638,0,0
LWB_PE,D,20091001,000000,10.638,10.638,10.479,10.559,0,0
LWB_PE,D,20091002,000000,10.479,10.638,10.4,10.638,0,0
LWB_PE,D,20091005,000000,10.559,10.797,10.559,10.638,0,0
LWB_PE,D,20091006,000000,10.718,10.797,10.638,10.797,0,0
LWB_PE,D,20091007,000000,10.797,10.797,10.479,10.718,0,0
LWB_PE,D,20091008,000000,10.638,10.718,10.479,10.718,0,0
LWB_PE,D,20091009,000000,10.718,10.955,10.638,10.797,0,0
LWB_PE,D,20091012,000000,10.876,11.193,10.638,11.193,0,0
LWB_PE,D,20091013,000000,11.273,11.273,10.876,10.955,0,0
LWB_PE,D,20091014,000000,11.035,11.035,10.955,11.035,0,0
LWB_PE,D,20091015,000000,11.115,11.115,10.876,10.955,0,0
LWB_PE,D,20091016,000000,10.876,10.955,10.797,10.876,0,0
LWB_PE,D,20091019,000000,10.955,10.955,10.638,10.718,0,0
LWB_PE,D,20091020,000000,10.638,10.718,10.321,10.638,0,0
LWB_PE,D,20091021,000000,10.638,10.718,10.4,10.638,0,0
LWB_PE,D,20091022,000000,10.321,10.718,10.321,10.718,0,0
LWB_PE,D,20091023,000000,10.638,10.638,10.638,10.638,0,0
LWB_PE,D,20091026,000000,10.479,10.797,10.479,10.797,0,0
LWB_PE,D,20091027,000000,10.638,10.638,10.559,10.638,0,0
LWB_PE,D,20091028,000000,10.876,10.876,10.559,10.638,0,0
LWB_PE,D,20091029,000000,10.638,10.876,10.559,10.876,0,0
LWB_PE,D,20091030,000000,10.876,10.876,10.797,10.876,0,0
LWB_PE,D,20091102,000000,10.876,10.955,10.797,10.955,0,0
LWB_PE,D,20091103,000000,10.955,10.955,10.797,10.876,0,0
LWB_PE,D,20091104,000000,10.876,10.876,10.718,10.718,0,0
LWB_PE,D,20091105,000000,10.638,10.718,10.638,10.638,0,0
LWB_PE,D,20091106,000000,10.638,10.638,10.479,10.559,0,0
LWB_PE,D,20091109,000000,10.638,10.797,10.559,10.718,0,0
LWB_PE,D,20091110,000000,10.797,10.797,10.718,10.797,0,0
LWB_PE,D,20091112,000000,10.797,10.876,9.924,9.924,0,0
LWB_PE,D,20091113,000000,9.924,9.924,9.764,9.844,0,0
LWB_PE,D,20091116,000000,9.924,9.924,9.844,9.924,0,0
LWB_PE,D,20091117,000000,9.844,9.844,9.686,9.764,0,0
LWB_PE,D,20091118,000000,9.764,9.764,9.686,9.686,0,0
LWB_PE,D,20091119,000000,9.686,9.686,9.606,9.686,0,0
LWB_PE,D,20091120,000000,9.686,9.764,9.606,9.764,0,0
LWB_PE,D,20091123,000000,9.764,9.764,9.606,9.606,0,0
LWB_PE,D,20091124,000000,9.527,9.527,9.2885,9.3666,0,0
LWB_PE,D,20091125,000000,9.3666,9.3666,9.2086,9.3666,0,0
LWB_PE,D,20091126,000000,9.4478,9.4478,9.1297,9.1297,0,0
LWB_PE,D,20091127,000000,8.8127,9.2086,8.8127,9.2086,0,0
LWB_PE,D,20091130,000000,9.2086,9.3666,9.2086,9.3666,0,0
LWB_PE,D,20091201,000000,9.4478,9.4478,9.2885,9.2885,0,0
LWB_PE,D,20091202,000000,9.3666,9.4478,9.2885,9.3666,0,0
LWB_PE,D,20091203,000000,9.527,9.527,9.3666,9.3666,0,0
LWB_PE,D,20091204,000000,9.4478,9.4478,9.2086,9.2086,0,0
LWB_PE,D,20091207,000000,9.2086,9.4478,9.2086,9.2086,0,0
LWB_PE,D,20091208,000000,9.2086,9.3666,9.0502,9.3666,0,0
LWB_PE,D,20091209,000000,9.3666,9.3666,9.1297,9.2086,0,0
LWB_PE,D,20091210,000000,9.2086,9.2885,9.1297,9.1297,0,0
LWB_PE,D,20091211,000000,9.2086,9.2086,9.1297,9.2086,0,0
LWB_PE,D,20091214,000000,9.2086,9.2086,9.1297,9.2086,0,0
LWB_PE,D,20091215,000000,9.2086,9.2086,9.2086,9.2086,0,0
LWB_PE,D,20091216,000000,9.2885,9.3666,9.2885,9.3666,0,0
LWB_PE,D,20091217,000000,9.4478,9.4478,9.3666,9.4478,0,0
LWB_PE,D,20091218,000000,9.4478,9.527,9.3666,9.3666,0,0
LWB_PE,D,20091221,000000,9.4478,9.4478,9.2885,9.3666,0,0
LWB_PE,D,20091222,000000,9.4478,9.527,9.3666,9.4478,0,0
LWB_PE,D,20091223,000000,9.527,9.527,9.4478,9.527,0,0
LWB_PE,D,20091228,000000,9.527,9.527,9.4478,9.527,0,0
LWB_PE,D,20091229,000000,9.527,9.606,9.2885,9.527,0,0
LWB_PE,D,20091230,000000,9.527,9.527,9.4478,9.527,0,0
LWB_PE,D,20091231,000000,9.527,9.527,9.2885,9.3666,0,0
LWB_PE,D,20100104,000000,9.3666,9.527,9.3666,9.527,0,0
LWB_PE,D,20100105,000000,9.527,9.527,9.527,9.527,0,0
LWB_PE,D,20100106,000000,9.527,9.606,9.4478,9.606,0,0
LWB_PE,D,20100107,000000,9.606,9.606,9.527,9.606,0,0
LWB_PE,D,20100108,000000,9.527,9.606,9.527,9.606,0,0
LWB_PE,D,20100111,000000,9.606,9.844,9.606,9.844,0,0
LWB_PE,D,20100112,000000,10.003,10.321,10.003,10.161,0,0
LWB_PE,D,20100113,000000,10.161,10.797,10.161,10.638,0,0
LWB_PE,D,20100114,000000,10.638,10.955,10.638,10.876,0,0
LWB_PE,D,20100115,000000,10.876,11.035,10.876,11.035,0,0
LWB_PE,D,20100118,000000,11.035,11.035,10.718,10.797,0,0
LWB_PE,D,20100119,000000,10.797,10.797,10.638,10.638,0,0
LWB_PE,D,20100120,000000,10.718,10.718,10.559,10.559,0,0
LWB_PE,D,20100121,000000,10.559,10.559,10.161,10.479,0,0
LWB_PE,D,20100122,000000,10.479,10.479,10.161,10.242,0,0
LWB_PE,D,20100125,000000,10.321,10.559,10.321,10.4,0,0
LWB_PE,D,20100126,000000,10.4,10.4,10.242,10.321,0,0
LWB_PE,D,20100127,000000,10.161,10.321,10.161,10.242,0,0
LWB_PE,D,20100128,000000,10.242,10.242,10.003,10.003,0,0
LWB_PE,D,20100129,000000,10.082,10.161,9.924,10.161,0,0
LWB_PE,D,20100201,000000,10.003,10.082,9.924,9.924,0,0
LWB_PE,D,20100202,000000,10.321,10.321,10.082,10.161,0,0
LWB_PE,D,20100203,000000,10.321,10.4,10.321,10.321,0,0
LWB_PE,D,20100204,000000,10.4,10.4,10.003,10.003,0,0
LWB_PE,D,20100205,000000,9.686,9.924,9.527,9.924,0,0
LWB_PE,D,20100208,000000,9.924,9.924,9.606,9.764,0,0
LWB_PE,D,20100209,000000,9.764,9.924,9.764,9.764,0,0
LWB_PE,D,20100210,000000,9.764,9.844,9.764,9.844,0,0
LWB_PE,D,20100211,000000,10.082,10.082,9.764,9.924,0,0
LWB_PE,D,20100212,000000,9.924,9.924,9.764,9.764,0,0
LWB_PE,D,20100215,000000,10.003,10.082,9.764,10.082,0,0
LWB_PE,D,20100216,000000,9.924,10.003,9.924,9.924,0,0
LWB_PE,D,20100217,000000,10.082,10.082,9.924,9.924,0,0
LWB_PE,D,20100218,000000,9.924,9.924,9.844,9.844,0,0
LWB_PE,D,20100219,000000,9.844,9.844,9.764,9.764,0,0
LWB_PE,D,20100222,000000,9.764,9.844,9.764,9.764,0,0
LWB_PE,D,20100223,000000,9.764,9.764,9.686,9.686,0,0
LWB_PE,D,20100224,000000,9.606,9.606,9.3666,9.4478,0,0
LWB_PE,D,20100225,000000,9.3666,9.4478,9.2885,9.2885,0,0
LWB_PE,D,20100226,000000,9.4478,9.4478,9.2885,9.3666,0,0
LWB_PE,D,20100301,000000,9.527,9.606,9.4478,9.527,0,0
