<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAK_PE,D,20070813,000000,32.746,32.746,32.746,32.746,0,0
MAK_PE,D,20070814,000000,32.827,32.827,32.827,32.827,0,0
MAK_PE,D,20070816,000000,32.429,32.429,32.429,32.429,0,0
MAK_PE,D,20070817,000000,32.429,32.429,32.429,32.429,0,0
MAK_PE,D,20070820,000000,32.588,32.588,32.588,32.588,0,0
MAK_PE,D,20070821,000000,31.951,31.951,31.951,31.951,0,0
MAK_PE,D,20070822,000000,28.217,28.217,28.217,28.217,0,0
MAK_PE,D,20070823,000000,28.692,28.692,28.692,28.692,0,0
MAK_PE,D,20070824,000000,28.376,28.376,28.376,28.376,0,0
MAK_PE,D,20070827,000000,28.217,28.217,28.217,28.217,0,0
MAK_PE,D,20070828,000000,27.501,27.501,27.501,27.501,0,0
MAK_PE,D,20070829,000000,27.659,27.659,27.659,27.659,0,0
MAK_PE,D,20070830,000000,27.342,27.342,27.342,27.342,0,0
MAK_PE,D,20070831,000000,27.024,27.024,27.024,27.024,0,0
MAK_PE,D,20070903,000000,27.501,27.501,27.501,27.501,0,0
MAK_PE,D,20070904,000000,27.501,27.501,27.501,27.501,0,0
MAK_PE,D,20070905,000000,27.024,27.024,27.024,27.024,0,0
MAK_PE,D,20070906,000000,26.388,26.388,26.388,26.388,0,0
MAK_PE,D,20070907,000000,26.388,26.388,26.388,26.388,0,0
MAK_PE,D,20070910,000000,25.117,25.117,25.117,25.117,0,0
MAK_PE,D,20070911,000000,25.355,25.355,25.355,25.355,0,0
MAK_PE,D,20070912,000000,24.402,24.402,24.402,24.402,0,0
MAK_PE,D,20070913,000000,24.402,24.402,24.402,24.402,0,0
MAK_PE,D,20070914,000000,24.163,24.163,24.163,24.163,0,0
MAK_PE,D,20070917,000000,24.321,24.321,24.321,24.321,0,0
MAK_PE,D,20070918,000000,24.321,24.321,24.321,24.321,0,0
MAK_PE,D,20070919,000000,24.402,24.402,24.402,24.402,0,0
MAK_PE,D,20070920,000000,24.083,24.083,24.083,24.083,0,0
MAK_PE,D,20070921,000000,24.402,24.402,24.402,24.402,0,0
MAK_PE,D,20070924,000000,24.163,24.163,24.163,24.163,0,0
MAK_PE,D,20070925,000000,23.607,23.607,23.607,23.607,0,0
MAK_PE,D,20070926,000000,23.607,23.607,23.607,23.607,0,0
MAK_PE,D,20070927,000000,23.844,23.844,23.844,23.844,0,0
MAK_PE,D,20070928,000000,23.527,23.527,23.527,23.527,0,0
MAK_PE,D,20071001,000000,24.957,24.957,24.957,24.957,0,0
MAK_PE,D,20071002,000000,25.117,25.117,25.117,25.117,0,0
MAK_PE,D,20071003,000000,25.117,25.117,25.117,25.117,0,0
MAK_PE,D,20071004,000000,24.957,24.957,24.957,24.957,0,0
MAK_PE,D,20071005,000000,25.832,25.832,25.832,25.832,0,0
MAK_PE,D,20071008,000000,26.626,26.626,26.626,26.626,0,0
MAK_PE,D,20071009,000000,26.309,26.309,26.309,26.309,0,0
MAK_PE,D,20071010,000000,26.309,26.309,26.309,26.309,0,0
MAK_PE,D,20071011,000000,26.388,26.388,26.388,26.388,0,0
MAK_PE,D,20071012,000000,26.309,26.309,26.309,26.309,0,0
MAK_PE,D,20071015,000000,25.832,25.832,25.832,25.832,0,0
MAK_PE,D,20071016,000000,23.765,23.765,23.765,23.765,0,0
MAK_PE,D,20071017,000000,22.175,22.175,22.175,22.175,0,0
MAK_PE,D,20071018,000000,22.335,22.335,22.335,22.335,0,0
MAK_PE,D,20071019,000000,23.288,23.288,23.288,23.288,0,0
MAK_PE,D,20071022,000000,22.811,22.811,22.811,22.811,0,0
MAK_PE,D,20071023,000000,22.731,22.731,22.731,22.731,0,0
MAK_PE,D,20071024,000000,22.811,22.811,22.811,22.811,0,0
MAK_PE,D,20071025,000000,22.016,22.016,22.016,22.016,0,0
MAK_PE,D,20071026,000000,22.016,22.016,22.016,22.016,0,0
MAK_PE,D,20071029,000000,21.938,21.938,21.938,21.938,0,0
MAK_PE,D,20071030,000000,22.175,22.175,22.175,22.175,0,0
MAK_PE,D,20071031,000000,22.335,22.335,22.335,22.335,0,0
MAK_PE,D,20071102,000000,22.175,22.175,22.175,22.175,0,0
MAK_PE,D,20071105,000000,21.062,21.062,21.062,21.062,0,0
MAK_PE,D,20071106,000000,21.142,21.142,21.142,21.142,0,0
MAK_PE,D,20071107,000000,21.062,21.062,21.062,21.062,0,0
MAK_PE,D,20071108,000000,20.904,20.904,20.904,20.904,0,0
MAK_PE,D,20071109,000000,20.587,20.587,18.679,18.759,0,0
MAK_PE,D,20071112,000000,18.122,18.759,17.804,17.804,0,0
MAK_PE,D,20071113,000000,17.327,18.679,17.327,18.44,0,0
MAK_PE,D,20071114,000000,18.759,19.87,18.519,18.519,0,0
MAK_PE,D,20071115,000000,18.759,18.996,18.122,18.679,0,0
MAK_PE,D,20071116,000000,18.916,18.916,17.486,18.281,0,0
MAK_PE,D,20071119,000000,18.281,18.44,17.486,17.804,0,0
MAK_PE,D,20071120,000000,17.645,17.645,16.772,16.772,0,0
MAK_PE,D,20071121,000000,17.089,17.089,15.42,15.499,0,0
MAK_PE,D,20071122,000000,15.499,19.95,14.068,19.95,0,0
MAK_PE,D,20071123,000000,20.268,20.268,19.314,19.632,0,0
MAK_PE,D,20071126,000000,20.029,20.426,19.712,20.19,0,0
MAK_PE,D,20071127,000000,20.19,20.268,19.712,20.108,0,0
MAK_PE,D,20071128,000000,20.268,21.46,20.108,21.46,0,0
MAK_PE,D,20071129,000000,21.777,21.777,20.665,20.823,0,0
MAK_PE,D,20071130,000000,21.302,21.302,21.142,21.142,0,0
MAK_PE,D,20071203,000000,21.46,21.46,21.142,21.142,0,0
MAK_PE,D,20071204,000000,21.062,21.302,20.823,21.142,0,0
MAK_PE,D,20071205,000000,21.381,21.381,20.587,20.665,0,0
MAK_PE,D,20071206,000000,21.062,21.062,20.745,20.904,0,0
MAK_PE,D,20071207,000000,21.221,21.221,20.665,21.062,0,0
MAK_PE,D,20071210,000000,21.142,21.381,20.745,21.142,0,0
MAK_PE,D,20071211,000000,21.142,21.142,20.507,21.062,0,0
MAK_PE,D,20071212,000000,20.507,20.587,19.87,19.87,0,0
MAK_PE,D,20071213,000000,20.108,20.108,19.235,19.473,0,0
MAK_PE,D,20071214,000000,19.473,19.553,19.075,19.075,0,0
MAK_PE,D,20071217,000000,18.996,18.996,18.44,18.679,0,0
MAK_PE,D,20071218,000000,18.759,18.759,18.281,18.281,0,0
MAK_PE,D,20071219,000000,18.679,18.679,17.883,18.122,0,0
MAK_PE,D,20071220,000000,17.804,18.042,17.406,17.486,0,0
MAK_PE,D,20071221,000000,17.406,18.281,17.247,18.281,0,0
MAK_PE,D,20071227,000000,19.235,19.235,18.281,19.075,0,0
MAK_PE,D,20071228,000000,18.837,20.665,18.837,20.348,0,0
MAK_PE,D,20080102,000000,20.348,21.142,20.348,20.904,0,0
MAK_PE,D,20080103,000000,21.062,22.096,20.665,21.777,0,0
MAK_PE,D,20080104,000000,22.414,23.527,22.335,22.731,0,0
MAK_PE,D,20080107,000000,23.923,23.923,21.938,22.335,0,0
MAK_PE,D,20080108,000000,22.335,22.335,21.302,21.857,0,0
MAK_PE,D,20080109,000000,20.984,21.062,20.348,20.348,0,0
MAK_PE,D,20080110,000000,20.665,21.142,20.029,20.108,0,0
MAK_PE,D,20080111,000000,20.348,20.426,20.108,20.348,0,0
MAK_PE,D,20080114,000000,19.553,19.553,19.553,19.553,0,0
MAK_PE,D,20080115,000000,19.553,20.108,18.916,18.916,0,0
MAK_PE,D,20080116,000000,18.44,19.314,18.042,19.314,0,0
MAK_PE,D,20080117,000000,20.108,20.108,19.235,19.95,0,0
MAK_PE,D,20080118,000000,20.029,20.108,19.314,20.029,0,0
MAK_PE,D,20080121,000000,20.029,20.029,19.156,19.87,0,0
MAK_PE,D,20080122,000000,19.394,20.029,16.213,19.156,0,0
MAK_PE,D,20080123,000000,19.712,19.87,19.075,19.075,0,0
MAK_PE,D,20080124,000000,19.314,20.426,19.314,20.426,0,0
MAK_PE,D,20080125,000000,20.984,21.142,20.348,20.904,0,0
MAK_PE,D,20080128,000000,20.268,20.904,20.268,20.904,0,0
MAK_PE,D,20080129,000000,20.348,20.745,20.268,20.348,0,0
MAK_PE,D,20080130,000000,21.062,21.062,19.314,19.553,0,0
MAK_PE,D,20080131,000000,19.95,19.95,19.553,19.791,0,0
MAK_PE,D,20080201,000000,19.791,20.348,19.553,20.348,0,0
MAK_PE,D,20080204,000000,20.348,20.348,19.553,19.553,0,0
MAK_PE,D,20080205,000000,19.553,19.87,19.156,19.473,0,0
MAK_PE,D,20080206,000000,19.314,19.314,18.759,19.314,0,0
MAK_PE,D,20080207,000000,19.473,19.473,18.759,19.314,0,0
MAK_PE,D,20080208,000000,19.473,19.473,18.759,18.759,0,0
MAK_PE,D,20080211,000000,18.679,19.235,18.679,19.235,0,0
MAK_PE,D,20080212,000000,19.235,20.029,19.235,20.029,0,0
MAK_PE,D,20080213,000000,20.029,20.19,20.029,20.19,0,0
MAK_PE,D,20080214,000000,19.473,20.665,19.473,20.665,0,0
MAK_PE,D,20080215,000000,20.665,20.665,20.665,20.665,0,0
MAK_PE,D,20080218,000000,20.745,20.745,20.268,20.268,0,0
MAK_PE,D,20080219,000000,20.029,20.587,20.029,20.507,0,0
MAK_PE,D,20080220,000000,20.268,20.268,20.19,20.19,0,0
MAK_PE,D,20080221,000000,20.19,20.19,19.791,20.108,0,0
MAK_PE,D,20080222,000000,19.87,19.87,19.791,19.87,0,0
MAK_PE,D,20080225,000000,19.791,19.791,19.394,19.394,0,0
MAK_PE,D,20080226,000000,19.791,19.791,19.553,19.553,0,0
MAK_PE,D,20080227,000000,19.553,19.553,19.314,19.553,0,0
MAK_PE,D,20080228,000000,19.553,20.108,19.553,20.029,0,0
MAK_PE,D,20080229,000000,20.268,20.268,11.684,11.684,0,0
MAK_PE,D,20080303,000000,11.604,11.923,11.207,11.207,0,0
MAK_PE,D,20080304,000000,11.207,11.604,11.207,11.604,0,0
MAK_PE,D,20080305,000000,11.604,11.764,11.525,11.684,0,0
MAK_PE,D,20080306,000000,11.764,11.764,11.365,11.604,0,0
MAK_PE,D,20080307,000000,11.604,11.604,10.81,11.365,0,0
MAK_PE,D,20080310,000000,10.65,11.525,10.65,11.445,0,0
MAK_PE,D,20080311,000000,11.286,11.365,11.048,11.365,0,0
MAK_PE,D,20080312,000000,11.365,11.365,10.889,10.889,0,0
MAK_PE,D,20080313,000000,10.968,11.286,10.81,11.286,0,0
MAK_PE,D,20080314,000000,11.048,11.207,11.048,11.207,0,0
MAK_PE,D,20080317,000000,10.889,11.207,10.889,11.207,0,0
MAK_PE,D,20080318,000000,10.968,11.445,10.968,11.128,0,0
