<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCI_PE,D,20070813,000000,16.9,16.9,16.9,16.9,0,0
MCI_PE,D,20070814,000000,16.3,16.3,16.3,16.3,0,0
MCI_PE,D,20070816,000000,14,14,14,14,0,0
MCI_PE,D,20070817,000000,15.6,15.6,15.6,15.6,0,0
MCI_PE,D,20070820,000000,16.1,16.1,16.1,16.1,0,0
MCI_PE,D,20070821,000000,15.6,15.6,15.6,15.6,0,0
MCI_PE,D,20070822,000000,17.8,17.8,17.8,17.8,0,0
MCI_PE,D,20070823,000000,18.4,18.4,18.4,18.4,0,0
MCI_PE,D,20070824,000000,19.8,19.8,19.8,19.8,0,0
MCI_PE,D,20070827,000000,19.4,19.4,19.4,19.4,0,0
MCI_PE,D,20070828,000000,18.6,18.6,18.6,18.6,0,0
MCI_PE,D,20070829,000000,19.3,19.3,19.3,19.3,0,0
MCI_PE,D,20070830,000000,19.4,19.4,19.4,19.4,0,0
MCI_PE,D,20070831,000000,20.1,20.1,20.1,20.1,0,0
MCI_PE,D,20070903,000000,20.3,20.3,20.3,20.3,0,0
MCI_PE,D,20070904,000000,20.2,20.2,20.2,20.2,0,0
MCI_PE,D,20070905,000000,19.4,19.4,19.4,19.4,0,0
MCI_PE,D,20070906,000000,19.1,19.1,19.1,19.1,0,0
MCI_PE,D,20070907,000000,18.3,18.3,18.3,18.3,0,0
MCI_PE,D,20070910,000000,17.6,17.6,17.6,17.6,0,0
MCI_PE,D,20070911,000000,19,19,19,19,0,0
MCI_PE,D,20070912,000000,19.1,19.1,19.1,19.1,0,0
MCI_PE,D,20070913,000000,19.1,19.1,19.1,19.1,0,0
MCI_PE,D,20070914,000000,19.4,19.4,19.4,19.4,0,0
MCI_PE,D,20070917,000000,19.1,19.1,19.1,19.1,0,0
MCI_PE,D,20070918,000000,19.4,19.4,19.4,19.4,0,0
MCI_PE,D,20070919,000000,20.4,20.4,20.4,20.4,0,0
MCI_PE,D,20070920,000000,19.7,19.7,19.7,19.7,0,0
MCI_PE,D,20070921,000000,19.5,19.5,19.5,19.5,0,0
