<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCR_PE,D,20070813,000000,17.745,17.745,17.745,17.745,0,0
MCR_PE,D,20070814,000000,17.184,17.184,17.184,17.184,0,0
MCR_PE,D,20070816,000000,14.82,14.82,14.82,14.82,0,0
MCR_PE,D,20070817,000000,14.82,14.82,14.82,14.82,0,0
MCR_PE,D,20070820,000000,14.82,14.82,14.82,14.82,0,0
MCR_PE,D,20070821,000000,14.46,14.46,14.46,14.46,0,0
MCR_PE,D,20070822,000000,16.022,16.022,16.022,16.022,0,0
MCR_PE,D,20070823,000000,16.623,16.623,16.623,16.623,0,0
MCR_PE,D,20070824,000000,17.105,17.105,17.105,17.105,0,0
MCR_PE,D,20070827,000000,17.105,17.105,17.105,17.105,0,0
MCR_PE,D,20070828,000000,17.064,17.064,17.064,17.064,0,0
MCR_PE,D,20070829,000000,19.026,19.026,19.026,19.026,0,0
MCR_PE,D,20070830,000000,19.106,19.106,19.106,19.106,0,0
MCR_PE,D,20070831,000000,19.146,19.146,19.146,19.146,0,0
MCR_PE,D,20070903,000000,19.707,19.707,19.707,19.707,0,0
MCR_PE,D,20070904,000000,19.707,19.707,19.707,19.707,0,0
MCR_PE,D,20070905,000000,19.667,19.667,19.667,19.667,0,0
MCR_PE,D,20070906,000000,19.868,19.868,19.868,19.868,0,0
MCR_PE,D,20070907,000000,19.948,19.948,19.948,19.948,0,0
MCR_PE,D,20070910,000000,19.707,19.707,19.707,19.707,0,0
MCR_PE,D,20070911,000000,19.827,19.827,19.827,19.827,0,0
MCR_PE,D,20070912,000000,19.667,19.667,19.667,19.667,0,0
MCR_PE,D,20070913,000000,19.707,19.707,19.707,19.707,0,0
MCR_PE,D,20070914,000000,19.307,19.307,19.307,19.307,0,0
MCR_PE,D,20070917,000000,19.507,19.507,19.507,19.507,0,0
MCR_PE,D,20070918,000000,19.667,19.667,19.667,19.667,0,0
MCR_PE,D,20070919,000000,19.307,19.307,19.307,19.307,0,0
MCR_PE,D,20070920,000000,19.227,19.227,19.227,19.227,0,0
MCR_PE,D,20070921,000000,19.507,19.507,19.507,19.507,0,0
MCR_PE,D,20070924,000000,19.587,19.587,19.587,19.587,0,0
MCR_PE,D,20070925,000000,19.707,19.707,19.707,19.707,0,0
MCR_PE,D,20070926,000000,19.707,19.707,19.707,19.707,0,0
MCR_PE,D,20070927,000000,19.587,19.587,19.587,19.587,0,0
MCR_PE,D,20070928,000000,19.787,19.787,19.787,19.787,0,0
MCR_PE,D,20071001,000000,19.948,19.948,19.948,19.948,0,0
MCR_PE,D,20071002,000000,19.748,19.748,19.748,19.748,0,0
MCR_PE,D,20071003,000000,19.347,19.347,19.347,19.347,0,0
MCR_PE,D,20071004,000000,19.026,19.026,19.026,19.026,0,0
MCR_PE,D,20071005,000000,19.507,19.507,19.507,19.507,0,0
MCR_PE,D,20071008,000000,18.706,18.706,18.706,18.706,0,0
MCR_PE,D,20071009,000000,19.146,19.146,19.146,19.146,0,0
MCR_PE,D,20071010,000000,19.146,19.146,19.146,19.146,0,0
MCR_PE,D,20071011,000000,19.667,19.667,19.667,19.667,0,0
MCR_PE,D,20071012,000000,19.908,19.908,19.908,19.908,0,0
