<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDI_PE,D,20070813,000000,6.6476,6.6476,6.6476,6.6476,0,0
MDI_PE,D,20070814,000000,6.8376,6.8376,6.8376,6.8376,0,0
MDI_PE,D,20070816,000000,6.1728,6.1728,6.1728,6.1728,0,0
MDI_PE,D,20070817,000000,6.7426,6.7426,6.7426,6.7426,0,0
MDI_PE,D,20070820,000000,7.2175,7.2175,7.2175,7.2175,0,0
MDI_PE,D,20070821,000000,7.3124,7.3124,7.3124,7.3124,0,0
MDI_PE,D,20070822,000000,8.0722,8.0722,8.0722,8.0722,0,0
MDI_PE,D,20070823,000000,21.938,21.938,21.938,21.938,0,0
MDI_PE,D,20070824,000000,22.412,22.412,22.412,22.412,0,0
MDI_PE,D,20070827,000000,21.652,21.652,21.652,21.652,0,0
MDI_PE,D,20070828,000000,23.837,23.837,23.837,23.837,0,0
MDI_PE,D,20070829,000000,24.311,24.311,24.311,24.311,0,0
MDI_PE,D,20070830,000000,22.887,22.887,22.887,22.887,0,0
MDI_PE,D,20070831,000000,23.077,23.077,23.077,23.077,0,0
MDI_PE,D,20070903,000000,23.551,23.551,23.551,23.551,0,0
MDI_PE,D,20070904,000000,23.837,23.837,23.837,23.837,0,0
MDI_PE,D,20070905,000000,23.077,23.077,23.077,23.077,0,0
MDI_PE,D,20070906,000000,22.507,22.507,22.507,22.507,0,0
MDI_PE,D,20070907,000000,20.988,20.988,20.988,20.988,0,0
MDI_PE,D,20070910,000000,20.323,20.323,20.323,20.323,0,0
MDI_PE,D,20070911,000000,20.703,20.703,20.703,20.703,0,0
MDI_PE,D,20070912,000000,20.038,20.038,20.038,20.038,0,0
MDI_PE,D,20070913,000000,21.462,21.462,21.462,21.462,0,0
MDI_PE,D,20070914,000000,21.178,21.178,21.178,21.178,0,0
MDI_PE,D,20070917,000000,20.513,20.513,20.513,20.513,0,0
MDI_PE,D,20070918,000000,20.133,20.133,20.133,20.133,0,0
MDI_PE,D,20070919,000000,20.417,20.417,20.417,20.417,0,0
MDI_PE,D,20070920,000000,19.658,19.658,19.658,19.658,0,0
MDI_PE,D,20070921,000000,19.373,19.373,19.373,19.373,0,0
MDI_PE,D,20070924,000000,18.898,18.898,18.898,18.898,0,0
MDI_PE,D,20070925,000000,18.044,18.044,18.044,18.044,0,0
MDI_PE,D,20070926,000000,18.708,18.708,18.708,18.708,0,0
MDI_PE,D,20070927,000000,18.614,18.614,18.614,18.614,0,0
MDI_PE,D,20070928,000000,19.088,19.088,19.088,19.088,0,0
MDI_PE,D,20071001,000000,18.518,18.518,18.518,18.518,0,0
MDI_PE,D,20071002,000000,85.09,85.09,85.09,85.09,0,0
MDI_PE,D,20071003,000000,84.33,84.33,84.33,84.33,0,0
MDI_PE,D,20071004,000000,85.85,85.85,85.85,85.85,0,0
MDI_PE,D,20071005,000000,90.123,90.123,90.123,90.123,0,0
MDI_PE,D,20071008,000000,88.509,88.509,88.509,88.509,0,0
MDI_PE,D,20071009,000000,86.325,86.325,86.325,86.325,0,0
MDI_PE,D,20071010,000000,84.71,84.71,84.71,84.71,0,0
MDI_PE,D,20071011,000000,85.755,85.755,85.755,85.755,0,0
MDI_PE,D,20071012,000000,87.464,87.464,87.464,87.464,0,0
MDI_PE,D,20071015,000000,85.28,85.28,85.28,85.28,0,0
MDI_PE,D,20071016,000000,85.185,85.185,85.185,85.185,0,0
MDI_PE,D,20071017,000000,88.224,88.224,88.224,88.224,0,0
MDI_PE,D,20071018,000000,87.844,87.844,87.844,87.844,0,0
MDI_PE,D,20071019,000000,87.085,87.085,87.085,87.085,0,0
MDI_PE,D,20071022,000000,86.325,86.325,86.325,86.325,0,0
MDI_PE,D,20071023,000000,89.649,89.649,89.649,89.649,0,0
MDI_PE,D,20071024,000000,88.888,88.888,88.888,88.888,0,0
MDI_PE,D,20071025,000000,88.509,88.509,88.509,88.509,0,0
MDI_PE,D,20071026,000000,89.079,89.079,89.079,89.079,0,0
MDI_PE,D,20071029,000000,87.464,87.464,87.464,87.464,0,0
MDI_PE,D,20071030,000000,84.426,84.426,84.426,84.426,0,0
MDI_PE,D,20071031,000000,88.604,88.604,88.604,88.604,0,0
MDI_PE,D,20071102,000000,88.698,88.698,88.698,88.698,0,0
MDI_PE,D,20071105,000000,86.799,86.799,86.799,86.799,0,0
MDI_PE,D,20071106,000000,86.23,86.23,86.23,86.23,0,0
MDI_PE,D,20071107,000000,79.107,79.107,79.107,79.107,0,0
