<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MFO_PE,D,20140331,000000,11.276,11.276,11.276,11.276,0,0
MFO_PE,D,20140401,000000,11.094,11.458,11.094,11.458,0,0
MFO_PE,D,20140402,000000,11.094,11.367,11.094,11.367,0,0
MFO_PE,D,20140403,000000,11.094,11.367,11.094,11.185,0,0
MFO_PE,D,20140404,000000,11.367,11.367,11.185,11.276,0,0
MFO_PE,D,20140407,000000,11.276,11.276,11.094,11.276,0,0
MFO_PE,D,20140408,000000,11.276,11.276,11.094,11.094,0,0
MFO_PE,D,20140409,000000,11.004,11.185,11.004,11.185,0,0
MFO_PE,D,20140410,000000,11.185,11.185,11.185,11.185,0,0
MFO_PE,D,20140411,000000,11.276,11.276,11.276,11.276,0,0
MFO_PE,D,20140414,000000,11.276,11.276,10.821,11.185,0,0
MFO_PE,D,20140415,000000,10.821,11.185,10.458,10.458,0,0
MFO_PE,D,20140416,000000,11.185,11.185,10.549,11.004,0,0
MFO_PE,D,20140417,000000,11.094,11.094,10.821,10.821,0,0
MFO_PE,D,20140422,000000,10.549,11.094,10.549,11.004,0,0
MFO_PE,D,20140423,000000,10.549,10.549,10.549,10.549,0,0
MFO_PE,D,20140424,000000,10.549,10.549,10.549,10.549,0,0
MFO_PE,D,20140425,000000,10.549,10.821,10.549,10.549,0,0
MFO_PE,D,20140428,000000,10.549,10.731,10.185,10.731,0,0
MFO_PE,D,20140429,000000,10.731,10.821,10.458,10.458,0,0
MFO_PE,D,20140502,000000,10.549,10.731,10.458,10.731,0,0
MFO_PE,D,20140505,000000,10.458,10.458,10.095,10.185,0,0
MFO_PE,D,20140506,000000,9.639,10.276,9.639,10.185,0,0
MFO_PE,D,20140507,000000,10.095,10.095,10.095,10.095,0,0
MFO_PE,D,20140508,000000,10.185,10.458,10.185,10.367,0,0
MFO_PE,D,20140509,000000,10.367,10.367,10.367,10.367,0,0
MFO_PE,D,20140513,000000,10.367,10.549,10.185,10.549,0,0
MFO_PE,D,20140514,000000,10.821,10.821,10.276,10.731,0,0
MFO_PE,D,20140515,000000,10.731,10.912,10.367,10.731,0,0
MFO_PE,D,20140516,000000,10.731,10.731,10.276,10.731,0,0
MFO_PE,D,20140519,000000,10.367,10.731,10.367,10.731,0,0
MFO_PE,D,20140520,000000,10.276,10.639,10.276,10.639,0,0
MFO_PE,D,20140521,000000,10.276,10.549,10.276,10.549,0,0
MFO_PE,D,20140522,000000,10.458,10.458,10.276,10.367,0,0
MFO_PE,D,20140523,000000,10.276,10.458,10.276,10.458,0,0
MFO_PE,D,20140526,000000,10.367,10.367,10.276,10.276,0,0
MFO_PE,D,20140527,000000,10.276,10.276,9.911,10.095,0,0
MFO_PE,D,20140528,000000,10.095,10.095,10.095,10.095,0,0
MFO_PE,D,20140529,000000,10.095,10.095,9.73,9.822,0,0
MFO_PE,D,20140530,000000,10.276,10.276,9.911,9.911,0,0
MFO_PE,D,20140602,000000,10.276,10.276,10.276,10.276,0,0
MFO_PE,D,20140603,000000,10.367,10.458,10.003,10.367,0,0
MFO_PE,D,20140604,000000,10.276,10.276,10.276,10.276,0,0
MFO_PE,D,20140605,000000,10.367,10.639,10.367,10.639,0,0
MFO_PE,D,20140609,000000,10.367,10.639,10.367,10.639,0,0
MFO_PE,D,20140610,000000,10.458,10.458,10.458,10.458,0,0
MFO_PE,D,20140611,000000,10.458,10.549,10.185,10.549,0,0
MFO_PE,D,20140612,000000,10.549,10.549,10.276,10.276,0,0
MFO_PE,D,20140613,000000,10.276,10.276,10.185,10.185,0,0
MFO_PE,D,20140616,000000,10.549,10.549,10.549,10.549,0,0
MFO_PE,D,20140617,000000,10.276,10.549,10.276,10.276,0,0
MFO_PE,D,20140618,000000,10.549,10.549,10.276,10.549,0,0
MFO_PE,D,20140620,000000,10.185,10.549,10.095,10.549,0,0
MFO_PE,D,20140626,000000,10.549,10.549,10.003,10.458,0,0
MFO_PE,D,20140701,000000,8.7299,9.0031,8.7299,9.0031,0,0
MFO_PE,D,20140702,000000,9.0031,9.0031,9.0031,9.0031,0,0
MFO_PE,D,20140703,000000,9.0031,9.0031,8.7299,9.0031,0,0
MFO_PE,D,20140704,000000,9.0031,9.0031,8.7299,8.9118,0,0
MFO_PE,D,20140707,000000,8.9118,8.9118,8.8208,8.9118,0,0
MFO_PE,D,20140708,000000,9.0031,9.0031,9.0031,9.0031,0,0
MFO_PE,D,20140709,000000,9.0031,9.0031,9.0031,9.0031,0,0
MFO_PE,D,20140710,000000,9.0031,9.0031,8.8208,8.8208,0,0
MFO_PE,D,20140711,000000,8.9118,8.9118,8.7299,8.7299,0,0
MFO_PE,D,20140715,000000,8.7299,8.7299,8.7299,8.7299,0,0
MFO_PE,D,20140716,000000,8.7299,8.7299,8.7299,8.7299,0,0
MFO_PE,D,20140717,000000,8.7299,8.7299,8.6389,8.7299,0,0
MFO_PE,D,20140721,000000,8.457,8.7299,8.457,8.7299,0,0
MFO_PE,D,20140723,000000,8.3661,8.548,8.3661,8.457,0,0
MFO_PE,D,20140724,000000,8.6389,8.6389,8.3661,8.3661,0,0
MFO_PE,D,20140725,000000,8.3661,8.3661,8.3661,8.3661,0,0
MFO_PE,D,20140728,000000,8.0023,8.3661,8.0023,8.2751,0,0
MFO_PE,D,20140729,000000,8.1842,8.6389,8.1842,8.6389,0,0
MFO_PE,D,20140730,000000,8.6389,8.6389,8.2751,8.6389,0,0
MFO_PE,D,20140731,000000,7.8205,8.6389,7.8205,8.6389,0,0
MFO_PE,D,20140801,000000,8.6389,8.6389,8.6389,8.6389,0,0
MFO_PE,D,20140804,000000,8.7299,8.8208,8.7299,8.7299,0,0
MFO_PE,D,20140805,000000,8.8208,8.8208,8.8208,8.8208,0,0
MFO_PE,D,20140806,000000,8.548,8.548,8.548,8.548,0,0
MFO_PE,D,20140807,000000,8.3661,8.8208,8.3661,8.8208,0,0
MFO_PE,D,20140811,000000,8.3661,8.7299,8.3661,8.7299,0,0
MFO_PE,D,20140812,000000,8.8208,8.8208,8.8208,8.8208,0,0
MFO_PE,D,20140813,000000,8.3661,8.3661,8.2751,8.2751,0,0
MFO_PE,D,20140814,000000,8.2751,8.7299,8.2751,8.7299,0,0
MFO_PE,D,20140818,000000,8.8208,8.8208,8.8208,8.8208,0,0
MFO_PE,D,20140819,000000,8.8208,8.8208,8.457,8.7299,0,0
MFO_PE,D,20140820,000000,8.7299,8.7299,8.457,8.548,0,0
MFO_PE,D,20140822,000000,8.3661,8.548,8.3661,8.548,0,0
MFO_PE,D,20140825,000000,8.548,8.548,8.548,8.548,0,0
