<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGT_PE,D,20070813,000000,12.115,12.115,12.115,12.115,0,0
MGT_PE,D,20070814,000000,12.666,12.666,12.666,12.666,0,0
MGT_PE,D,20070816,000000,11.329,11.329,11.329,11.329,0,0
MGT_PE,D,20070817,000000,12.036,12.036,12.036,12.036,0,0
MGT_PE,D,20070820,000000,11.958,11.958,11.958,11.958,0,0
MGT_PE,D,20070821,000000,11.88,11.88,11.88,11.88,0,0
MGT_PE,D,20070822,000000,12.036,12.036,12.036,12.036,0,0
MGT_PE,D,20070823,000000,12.036,12.036,12.036,12.036,0,0
MGT_PE,D,20070824,000000,11.643,11.643,11.643,11.643,0,0
MGT_PE,D,20070827,000000,11.958,11.958,11.958,11.958,0,0
MGT_PE,D,20070828,000000,11.721,11.721,11.721,11.721,0,0
MGT_PE,D,20070829,000000,11.88,11.88,11.88,11.88,0,0
MGT_PE,D,20070830,000000,11.88,11.88,11.88,11.88,0,0
MGT_PE,D,20070831,000000,11.801,11.801,11.801,11.801,0,0
MGT_PE,D,20070903,000000,11.801,11.801,11.801,11.801,0,0
MGT_PE,D,20070904,000000,11.958,11.958,11.958,11.958,0,0
MGT_PE,D,20070905,000000,12.194,12.194,12.194,12.194,0,0
MGT_PE,D,20070906,000000,12.194,12.194,12.194,12.194,0,0
MGT_PE,D,20070907,000000,12.273,12.273,12.273,12.273,0,0
MGT_PE,D,20070910,000000,12.273,12.273,12.273,12.273,0,0
MGT_PE,D,20070911,000000,12.273,12.273,12.273,12.273,0,0
MGT_PE,D,20070912,000000,12.273,12.273,12.273,12.273,0,0
MGT_PE,D,20070913,000000,12.273,12.273,12.273,12.273,0,0
MGT_PE,D,20070914,000000,12.273,12.273,12.273,12.273,0,0
MGT_PE,D,20070917,000000,12.351,12.351,12.351,12.351,0,0
MGT_PE,D,20070918,000000,12.194,12.194,12.194,12.194,0,0
MGT_PE,D,20070919,000000,12.823,12.823,12.823,12.823,0,0
MGT_PE,D,20070920,000000,12.666,12.666,12.666,12.666,0,0
MGT_PE,D,20070921,000000,12.745,12.745,12.745,12.745,0,0
MGT_PE,D,20070924,000000,12.036,12.036,12.036,12.036,0,0
MGT_PE,D,20070925,000000,12.036,12.036,12.036,12.036,0,0
MGT_PE,D,20070926,000000,12.036,12.036,12.036,12.036,0,0
MGT_PE,D,20070927,000000,12.43,12.43,12.43,12.43,0,0
MGT_PE,D,20070928,000000,12.115,12.115,12.115,12.115,0,0
MGT_PE,D,20071001,000000,11.801,11.801,11.801,11.801,0,0
MGT_PE,D,20071002,000000,12.273,12.273,12.273,12.273,0,0
MGT_PE,D,20071003,000000,12.115,12.115,12.115,12.115,0,0
MGT_PE,D,20071004,000000,11.801,11.801,11.801,11.801,0,0
MGT_PE,D,20071005,000000,12.115,12.115,12.115,12.115,0,0
MGT_PE,D,20071008,000000,11.88,11.88,11.88,11.88,0,0
MGT_PE,D,20071009,000000,12.115,12.115,12.115,12.115,0,0
MGT_PE,D,20071010,000000,11.958,11.958,11.958,11.958,0,0
MGT_PE,D,20071011,000000,11.801,11.801,11.801,11.801,0,0
MGT_PE,D,20071012,000000,11.801,11.801,11.801,11.801,0,0
MGT_PE,D,20071015,000000,12.036,12.036,12.036,12.036,0,0
MGT_PE,D,20071016,000000,12.351,12.351,12.351,12.351,0,0
MGT_PE,D,20071017,000000,12.351,12.351,12.351,12.351,0,0
MGT_PE,D,20071018,000000,12.666,12.666,12.666,12.666,0,0
MGT_PE,D,20071019,000000,12.666,12.666,12.666,12.666,0,0
MGT_PE,D,20071022,000000,12.351,12.351,12.351,12.351,0,0
MGT_PE,D,20071023,000000,12.43,12.43,12.43,12.43,0,0
MGT_PE,D,20071024,000000,13.138,13.138,13.138,13.138,0,0
MGT_PE,D,20071025,000000,13.532,13.532,13.532,13.532,0,0
MGT_PE,D,20071026,000000,13.532,13.532,13.532,13.532,0,0
MGT_PE,D,20071029,000000,13.532,13.532,13.532,13.532,0,0
MGT_PE,D,20071030,000000,13.532,13.532,13.532,13.532,0,0
MGT_PE,D,20071031,000000,13.768,13.768,13.768,13.768,0,0
MGT_PE,D,20071102,000000,13.689,13.689,13.689,13.689,0,0
MGT_PE,D,20071105,000000,13.532,13.532,13.532,13.532,0,0
MGT_PE,D,20071106,000000,13.217,13.217,13.217,13.217,0,0
MGT_PE,D,20071107,000000,12.666,12.666,12.666,12.666,0,0
MGT_PE,D,20071108,000000,12.43,12.43,12.43,12.43,0,0
MGT_PE,D,20071109,000000,12.036,12.901,12.036,12.901,0,0
MGT_PE,D,20071112,000000,12.036,12.901,11.801,11.801,0,0
MGT_PE,D,20071113,000000,12.273,12.273,11.801,12.273,0,0
MGT_PE,D,20071114,000000,11.801,12.901,11.801,12.901,0,0
MGT_PE,D,20071115,000000,11.88,12.901,11.88,12.273,0,0
MGT_PE,D,20071116,000000,11.88,12.273,11.88,12.115,0,0
MGT_PE,D,20071119,000000,12.115,12.115,12.115,12.115,0,0
MGT_PE,D,20071120,000000,11.25,11.25,10.699,11.171,0,0
MGT_PE,D,20071121,000000,10.856,10.856,10.384,10.384,0,0
MGT_PE,D,20071122,000000,10.149,11.015,10.149,10.542,0,0
MGT_PE,D,20071123,000000,10.542,11.88,10.542,11.88,0,0
MGT_PE,D,20071126,000000,11.88,11.88,10.935,10.935,0,0
MGT_PE,D,20071127,000000,10.935,10.935,10.935,10.935,0,0
MGT_PE,D,20071128,000000,10.935,13.925,10.699,13.925,0,0
MGT_PE,D,20071129,000000,13.925,14.711,13.925,14.711,0,0
MGT_PE,D,20071130,000000,14.633,14.633,14.475,14.475,0,0
MGT_PE,D,20071204,000000,13.374,13.452,13.374,13.452,0,0
MGT_PE,D,20071205,000000,14.711,14.711,14.711,14.711,0,0
MGT_PE,D,20071206,000000,14.711,14.711,14.317,14.317,0,0
MGT_PE,D,20071207,000000,14.317,14.317,14.317,14.317,0,0
MGT_PE,D,20071210,000000,14.317,14.317,14.16,14.317,0,0
MGT_PE,D,20071211,000000,14.16,14.317,13.925,14.317,0,0
MGT_PE,D,20071212,000000,13.61,13.925,13.374,13.925,0,0
MGT_PE,D,20071213,000000,13.374,13.925,13.295,13.925,0,0
MGT_PE,D,20071214,000000,13.925,13.925,13.689,13.846,0,0
MGT_PE,D,20071217,000000,13.61,13.61,13.374,13.374,0,0
MGT_PE,D,20071218,000000,13.374,13.452,13.374,13.452,0,0
MGT_PE,D,20071219,000000,13.374,13.532,13.374,13.532,0,0
MGT_PE,D,20071220,000000,13.532,13.768,13.374,13.768,0,0
MGT_PE,D,20071221,000000,13.217,13.925,13.059,13.295,0,0
MGT_PE,D,20071227,000000,13.768,13.846,13.768,13.846,0,0
MGT_PE,D,20071228,000000,13.452,13.846,13.374,13.846,0,0
MGT_PE,D,20080103,000000,13.846,13.846,13.295,13.532,0,0
MGT_PE,D,20080107,000000,13.138,13.768,13.138,13.768,0,0
MGT_PE,D,20080108,000000,13.217,13.217,13.138,13.217,0,0
MGT_PE,D,20080109,000000,13.217,13.217,12.745,13.138,0,0
MGT_PE,D,20080110,000000,12.745,12.745,12.587,12.587,0,0
MGT_PE,D,20080111,000000,12.587,12.666,12.587,12.666,0,0
MGT_PE,D,20080114,000000,12.194,12.194,12.194,12.194,0,0
MGT_PE,D,20080115,000000,12.351,12.43,11.801,12.194,0,0
MGT_PE,D,20080116,000000,11.801,13.217,11.643,13.217,0,0
MGT_PE,D,20080117,000000,13.217,13.217,13.217,13.217,0,0
MGT_PE,D,20080118,000000,13.217,13.217,12.115,12.115,0,0
MGT_PE,D,20080121,000000,13.138,13.138,13.138,13.138,0,0
MGT_PE,D,20080122,000000,12.115,12.745,12.115,12.745,0,0
MGT_PE,D,20080123,000000,12.194,12.823,12.036,12.823,0,0
MGT_PE,D,20080124,000000,12.745,12.745,12.194,12.194,0,0
MGT_PE,D,20080125,000000,12.823,14.239,12.43,14.239,0,0
MGT_PE,D,20080129,000000,15.104,15.104,15.104,15.104,0,0
MGT_PE,D,20080204,000000,15.104,15.104,15.104,15.104,0,0
MGT_PE,D,20080206,000000,14.948,14.948,14.948,14.948,0,0
MGT_PE,D,20080207,000000,14.948,14.948,14.948,14.948,0,0
MGT_PE,D,20080208,000000,14.869,14.869,14.869,14.869,0,0
MGT_PE,D,20080211,000000,14.948,14.948,14.948,14.948,0,0
MGT_PE,D,20080212,000000,14.948,14.948,14.948,14.948,0,0
MGT_PE,D,20080213,000000,14.948,14.948,14.948,14.948,0,0
MGT_PE,D,20080214,000000,14.948,14.948,14.948,14.948,0,0
MGT_PE,D,20080215,000000,14.948,16.442,14.948,16.442,0,0
MGT_PE,D,20080218,000000,15.813,16.364,14.004,14.004,0,0
MGT_PE,D,20080219,000000,13.61,13.61,13.61,13.61,0,0
MGT_PE,D,20080220,000000,12.98,13.532,12.666,13.452,0,0
MGT_PE,D,20080221,000000,12.587,13.452,12.509,13.374,0,0
MGT_PE,D,20080222,000000,13.217,13.217,13.217,13.217,0,0
MGT_PE,D,20080225,000000,13.217,14.475,13.217,14.475,0,0
MGT_PE,D,20080226,000000,15.026,15.104,15.026,15.104,0,0
MGT_PE,D,20080227,000000,14.239,14.869,14.239,14.475,0,0
MGT_PE,D,20080228,000000,14.554,14.554,14.082,14.475,0,0
MGT_PE,D,20080229,000000,13.925,13.925,13.925,13.925,0,0
MGT_PE,D,20080303,000000,13.846,13.846,13.846,13.846,0,0
MGT_PE,D,20080305,000000,13.689,13.846,13.295,13.689,0,0
MGT_PE,D,20080307,000000,13.846,13.846,13.846,13.846,0,0
MGT_PE,D,20080310,000000,14.082,14.082,13.846,13.846,0,0
MGT_PE,D,20080312,000000,14.004,14.082,12.901,12.901,0,0
MGT_PE,D,20080313,000000,14.397,14.397,12.901,14.397,0,0
MGT_PE,D,20080314,000000,14.475,14.475,14.397,14.397,0,0
MGT_PE,D,20080317,000000,14.239,14.239,12.901,14.082,0,0
MGT_PE,D,20080318,000000,13.689,14.082,13.138,14.082,0,0
MGT_PE,D,20080320,000000,13.689,13.689,13.689,13.689,0,0
MGT_PE,D,20080325,000000,13.925,13.925,13.689,13.689,0,0
MGT_PE,D,20080326,000000,13.768,13.768,13.768,13.768,0,0
MGT_PE,D,20080327,000000,13.846,13.925,13.452,13.846,0,0
MGT_PE,D,20080328,000000,13.846,13.846,13.846,13.846,0,0
MGT_PE,D,20080331,000000,13.846,13.846,13.846,13.846,0,0
MGT_PE,D,20080401,000000,13.846,13.846,13.846,13.846,0,0
MGT_PE,D,20080402,000000,13.846,13.846,13.846,13.846,0,0
MGT_PE,D,20080403,000000,13.689,13.846,13.452,13.532,0,0
MGT_PE,D,20080404,000000,13.61,13.61,12.98,13.532,0,0
MGT_PE,D,20080407,000000,13.61,13.61,13.452,13.532,0,0
MGT_PE,D,20080408,000000,13.532,13.532,12.901,12.98,0,0
MGT_PE,D,20080409,000000,13.61,13.61,13.61,13.61,0,0
MGT_PE,D,20080410,000000,13.61,14.317,13.61,14.317,0,0
MGT_PE,D,20080411,000000,13.689,14.082,13.452,13.452,0,0
MGT_PE,D,20080415,000000,13.452,13.689,13.295,13.689,0,0
MGT_PE,D,20080416,000000,13.217,13.374,13.059,13.059,0,0
MGT_PE,D,20080417,000000,12.901,13.452,12.901,13.452,0,0
MGT_PE,D,20080418,000000,12.901,13.374,12.823,13.374,0,0
MGT_PE,D,20080421,000000,13.059,13.689,13.059,13.059,0,0
MGT_PE,D,20080422,000000,12.901,13.295,12.823,13.295,0,0
MGT_PE,D,20080423,000000,13.059,13.295,12.901,13.295,0,0
MGT_PE,D,20080424,000000,13.532,13.846,13.532,13.846,0,0
MGT_PE,D,20080425,000000,12.901,14.082,12.901,13.452,0,0
MGT_PE,D,20080428,000000,13.295,13.452,13.295,13.295,0,0
MGT_PE,D,20080429,000000,14.082,14.082,14.082,14.082,0,0
MGT_PE,D,20080430,000000,13.059,13.138,13.059,13.138,0,0
MGT_PE,D,20080505,000000,14.16,14.16,14.082,14.082,0,0
MGT_PE,D,20080506,000000,13.689,13.689,12.901,13.452,0,0
MGT_PE,D,20080507,000000,13.059,14.082,13.059,14.004,0,0
MGT_PE,D,20080509,000000,13.846,14.004,13.295,13.846,0,0
MGT_PE,D,20080512,000000,13.846,13.846,12.901,13.689,0,0
MGT_PE,D,20080513,000000,12.901,12.901,12.901,12.901,0,0
MGT_PE,D,20080514,000000,12.98,13.217,12.901,12.901,0,0
MGT_PE,D,20080515,000000,12.823,13.374,12.823,12.901,0,0
MGT_PE,D,20080516,000000,13.295,13.295,12.587,12.587,0,0
MGT_PE,D,20080519,000000,12.509,12.98,12.509,12.98,0,0
MGT_PE,D,20080520,000000,13.138,27.771,12.509,27.771,0,0
MGT_PE,D,20080521,000000,26.906,28.637,26.906,28.558,0,0
MGT_PE,D,20080523,000000,27.142,28.637,26.906,26.906,0,0
MGT_PE,D,20080526,000000,27.771,27.771,26.906,27.771,0,0
MGT_PE,D,20080527,000000,26.906,28.4,26.906,28.4,0,0
MGT_PE,D,20080529,000000,28.322,28.558,28.322,28.558,0,0
MGT_PE,D,20080530,000000,28.007,28.4,26.906,27.062,0,0
MGT_PE,D,20080602,000000,27.062,27.062,26.275,26.275,0,0
MGT_PE,D,20080603,000000,26.275,28.243,26.275,26.906,0,0
MGT_PE,D,20080604,000000,26.906,28.164,26.906,28.164,0,0
MGT_PE,D,20080605,000000,26.354,27.771,26.041,26.041,0,0
MGT_PE,D,20080606,000000,27.849,27.849,27.299,27.299,0,0
MGT_PE,D,20080609,000000,27.299,27.299,25.332,26.041,0,0
MGT_PE,D,20080610,000000,26.041,26.041,25.096,25.096,0,0
MGT_PE,D,20080611,000000,26.512,26.512,25.882,25.882,0,0
MGT_PE,D,20080612,000000,25.882,25.882,25.882,25.882,0,0
MGT_PE,D,20080613,000000,23.994,25.647,23.916,25.647,0,0
MGT_PE,D,20080616,000000,24.23,26.433,24.23,26.433,0,0
MGT_PE,D,20080618,000000,25.096,26.512,25.096,26.512,0,0
MGT_PE,D,20080619,000000,24.467,24.938,24.388,24.938,0,0
MGT_PE,D,20080620,000000,25.962,26.041,23.679,23.679,0,0
MGT_PE,D,20080623,000000,24.23,24.23,21.871,23.208,0,0
MGT_PE,D,20080624,000000,21.477,22.421,21.162,21.162,0,0
MGT_PE,D,20080625,000000,23.287,23.287,21.555,21.555,0,0
MGT_PE,D,20080626,000000,22.421,22.893,22.421,22.893,0,0
MGT_PE,D,20080627,000000,21.162,22.107,21.162,22.028,0,0
MGT_PE,D,20080630,000000,23.208,23.287,23.208,23.287,0,0
MGT_PE,D,20080701,000000,21.555,23.287,21.555,23.287,0,0
MGT_PE,D,20080702,000000,22.421,25.096,21.555,21.555,0,0
MGT_PE,D,20080703,000000,21.555,21.555,20.612,20.612,0,0
MGT_PE,D,20080704,000000,20.612,21.634,19.746,21.634,0,0
MGT_PE,D,20080707,000000,19.904,19.904,19.196,19.196,0,0
MGT_PE,D,20080708,000000,20.612,21.477,18.803,21.399,0,0
MGT_PE,D,20080709,000000,20.061,20.061,19.668,20.061,0,0
MGT_PE,D,20080710,000000,18.803,21.477,18.094,19.038,0,0
MGT_PE,D,20080711,000000,19.196,20.69,19.196,19.274,0,0
MGT_PE,D,20080714,000000,18.33,19.118,18.252,19.118,0,0
