<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOL_PE,D,20070813,000000,7.5021,7.5021,7.5021,7.5021,0,0
MOL_PE,D,20070814,000000,7.4268,7.4268,7.4268,7.4268,0,0
MOL_PE,D,20070816,000000,7.0655,7.0655,7.0655,7.0655,0,0
MOL_PE,D,20070817,000000,7.0655,7.0655,7.0655,7.0655,0,0
MOL_PE,D,20070820,000000,6.855,6.855,6.855,6.855,0,0
MOL_PE,D,20070821,000000,6.855,6.855,6.855,6.855,0,0
MOL_PE,D,20070822,000000,7.4268,7.4268,7.4268,7.4268,0,0
MOL_PE,D,20070823,000000,7.4268,7.4268,7.4268,7.4268,0,0
MOL_PE,D,20070824,000000,7.5021,7.5021,7.5021,7.5021,0,0
MOL_PE,D,20070827,000000,7.5021,7.5021,7.5021,7.5021,0,0
MOL_PE,D,20070828,000000,7.4268,7.4268,7.4268,7.4268,0,0
MOL_PE,D,20070829,000000,9.67,9.67,9.67,9.67,0,0
MOL_PE,D,20070830,000000,9.737,9.737,9.737,9.737,0,0
MOL_PE,D,20070831,000000,9.4513,9.4513,9.4513,9.4513,0,0
MOL_PE,D,20070903,000000,9.0144,9.0144,9.0144,9.0144,0,0
MOL_PE,D,20070904,000000,9.1563,9.1563,9.1563,9.1563,0,0
MOL_PE,D,20070905,000000,9.0144,9.0144,9.0144,9.0144,0,0
MOL_PE,D,20070906,000000,9.0144,9.0144,9.0144,9.0144,0,0
MOL_PE,D,20070907,000000,8.8034,8.8034,8.8034,8.8034,0,0
MOL_PE,D,20070910,000000,8.5861,8.5861,8.5861,8.5861,0,0
MOL_PE,D,20070911,000000,8.7282,8.7282,8.7282,8.7282,0,0
MOL_PE,D,20070912,000000,8.9475,8.9475,8.9475,8.9475,0,0
MOL_PE,D,20070913,000000,8.9475,8.9475,8.9475,8.9475,0,0
MOL_PE,D,20070914,000000,8.9475,8.9475,8.9475,8.9475,0,0
MOL_PE,D,20070917,000000,8.8713,8.8713,8.8713,8.8713,0,0
MOL_PE,D,20070918,000000,9.0144,9.0144,9.0144,9.0144,0,0
MOL_PE,D,20070919,000000,9.3067,9.3067,9.3067,9.3067,0,0
MOL_PE,D,20070920,000000,9.0897,9.0897,9.0897,9.0897,0,0
MOL_PE,D,20070921,000000,9.3067,9.3067,9.3067,9.3067,0,0
MOL_PE,D,20070924,000000,9.232,9.232,9.232,9.232,0,0
MOL_PE,D,20070925,000000,9.519,9.519,9.519,9.519,0,0
MOL_PE,D,20070926,000000,9.67,9.67,9.67,9.67,0,0
MOL_PE,D,20070927,000000,9.812,9.812,9.812,9.812,0,0
MOL_PE,D,20070928,000000,9.812,9.812,9.812,9.812,0,0
MOL_PE,D,20071001,000000,9.812,9.812,9.812,9.812,0,0
MOL_PE,D,20071002,000000,9.737,9.737,9.737,9.737,0,0
MOL_PE,D,20071003,000000,9.67,9.67,9.67,9.67,0,0
MOL_PE,D,20071004,000000,9.812,9.812,9.812,9.812,0,0
MOL_PE,D,20071005,000000,9.737,9.737,9.737,9.737,0,0
MOL_PE,D,20071008,000000,9.519,9.519,9.519,9.519,0,0
MOL_PE,D,20071009,000000,9.3067,9.3067,9.3067,9.3067,0,0
MOL_PE,D,20071010,000000,9.4513,9.4513,9.4513,9.4513,0,0
MOL_PE,D,20071011,000000,9.67,9.67,9.67,9.67,0,0
MOL_PE,D,20071012,000000,9.67,9.67,9.67,9.67,0,0
MOL_PE,D,20071015,000000,9.88,9.88,9.88,9.88,0,0
MOL_PE,D,20071016,000000,10.023,10.023,10.023,10.023,0,0
MOL_PE,D,20071017,000000,9.519,9.519,9.519,9.519,0,0
MOL_PE,D,20071018,000000,9.4513,9.4513,9.4513,9.4513,0,0
MOL_PE,D,20071019,000000,9.4513,9.4513,9.4513,9.4513,0,0
MOL_PE,D,20071022,000000,9.594,9.594,9.594,9.594,0,0
MOL_PE,D,20071023,000000,9.812,9.812,9.812,9.812,0,0
MOL_PE,D,20071024,000000,9.519,9.519,9.519,9.519,0,0
MOL_PE,D,20071025,000000,9.4513,9.4513,9.4513,9.4513,0,0
MOL_PE,D,20071026,000000,9.3757,9.3757,9.3757,9.3757,0,0
MOL_PE,D,20071029,000000,9.232,9.232,9.232,9.232,0,0
MOL_PE,D,20071030,000000,9.3067,9.3067,9.3067,9.3067,0,0
MOL_PE,D,20071031,000000,9.232,9.232,9.232,9.232,0,0
MOL_PE,D,20071102,000000,9.232,9.232,9.232,9.232,0,0
MOL_PE,D,20071105,000000,9.1563,9.1563,9.1563,9.1563,0,0
MOL_PE,D,20071106,000000,9.1563,9.1563,9.1563,9.1563,0,0
MOL_PE,D,20071107,000000,9.3067,9.3067,9.3067,9.3067,0,0
MOL_PE,D,20071108,000000,8.9475,8.9475,8.9475,8.9475,0,0
MOL_PE,D,20071109,000000,9.232,9.232,8.9475,9.0144,0,0
MOL_PE,D,20071112,000000,9.0897,9.1563,8.7282,8.7282,0,0
MOL_PE,D,20071113,000000,8.5861,9.1563,8.5861,9.1563,0,0
MOL_PE,D,20071114,000000,9.3067,9.3067,9.1563,9.1563,0,0
MOL_PE,D,20071115,000000,9.1563,9.1563,8.5861,8.5861,0,0
MOL_PE,D,20071116,000000,9.1563,9.1563,8.5861,8.8034,0,0
MOL_PE,D,20071119,000000,8.5104,9.0897,8.5104,9.0897,0,0
MOL_PE,D,20071120,000000,8.653,8.653,8.653,8.653,0,0
MOL_PE,D,20071121,000000,9.4513,9.4513,8.5861,8.653,0,0
MOL_PE,D,20071122,000000,9.0897,10.896,8.5861,10.896,0,0
MOL_PE,D,20071123,000000,11.106,11.106,10.896,11.038,0,0
MOL_PE,D,20071126,000000,11.324,11.324,10.745,10.964,0,0
MOL_PE,D,20071127,000000,11.106,11.106,10.099,10.172,0,0
MOL_PE,D,20071128,000000,10.172,10.534,10.172,10.317,0,0
MOL_PE,D,20071129,000000,10.534,10.677,10.459,10.459,0,0
MOL_PE,D,20071130,000000,10.677,10.82,10.459,10.82,0,0
MOL_PE,D,20071203,000000,11.183,11.183,10.459,10.601,0,0
MOL_PE,D,20071204,000000,10.601,11.038,10.601,10.896,0,0
MOL_PE,D,20071205,000000,11.183,11.183,11.038,11.183,0,0
MOL_PE,D,20071206,000000,11.25,11.468,11.038,11.106,0,0
MOL_PE,D,20071207,000000,11.25,11.25,10.964,11.25,0,0
MOL_PE,D,20071210,000000,11.183,11.183,10.964,11.106,0,0
MOL_PE,D,20071211,000000,11.183,11.25,10.964,11.25,0,0
MOL_PE,D,20071212,000000,10.745,11.183,10.745,11.183,0,0
MOL_PE,D,20071213,000000,11.324,11.324,10.896,10.896,0,0
MOL_PE,D,20071214,000000,11.324,11.324,10.745,10.964,0,0
MOL_PE,D,20071217,000000,11.038,11.038,10.383,10.534,0,0
MOL_PE,D,20071218,000000,10.099,10.82,10.099,10.383,0,0
MOL_PE,D,20071219,000000,10.383,10.383,10.383,10.383,0,0
MOL_PE,D,20071220,000000,10.383,10.383,10.099,10.099,0,0
MOL_PE,D,20071221,000000,10.317,10.317,10.099,10.317,0,0
MOL_PE,D,20071227,000000,10.82,10.82,10.459,10.534,0,0
MOL_PE,D,20071228,000000,10.534,10.964,10.459,10.964,0,0
MOL_PE,D,20080102,000000,10.964,10.964,10.459,10.601,0,0
MOL_PE,D,20080103,000000,10.241,10.317,10.241,10.317,0,0
MOL_PE,D,20080104,000000,10.677,10.677,10.099,10.172,0,0
MOL_PE,D,20080107,000000,9.812,10.241,9.594,10.241,0,0
MOL_PE,D,20080108,000000,10.241,10.601,10.172,10.601,0,0
MOL_PE,D,20080109,000000,9.88,10.383,9.88,10.383,0,0
MOL_PE,D,20080110,000000,10.383,10.383,9.955,9.955,0,0
MOL_PE,D,20080111,000000,10.241,10.241,9.88,9.88,0,0
MOL_PE,D,20080114,000000,9.594,9.594,9.594,9.594,0,0
MOL_PE,D,20080115,000000,9.737,9.737,9.519,9.67,0,0
MOL_PE,D,20080116,000000,8.7282,9.4513,8.7282,9.3757,0,0
MOL_PE,D,20080117,000000,9.88,9.88,8.9475,9.1563,0,0
MOL_PE,D,20080118,000000,9.812,9.812,9.1563,9.3067,0,0
MOL_PE,D,20080121,000000,9.3067,9.3067,8.8713,9.0144,0,0
MOL_PE,D,20080122,000000,9.0144,9.232,8.9475,9.232,0,0
MOL_PE,D,20080123,000000,9.519,9.67,9.4513,9.4513,0,0
MOL_PE,D,20080124,000000,9.88,10.172,9.594,9.737,0,0
MOL_PE,D,20080125,000000,10.172,10.172,9.594,9.594,0,0
MOL_PE,D,20080128,000000,9.3757,9.955,9.3757,9.955,0,0
MOL_PE,D,20080129,000000,9.88,10.023,9.737,9.955,0,0
MOL_PE,D,20080130,000000,10.023,10.023,9.955,9.955,0,0
MOL_PE,D,20080131,000000,10.172,10.172,9.737,9.955,0,0
MOL_PE,D,20080201,000000,10.099,10.241,10.099,10.241,0,0
MOL_PE,D,20080204,000000,10.241,10.317,10.241,10.317,0,0
MOL_PE,D,20080205,000000,10.023,10.023,9.737,10.023,0,0
MOL_PE,D,20080206,000000,9.88,9.88,9.812,9.88,0,0
MOL_PE,D,20080207,000000,9.955,9.955,9.4513,9.737,0,0
MOL_PE,D,20080208,000000,9.67,9.88,9.67,9.88,0,0
MOL_PE,D,20080211,000000,10.172,10.172,9.737,10.172,0,0
MOL_PE,D,20080212,000000,10.241,10.241,9.737,10.172,0,0
MOL_PE,D,20080213,000000,10.317,10.459,10.317,10.383,0,0
MOL_PE,D,20080214,000000,10.601,10.601,10.172,10.172,0,0
MOL_PE,D,20080215,000000,10.601,10.601,10.099,10.099,0,0
MOL_PE,D,20080218,000000,10.317,10.317,7.2839,7.2839,0,0
MOL_PE,D,20080219,000000,7.5769,7.5769,7.2839,7.5021,0,0
MOL_PE,D,20080220,000000,7.2839,7.2839,7.2162,7.2839,0,0
MOL_PE,D,20080221,000000,7.5021,7.5769,7.2839,7.5021,0,0
MOL_PE,D,20080222,000000,7.5021,7.5021,7.4268,7.5021,0,0
MOL_PE,D,20080225,000000,7.5769,7.5769,7.1407,7.1407,0,0
MOL_PE,D,20080226,000000,7.1407,7.2839,6.9226,6.9226,0,0
MOL_PE,D,20080227,000000,7.2162,7.2162,6.9226,6.9226,0,0
MOL_PE,D,20080228,000000,6.9226,6.9978,6.9226,6.9978,0,0
MOL_PE,D,20080229,000000,7.0655,7.0655,6.855,6.9978,0,0
MOL_PE,D,20080303,000000,7.0655,7.0655,6.7795,6.7795,0,0
MOL_PE,D,20080304,000000,6.9978,6.9978,6.6367,6.6367,0,0
MOL_PE,D,20080305,000000,6.7795,6.7795,6.6367,6.6367,0,0
MOL_PE,D,20080306,000000,6.9226,6.9978,6.6367,6.7119,0,0
MOL_PE,D,20080307,000000,6.9226,6.9226,6.7795,6.7795,0,0
MOL_PE,D,20080310,000000,6.7795,6.7795,6.7119,6.7119,0,0
MOL_PE,D,20080311,000000,6.6367,6.6367,6.4938,6.5614,0,0
MOL_PE,D,20080312,000000,6.6367,6.7119,6.5614,6.7119,0,0
MOL_PE,D,20080313,000000,6.5614,6.7119,6.3506,6.3506,0,0
MOL_PE,D,20080314,000000,6.5614,6.5614,6.2756,6.3506,0,0
MOL_PE,D,20080317,000000,6.2756,6.2756,5.9895,5.9895,0,0
MOL_PE,D,20080318,000000,5.9143,6.1326,5.9143,6.1326,0,0
MOL_PE,D,20080319,000000,6.3506,6.3506,6.1326,6.2756,0,0
MOL_PE,D,20080320,000000,6.2002,6.2002,6.0573,6.0573,0,0
MOL_PE,D,20080325,000000,6.2756,6.2756,6.1326,6.1326,0,0
MOL_PE,D,20080326,000000,6.2002,6.2002,6.1326,6.1326,0,0
MOL_PE,D,20080327,000000,6.2756,6.3506,6.1326,6.2756,0,0
MOL_PE,D,20080328,000000,6.5614,6.6367,6.5614,6.5614,0,0
MOL_PE,D,20080331,000000,6.3506,6.3506,6.3506,6.3506,0,0
MOL_PE,D,20080401,000000,6.5614,6.5614,6.5614,6.5614,0,0
