<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSP_PE,D,20070813,000000,13.625,13.625,13.625,13.625,0,0
MSP_PE,D,20070814,000000,13.557,13.557,13.557,13.557,0,0
MSP_PE,D,20070816,000000,13.273,13.273,13.273,13.273,0,0
MSP_PE,D,20070817,000000,13.415,13.415,13.415,13.415,0,0
MSP_PE,D,20070820,000000,13.482,13.482,13.482,13.482,0,0
MSP_PE,D,20070821,000000,13.415,13.415,13.415,13.415,0,0
MSP_PE,D,20070822,000000,14.052,14.052,14.052,14.052,0,0
MSP_PE,D,20070823,000000,13.834,13.834,13.834,13.834,0,0
MSP_PE,D,20070824,000000,13.91,13.91,13.91,13.91,0,0
MSP_PE,D,20070827,000000,14.187,14.187,14.187,14.187,0,0
MSP_PE,D,20070828,000000,14.187,14.187,14.187,14.187,0,0
MSP_PE,D,20070829,000000,14.119,14.119,14.119,14.119,0,0
MSP_PE,D,20070830,000000,14.262,14.262,14.262,14.262,0,0
MSP_PE,D,20070831,000000,15.394,15.394,15.394,15.394,0,0
MSP_PE,D,20070903,000000,16.024,16.024,16.024,16.024,0,0
MSP_PE,D,20070904,000000,16.166,16.166,16.166,16.166,0,0
MSP_PE,D,20070905,000000,15.461,15.461,15.461,15.461,0,0
MSP_PE,D,20070906,000000,15.604,15.604,15.604,15.604,0,0
MSP_PE,D,20070907,000000,15.461,15.461,15.461,15.461,0,0
MSP_PE,D,20070910,000000,15.251,15.251,15.251,15.251,0,0
MSP_PE,D,20070911,000000,15.671,15.671,15.671,15.671,0,0
MSP_PE,D,20070912,000000,16.099,16.099,16.099,16.099,0,0
MSP_PE,D,20070913,000000,15.746,15.746,15.746,15.746,0,0
MSP_PE,D,20070914,000000,15.461,15.461,15.461,15.461,0,0
MSP_PE,D,20070917,000000,15.746,15.746,15.746,15.746,0,0
MSP_PE,D,20070918,000000,16.099,16.099,16.099,16.099,0,0
MSP_PE,D,20070919,000000,16.376,16.376,16.376,16.376,0,0
MSP_PE,D,20070920,000000,17.082,17.082,17.082,17.082,0,0
MSP_PE,D,20070921,000000,18.214,18.214,18.214,18.214,0,0
MSP_PE,D,20070924,000000,19.623,19.623,19.623,19.623,0,0
MSP_PE,D,20070925,000000,18.851,18.851,18.851,18.851,0,0
MSP_PE,D,20070926,000000,18.709,18.709,18.709,18.709,0,0
MSP_PE,D,20070927,000000,18.214,18.214,18.214,18.214,0,0
MSP_PE,D,20070928,000000,17.576,17.576,17.576,17.576,0,0
MSP_PE,D,20071001,000000,17.014,17.014,17.014,17.014,0,0
MSP_PE,D,20071002,000000,17.441,17.441,17.441,17.441,0,0
MSP_PE,D,20071003,000000,17.929,17.929,17.929,17.929,0,0
MSP_PE,D,20071004,000000,17.794,17.794,17.794,17.794,0,0
MSP_PE,D,20071005,000000,17.576,17.576,17.576,17.576,0,0
MSP_PE,D,20071008,000000,17.576,17.576,17.576,17.576,0,0
MSP_PE,D,20071009,000000,17.366,17.366,17.366,17.366,0,0
MSP_PE,D,20071010,000000,17.861,17.861,17.861,17.861,0,0
MSP_PE,D,20071011,000000,18.919,18.919,18.919,18.919,0,0
MSP_PE,D,20071012,000000,18.641,18.641,18.641,18.641,0,0
MSP_PE,D,20071015,000000,18.919,18.919,18.919,18.919,0,0
MSP_PE,D,20071016,000000,18.499,18.499,18.499,18.499,0,0
MSP_PE,D,20071017,000000,18.776,18.776,18.776,18.776,0,0
MSP_PE,D,20071018,000000,19.204,19.204,19.204,19.204,0,0
MSP_PE,D,20071019,000000,18.919,18.919,18.919,18.919,0,0
MSP_PE,D,20071022,000000,18.424,18.424,18.424,18.424,0,0
MSP_PE,D,20071023,000000,19.061,19.061,19.061,19.061,0,0
MSP_PE,D,20071024,000000,18.994,18.994,18.994,18.994,0,0
MSP_PE,D,20071025,000000,19.27,19.27,19.27,19.27,0,0
MSP_PE,D,20071026,000000,19.061,19.061,19.061,19.061,0,0
