<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVP_PE,D,20171219,000000,903.5,903.5,903.5,903.5,0,0
MVP_PE,D,20171220,000000,872.2,872.2,785.6,862.4,0,0
MVP_PE,D,20171221,000000,864.7,876.5,823.5,827.2,0,0
MVP_PE,D,20171222,000000,864.7,864.7,809.4,844.8,0,0
MVP_PE,D,20171227,000000,838.8,838.8,805.9,813.1,0,0
MVP_PE,D,20171228,000000,815.3,831.8,805.9,829.5,0,0
MVP_PE,D,20171229,000000,831.8,831.8,801.2,809.6,0,0
MVP_PE,D,20180103,000000,814.1,814.1,805.9,811.9,0,0
MVP_PE,D,20180104,000000,822.4,822.4,811.8,814.3,0,0
MVP_PE,D,20180105,000000,816.5,820,805.9,808.4,0,0
MVP_PE,D,20180108,000000,808.2,810.6,735.3,773.2,0,0
MVP_PE,D,20180109,000000,776.5,776.5,740.4,740.4,0,0
MVP_PE,D,20180110,000000,757.6,764.7,735.3,762.7,0,0
MVP_PE,D,20180111,000000,764.7,774.1,758.8,772,0,0
MVP_PE,D,20180112,000000,775.3,778.8,758.8,762.7,0,0
MVP_PE,D,20180115,000000,752.9,760,738.8,756.8,0,0
MVP_PE,D,20180116,000000,736.5,752.9,736.5,750.9,0,0
MVP_PE,D,20180117,000000,752.9,752.9,705.9,732.2,0,0
MVP_PE,D,20180118,000000,718.8,735.3,687.1,727.5,0,0
MVP_PE,D,20180119,000000,729.4,742.4,703.5,729.8,0,0
MVP_PE,D,20180122,000000,731.8,762.4,730.6,760.3,0,0
MVP_PE,D,20180123,000000,788.2,788.2,764.7,780.3,0,0
MVP_PE,D,20180124,000000,782.4,782.4,772.9,780.3,0,0
MVP_PE,D,20180125,000000,782.4,782.4,773.2,773.2,0,0
MVP_PE,D,20180126,000000,767.1,769.4,755.3,767.4,0,0
MVP_PE,D,20180129,000000,775.3,776.5,755.3,774.4,0,0
MVP_PE,D,20180130,000000,776.5,811.8,776.5,807.2,0,0
MVP_PE,D,20180131,000000,814.1,817.6,804.7,816.5,0,0
MVP_PE,D,20180201,000000,818.8,835.3,818.8,821.3,0,0
MVP_PE,D,20180202,000000,811.8,811.8,808.2,809.6,0,0
MVP_PE,D,20180205,000000,800,823.5,777.6,809.6,0,0
MVP_PE,D,20180206,000000,777.6,797.6,777.6,792,0,0
MVP_PE,D,20180207,000000,782.4,805.9,782.4,803.7,0,0
MVP_PE,D,20180208,000000,811.8,811.8,788.2,809.6,0,0
MVP_PE,D,20180209,000000,776.5,809.6,764.7,772,0,0
MVP_PE,D,20180212,000000,800,800,797.9,797.9,0,0
MVP_PE,D,20180213,000000,807.1,807.1,797.9,797.9,0,0
MVP_PE,D,20180214,000000,807.1,807.1,794.1,797.9,0,0
MVP_PE,D,20180215,000000,807.1,807.1,797.9,797.9,0,0
MVP_PE,D,20180216,000000,804.7,804.7,795.3,799,0,0
MVP_PE,D,20180219,000000,800,807.1,797.9,797.9,0,0
MVP_PE,D,20180220,000000,807.1,807.1,797.9,797.9,0,0
MVP_PE,D,20180221,000000,798.8,798.8,782.4,795.5,0,0
MVP_PE,D,20180222,000000,791.8,805.9,782.4,803.7,0,0
MVP_PE,D,20180223,000000,807.1,807.1,797.9,797.9,0,0
MVP_PE,D,20180226,000000,788.2,792.9,770.6,790.8,0,0
MVP_PE,D,20180227,000000,788.2,790.8,768.5,768.5,0,0
MVP_PE,D,20180228,000000,770.6,794.1,768.5,783.8,0,0
MVP_PE,D,20180301,000000,771.8,780,762.7,762.7,0,0
MVP_PE,D,20180302,000000,764.7,764.7,694.1,727.5,0,0
MVP_PE,D,20180305,000000,696.5,741.2,696.5,715.7,0,0
MVP_PE,D,20180306,000000,717.6,740,708.2,733.3,0,0
MVP_PE,D,20180307,000000,740,740,733.3,738,0,0
MVP_PE,D,20180308,000000,740,740,733.3,733.3,0,0
MVP_PE,D,20180309,000000,741.2,741.2,717.6,739.2,0,0
MVP_PE,D,20180312,000000,723.5,723.5,721.2,721.6,0,0
MVP_PE,D,20180313,000000,724.7,729.4,700,700.5,0,0
MVP_PE,D,20180314,000000,729.4,729.4,721.6,721.6,0,0
MVP_PE,D,20180315,000000,741.2,741.2,709.9,709.9,0,0
MVP_PE,D,20180316,000000,712.9,724.7,708.2,722.8,0,0
MVP_PE,D,20180319,000000,708.2,735.3,708.2,733.3,0,0
MVP_PE,D,20180320,000000,710.6,741.2,705.9,739.2,0,0
MVP_PE,D,20180321,000000,705.9,729.4,705.9,727.5,0,0
MVP_PE,D,20180323,000000,707.1,727.5,689.9,689.9,0,0
MVP_PE,D,20180326,000000,691.8,723.5,691.8,709.9,0,0
MVP_PE,D,20180327,000000,727.1,727.1,698.1,698.1,0,0
MVP_PE,D,20180328,000000,727.1,727.1,674.7,674.7,0,0
MVP_PE,D,20180329,000000,694.1,694.1,673.5,673.5,0,0
MVP_PE,D,20180403,000000,675.3,692.9,668.8,668.8,0,0
MVP_PE,D,20180404,000000,647.1,676.5,6.3,6.3,0,0
MVP_PE,D,20180405,000000,6.3,6.3,6,6.3,0,0
MVP_PE,D,20180406,000000,6.1,6.2,6.1,6.1,0,0
MVP_PE,D,20180409,000000,6.1,6.2,6.1,6.2,0,0
MVP_PE,D,20180410,000000,6.2,6.3,6.2,6.3,0,0
MVP_PE,D,20180411,000000,6.3,6.3,6.2,6.2,0,0
MVP_PE,D,20180412,000000,6.2,6.2,6.2,6.2,0,0
MVP_PE,D,20180413,000000,6.1,6.2,6,6.2,0,0
MVP_PE,D,20180416,000000,6.1,6.2,6,6.1,0,0
MVP_PE,D,20180417,000000,6.1,6.3,6.1,6.3,0,0
MVP_PE,D,20180418,000000,6.3,6.3,6.2,6.2,0,0
