<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXC_PE,D,20170630,000000,6.775,6.775,6.775,6.775,0,0
MXC_PE,D,20170703,000000,6.851,6.851,6.5465,6.775,0,0
MXC_PE,D,20170704,000000,6.775,7.0032,6.775,6.9272,0,0
MXC_PE,D,20170705,000000,6.9272,6.9272,6.9272,6.9272,0,0
MXC_PE,D,20170706,000000,6.9272,6.9272,6.9272,6.9272,0,0
MXC_PE,D,20170707,000000,6.9272,6.9272,6.9272,6.9272,0,0
MXC_PE,D,20170710,000000,6.775,6.775,6.775,6.775,0,0
MXC_PE,D,20170711,000000,6.775,6.775,6.775,6.775,0,0
MXC_PE,D,20170712,000000,6.775,6.775,6.775,6.775,0,0
MXC_PE,D,20170713,000000,6.775,6.775,6.775,6.775,0,0
MXC_PE,D,20170714,000000,6.775,6.851,6.6227,6.851,0,0
MXC_PE,D,20170717,000000,6.775,6.851,6.775,6.851,0,0
MXC_PE,D,20170718,000000,6.9272,7.46,6.9272,7.1555,0,0
MXC_PE,D,20170719,000000,7.1555,7.2317,7.1555,7.1555,0,0
MXC_PE,D,20170720,000000,7.1555,7.2317,7.1555,7.1555,0,0
MXC_PE,D,20170721,000000,7.2317,7.2317,7.0032,7.1555,0,0
MXC_PE,D,20170724,000000,7.2317,9.1349,6.9272,9.1349,0,0
MXC_PE,D,20170725,000000,9.287,9.3631,9.287,9.3631,0,0
MXC_PE,D,20170726,000000,9.3631,9.3631,9.287,9.3631,0,0
MXC_PE,D,20170727,000000,9.3631,9.3631,8.9067,8.9828,0,0
MXC_PE,D,20170728,000000,9.211,9.211,8.9828,9.211,0,0
MXC_PE,D,20170731,000000,9.211,9.211,9.211,9.211,0,0
MXC_PE,D,20170801,000000,9.211,9.287,9.211,9.287,0,0
MXC_PE,D,20170802,000000,9.287,9.287,9.0588,9.287,0,0
MXC_PE,D,20170803,000000,9.287,9.287,9.1349,9.1349,0,0
MXC_PE,D,20170804,000000,9.1349,9.1349,9.0588,9.1349,0,0
MXC_PE,D,20170807,000000,9.1349,9.287,9.0588,9.287,0,0
MXC_PE,D,20170808,000000,9.1349,9.287,9.1349,9.211,0,0
MXC_PE,D,20170809,000000,9.211,9.211,8.9067,9.1349,0,0
MXC_PE,D,20170810,000000,9.0588,9.1349,8.8307,9.0588,0,0
MXC_PE,D,20170811,000000,8.9828,8.9828,8.9828,8.9828,0,0
MXC_PE,D,20170814,000000,8.9828,8.9828,8.9828,8.9828,0,0
MXC_PE,D,20170816,000000,8.9828,8.9828,8.9828,8.9828,0,0
MXC_PE,D,20170817,000000,9.0588,9.0588,8.6777,8.9067,0,0
MXC_PE,D,20170818,000000,8.6777,8.9067,8.5255,8.8307,0,0
MXC_PE,D,20170821,000000,8.8307,8.8307,8.6016,8.8307,0,0
MXC_PE,D,20170822,000000,8.8307,8.8307,8.6777,8.8307,0,0
MXC_PE,D,20170823,000000,8.8307,8.8307,8.6777,8.8307,0,0
MXC_PE,D,20170824,000000,8.8307,8.8307,8.7546,8.8307,0,0
MXC_PE,D,20170825,000000,8.8307,8.8307,8.6777,8.8307,0,0
MXC_PE,D,20170828,000000,8.8307,8.8307,8.7546,8.7546,0,0
MXC_PE,D,20170829,000000,8.7546,8.8307,8.5255,8.6777,0,0
MXC_PE,D,20170830,000000,8.7546,8.7546,8.6777,8.6777,0,0
MXC_PE,D,20170831,000000,8.5255,8.7546,8.4495,8.7546,0,0
MXC_PE,D,20170901,000000,8.7546,8.7546,8.6777,8.7546,0,0
MXC_PE,D,20170904,000000,8.7546,8.7546,8.6777,8.6777,0,0
MXC_PE,D,20170905,000000,8.6777,8.6777,8.6016,8.6016,0,0
MXC_PE,D,20170906,000000,8.6777,8.6777,8.2976,8.6777,0,0
MXC_PE,D,20170907,000000,8.8307,8.8307,8.6016,8.6777,0,0
MXC_PE,D,20170908,000000,8.8307,8.8307,8.3735,8.6016,0,0
MXC_PE,D,20170911,000000,8.6016,8.6016,8.2976,8.6016,0,0
MXC_PE,D,20170912,000000,8.6016,8.6016,8.4495,8.6016,0,0
MXC_PE,D,20170913,000000,8.6016,8.6777,8.3735,8.6016,0,0
MXC_PE,D,20170914,000000,8.6016,8.6016,8.3735,8.6016,0,0
MXC_PE,D,20170915,000000,8.6016,8.6016,8.3735,8.6016,0,0
MXC_PE,D,20170918,000000,8.6777,8.6777,8.4495,8.5255,0,0
MXC_PE,D,20170919,000000,8.3735,8.5255,8.3735,8.5255,0,0
MXC_PE,D,20170920,000000,8.5255,8.5255,8.3735,8.5255,0,0
MXC_PE,D,20170921,000000,8.4495,8.5255,8.4495,8.5255,0,0
MXC_PE,D,20170922,000000,8.5255,8.5255,8.3735,8.5255,0,0
MXC_PE,D,20170925,000000,8.5255,8.6016,8.3735,8.6016,0,0
MXC_PE,D,20170926,000000,8.6016,8.6016,8.4495,8.6016,0,0
MXC_PE,D,20170927,000000,8.6016,8.6016,8.4495,8.6016,0,0
MXC_PE,D,20170928,000000,8.6016,8.6016,8.6016,8.6016,0,0
MXC_PE,D,20170929,000000,8.2976,8.2976,8.2976,8.2976,0,0
MXC_PE,D,20171002,000000,7.7645,7.7645,6.3943,6.6988,0,0
MXC_PE,D,20171003,000000,6.3182,6.3182,5.1002,5.4808,0,0
MXC_PE,D,20171004,000000,5.6331,6.0137,5.6331,5.8615,0,0
MXC_PE,D,20171005,000000,6.0137,6.0137,5.4808,5.6331,0,0
MXC_PE,D,20171006,000000,5.6331,5.6331,5.1764,5.4048,0,0
MXC_PE,D,20171009,000000,5.3286,5.6331,5.3286,5.6331,0,0
MXC_PE,D,20171010,000000,5.6331,5.6331,5.4048,5.557,0,0
MXC_PE,D,20171011,000000,5.6331,5.7853,5.6331,5.7853,0,0
MXC_PE,D,20171012,000000,5.8615,5.8615,5.4808,5.4808,0,0
MXC_PE,D,20171013,000000,5.6331,5.6331,5.4808,5.6331,0,0
MXC_PE,D,20171016,000000,5.6331,5.6331,5.4808,5.6331,0,0
MXC_PE,D,20171017,000000,5.6331,5.6331,5.4808,5.557,0,0
MXC_PE,D,20171018,000000,5.6331,5.6331,5.4048,5.4048,0,0
MXC_PE,D,20171019,000000,5.557,5.557,5.3286,5.3286,0,0
MXC_PE,D,20171020,000000,5.3286,5.4048,5.2524,5.4048,0,0
MXC_PE,D,20171023,000000,5.4808,5.4808,5.1002,5.2524,0,0
MXC_PE,D,20171024,000000,5.2524,5.2524,4.9479,5.0241,0,0
MXC_PE,D,20171025,000000,5.0241,5.0241,4.5674,4.8719,0,0
MXC_PE,D,20171026,000000,5.0241,5.0241,4.6435,4.7197,0,0
MXC_PE,D,20171027,000000,4.6435,4.8719,4.6435,4.7957,0,0
