<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MZN_PE,D,20130617,000000,122.8,129.3,122.8,129.3,0,0
MZN_PE,D,20130704,000000,130.4,130.4,130.4,130.4,0,0
MZN_PE,D,20130709,000000,130.4,130.4,130.4,130.4,0,0
MZN_PE,D,20130716,000000,130.4,130.4,130.4,130.4,0,0
MZN_PE,D,20130717,000000,130.4,130.4,130.4,130.4,0,0
MZN_PE,D,20130718,000000,130.4,130.4,113,113,0,0
MZN_PE,D,20130719,000000,118.5,118.5,102.2,107.6,0,0
MZN_PE,D,20130722,000000,109.8,126.1,109.8,126.1,0,0
MZN_PE,D,20130725,000000,126.1,126.1,126.1,126.1,0,0
MZN_PE,D,20130726,000000,126.1,126.1,126.1,126.1,0,0
MZN_PE,D,20130729,000000,119.6,119.6,110.9,114.1,0,0
MZN_PE,D,20130730,000000,119.6,119.6,119.6,119.6,0,0
MZN_PE,D,20130731,000000,118.5,118.5,103.3,109.8,0,0
MZN_PE,D,20130808,000000,108.7,125,108.7,125,0,0
MZN_PE,D,20130809,000000,119.6,119.6,119.6,119.6,0,0
MZN_PE,D,20130813,000000,125,125,83.6,83.6,0,0
MZN_PE,D,20130827,000000,70.3,73.4,69.6,73.4,0,0
MZN_PE,D,20130828,000000,73.2,73.4,73.2,73.4,0,0
MZN_PE,D,20130902,000000,73.2,74.8,72.5,74.8,0,0
MZN_PE,D,20130903,000000,74.6,82.1,69.6,82.1,0,0
MZN_PE,D,20130906,000000,67.4,78.5,67.4,78.5,0,0
MZN_PE,D,20130912,000000,74.6,85.7,74.6,85.7,0,0
MZN_PE,D,20130916,000000,85.5,100.7,84.1,87.9,0,0
MZN_PE,D,20130917,000000,87,87.2,87,87.2,0,0
MZN_PE,D,20130918,000000,76.8,77,73.9,77,0,0
MZN_PE,D,20130923,000000,73.2,87,65.2,72.7,0,0
MZN_PE,D,20130924,000000,67.4,80.7,61.6,80.7,0,0
MZN_PE,D,20130925,000000,73.2,73.2,68.8,69,0,0
MZN_PE,D,20130926,000000,68.8,68.8,52.9,58.9,0,0
MZN_PE,D,20130927,000000,58,58,52.9,53,0,0
MZN_PE,D,20130930,000000,61.6,67.4,55.8,56,0,0
MZN_PE,D,20131001,000000,53.6,53.6,50,50.1,0,0
MZN_PE,D,20131002,000000,52.9,53,52.9,53,0,0
MZN_PE,D,20131003,000000,67.4,67.4,52.2,57.4,0,0
MZN_PE,D,20131004,000000,57.2,61.6,57.2,57.4,0,0
MZN_PE,D,20131007,000000,59.4,59.6,59.4,59.6,0,0
MZN_PE,D,20131008,000000,58.7,61,58,61,0,0
MZN_PE,D,20131009,000000,58,61,58,61,0,0
MZN_PE,D,20131016,000000,60.1,63,54.3,54.5,0,0
MZN_PE,D,20131017,000000,57.2,67.4,57.2,63.2,0,0
MZN_PE,D,20131025,000000,62.3,62.3,57.2,60.3,0,0
MZN_PE,D,20131028,000000,68.8,68.8,63.8,66.9,0,0
MZN_PE,D,20131029,000000,65.9,66.1,65.9,66.1,0,0
MZN_PE,D,20131030,000000,65.2,66.7,61.6,65.4,0,0
MZN_PE,D,20131031,000000,65.2,65.4,65.2,65.4,0,0
MZN_PE,D,20131104,000000,65.2,65.4,65.2,65.4,0,0
MZN_PE,D,20131105,000000,65.2,65.4,65.2,65.4,0,0
MZN_PE,D,20131106,000000,65.2,65.2,61.6,61.8,0,0
MZN_PE,D,20131114,000000,61.6,64.7,61.6,64.7,0,0
MZN_PE,D,20131118,000000,63.8,69,59.4,69,0,0
MZN_PE,D,20131119,000000,68.1,68.1,63,63.2,0,0
MZN_PE,D,20131121,000000,63,63,58,58,0,0
MZN_PE,D,20131122,000000,58,63.9,58,63.9,0,0
MZN_PE,D,20131125,000000,61.6,61.8,61.6,61.8,0,0
MZN_PE,D,20131129,000000,56.5,60.3,56.5,60.3,0,0
MZN_PE,D,20131203,000000,60.1,66.7,60.1,66.1,0,0
MZN_PE,D,20131204,000000,66.7,66.7,60.9,61,0,0
MZN_PE,D,20131209,000000,60.9,65.9,59.4,59.6,0,0
MZN_PE,D,20131210,000000,58.7,58.7,53.6,58.1,0,0
MZN_PE,D,20131211,000000,55.1,61,55.1,61,0,0
MZN_PE,D,20131223,000000,60.9,72.5,58,63.9,0,0
MZN_PE,D,20131230,000000,63.8,70.3,61.6,63.2,0,0
MZN_PE,D,20140102,000000,65.9,66.1,65.9,66.1,0,0
MZN_PE,D,20140110,000000,273.3,286.7,273.3,282.9,0,0
MZN_PE,D,20140115,000000,286.7,316.7,286.7,296,0,0
MZN_PE,D,20140117,000000,310,320,296.7,312.5,0,0
MZN_PE,D,20140120,000000,300,306.7,296,296,0,0
MZN_PE,D,20140121,000000,300,300,296,296,0,0
MZN_PE,D,20140122,000000,300,316.7,296,296,0,0
MZN_PE,D,20140123,000000,273.3,276.7,273,273,0,0
MZN_PE,D,20140124,000000,250,340,250,335.5,0,0
MZN_PE,D,20140127,000000,326.7,350,309.2,309.2,0,0
MZN_PE,D,20140130,000000,286.7,290,286.2,286.2,0,0
MZN_PE,D,20140131,000000,290,290,286.2,286.2,0,0
MZN_PE,D,20140203,000000,283.3,296.7,266.7,292.7,0,0
MZN_PE,D,20140206,000000,270,273.3,269.7,269.7,0,0
MZN_PE,D,20140210,000000,280,306.7,280,302.6,0,0
MZN_PE,D,20140212,000000,280,333.3,280,299.3,0,0
MZN_PE,D,20140219,000000,300,300,296,296,0,0
MZN_PE,D,20140220,000000,280,280,269.7,269.7,0,0
MZN_PE,D,20140221,000000,266.7,270,246.7,266.4,0,0
MZN_PE,D,20140224,000000,293.3,293.3,289.4,289.4,0,0
MZN_PE,D,20140226,000000,293.3,293.3,289.4,289.4,0,0
MZN_PE,D,20140228,000000,266.7,293.3,266.7,289.4,0,0
MZN_PE,D,20140303,000000,243.3,283.3,243.3,279.6,0,0
MZN_PE,D,20140910,000000,97.7,97.7,90.9,96.5,0,0
MZN_PE,D,20140911,000000,98.9,98.9,89.7,89.7,0,0
MZN_PE,D,20140912,000000,92,92,91.9,91.9,0,0
MZN_PE,D,20141006,000000,92,92,91.9,91.9,0,0
MZN_PE,D,20141007,000000,92,98.9,92,98.7,0,0
MZN_PE,D,20141017,000000,101.1,101.1,101,101,0,0
MZN_PE,D,20141020,000000,101.1,101.1,101,101,0,0
MZN_PE,D,20141021,000000,101.1,101.1,101,101,0,0
MZN_PE,D,20141022,000000,101.1,101.1,91.9,91.9,0,0
MZN_PE,D,20141027,000000,92,92,90.8,90.8,0,0
MZN_PE,D,20141028,000000,84.1,84.1,84,84,0,0
MZN_PE,D,20141030,000000,72.7,75,67,69.2,0,0
MZN_PE,D,20141103,000000,71.6,71.6,70.4,70.4,0,0
MZN_PE,D,20141105,000000,71.6,71.6,71.5,71.5,0,0
MZN_PE,D,20141110,000000,77.3,77.3,77.2,77.2,0,0
MZN_PE,D,20141112,000000,77.3,77.3,77.2,77.2,0,0
MZN_PE,D,20141113,000000,77.3,77.3,69.2,69.2,0,0
MZN_PE,D,20141114,000000,72.7,79.5,72.7,79.5,0,0
MZN_PE,D,20141117,000000,79.5,79.5,73.9,76,0,0
MZN_PE,D,20141120,000000,76.1,79.5,76.1,79.5,0,0
MZN_PE,D,20141124,000000,85.2,85.2,85.1,85.1,0,0
MZN_PE,D,20141125,000000,76.1,76.1,76,76,0,0
MZN_PE,D,20141127,000000,77.3,77.3,77.2,77.2,0,0
MZN_PE,D,20141128,000000,77.3,85.2,77.3,85.1,0,0
MZN_PE,D,20141204,000000,21.8,21.8,21.8,21.8,0,0
MZN_PE,D,20141209,000000,21.5,21.5,21.5,21.5,0,0
MZN_PE,D,20141218,000000,21.5,21.5,20.3,20.4,0,0
MZN_PE,D,20141219,000000,20.4,20.4,20.4,20.4,0,0
MZN_PE,D,20141222,000000,20.4,20.4,20.4,20.4,0,0
MZN_PE,D,20141223,000000,20.4,20.4,20.4,20.4,0,0
MZN_PE,D,20141230,000000,21.6,21.6,19.5,21.2,0,0
MZN_PE,D,20150102,000000,23.8,23.8,22.4,22.4,0,0
MZN_PE,D,20150105,000000,22.4,22.4,20.1,20.1,0,0
MZN_PE,D,20150113,000000,17.8,17.8,17.7,17.7,0,0
MZN_PE,D,20150114,000000,18,18,18,18,0,0
MZN_PE,D,20150121,000000,19.8,19.8,19.8,19.8,0,0
MZN_PE,D,20150204,000000,19.5,19.5,19.5,19.5,0,0
MZN_PE,D,20150206,000000,17.7,18.6,17.4,18.6,0,0
MZN_PE,D,20150209,000000,19.2,19.2,19.2,19.2,0,0
MZN_PE,D,20150210,000000,19.2,19.2,19.2,19.2,0,0
MZN_PE,D,20150211,000000,19.2,19.2,19.2,19.2,0,0
MZN_PE,D,20150212,000000,19.2,19.2,17.4,17.5,0,0
MZN_PE,D,20150216,000000,17.5,17.5,16.6,16.6,0,0
MZN_PE,D,20150217,000000,16.6,16.6,16.6,16.6,0,0
MZN_PE,D,20150218,000000,16.6,16.6,16.6,16.6,0,0
