<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NET_PE,D,20080813,000000,10.445,10.445,10.445,10.445,0,0
NET_PE,D,20080814,000000,10.445,10.586,10.445,10.586,0,0
NET_PE,D,20080818,000000,10.445,10.445,10.445,10.445,0,0
NET_PE,D,20080819,000000,10.514,10.514,10.445,10.445,0,0
NET_PE,D,20080820,000000,10.445,10.514,10.445,10.445,0,0
NET_PE,D,20080821,000000,10.445,10.656,10.445,10.514,0,0
NET_PE,D,20080822,000000,10.514,10.514,10.445,10.445,0,0
NET_PE,D,20080825,000000,10.445,10.514,10.445,10.514,0,0
NET_PE,D,20080826,000000,10.514,10.586,10.445,10.445,0,0
NET_PE,D,20080827,000000,10.445,10.514,10.445,10.445,0,0
NET_PE,D,20080828,000000,10.445,10.514,10.445,10.445,0,0
NET_PE,D,20080829,000000,10.445,10.445,10.445,10.445,0,0
NET_PE,D,20080901,000000,10.514,10.656,10.445,10.445,0,0
NET_PE,D,20080902,000000,10.445,10.445,10.445,10.445,0,0
NET_PE,D,20080903,000000,10.445,10.445,10.375,10.445,0,0
NET_PE,D,20080904,000000,10.445,10.514,10.445,10.445,0,0
NET_PE,D,20080905,000000,10.445,10.445,10.375,10.445,0,0
NET_PE,D,20080908,000000,10.586,10.586,10.445,10.445,0,0
NET_PE,D,20080909,000000,10.445,10.514,10.445,10.445,0,0
NET_PE,D,20080910,000000,10.445,10.445,10.234,10.303,0,0
NET_PE,D,20080911,000000,10.445,10.445,10.234,10.234,0,0
NET_PE,D,20080912,000000,10.162,10.303,10.162,10.303,0,0
NET_PE,D,20080915,000000,10.303,10.303,10.022,10.092,0,0
NET_PE,D,20080916,000000,10.022,10.092,9.739,10.022,0,0
NET_PE,D,20080917,000000,10.022,10.022,9.1032,9.739,0,0
NET_PE,D,20080918,000000,9.598,9.598,9.2445,9.4565,0,0
NET_PE,D,20080919,000000,9.527,9.527,9.3858,9.3858,0,0
NET_PE,D,20080922,000000,9.527,9.527,9.3858,9.4565,0,0
NET_PE,D,20080923,000000,9.4565,9.527,9.3858,9.527,0,0
NET_PE,D,20080924,000000,9.598,9.81,9.527,9.739,0,0
NET_PE,D,20080925,000000,9.668,9.739,9.4565,9.739,0,0
NET_PE,D,20080926,000000,9.81,9.81,9.4565,9.4565,0,0
NET_PE,D,20080929,000000,9.4565,9.4565,9.2445,9.2445,0,0
NET_PE,D,20080930,000000,9.2445,9.3152,8.9619,9.2445,0,0
NET_PE,D,20081001,000000,9.1748,9.3152,8.9619,9.2445,0,0
NET_PE,D,20081002,000000,9.2445,9.2445,8.9619,9.2445,0,0
NET_PE,D,20081003,000000,9.1748,9.2445,9.0335,9.2445,0,0
NET_PE,D,20081006,000000,9.2445,9.2445,8.7509,9.1748,0,0
NET_PE,D,20081007,000000,8.8922,9.1748,8.8215,9.1748,0,0
NET_PE,D,20081008,000000,8.7509,9.1748,8.0449,9.1032,0,0
NET_PE,D,20081009,000000,9.0335,9.1032,8.8922,9.1032,0,0
NET_PE,D,20081010,000000,8.3982,8.3982,8.1862,8.1862,0,0
NET_PE,D,20081013,000000,8.6095,8.6095,8.1862,8.3982,0,0
NET_PE,D,20081014,000000,8.7509,8.7509,8.4689,8.5396,0,0
NET_PE,D,20081015,000000,8.5396,8.5396,8.0449,8.0449,0,0
NET_PE,D,20081016,000000,7.6923,7.8335,7.4098,7.4098,0,0
NET_PE,D,20081017,000000,7.4098,7.4098,6.7044,7.4098,0,0
NET_PE,D,20081020,000000,7.4098,7.4098,6.9866,7.4098,0,0
NET_PE,D,20081021,000000,7.3396,7.4098,7.1983,7.3396,0,0
NET_PE,D,20081022,000000,7.3396,7.3396,7.0572,7.3396,0,0
NET_PE,D,20081023,000000,7.2686,7.3396,7.1278,7.1278,0,0
NET_PE,D,20081024,000000,7.2686,7.2686,6.916,6.9866,0,0
NET_PE,D,20081027,000000,6.9866,6.9866,6.7749,6.8454,0,0
NET_PE,D,20081028,000000,7.0572,7.1278,6.8454,6.8454,0,0
NET_PE,D,20081029,000000,7.0572,7.0572,6.916,6.9866,0,0
NET_PE,D,20081030,000000,7.1278,7.1278,6.7749,6.7749,0,0
NET_PE,D,20081031,000000,6.8454,6.916,6.7749,6.7749,0,0
NET_PE,D,20081103,000000,6.8454,6.916,6.8454,6.916,0,0
NET_PE,D,20081104,000000,6.9866,7.1983,6.9866,6.9866,0,0
NET_PE,D,20081105,000000,7.1278,7.1278,6.916,6.916,0,0
NET_PE,D,20081106,000000,6.916,6.9866,6.916,6.9866,0,0
NET_PE,D,20081107,000000,7.0572,7.0572,6.9866,6.9866,0,0
NET_PE,D,20081110,000000,7.6221,7.8335,7.5511,7.6923,0,0
NET_PE,D,20081112,000000,7.6923,7.8335,7.5511,7.6923,0,0
NET_PE,D,20081113,000000,7.6923,7.7632,7.6221,7.6923,0,0
NET_PE,D,20081114,000000,7.9747,7.9747,7.6923,7.6923,0,0
NET_PE,D,20081117,000000,7.6923,7.8335,4.3755,4.3755,0,0
NET_PE,D,20081118,000000,4.3755,4.4461,4.3049,4.3755,0,0
NET_PE,D,20081119,000000,4.4461,4.5166,4.3755,4.5166,0,0
NET_PE,D,20081120,000000,4.4461,4.5166,4.3755,4.5166,0,0
NET_PE,D,20081121,000000,4.5166,4.7989,4.5166,4.6577,0,0
NET_PE,D,20081124,000000,4.7989,4.8695,4.7989,4.8695,0,0
NET_PE,D,20081125,000000,4.8695,4.9401,4.7989,4.8695,0,0
NET_PE,D,20081126,000000,4.8695,4.8695,4.7283,4.7283,0,0
NET_PE,D,20081127,000000,4.8695,4.9401,4.7989,4.8695,0,0
NET_PE,D,20081128,000000,4.9401,4.9401,4.8695,4.8695,0,0
NET_PE,D,20081201,000000,4.9401,4.9401,4.6577,4.6577,0,0
NET_PE,D,20081202,000000,4.3755,4.7989,4.3755,4.7989,0,0
NET_PE,D,20081203,000000,4.8695,5.0106,4.8695,5.0106,0,0
NET_PE,D,20081204,000000,5.0812,5.2223,5.0812,5.2223,0,0
NET_PE,D,20081205,000000,5.2929,5.434,5.2929,5.3634,0,0
NET_PE,D,20081208,000000,5.434,5.5046,5.2929,5.2929,0,0
NET_PE,D,20081209,000000,5.3634,5.3634,5.0106,5.1518,0,0
NET_PE,D,20081210,000000,5.2223,5.2223,5.0106,5.0106,0,0
NET_PE,D,20081211,000000,5.1518,5.1518,4.7989,4.8695,0,0
NET_PE,D,20081212,000000,4.7989,4.7989,4.7283,4.7283,0,0
NET_PE,D,20081215,000000,4.8695,4.8695,4.6577,4.6577,0,0
NET_PE,D,20081216,000000,4.7283,4.7989,4.5872,4.6577,0,0
NET_PE,D,20081217,000000,4.7283,4.7283,4.5166,4.5872,0,0
NET_PE,D,20081218,000000,4.5166,4.6577,4.5166,4.5166,0,0
NET_PE,D,20081219,000000,4.4461,4.6577,4.4461,4.6577,0,0
NET_PE,D,20081222,000000,4.6577,4.6577,4.5872,4.5872,0,0
NET_PE,D,20081223,000000,4.6577,4.6577,4.5872,4.5872,0,0
NET_PE,D,20081229,000000,4.5872,4.5872,4.5872,4.5872,0,0
NET_PE,D,20081230,000000,4.5872,4.5872,4.5166,4.5166,0,0
NET_PE,D,20081231,000000,4.5166,4.6577,4.5166,4.6577,0,0
NET_PE,D,20090105,000000,4.7283,4.8695,4.6577,4.7989,0,0
NET_PE,D,20090106,000000,4.8695,5.0106,4.8695,4.9401,0,0
NET_PE,D,20090107,000000,4.9401,4.9401,4.8695,4.8695,0,0
NET_PE,D,20090108,000000,4.7989,4.8695,4.7989,4.7989,0,0
NET_PE,D,20090109,000000,4.7989,5.0812,4.7283,5.0106,0,0
NET_PE,D,20090112,000000,5.0106,5.0106,4.8695,4.9401,0,0
NET_PE,D,20090113,000000,4.9401,5.0106,4.8695,4.9401,0,0
NET_PE,D,20090114,000000,5.0106,5.0106,4.8695,5.0106,0,0
NET_PE,D,20090115,000000,5.0106,5.0106,4.8695,4.9401,0,0
NET_PE,D,20090116,000000,5.0106,5.0106,4.8695,4.9401,0,0
NET_PE,D,20090119,000000,4.8695,5.0106,4.8695,5.0106,0,0
NET_PE,D,20090120,000000,5.0106,5.0812,4.9401,5.0812,0,0
NET_PE,D,20090121,000000,5.0106,5.1518,5.0106,5.0812,0,0
NET_PE,D,20090122,000000,5.1518,5.2223,5.0106,5.0812,0,0
NET_PE,D,20090123,000000,5.0812,5.2223,5.0106,5.2223,0,0
NET_PE,D,20090126,000000,5.2929,5.2929,5.1518,5.1518,0,0
NET_PE,D,20090127,000000,5.1518,5.2223,5.0812,5.1518,0,0
NET_PE,D,20090128,000000,5.1518,5.1518,5.0812,5.0812,0,0
NET_PE,D,20090129,000000,5.0812,5.0812,4.9401,5.0812,0,0
NET_PE,D,20090130,000000,5.0106,5.0812,5.0106,5.0812,0,0
NET_PE,D,20090202,000000,5.1518,5.1518,5.0106,5.0106,0,0
NET_PE,D,20090203,000000,5.0812,5.0812,4.8695,4.9401,0,0
NET_PE,D,20090204,000000,5.0106,5.0106,4.7989,4.8695,0,0
NET_PE,D,20090205,000000,4.7283,4.7989,4.7283,4.7989,0,0
NET_PE,D,20090206,000000,4.8695,4.8695,4.7989,4.8695,0,0
NET_PE,D,20090209,000000,4.8695,4.9401,4.7989,4.9401,0,0
NET_PE,D,20090210,000000,5.0106,5.3634,5.0106,5.2223,0,0
NET_PE,D,20090211,000000,5.1518,5.2223,5.1518,5.2223,0,0
NET_PE,D,20090212,000000,5.2929,5.2929,5.0106,5.0106,0,0
NET_PE,D,20090213,000000,5.1518,5.2223,5.0106,5.2223,0,0
NET_PE,D,20090216,000000,5.2929,5.2929,5.1518,5.2223,0,0
NET_PE,D,20090217,000000,5.0812,5.2223,5.0812,5.2223,0,0
NET_PE,D,20090218,000000,5.1518,5.2223,5.0812,5.2223,0,0
NET_PE,D,20090219,000000,5.2223,5.2223,5.2223,5.2223,0,0
NET_PE,D,20090220,000000,5.1518,5.2223,5.0812,5.2223,0,0
NET_PE,D,20090223,000000,5.2223,5.3634,5.2223,5.2929,0,0
NET_PE,D,20090224,000000,5.2929,5.3634,5.1518,5.2223,0,0
NET_PE,D,20090225,000000,5.2929,5.2929,3.2463,3.2463,0,0
NET_PE,D,20090226,000000,3.2463,3.2463,3.2463,3.2463,0,0
NET_PE,D,20090227,000000,3.2463,3.3875,3.2463,3.3875,0,0
NET_PE,D,20090302,000000,3.3875,3.5991,3.3875,3.5286,0,0
NET_PE,D,20090303,000000,3.5991,3.7404,3.5991,3.5991,0,0
NET_PE,D,20090304,000000,3.6697,3.6697,3.3875,3.3875,0,0
NET_PE,D,20090305,000000,3.458,3.458,3.3169,3.3875,0,0
NET_PE,D,20090306,000000,3.3875,3.3875,3.1052,3.2463,0,0
NET_PE,D,20090309,000000,3.2463,3.2463,3.1758,3.1758,0,0
NET_PE,D,20090310,000000,3.1758,3.2463,3.1758,3.2463,0,0
NET_PE,D,20090311,000000,3.2463,3.2463,3.1758,3.1758,0,0
NET_PE,D,20090312,000000,3.1758,3.1758,3.0346,3.1758,0,0
NET_PE,D,20090313,000000,3.1758,3.1758,3.1052,3.1052,0,0
NET_PE,D,20090316,000000,3.1758,3.2463,3.1052,3.2463,0,0
NET_PE,D,20090317,000000,3.2463,3.3875,3.1758,3.2463,0,0
NET_PE,D,20090318,000000,3.3169,3.5286,3.3169,3.458,0,0
NET_PE,D,20090319,000000,3.458,3.5991,3.458,3.5991,0,0
NET_PE,D,20090320,000000,3.5991,3.7404,3.5991,3.6697,0,0
NET_PE,D,20090323,000000,3.7404,3.7404,3.5991,3.6697,0,0
NET_PE,D,20090324,000000,3.6697,3.6697,3.5286,3.6697,0,0
NET_PE,D,20090325,000000,3.5991,3.7404,3.5991,3.7404,0,0
NET_PE,D,20090326,000000,3.7404,3.8109,3.6697,3.7404,0,0
NET_PE,D,20090327,000000,3.7404,3.7404,3.5286,3.6697,0,0
NET_PE,D,20090330,000000,3.5286,3.5991,3.5286,3.5991,0,0
NET_PE,D,20090331,000000,3.5991,3.6697,3.5991,3.6697,0,0
NET_PE,D,20090401,000000,3.6697,3.6697,3.5991,3.6697,0,0
NET_PE,D,20090402,000000,3.952,3.952,3.952,3.952,0,0
NET_PE,D,20090403,000000,3.952,3.952,3.8815,3.952,0,0
NET_PE,D,20090406,000000,4.0932,4.0932,3.8815,3.8815,0,0
NET_PE,D,20090407,000000,3.8815,3.952,3.8815,3.952,0,0
