<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEU_PE,D,20100409,000000,6.314,6.314,6.314,6.314,0,0
NEU_PE,D,20100412,000000,6.314,6.3917,6.314,6.3917,0,0
NEU_PE,D,20100413,000000,6.3917,6.7037,6.314,6.7037,0,0
NEU_PE,D,20100414,000000,6.7037,6.7037,6.6257,6.7037,0,0
NEU_PE,D,20100415,000000,6.7037,6.8595,6.6257,6.7818,0,0
NEU_PE,D,20100416,000000,6.7037,6.7037,6.7037,6.7037,0,0
NEU_PE,D,20100419,000000,6.6257,6.7037,6.4698,6.7037,0,0
NEU_PE,D,20100420,000000,6.6257,6.6257,6.4698,6.5477,0,0
NEU_PE,D,20100421,000000,6.4698,6.5477,6.4698,6.5477,0,0
NEU_PE,D,20100422,000000,6.4698,6.5477,6.4698,6.4698,0,0
NEU_PE,D,20100423,000000,6.4719,6.544,6.4719,6.4719,0,0
NEU_PE,D,20100426,000000,6.4698,6.5477,6.4698,6.4698,0,0
NEU_PE,D,20100427,000000,6.3917,6.4698,6.3917,6.4698,0,0
NEU_PE,D,20100428,000000,6.3917,6.4698,6.3917,6.4698,0,0
NEU_PE,D,20100429,000000,6.4698,6.5477,6.4698,6.5477,0,0
NEU_PE,D,20100430,000000,6.544,6.6243,6.544,6.544,0,0
NEU_PE,D,20100504,000000,6.5477,6.9375,6.5477,6.9375,0,0
NEU_PE,D,20100505,000000,6.7818,6.8595,6.6257,6.8595,0,0
NEU_PE,D,20100506,000000,6.7037,6.7818,6.6257,6.7037,0,0
NEU_PE,D,20100507,000000,6.5477,6.6257,6.4698,6.4698,0,0
NEU_PE,D,20100510,000000,6.4698,6.7818,6.4698,6.7818,0,0
NEU_PE,D,20100511,000000,6.7818,6.7818,6.6257,6.6257,0,0
NEU_PE,D,20100512,000000,6.7037,6.7037,6.5477,6.5477,0,0
NEU_PE,D,20100513,000000,6.5477,6.5477,6.3917,6.4698,0,0
NEU_PE,D,20100514,000000,6.4698,6.4698,6.158,6.4698,0,0
NEU_PE,D,20100517,000000,6.4698,6.7037,6.314,6.6257,0,0
NEU_PE,D,20100518,000000,6.6257,6.7037,6.0022,6.0022,0,0
NEU_PE,D,20100519,000000,6.0022,6.0022,5.6904,6.0022,0,0
NEU_PE,D,20100520,000000,5.9241,5.9241,5.7683,5.8463,0,0
NEU_PE,D,20100521,000000,5.8463,5.9241,5.8463,5.9241,0,0
NEU_PE,D,20100524,000000,6.0022,6.0022,5.7683,5.9241,0,0
NEU_PE,D,20100525,000000,5.7683,5.8463,5.7683,5.8463,0,0
NEU_PE,D,20100526,000000,5.7683,6.0022,5.7683,5.9241,0,0
NEU_PE,D,20100527,000000,5.9241,5.9241,5.8463,5.9241,0,0
NEU_PE,D,20100528,000000,6.0022,6.0022,5.9241,5.9241,0,0
NEU_PE,D,20100531,000000,5.8464,6.079,5.8464,5.9987,0,0
NEU_PE,D,20100601,000000,6.08,6.08,5.9241,5.9241,0,0
NEU_PE,D,20100602,000000,5.8463,5.9241,5.7683,5.9241,0,0
NEU_PE,D,20100604,000000,5.8463,5.9241,5.8463,5.9241,0,0
NEU_PE,D,20100607,000000,5.8463,5.8463,5.8463,5.8463,0,0
NEU_PE,D,20100608,000000,5.8463,5.9241,5.8463,5.9241,0,0
NEU_PE,D,20100609,000000,5.8463,5.8463,5.7683,5.7683,0,0
NEU_PE,D,20100610,000000,5.7683,5.8463,5.7683,5.8463,0,0
NEU_PE,D,20100611,000000,5.8463,5.8463,5.8463,5.8463,0,0
NEU_PE,D,20100614,000000,5.8463,5.8463,5.6904,5.6904,0,0
NEU_PE,D,20100615,000000,5.6904,5.7683,5.6904,5.7683,0,0
NEU_PE,D,20100616,000000,5.6904,5.8463,5.6904,5.8463,0,0
NEU_PE,D,20100617,000000,5.7662,5.8464,5.7662,5.8464,0,0
NEU_PE,D,20100618,000000,5.7683,5.8463,5.7683,5.7683,0,0
NEU_PE,D,20100621,000000,5.7683,5.7683,5.7683,5.7683,0,0
NEU_PE,D,20100622,000000,5.7683,5.9241,5.7683,5.7683,0,0
NEU_PE,D,20100623,000000,5.7683,5.7683,5.7683,5.7683,0,0
NEU_PE,D,20100624,000000,5.7683,5.7683,5.7683,5.7683,0,0
NEU_PE,D,20100625,000000,5.8464,5.8464,5.6941,5.6941,0,0
NEU_PE,D,20100628,000000,5.6941,5.6941,5.6941,5.6941,0,0
NEU_PE,D,20100629,000000,5.6904,5.6904,5.6123,5.6123,0,0
NEU_PE,D,20100630,000000,5.5337,5.7662,5.5337,5.6941,0,0
NEU_PE,D,20100701,000000,5.7662,5.8464,5.7662,5.8464,0,0
NEU_PE,D,20100702,000000,5.7662,5.8464,5.6941,5.7662,0,0
NEU_PE,D,20100706,000000,5.7662,5.8464,5.6941,5.7662,0,0
NEU_PE,D,20100707,000000,5.7662,5.7662,5.7662,5.7662,0,0
