<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTT_PE,D,20070813,000000,34.368,34.368,34.368,34.368,0,0
NTT_PE,D,20070814,000000,36.188,36.188,36.188,36.188,0,0
NTT_PE,D,20070816,000000,33.131,33.131,33.131,33.131,0,0
NTT_PE,D,20070817,000000,33.932,33.932,33.932,33.932,0,0
NTT_PE,D,20070820,000000,17.184,17.184,17.184,17.184,0,0
NTT_PE,D,20070821,000000,17.184,17.184,17.184,17.184,0,0
NTT_PE,D,20070822,000000,17.33,17.33,17.33,17.33,0,0
NTT_PE,D,20070823,000000,17.476,17.476,17.476,17.476,0,0
NTT_PE,D,20070824,000000,17.33,17.33,17.33,17.33,0,0
NTT_PE,D,20070827,000000,17.33,17.33,17.33,17.33,0,0
NTT_PE,D,20070828,000000,16.966,16.966,16.966,16.966,0,0
NTT_PE,D,20070829,000000,16.82,16.82,16.82,16.82,0,0
NTT_PE,D,20070830,000000,25.339,25.339,25.339,25.339,0,0
NTT_PE,D,20070831,000000,25.849,25.849,25.849,25.849,0,0
NTT_PE,D,20070903,000000,26.213,26.213,26.213,26.213,0,0
NTT_PE,D,20070904,000000,25.996,25.996,25.996,25.996,0,0
NTT_PE,D,20070905,000000,25.631,25.631,25.631,25.631,0,0
NTT_PE,D,20070906,000000,25.195,25.195,25.195,25.195,0,0
NTT_PE,D,20070907,000000,24.83,24.83,24.83,24.83,0,0
NTT_PE,D,20070910,000000,24.466,24.466,24.466,24.466,0,0
NTT_PE,D,20070911,000000,24.392,24.392,24.392,24.392,0,0
NTT_PE,D,20070912,000000,24.32,24.32,24.32,24.32,0,0
NTT_PE,D,20070913,000000,24.466,24.466,24.466,24.466,0,0
NTT_PE,D,20070914,000000,24.392,24.392,24.392,24.392,0,0
NTT_PE,D,20070917,000000,24.392,24.392,24.392,24.392,0,0
NTT_PE,D,20070918,000000,24.83,24.83,24.83,24.83,0,0
NTT_PE,D,20070919,000000,25.339,25.339,25.339,25.339,0,0
NTT_PE,D,20070920,000000,25.048,25.048,25.048,25.048,0,0
NTT_PE,D,20070921,000000,25.048,25.048,25.048,25.048,0,0
NTT_PE,D,20070924,000000,25.048,25.048,25.048,25.048,0,0
NTT_PE,D,20070925,000000,24.903,24.903,24.903,24.903,0,0
NTT_PE,D,20070926,000000,24.903,24.903,24.903,24.903,0,0
NTT_PE,D,20070927,000000,24.83,24.83,24.83,24.83,0,0
NTT_PE,D,20070928,000000,24.612,24.612,24.612,24.612,0,0
NTT_PE,D,20071001,000000,24.612,24.612,24.612,24.612,0,0
NTT_PE,D,20071002,000000,24.612,24.612,24.612,24.612,0,0
NTT_PE,D,20071003,000000,25.485,25.485,25.485,25.485,0,0
NTT_PE,D,20071004,000000,25.339,25.339,25.339,25.339,0,0
NTT_PE,D,20071005,000000,25.704,25.704,25.704,25.704,0,0
NTT_PE,D,20071008,000000,25.704,25.704,25.704,25.704,0,0
NTT_PE,D,20071009,000000,25.558,25.558,25.558,25.558,0,0
NTT_PE,D,20071010,000000,25.195,25.195,25.195,25.195,0,0
NTT_PE,D,20071011,000000,25.195,25.195,25.195,25.195,0,0
NTT_PE,D,20071012,000000,24.612,24.612,24.612,24.612,0,0
NTT_PE,D,20071015,000000,24.903,24.903,24.903,24.903,0,0
NTT_PE,D,20071016,000000,26.359,26.359,26.359,26.359,0,0
NTT_PE,D,20071017,000000,27.232,27.232,27.232,27.232,0,0
NTT_PE,D,20071018,000000,26.287,26.287,26.287,26.287,0,0
NTT_PE,D,20071019,000000,26.868,26.868,26.868,26.868,0,0
