<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVT_PE,D,20080211,000000,11.174,11.174,11.174,11.174,0,0
NVT_PE,D,20080212,000000,11.697,11.697,11.123,11.436,0,0
NVT_PE,D,20080213,000000,11.436,11.853,11.123,11.853,0,0
NVT_PE,D,20080214,000000,12.01,12.219,11.697,11.906,0,0
NVT_PE,D,20080215,000000,12.115,12.115,11.749,11.749,0,0
NVT_PE,D,20080218,000000,11.749,12.219,11.697,12.01,0,0
NVT_PE,D,20080219,000000,12.219,12.219,11.279,11.802,0,0
NVT_PE,D,20080220,000000,11.749,11.749,11.644,11.697,0,0
NVT_PE,D,20080221,000000,11.697,11.697,11.227,11.697,0,0
NVT_PE,D,20080222,000000,11.227,11.488,11.123,11.123,0,0
NVT_PE,D,20080225,000000,11.488,11.488,10.862,11.123,0,0
NVT_PE,D,20080226,000000,11.332,11.488,10.809,10.809,0,0
NVT_PE,D,20080227,000000,11.488,11.488,10.809,10.862,0,0
NVT_PE,D,20080228,000000,10.809,11.332,10.496,10.862,0,0
NVT_PE,D,20080229,000000,11.018,11.018,10.548,10.913,0,0
NVT_PE,D,20080303,000000,10.443,11.279,10.339,11.279,0,0
NVT_PE,D,20080304,000000,11.436,11.541,11.018,11.436,0,0
NVT_PE,D,20080305,000000,11.488,11.644,11.488,11.488,0,0
NVT_PE,D,20080306,000000,11.802,11.802,11.123,11.488,0,0
NVT_PE,D,20080307,000000,11.488,12.062,11.436,12.062,0,0
NVT_PE,D,20080310,000000,12.062,13.628,12.062,13.577,0,0
NVT_PE,D,20080311,000000,13.473,13.734,13.159,13.628,0,0
NVT_PE,D,20080312,000000,13.839,13.839,13.316,13.577,0,0
NVT_PE,D,20080313,000000,13.525,13.628,13.159,13.577,0,0
NVT_PE,D,20080314,000000,13.577,14.047,13.211,13.681,0,0
NVT_PE,D,20080317,000000,13.577,13.628,13.107,13.628,0,0
NVT_PE,D,20080318,000000,13.994,14.517,13.473,14.517,0,0
NVT_PE,D,20080319,000000,14.569,14.725,13.943,14.309,0,0
NVT_PE,D,20080320,000000,14.151,14.151,13.628,13.994,0,0
NVT_PE,D,20080325,000000,13.839,14.309,13.839,14.309,0,0
NVT_PE,D,20080326,000000,14.359,14.359,13.943,14.204,0,0
NVT_PE,D,20080327,000000,14.309,14.309,13.89,14.256,0,0
NVT_PE,D,20080328,000000,14.256,14.882,14.256,14.882,0,0
NVT_PE,D,20080331,000000,16.92,16.92,16.92,16.92,0,0
NVT_PE,D,20080401,000000,17.127,19.112,17.127,19.007,0,0
NVT_PE,D,20080402,000000,19.112,19.112,16.291,16.291,0,0
NVT_PE,D,20080403,000000,16.45,17.233,15.926,16.502,0,0
NVT_PE,D,20080404,000000,16.502,17.075,15.926,16.502,0,0
NVT_PE,D,20080407,000000,17.023,17.023,16.136,16.502,0,0
NVT_PE,D,20080408,000000,16.291,16.291,14.778,15.666,0,0
NVT_PE,D,20080409,000000,15.666,15.874,15.405,15.874,0,0
NVT_PE,D,20080410,000000,15.352,15.874,14.256,14.569,0,0
NVT_PE,D,20080411,000000,14.569,15.248,14.517,14.517,0,0
NVT_PE,D,20080414,000000,14.725,14.725,13.943,14.151,0,0
NVT_PE,D,20080415,000000,13.89,14.151,13.525,13.577,0,0
NVT_PE,D,20080416,000000,13.525,14.517,13.42,14.517,0,0
NVT_PE,D,20080417,000000,14.151,14.359,13.786,13.786,0,0
NVT_PE,D,20080418,000000,14.359,14.359,13.734,13.943,0,0
NVT_PE,D,20080421,000000,13.943,14.204,13.42,13.42,0,0
NVT_PE,D,20080422,000000,13.994,13.994,12.95,12.95,0,0
NVT_PE,D,20080423,000000,12.95,12.95,12.01,12.48,0,0
NVT_PE,D,20080424,000000,12.794,13.42,12.742,13.316,0,0
NVT_PE,D,20080425,000000,13.786,13.786,13.211,13.577,0,0
NVT_PE,D,20080428,000000,13.055,14.151,13.055,13.525,0,0
NVT_PE,D,20080429,000000,13.107,13.525,13.107,13.42,0,0
NVT_PE,D,20080430,000000,14.151,14.204,13.42,13.994,0,0
NVT_PE,D,20080505,000000,13.786,14.359,13.473,13.994,0,0
NVT_PE,D,20080506,000000,14.256,14.256,6.684,6.684,0,0
NVT_PE,D,20080507,000000,6.7885,6.7885,6.5274,6.5795,0,0
NVT_PE,D,20080508,000000,6.5795,6.7361,6.4752,6.684,0,0
NVT_PE,D,20080509,000000,6.684,6.684,6.6318,6.684,0,0
NVT_PE,D,20080512,000000,6.4752,7.8328,6.4752,7.8328,0,0
NVT_PE,D,20080513,000000,7.8328,7.885,7.624,7.885,0,0
NVT_PE,D,20080514,000000,7.885,7.885,7.624,7.885,0,0
NVT_PE,D,20080515,000000,7.885,7.885,7.624,7.7806,0,0
