<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPL_PE,D,20070813,000000,7.4601,7.4601,7.4601,7.4601,0,0
OPL_PE,D,20070814,000000,7.4601,7.4601,7.4601,7.4601,0,0
OPL_PE,D,20070816,000000,7.0917,7.0917,7.0917,7.0917,0,0
OPL_PE,D,20070817,000000,7.3038,7.3038,7.3038,7.3038,0,0
OPL_PE,D,20070820,000000,7.3038,7.3038,7.3038,7.3038,0,0
OPL_PE,D,20070821,000000,7.3539,7.3539,7.3539,7.3539,0,0
OPL_PE,D,20070822,000000,7.6664,7.6664,7.6664,7.6664,0,0
OPL_PE,D,20070823,000000,7.6163,7.6163,7.6163,7.6163,0,0
OPL_PE,D,20070824,000000,7.7724,7.7724,7.7724,7.7724,0,0
OPL_PE,D,20070827,000000,7.7166,7.7166,7.7166,7.7166,0,0
OPL_PE,D,20070828,000000,7.6664,7.6664,7.6664,7.6664,0,0
OPL_PE,D,20070829,000000,7.6163,7.6163,7.6163,7.6163,0,0
OPL_PE,D,20070830,000000,7.4041,7.4041,7.4041,7.4041,0,0
OPL_PE,D,20070831,000000,7.6163,7.6163,7.6163,7.6163,0,0
OPL_PE,D,20070903,000000,7.6664,7.6664,7.6664,7.6664,0,0
OPL_PE,D,20070904,000000,7.9286,7.9286,7.9286,7.9286,0,0
OPL_PE,D,20070905,000000,7.7166,7.7166,7.7166,7.7166,0,0
OPL_PE,D,20070906,000000,7.7166,7.7166,7.7166,7.7166,0,0
OPL_PE,D,20070907,000000,7.6163,7.6163,7.6163,7.6163,0,0
OPL_PE,D,20070910,000000,7.6163,7.6163,7.6163,7.6163,0,0
OPL_PE,D,20070911,000000,7.6163,7.6163,7.6163,7.6163,0,0
OPL_PE,D,20070912,000000,7.7166,7.7166,7.7166,7.7166,0,0
OPL_PE,D,20070913,000000,7.7724,7.7724,7.7724,7.7724,0,0
OPL_PE,D,20070914,000000,7.7724,7.7724,7.7724,7.7724,0,0
OPL_PE,D,20070917,000000,7.7166,7.7166,7.7166,7.7166,0,0
OPL_PE,D,20070918,000000,7.7166,7.7166,7.7166,7.7166,0,0
OPL_PE,D,20070919,000000,7.8227,7.8227,7.8227,7.8227,0,0
OPL_PE,D,20070920,000000,7.8728,7.8728,7.8728,7.8728,0,0
OPL_PE,D,20070921,000000,7.5605,7.5605,7.5605,7.5605,0,0
OPL_PE,D,20070924,000000,7.4041,7.4041,7.4041,7.4041,0,0
OPL_PE,D,20070925,000000,7.4041,7.4041,7.4041,7.4041,0,0
OPL_PE,D,20070926,000000,7.4041,7.4041,7.4041,7.4041,0,0
OPL_PE,D,20070927,000000,7.3539,7.3539,7.3539,7.3539,0,0
OPL_PE,D,20070928,000000,7.3539,7.3539,7.3539,7.3539,0,0
