<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPN_PE,D,20080630,000000,36.127,36.589,35.663,36.589,0,0
OPN_PE,D,20080701,000000,36.165,36.165,35.052,36.071,0,0
OPN_PE,D,20080702,000000,36.071,36.071,34.494,34.773,0,0
OPN_PE,D,20080703,000000,34.773,34.773,33.938,34.68,0,0
OPN_PE,D,20080704,000000,34.31,35.237,33.66,34.494,0,0
OPN_PE,D,20080707,000000,34.031,34.031,33.66,34.031,0,0
OPN_PE,D,20080708,000000,33.288,34.031,32.733,34.031,0,0
OPN_PE,D,20080709,000000,34.122,35.885,34.122,35.885,0,0
OPN_PE,D,20080710,000000,35.421,35.421,34.866,35.237,0,0
OPN_PE,D,20080711,000000,35.237,35.421,34.773,34.773,0,0
OPN_PE,D,20080714,000000,34.403,35.421,34.031,34.031,0,0
OPN_PE,D,20080715,000000,34.68,34.68,33.103,33.197,0,0
OPN_PE,D,20080716,000000,33.012,33.197,31.342,31.342,0,0
OPN_PE,D,20080717,000000,31.619,32.454,31.342,31.342,0,0
OPN_PE,D,20080718,000000,31.99,31.99,29.117,29.117,0,0
OPN_PE,D,20080721,000000,29.674,31.249,29.674,30.879,0,0
OPN_PE,D,20080722,000000,31.157,34.403,31.157,33.66,0,0
OPN_PE,D,20080723,000000,34.31,35.33,33.66,35.33,0,0
OPN_PE,D,20080724,000000,36.907,38.204,26.242,26.242,0,0
OPN_PE,D,20080725,000000,26.242,26.242,24.945,26.242,0,0
OPN_PE,D,20080728,000000,26.798,26.798,25.963,26.521,0,0
OPN_PE,D,20080729,000000,26.149,27.912,26.149,27.912,0,0
OPN_PE,D,20080730,000000,27.912,27.912,26.427,27.54,0,0
OPN_PE,D,20080731,000000,27.076,27.633,26.89,27.54,0,0
OPN_PE,D,20080801,000000,26.984,27.447,26.612,27.447,0,0
OPN_PE,D,20080804,000000,27.076,27.076,26.334,26.334,0,0
OPN_PE,D,20080805,000000,26.242,26.984,26.242,26.521,0,0
OPN_PE,D,20080806,000000,26.984,26.984,26.057,26.521,0,0
OPN_PE,D,20080807,000000,26.242,26.521,26.057,26.427,0,0
OPN_PE,D,20080808,000000,26.149,26.334,25.501,26.242,0,0
OPN_PE,D,20080811,000000,26.057,26.057,25.035,25.035,0,0
OPN_PE,D,20080812,000000,25.408,25.592,24.945,25.501,0,0
OPN_PE,D,20080813,000000,25.221,25.871,25.221,25.871,0,0
OPN_PE,D,20080814,000000,25.314,25.78,25.035,25.78,0,0
OPN_PE,D,20080818,000000,25.78,26.057,25.408,26.057,0,0
OPN_PE,D,20080819,000000,25.963,26.057,25.685,25.685,0,0
OPN_PE,D,20080820,000000,26.057,26.057,25.221,25.685,0,0
OPN_PE,D,20080821,000000,25.78,25.78,25.221,25.685,0,0
OPN_PE,D,20080822,000000,25.408,25.685,24.945,25.408,0,0
OPN_PE,D,20080825,000000,25.501,25.501,24.758,25.314,0,0
OPN_PE,D,20080826,000000,25.408,25.408,24.945,25.035,0,0
OPN_PE,D,20080827,000000,24.945,25.035,24.388,24.572,0,0
OPN_PE,D,20080828,000000,24.572,25.314,24.294,25.314,0,0
OPN_PE,D,20080829,000000,25.408,25.685,25.13,25.685,0,0
OPN_PE,D,20080901,000000,25.221,25.501,24.945,25.314,0,0
OPN_PE,D,20080902,000000,24.945,25.314,24.945,25.314,0,0
OPN_PE,D,20080903,000000,25.408,25.408,25.314,25.408,0,0
OPN_PE,D,20080904,000000,25.592,25.592,25.035,25.221,0,0
OPN_PE,D,20080905,000000,25.035,25.314,24.758,24.851,0,0
OPN_PE,D,20080908,000000,24.758,24.945,24.294,24.945,0,0
OPN_PE,D,20080909,000000,24.945,24.945,24.294,24.294,0,0
OPN_PE,D,20080910,000000,24.758,25.314,24.388,25.221,0,0
OPN_PE,D,20080911,000000,25.314,25.592,24.109,25.501,0,0
OPN_PE,D,20080912,000000,25.408,25.408,25.035,25.408,0,0
OPN_PE,D,20080915,000000,25.13,25.314,24.667,25.314,0,0
OPN_PE,D,20080916,000000,24.851,25.13,24.851,25.13,0,0
OPN_PE,D,20080917,000000,24.945,25.13,24.48,24.758,0,0
OPN_PE,D,20080918,000000,24.294,24.48,23.738,24.48,0,0
OPN_PE,D,20080919,000000,24.667,25.408,24.48,25.408,0,0
OPN_PE,D,20080922,000000,25.408,26.149,25.408,25.592,0,0
OPN_PE,D,20080923,000000,25.408,25.685,24.945,25.685,0,0
OPN_PE,D,20080924,000000,25.685,26.242,25.685,26.242,0,0
OPN_PE,D,20080925,000000,26.242,27.447,26.242,27.076,0,0
OPN_PE,D,20080926,000000,27.355,28.19,27.355,28.097,0,0
OPN_PE,D,20080929,000000,28.466,28.466,28.097,28.097,0,0
OPN_PE,D,20080930,000000,27.912,27.912,26.798,26.984,0,0
OPN_PE,D,20081001,000000,27.355,27.725,26.984,27.076,0,0
OPN_PE,D,20081002,000000,27.633,27.633,26.798,27.169,0,0
OPN_PE,D,20081003,000000,26.89,27.076,26.149,26.798,0,0
OPN_PE,D,20081006,000000,26.057,26.89,25.408,26.334,0,0
OPN_PE,D,20081007,000000,25.592,25.592,24.572,24.758,0,0
OPN_PE,D,20081008,000000,24.294,24.758,22.255,24.388,0,0
OPN_PE,D,20081009,000000,24.109,24.572,23.646,24.572,0,0
OPN_PE,D,20081010,000000,23.183,23.646,21.976,23.368,0,0
OPN_PE,D,20081013,000000,23.368,23.924,22.44,22.81,0,0
OPN_PE,D,20081014,000000,23.461,24.109,22.163,23.368,0,0
OPN_PE,D,20081015,000000,23.368,23.461,22.163,23.461,0,0
OPN_PE,D,20081016,000000,22.81,23.461,22.347,23.183,0,0
OPN_PE,D,20081017,000000,23.183,23.183,21.605,22.255,0,0
OPN_PE,D,20081020,000000,22.626,23.089,21.698,22.44,0,0
OPN_PE,D,20081021,000000,22.255,22.255,20.494,21.328,0,0
OPN_PE,D,20081022,000000,21.05,21.05,18.916,18.916,0,0
OPN_PE,D,20081023,000000,17.99,18.916,14.558,14.65,0,0
OPN_PE,D,20081024,000000,14.373,14.373,10.942,11.312,0,0
OPN_PE,D,20081027,000000,11.499,11.499,10.015,10.479,0,0
OPN_PE,D,20081028,000000,11.312,11.312,10.664,10.942,0,0
OPN_PE,D,20081029,000000,11.777,13.167,11.777,12.611,0,0
