<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBX_PE,D,20150708,000000,10.699,10.699,10.699,10.699,0,0
PBX_PE,D,20150709,000000,10.699,10.699,10.608,10.608,0,0
PBX_PE,D,20150710,000000,10.881,10.973,10.79,10.79,0,0
PBX_PE,D,20150713,000000,10.79,11.065,10.79,11.065,0,0
PBX_PE,D,20150714,000000,11.249,11.338,11.065,11.249,0,0
PBX_PE,D,20150715,000000,11.338,11.338,11.338,11.338,0,0
PBX_PE,D,20150716,000000,11.429,11.522,11.429,11.522,0,0
PBX_PE,D,20150717,000000,11.522,11.613,11.522,11.522,0,0
PBX_PE,D,20150720,000000,11.613,11.796,11.613,11.796,0,0
PBX_PE,D,20150721,000000,11.796,11.796,11.613,11.613,0,0
PBX_PE,D,20150722,000000,11.338,11.338,11.338,11.338,0,0
PBX_PE,D,20150723,000000,11.429,11.429,11.429,11.429,0,0
PBX_PE,D,20150724,000000,11.157,11.249,11.157,11.249,0,0
PBX_PE,D,20150728,000000,11.429,11.429,11.338,11.338,0,0
PBX_PE,D,20150729,000000,11.338,11.613,11.065,11.429,0,0
PBX_PE,D,20150730,000000,11.429,11.429,11.429,11.429,0,0
PBX_PE,D,20150731,000000,11.522,11.522,11.065,11.065,0,0
PBX_PE,D,20150803,000000,11.249,11.249,11.249,11.249,0,0
PBX_PE,D,20150804,000000,11.429,11.429,11.429,11.429,0,0
PBX_PE,D,20150805,000000,11.157,11.249,11.157,11.249,0,0
PBX_PE,D,20150806,000000,11.249,11.249,11.249,11.249,0,0
PBX_PE,D,20150807,000000,11.338,11.429,11.338,11.429,0,0
PBX_PE,D,20150810,000000,11.522,11.522,11.429,11.429,0,0
PBX_PE,D,20150811,000000,11.338,11.338,11.338,11.338,0,0
PBX_PE,D,20150812,000000,11.338,11.338,11.249,11.249,0,0
PBX_PE,D,20150813,000000,11.338,11.522,11.338,11.522,0,0
PBX_PE,D,20150818,000000,11.429,13.075,11.429,13.075,0,0
