<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCR_PE,D,20140625,000000,7.4296,7.4296,7.4296,7.4296,0,0
PCR_PE,D,20140626,000000,6.8729,7.7389,6.8729,7.7389,0,0
PCR_PE,D,20140627,000000,7.7389,7.8016,7.7389,7.7389,0,0
PCR_PE,D,20140630,000000,7.7389,7.8629,7.7389,7.8016,0,0
PCR_PE,D,20140701,000000,7.8016,7.8016,7.7389,7.7389,0,0
PCR_PE,D,20140702,000000,7.8016,7.8016,7.6158,7.6158,0,0
PCR_PE,D,20140703,000000,7.6158,7.6158,7.5539,7.6158,0,0
PCR_PE,D,20140704,000000,7.6158,7.8629,7.6158,7.8629,0,0
PCR_PE,D,20140707,000000,7.8629,7.8629,7.6158,7.6158,0,0
PCR_PE,D,20140708,000000,7.6158,7.6158,7.6158,7.6158,0,0
PCR_PE,D,20140709,000000,7.6158,7.6158,7.5539,7.6158,0,0
PCR_PE,D,20140710,000000,7.6158,7.6158,7.5539,7.5539,0,0
PCR_PE,D,20140711,000000,7.5539,7.5539,7.5539,7.5539,0,0
PCR_PE,D,20140714,000000,7.6158,7.6158,7.5539,7.5539,0,0
PCR_PE,D,20140715,000000,7.492,7.6158,7.492,7.6158,0,0
PCR_PE,D,20140716,000000,7.6158,7.6158,7.5539,7.5539,0,0
PCR_PE,D,20140717,000000,7.5539,7.5539,7.492,7.5539,0,0
PCR_PE,D,20140718,000000,7.4296,7.492,7.4296,7.492,0,0
PCR_PE,D,20140721,000000,7.5539,7.5539,7.492,7.492,0,0
PCR_PE,D,20140722,000000,7.492,7.5539,7.492,7.5539,0,0
PCR_PE,D,20140723,000000,7.5539,7.5539,7.492,7.492,0,0
PCR_PE,D,20140725,000000,7.5539,7.5539,7.4296,7.4296,0,0
PCR_PE,D,20140728,000000,7.492,7.5539,7.492,7.5539,0,0
PCR_PE,D,20140729,000000,7.5539,7.5539,7.5539,7.5539,0,0
PCR_PE,D,20140730,000000,7.5539,7.5539,7.5539,7.5539,0,0
PCR_PE,D,20140731,000000,7.5539,7.5539,7.5539,7.5539,0,0
PCR_PE,D,20140801,000000,7.5539,8.1728,7.492,8.1728,0,0
PCR_PE,D,20140804,000000,8.1728,8.1728,8.1728,8.1728,0,0
PCR_PE,D,20140805,000000,8.1728,8.1728,8.111,8.1728,0,0
PCR_PE,D,20140806,000000,8.1728,8.1728,8.0485,8.0485,0,0
PCR_PE,D,20140807,000000,7.9867,8.0485,7.9255,8.0485,0,0
PCR_PE,D,20140808,000000,8.0485,8.0485,7.9255,8.0485,0,0
PCR_PE,D,20140811,000000,7.9867,8.111,7.9867,8.111,0,0
PCR_PE,D,20140812,000000,8.111,8.111,8.0485,8.111,0,0
PCR_PE,D,20140813,000000,8.111,8.111,8.0485,8.111,0,0
PCR_PE,D,20140814,000000,8.1728,8.1728,8.111,8.111,0,0
PCR_PE,D,20140818,000000,8.111,8.111,8.111,8.111,0,0
PCR_PE,D,20140819,000000,8.0485,8.111,8.0485,8.111,0,0
PCR_PE,D,20140820,000000,8.111,8.111,8.0485,8.0485,0,0
PCR_PE,D,20140821,000000,8.111,8.111,8.0485,8.111,0,0
PCR_PE,D,20140822,000000,8.111,8.111,8.0485,8.0485,0,0
PCR_PE,D,20140825,000000,8.111,8.111,8.111,8.111,0,0
PCR_PE,D,20140826,000000,8.111,8.111,8.0485,8.111,0,0
PCR_PE,D,20140827,000000,8.111,8.111,8.0485,8.111,0,0
PCR_PE,D,20140828,000000,8.111,8.1728,7.5539,8.1728,0,0
PCR_PE,D,20140829,000000,8.1728,8.2971,8.0485,8.2971,0,0
PCR_PE,D,20140901,000000,8.2971,8.2971,8.0485,8.0485,0,0
PCR_PE,D,20140902,000000,8.111,8.1728,7.9867,8.1728,0,0
PCR_PE,D,20140903,000000,8.1728,8.4212,8.111,8.4212,0,0
PCR_PE,D,20140904,000000,8.4212,8.4212,8.3587,8.3587,0,0
PCR_PE,D,20140905,000000,8.3587,8.3587,8.3587,8.3587,0,0
PCR_PE,D,20140908,000000,8.1728,8.3587,8.1728,8.3587,0,0
PCR_PE,D,20140909,000000,8.4212,8.4212,8.2353,8.3587,0,0
PCR_PE,D,20140910,000000,8.3587,8.3587,8.2353,8.3587,0,0
PCR_PE,D,20140911,000000,8.3587,8.3587,8.2353,8.2971,0,0
PCR_PE,D,20140912,000000,8.2971,8.2971,8.1728,8.1728,0,0
PCR_PE,D,20140915,000000,8.2353,8.2353,8.1728,8.1728,0,0
PCR_PE,D,20140916,000000,8.2353,8.2353,8.111,8.2353,0,0
PCR_PE,D,20140917,000000,8.2353,8.2353,8.1728,8.2353,0,0
PCR_PE,D,20140918,000000,8.1728,8.1728,8.1728,8.1728,0,0
PCR_PE,D,20140919,000000,8.111,8.2971,8.111,8.2971,0,0
PCR_PE,D,20140922,000000,8.1728,8.3587,8.1728,8.3587,0,0
PCR_PE,D,20140923,000000,8.3587,8.3587,8.3587,8.3587,0,0
PCR_PE,D,20140924,000000,8.3587,8.3587,8.2353,8.2353,0,0
PCR_PE,D,20140925,000000,8.2353,8.3587,8.2353,8.3587,0,0
PCR_PE,D,20140926,000000,8.3587,8.3587,8.3587,8.3587,0,0
PCR_PE,D,20140929,000000,8.3587,8.3587,8.2971,8.3587,0,0
PCR_PE,D,20140930,000000,8.3587,8.3587,8.3587,8.3587,0,0
PCR_PE,D,20141001,000000,8.2353,8.2353,8.2353,8.2353,0,0
PCR_PE,D,20141002,000000,8.2353,8.6063,8.2353,8.5447,0,0
PCR_PE,D,20141003,000000,8.5447,8.5447,8.4212,8.5447,0,0
PCR_PE,D,20141006,000000,8.5447,8.7306,8.5447,8.7306,0,0
PCR_PE,D,20141007,000000,8.7306,8.7306,8.669,8.669,0,0
PCR_PE,D,20141008,000000,8.669,8.669,8.669,8.669,0,0
PCR_PE,D,20141009,000000,8.669,8.669,8.6063,8.669,0,0
PCR_PE,D,20141010,000000,8.669,8.669,8.6063,8.669,0,0
PCR_PE,D,20141013,000000,8.669,8.669,8.669,8.669,0,0
PCR_PE,D,20141014,000000,8.669,8.669,8.5447,8.669,0,0
PCR_PE,D,20141015,000000,8.669,8.669,8.6063,8.6063,0,0
PCR_PE,D,20141016,000000,8.669,8.669,8.6063,8.669,0,0
PCR_PE,D,20141017,000000,8.669,8.669,8.669,8.669,0,0
PCR_PE,D,20141020,000000,8.669,8.7306,8.6063,8.7306,0,0
PCR_PE,D,20141021,000000,8.7306,8.7306,8.669,8.7306,0,0
PCR_PE,D,20141022,000000,8.7306,8.7306,8.6063,8.7306,0,0
PCR_PE,D,20141023,000000,8.7306,8.7306,8.669,8.7306,0,0
PCR_PE,D,20141024,000000,8.7306,8.7924,8.7306,8.7306,0,0
PCR_PE,D,20141027,000000,8.7306,8.7924,8.7306,8.7924,0,0
PCR_PE,D,20141028,000000,8.7924,8.7924,8.7306,8.7924,0,0
PCR_PE,D,20141029,000000,8.7924,8.7924,8.669,8.7306,0,0
PCR_PE,D,20141030,000000,8.7306,8.7306,8.5447,8.7306,0,0
PCR_PE,D,20141031,000000,8.7306,8.7924,8.7306,8.7306,0,0
PCR_PE,D,20141103,000000,8.7306,8.7306,8.5447,8.669,0,0
PCR_PE,D,20141104,000000,8.7306,8.7306,8.7306,8.7306,0,0
PCR_PE,D,20141105,000000,8.6063,8.7306,8.6063,8.7306,0,0
PCR_PE,D,20141106,000000,8.7306,8.7306,8.7306,8.7306,0,0
PCR_PE,D,20141107,000000,8.7306,8.7306,8.7306,8.7306,0,0
PCR_PE,D,20141110,000000,8.7306,8.7306,8.7306,8.7306,0,0
PCR_PE,D,20141112,000000,8.7306,8.7306,8.669,8.7306,0,0
PCR_PE,D,20141113,000000,8.7306,8.8544,8.669,8.7924,0,0
PCR_PE,D,20141114,000000,8.7924,8.7924,8.6063,8.669,0,0
PCR_PE,D,20141117,000000,8.669,8.7924,8.669,8.7924,0,0
PCR_PE,D,20141118,000000,8.7924,8.7924,8.7306,8.7306,0,0
PCR_PE,D,20141119,000000,8.7306,8.8544,8.7306,8.7924,0,0
PCR_PE,D,20141120,000000,8.8544,8.8544,8.7924,8.7924,0,0
PCR_PE,D,20141121,000000,8.7924,8.7924,8.669,8.7924,0,0
PCR_PE,D,20141124,000000,8.7306,8.7924,8.7306,8.7924,0,0
PCR_PE,D,20141125,000000,8.7924,8.7924,7.1205,7.1205,0,0
PCR_PE,D,20141126,000000,7.1825,7.1825,7.0586,7.1825,0,0
PCR_PE,D,20141127,000000,7.1825,7.1825,7.1825,7.1825,0,0
PCR_PE,D,20141128,000000,7.1825,7.1825,7.1205,7.1825,0,0
PCR_PE,D,20141201,000000,7.1825,7.1825,7.1205,7.1825,0,0
PCR_PE,D,20141202,000000,7.1825,7.1825,7.1205,7.1825,0,0
PCR_PE,D,20141203,000000,7.1825,7.2445,7.1205,7.2445,0,0
PCR_PE,D,20141204,000000,7.2445,7.2445,7.2445,7.2445,0,0
PCR_PE,D,20141205,000000,7.2445,7.2445,7.1205,7.2445,0,0
PCR_PE,D,20141208,000000,7.2445,7.2445,7.2445,7.2445,0,0
PCR_PE,D,20141209,000000,7.2445,7.3684,7.1825,7.3684,0,0
PCR_PE,D,20141210,000000,7.3684,7.6158,7.3684,7.3684,0,0
PCR_PE,D,20141211,000000,7.3684,7.3684,7.2445,7.3064,0,0
PCR_PE,D,20141212,000000,7.3684,7.3684,7.3684,7.3684,0,0
PCR_PE,D,20141215,000000,7.3684,7.3684,7.3064,7.3684,0,0
PCR_PE,D,20141216,000000,7.3684,7.3684,7.1205,7.3684,0,0
PCR_PE,D,20141217,000000,7.3684,7.6158,7.3684,7.6158,0,0
PCR_PE,D,20141218,000000,7.6158,7.8016,7.4296,7.7389,0,0
PCR_PE,D,20141219,000000,7.7389,7.8629,7.6158,7.8629,0,0
PCR_PE,D,20141222,000000,7.8629,7.8629,7.7389,7.8629,0,0
PCR_PE,D,20141223,000000,7.8629,7.8629,7.6777,7.8629,0,0
PCR_PE,D,20141229,000000,7.8629,8.0485,7.8016,8.0485,0,0
PCR_PE,D,20141230,000000,8.0485,8.0485,7.9867,8.0485,0,0
PCR_PE,D,20150102,000000,8.0485,8.1728,7.9867,7.9867,0,0
PCR_PE,D,20150105,000000,7.9867,8.111,7.9867,7.9867,0,0
PCR_PE,D,20150107,000000,8.0485,8.0485,8.0485,8.0485,0,0
PCR_PE,D,20150108,000000,8.111,8.1728,8.0485,8.111,0,0
PCR_PE,D,20150109,000000,8.111,8.1728,8.0485,8.1728,0,0
