<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCX_PE,D,20120920,000000,54.688,54.688,54.688,54.688,0,0
PCX_PE,D,20120921,000000,54.688,54.688,52.307,54.688,0,0
PCX_PE,D,20120924,000000,54.927,55.243,54.927,55.243,0,0
PCX_PE,D,20120925,000000,55.163,55.163,54.688,54.688,0,0
PCX_PE,D,20120926,000000,54.133,55.957,54.133,55.957,0,0
PCX_PE,D,20120927,000000,55.957,55.957,55.404,55.719,0,0
PCX_PE,D,20120928,000000,55.719,57.068,55.719,57.068,0,0
PCX_PE,D,20121001,000000,56.99,57.068,56.751,57.068,0,0
PCX_PE,D,20121002,000000,57.227,57.307,55.163,57.307,0,0
PCX_PE,D,20121003,000000,57.227,58.578,57.227,58.102,0,0
PCX_PE,D,20121004,000000,58.578,58.578,58.102,58.578,0,0
PCX_PE,D,20121005,000000,58.578,58.815,58.26,58.578,0,0
PCX_PE,D,20121008,000000,58.578,59.927,57.227,59.927,0,0
PCX_PE,D,20121009,000000,59.848,59.927,59.848,59.927,0,0
PCX_PE,D,20121010,000000,59.848,59.848,58.578,58.578,0,0
PCX_PE,D,20121011,000000,59.054,60.642,58.578,60.403,0,0
PCX_PE,D,20121012,000000,60.642,70.324,60.086,70.324,0,0
PCX_PE,D,20121015,000000,71.594,71.594,70.244,71.594,0,0
PCX_PE,D,20121016,000000,71.594,75.484,71.594,75.484,0,0
PCX_PE,D,20121017,000000,78.102,84.612,78.102,84.382,0,0
PCX_PE,D,20121018,000000,84.299,88.571,83.266,88.571,0,0
PCX_PE,D,20121019,000000,88.51,88.51,85.087,85.17,0,0
PCX_PE,D,20121022,000000,82.79,93.733,82.79,93.733,0,0
PCX_PE,D,20121023,000000,93.66,96.83,84.848,93.733,0,0
PCX_PE,D,20121024,000000,92.473,98.426,92.473,98.426,0,0
PCX_PE,D,20121025,000000,98.898,99.69,98.662,99.458,0,0
PCX_PE,D,20121026,000000,100.16,103.43,99.95,103.43,0,0
PCX_PE,D,20121029,000000,103.33,104.93,103.03,104.93,0,0
PCX_PE,D,20121030,000000,105.4,107.32,105.4,107.32,0,0
PCX_PE,D,20121031,000000,107.23,111.2,107,111.2,0,0
PCX_PE,D,20121102,000000,111.12,112.8,110.87,112.8,0,0
