<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEO_PE,D,20070813,000000,11.82,11.82,11.82,11.82,0,0
PEO_PE,D,20070814,000000,11.647,11.647,11.647,11.647,0,0
PEO_PE,D,20070816,000000,11.029,11.029,11.029,11.029,0,0
PEO_PE,D,20070817,000000,11.197,11.197,11.197,11.197,0,0
PEO_PE,D,20070820,000000,11.144,11.144,11.144,11.144,0,0
PEO_PE,D,20070821,000000,11.256,11.256,11.256,11.256,0,0
PEO_PE,D,20070822,000000,11.595,11.595,11.595,11.595,0,0
PEO_PE,D,20070823,000000,11.647,11.647,11.647,11.647,0,0
PEO_PE,D,20070824,000000,11.707,11.707,11.707,11.707,0,0
PEO_PE,D,20070827,000000,11.421,11.421,11.421,11.421,0,0
PEO_PE,D,20070828,000000,11.256,11.256,11.256,11.256,0,0
PEO_PE,D,20070829,000000,11.536,11.536,11.536,11.536,0,0
PEO_PE,D,20070830,000000,11.256,11.256,11.256,11.256,0,0
PEO_PE,D,20070831,000000,11.76,11.76,11.76,11.76,0,0
PEO_PE,D,20070903,000000,11.647,11.647,11.647,11.647,0,0
PEO_PE,D,20070904,000000,11.76,11.76,11.76,11.76,0,0
PEO_PE,D,20070905,000000,11.421,11.421,11.421,11.421,0,0
PEO_PE,D,20070906,000000,11.197,11.197,11.197,11.197,0,0
PEO_PE,D,20070907,000000,11.31,11.31,11.31,11.31,0,0
PEO_PE,D,20070910,000000,10.972,10.972,10.972,10.972,0,0
PEO_PE,D,20070911,000000,11.144,11.144,11.144,11.144,0,0
PEO_PE,D,20070912,000000,11.481,11.481,11.481,11.481,0,0
PEO_PE,D,20070913,000000,11.82,11.82,11.82,11.82,0,0
PEO_PE,D,20070914,000000,11.707,11.707,11.707,11.707,0,0
PEO_PE,D,20070917,000000,11.76,11.76,11.76,11.76,0,0
PEO_PE,D,20070918,000000,11.82,11.82,11.82,11.82,0,0
PEO_PE,D,20070919,000000,12.443,12.443,12.443,12.443,0,0
