<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGN_PE,D,20070813,000000,11.765,11.765,11.765,11.765,0,0
PGN_PE,D,20070814,000000,11.904,11.904,11.904,11.904,0,0
PGN_PE,D,20070816,000000,11.182,11.182,11.182,11.182,0,0
PGN_PE,D,20070817,000000,11.473,11.473,11.473,11.473,0,0
PGN_PE,D,20070820,000000,11.765,11.765,11.765,11.765,0,0
PGN_PE,D,20070821,000000,11.252,11.252,11.252,11.252,0,0
PGN_PE,D,20070822,000000,11.904,11.904,11.904,11.904,0,0
PGN_PE,D,20070823,000000,12.417,12.417,12.417,12.417,0,0
PGN_PE,D,20070824,000000,12.564,12.564,12.564,12.564,0,0
PGN_PE,D,20070827,000000,12.273,12.273,12.273,12.273,0,0
PGN_PE,D,20070828,000000,12.273,12.273,12.273,12.273,0,0
PGN_PE,D,20070829,000000,12.417,12.417,12.417,12.417,0,0
PGN_PE,D,20070830,000000,12.702,12.702,12.702,12.702,0,0
PGN_PE,D,20070831,000000,12.926,12.926,12.926,12.926,0,0
PGN_PE,D,20070903,000000,13.139,13.139,13.139,13.139,0,0
PGN_PE,D,20070904,000000,13.364,13.364,13.364,13.364,0,0
PGN_PE,D,20070905,000000,13.364,13.364,13.364,13.364,0,0
PGN_PE,D,20070906,000000,13.431,13.431,13.431,13.431,0,0
PGN_PE,D,20070907,000000,13.502,13.502,13.502,13.502,0,0
PGN_PE,D,20070910,000000,13.139,13.139,13.139,13.139,0,0
PGN_PE,D,20070911,000000,12.702,12.702,12.702,12.702,0,0
PGN_PE,D,20070912,000000,13.287,13.287,13.287,13.287,0,0
PGN_PE,D,20070913,000000,13.364,13.364,13.364,13.364,0,0
PGN_PE,D,20070914,000000,13.072,13.072,13.072,13.072,0,0
PGN_PE,D,20070917,000000,13.139,13.139,13.139,13.139,0,0
PGN_PE,D,20070918,000000,12.995,12.995,12.995,12.995,0,0
PGN_PE,D,20070919,000000,13.431,13.431,13.431,13.431,0,0
PGN_PE,D,20070920,000000,13.287,13.287,13.287,13.287,0,0
PGN_PE,D,20070921,000000,13.139,13.139,13.139,13.139,0,0
PGN_PE,D,20070924,000000,13.072,13.072,13.072,13.072,0,0
PGN_PE,D,20070925,000000,13.072,13.072,13.072,13.072,0,0
PGN_PE,D,20070926,000000,12.634,12.634,12.634,12.634,0,0
PGN_PE,D,20070927,000000,12.779,12.779,12.779,12.779,0,0
PGN_PE,D,20070928,000000,12.489,12.489,12.489,12.489,0,0
PGN_PE,D,20071001,000000,12.995,12.995,12.995,12.995,0,0
PGN_PE,D,20071002,000000,13.287,13.287,13.287,13.287,0,0
PGN_PE,D,20071003,000000,12.926,12.926,12.926,12.926,0,0
PGN_PE,D,20071004,000000,13.364,13.364,13.364,13.364,0,0
PGN_PE,D,20071005,000000,13.287,13.287,13.287,13.287,0,0
PGN_PE,D,20071008,000000,13.431,13.431,13.431,13.431,0,0
PGN_PE,D,20071009,000000,13.871,13.871,13.871,13.871,0,0
PGN_PE,D,20071010,000000,13.647,13.647,13.647,13.647,0,0
PGN_PE,D,20071011,000000,14.087,14.087,14.087,14.087,0,0
PGN_PE,D,20071012,000000,14.523,14.523,14.523,14.523,0,0
PGN_PE,D,20071015,000000,14.814,14.814,14.814,14.814,0,0
PGN_PE,D,20071016,000000,14.592,14.592,14.592,14.592,0,0
PGN_PE,D,20071017,000000,14.962,14.962,14.962,14.962,0,0
PGN_PE,D,20071018,000000,14.231,14.231,14.231,14.231,0,0
PGN_PE,D,20071019,000000,14.592,14.592,14.592,14.592,0,0
PGN_PE,D,20071022,000000,14.668,14.668,14.668,14.668,0,0
PGN_PE,D,20071023,000000,15.322,15.322,15.322,15.322,0,0
PGN_PE,D,20071024,000000,15.029,15.029,15.029,15.029,0,0
PGN_PE,D,20071025,000000,14.962,14.962,14.962,14.962,0,0
PGN_PE,D,20071026,000000,14.592,14.592,14.592,14.592,0,0
PGN_PE,D,20071029,000000,14.814,14.814,14.814,14.814,0,0
PGN_PE,D,20071030,000000,14.668,14.668,14.668,14.668,0,0
PGN_PE,D,20071031,000000,14.162,14.162,14.162,14.162,0,0
PGN_PE,D,20071102,000000,14.299,14.299,14.299,14.299,0,0
PGN_PE,D,20071105,000000,14.299,14.299,14.299,14.299,0,0
PGN_PE,D,20071106,000000,14.162,14.162,14.162,14.162,0,0
PGN_PE,D,20071107,000000,14.446,14.446,14.446,14.446,0,0
PGN_PE,D,20071108,000000,15.029,15.029,15.029,15.029,0,0
PGN_PE,D,20071109,000000,15.029,15.029,14.377,14.884,0,0
PGN_PE,D,20071112,000000,14.737,14.962,14.446,14.446,0,0
PGN_PE,D,20071113,000000,14.446,14.737,14.377,14.377,0,0
PGN_PE,D,20071114,000000,14.523,14.523,13.725,13.871,0,0
PGN_PE,D,20071115,000000,13.871,13.871,12.417,12.417,0,0
PGN_PE,D,20071116,000000,12.341,12.417,11.904,12.128,0,0
PGN_PE,D,20071119,000000,12.195,12.273,11.69,11.69,0,0
