<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHN_PE,D,20131127,000000,37.817,37.817,37.817,37.817,0,0
PHN_PE,D,20131128,000000,37.664,37.664,37.133,37.664,0,0
PHN_PE,D,20131129,000000,37.817,37.817,36.981,37.211,0,0
PHN_PE,D,20131202,000000,37.058,37.058,36.83,37.058,0,0
PHN_PE,D,20131203,000000,36.677,36.981,36.223,36.375,0,0
PHN_PE,D,20131204,000000,35.767,36.145,35.312,35.843,0,0
PHN_PE,D,20131205,000000,35.69,35.918,35.69,35.843,0,0
PHN_PE,D,20131206,000000,35.69,36.45,35.69,36.223,0,0
PHN_PE,D,20131209,000000,36.223,36.526,36.07,36.45,0,0
PHN_PE,D,20131210,000000,36.298,37.058,36.223,36.45,0,0
PHN_PE,D,20131211,000000,36.45,36.602,36.375,36.602,0,0
PHN_PE,D,20131212,000000,36.45,36.602,35.767,36.145,0,0
PHN_PE,D,20131213,000000,36.145,36.375,36.07,36.298,0,0
PHN_PE,D,20131216,000000,36.07,36.375,35.995,36.375,0,0
PHN_PE,D,20131217,000000,36.375,36.981,36.375,36.83,0,0
PHN_PE,D,20131218,000000,36.981,37.512,36.83,37.512,0,0
PHN_PE,D,20131219,000000,37.512,38.729,37.512,37.741,0,0
PHN_PE,D,20131220,000000,38.651,38.729,37.741,38.347,0,0
PHN_PE,D,20131223,000000,38.575,39.031,38.347,39.031,0,0
PHN_PE,D,20131227,000000,39.867,40.094,39.791,39.791,0,0
PHN_PE,D,20131230,000000,41.31,41.613,39.943,40.018,0,0
PHN_PE,D,20140102,000000,40.094,41.006,40.094,40.93,0,0
PHN_PE,D,20140103,000000,41.31,41.31,40.399,40.55,0,0
PHN_PE,D,20140107,000000,40.474,40.474,39.183,39.259,0,0
PHN_PE,D,20140108,000000,39.336,39.563,38.196,39.107,0,0
PHN_PE,D,20140109,000000,39.563,39.867,39.259,39.259,0,0
PHN_PE,D,20140110,000000,39.867,39.867,38.651,39.259,0,0
PHN_PE,D,20140113,000000,39.183,40.018,39.183,39.791,0,0
PHN_PE,D,20140114,000000,39.791,40.322,39.488,39.488,0,0
PHN_PE,D,20140115,000000,39.563,40.322,39.183,40.172,0,0
PHN_PE,D,20140116,000000,40.322,41.006,40.322,40.399,0,0
PHN_PE,D,20140117,000000,40.55,40.703,40.322,40.474,0,0
PHN_PE,D,20140120,000000,40.779,40.93,40.474,40.703,0,0
PHN_PE,D,20140121,000000,40.779,40.779,40.703,40.703,0,0
PHN_PE,D,20140122,000000,40.779,41.006,40.703,40.703,0,0
PHN_PE,D,20140123,000000,41.006,41.006,39.943,40.246,0,0
PHN_PE,D,20140124,000000,40.094,40.094,39.336,39.336,0,0
PHN_PE,D,20140127,000000,39.183,39.336,38.347,39.336,0,0
PHN_PE,D,20140128,000000,39.183,41.006,39.183,40.018,0,0
PHN_PE,D,20140129,000000,39.943,40.854,39.64,40.172,0,0
PHN_PE,D,20140130,000000,39.41,40.399,38.803,39.64,0,0
PHN_PE,D,20140131,000000,39.563,39.563,38.729,38.729,0,0
