<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKN_PE,D,20070813,000000,9.696,9.696,9.696,9.696,0,0
PKN_PE,D,20070814,000000,8.4187,8.4187,8.4187,8.4187,0,0
PKN_PE,D,20070816,000000,8.0408,8.0408,8.0408,8.0408,0,0
PKN_PE,D,20070817,000000,8.0408,8.0408,8.0408,8.0408,0,0
PKN_PE,D,20070820,000000,8.3403,8.3403,8.3403,8.3403,0,0
PKN_PE,D,20070821,000000,8.2695,8.2695,8.2695,8.2695,0,0
PKN_PE,D,20070822,000000,8.7196,8.7196,8.7196,8.7196,0,0
PKN_PE,D,20070823,000000,8.7196,8.7196,8.7196,8.7196,0,0
PKN_PE,D,20070824,000000,9.0177,9.0177,9.0177,9.0177,0,0
PKN_PE,D,20070827,000000,8.7964,8.7964,8.7964,8.7964,0,0
PKN_PE,D,20070828,000000,8.5689,8.5689,8.5689,8.5689,0,0
PKN_PE,D,20070829,000000,9.1675,9.1675,9.1675,9.1675,0,0
PKN_PE,D,20070830,000000,9.4742,9.4742,9.4742,9.4742,0,0
PKN_PE,D,20070831,000000,9.696,9.696,9.696,9.696,0,0
PKN_PE,D,20070903,000000,9.925,9.925,9.925,9.925,0,0
PKN_PE,D,20070904,000000,9.845,9.845,9.845,9.845,0,0
PKN_PE,D,20070905,000000,9.625,9.625,9.625,9.625,0,0
PKN_PE,D,20070906,000000,9.545,9.545,9.545,9.545,0,0
PKN_PE,D,20070907,000000,9.4742,9.4742,9.4742,9.4742,0,0
PKN_PE,D,20070910,000000,9.2462,9.2462,9.2462,9.2462,0,0
PKN_PE,D,20070911,000000,9.3173,9.3173,9.3173,9.3173,0,0
PKN_PE,D,20070912,000000,9.4742,9.4742,9.4742,9.4742,0,0
PKN_PE,D,20070913,000000,9.696,9.696,9.696,9.696,0,0
PKN_PE,D,20070914,000000,9.545,9.545,9.545,9.545,0,0
PKN_PE,D,20070917,000000,9.3173,9.3173,9.3173,9.3173,0,0
PKN_PE,D,20070918,000000,9.4742,9.4742,9.4742,9.4742,0,0
PKN_PE,D,20070919,000000,9.925,9.925,9.925,9.925,0,0
PKN_PE,D,20070920,000000,9.925,9.925,9.925,9.925,0,0
PKN_PE,D,20070921,000000,9.925,9.925,9.925,9.925,0,0
PKN_PE,D,20070924,000000,9.696,9.696,9.696,9.696,0,0
PKN_PE,D,20070925,000000,9.696,9.696,9.696,9.696,0,0
