<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKO_PE,D,20070813,000000,15.432,15.432,15.432,15.432,0,0
PKO_PE,D,20070814,000000,15.138,15.138,15.138,15.138,0,0
PKO_PE,D,20070816,000000,14.103,14.103,14.103,14.103,0,0
PKO_PE,D,20070817,000000,14.617,14.617,14.617,14.617,0,0
PKO_PE,D,20070820,000000,14.617,14.617,14.617,14.617,0,0
PKO_PE,D,20070821,000000,14.323,14.323,14.323,14.323,0,0
PKO_PE,D,20070822,000000,15.281,15.281,15.281,15.281,0,0
PKO_PE,D,20070823,000000,15.281,15.281,15.281,15.281,0,0
PKO_PE,D,20070824,000000,15.357,15.357,15.357,15.357,0,0
PKO_PE,D,20070827,000000,15.432,15.432,15.432,15.432,0,0
PKO_PE,D,20070828,000000,15.357,15.357,15.357,15.357,0,0
PKO_PE,D,20070829,000000,15.651,15.651,15.651,15.651,0,0
PKO_PE,D,20070830,000000,15.5,15.5,15.5,15.5,0,0
PKO_PE,D,20070831,000000,16.096,16.096,16.096,16.096,0,0
PKO_PE,D,20070903,000000,15.87,15.87,15.87,15.87,0,0
PKO_PE,D,20070904,000000,16.021,16.021,16.021,16.021,0,0
PKO_PE,D,20070905,000000,15.651,15.651,15.651,15.651,0,0
PKO_PE,D,20070906,000000,15.432,15.432,15.432,15.432,0,0
PKO_PE,D,20070907,000000,15.206,15.206,15.206,15.206,0,0
PKO_PE,D,20070910,000000,14.768,14.768,14.768,14.768,0,0
PKO_PE,D,20070911,000000,14.987,14.987,14.987,14.987,0,0
PKO_PE,D,20070912,000000,15.575,15.575,15.575,15.575,0,0
PKO_PE,D,20070913,000000,15.802,15.802,15.802,15.802,0,0
PKO_PE,D,20070914,000000,15.651,15.651,15.651,15.651,0,0
PKO_PE,D,20070917,000000,15.945,15.945,15.945,15.945,0,0
PKO_PE,D,20070918,000000,16.021,16.021,16.021,16.021,0,0
PKO_PE,D,20070919,000000,16.837,16.837,16.837,16.837,0,0
PKO_PE,D,20070920,000000,16.837,16.837,16.837,16.837,0,0
PKO_PE,D,20070921,000000,16.535,16.535,16.535,16.535,0,0
PKO_PE,D,20070924,000000,16.391,16.391,16.391,16.391,0,0
PKO_PE,D,20070925,000000,16.096,16.096,16.096,16.096,0,0
PKO_PE,D,20070926,000000,16.24,16.24,16.24,16.24,0,0
PKO_PE,D,20070927,000000,16.315,16.315,16.315,16.315,0,0
PKO_PE,D,20070928,000000,16.466,16.466,16.466,16.466,0,0
PKO_PE,D,20071001,000000,16.391,16.391,16.391,16.391,0,0
PKO_PE,D,20071002,000000,16.76,16.76,16.76,16.76,0,0
PKO_PE,D,20071003,000000,16.609,16.609,16.609,16.609,0,0
PKO_PE,D,20071004,000000,16.391,16.391,16.391,16.391,0,0
PKO_PE,D,20071005,000000,16.391,16.391,16.391,16.391,0,0
PKO_PE,D,20071008,000000,16.391,16.391,16.391,16.391,0,0
PKO_PE,D,20071009,000000,16.609,16.609,16.609,16.609,0,0
PKO_PE,D,20071010,000000,16.685,16.685,16.685,16.685,0,0
PKO_PE,D,20071011,000000,16.837,16.837,16.837,16.837,0,0
PKO_PE,D,20071012,000000,16.609,16.609,16.609,16.609,0,0
PKO_PE,D,20071015,000000,16.685,16.685,16.685,16.685,0,0
PKO_PE,D,20071016,000000,16.172,16.172,16.172,16.172,0,0
PKO_PE,D,20071017,000000,16.391,16.391,16.391,16.391,0,0
PKO_PE,D,20071018,000000,15.945,15.945,15.945,15.945,0,0
PKO_PE,D,20071019,000000,16.24,16.24,16.24,16.24,0,0
PKO_PE,D,20071022,000000,16.315,16.315,16.315,16.315,0,0
PKO_PE,D,20071023,000000,16.837,16.837,16.837,16.837,0,0
