<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLW_PE,D,20161019,000000,52.472,52.472,52.472,52.472,0,0
PLW_PE,D,20161020,000000,50.574,52.472,48.771,52.472,0,0
PLW_PE,D,20161021,000000,51.524,52.472,51.524,52.472,0,0
PLW_PE,D,20161024,000000,52.566,55.698,52.472,55.034,0,0
PLW_PE,D,20161025,000000,55.129,55.129,53.8,54.843,0,0
PLW_PE,D,20161026,000000,54.654,54.654,53.041,53.041,0,0
PLW_PE,D,20161027,000000,53.611,53.611,51.997,53.516,0,0
PLW_PE,D,20161028,000000,52.566,53.326,52.566,53.326,0,0
PLW_PE,D,20161031,000000,52.472,54.559,52.472,54.559,0,0
PLW_PE,D,20161102,000000,54.559,54.559,53.421,54.464,0,0
PLW_PE,D,20161103,000000,54.464,54.464,53.326,54.084,0,0
PLW_PE,D,20161104,000000,53.99,53.99,52.756,53.516,0,0
PLW_PE,D,20161107,000000,53.516,53.516,52.946,53.516,0,0
PLW_PE,D,20161108,000000,53.516,53.516,52.756,53.136,0,0
PLW_PE,D,20161109,000000,53.421,53.516,52.851,53.516,0,0
PLW_PE,D,20161110,000000,53.516,53.516,52.282,53.231,0,0
PLW_PE,D,20161114,000000,53.516,53.516,53.421,53.421,0,0
PLW_PE,D,20161115,000000,53.421,53.421,52.282,53.041,0,0
PLW_PE,D,20161116,000000,53.041,53.041,51.524,53.041,0,0
PLW_PE,D,20161117,000000,53.421,53.421,51.238,51.238,0,0
PLW_PE,D,20161118,000000,51.429,51.429,49.341,49.341,0,0
PLW_PE,D,20161121,000000,49.245,49.245,47.348,48.297,0,0
PLW_PE,D,20161122,000000,47.443,52.188,47.443,52.188,0,0
PLW_PE,D,20161123,000000,52.188,52.188,51.902,52.188,0,0
PLW_PE,D,20161124,000000,52.282,52.282,48.581,51.429,0,0
PLW_PE,D,20161125,000000,52.282,54.275,52.282,54.275,0,0
PLW_PE,D,20161128,000000,54.275,54.275,52.188,52.188,0,0
PLW_PE,D,20161129,000000,52.188,54.179,51.238,53.99,0,0
PLW_PE,D,20161130,000000,53.99,55.698,52.851,55.698,0,0
PLW_PE,D,20161201,000000,55.698,55.698,53.231,55.698,0,0
PLW_PE,D,20161202,000000,55.698,55.698,53.895,55.603,0,0
PLW_PE,D,20161205,000000,55.603,55.603,54.084,54.084,0,0
PLW_PE,D,20161206,000000,55.698,55.698,53.895,55.224,0,0
PLW_PE,D,20161207,000000,55.224,55.224,53.8,55.224,0,0
PLW_PE,D,20161208,000000,53.895,55.129,53.895,55.129,0,0
PLW_PE,D,20161209,000000,55.224,55.224,53.895,55.129,0,0
PLW_PE,D,20161212,000000,55.129,55.224,53.895,53.895,0,0
PLW_PE,D,20161213,000000,53.895,55.698,53.895,55.129,0,0
PLW_PE,D,20161214,000000,55.318,55.318,54.559,54.559,0,0
