<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLX_PE,D,20070813,000000,102.61,102.61,102.61,102.61,0,0
PLX_PE,D,20070814,000000,102.61,102.61,102.61,102.61,0,0
PLX_PE,D,20070816,000000,92.912,92.912,92.912,92.912,0,0
PLX_PE,D,20070817,000000,95.952,95.952,95.952,95.952,0,0
PLX_PE,D,20070820,000000,103.91,103.91,103.91,103.91,0,0
PLX_PE,D,20070821,000000,103.91,103.91,103.91,103.91,0,0
PLX_PE,D,20070822,000000,104.13,104.13,104.13,104.13,0,0
PLX_PE,D,20070823,000000,106.16,106.16,106.16,106.16,0,0
PLX_PE,D,20070824,000000,110.14,110.14,110.14,110.14,0,0
PLX_PE,D,20070827,000000,115.35,115.35,115.35,115.35,0,0
PLX_PE,D,20070828,000000,116.37,116.37,116.37,116.37,0,0
PLX_PE,D,20070829,000000,116.37,116.37,116.37,116.37,0,0
PLX_PE,D,20070830,000000,118.32,118.32,118.32,118.32,0,0
PLX_PE,D,20070831,000000,119.47,119.47,119.47,119.47,0,0
PLX_PE,D,20070903,000000,116.37,116.37,116.37,116.37,0,0
PLX_PE,D,20070904,000000,112.32,112.32,112.32,112.32,0,0
PLX_PE,D,20070905,000000,114.34,114.34,114.34,114.34,0,0
PLX_PE,D,20070906,000000,112.32,112.32,112.32,112.32,0,0
PLX_PE,D,20070907,000000,110.28,110.28,110.28,110.28,0,0
PLX_PE,D,20070910,000000,107.61,107.61,107.61,107.61,0,0
PLX_PE,D,20070911,000000,109.63,109.63,109.63,109.63,0,0
PLX_PE,D,20070912,000000,111.3,111.3,111.3,111.3,0,0
PLX_PE,D,20070913,000000,114.13,114.13,114.13,114.13,0,0
PLX_PE,D,20070914,000000,112.11,112.11,112.11,112.11,0,0
PLX_PE,D,20070917,000000,104.71,104.71,104.71,104.71,0,0
PLX_PE,D,20070918,000000,102.11,102.11,102.11,102.11,0,0
PLX_PE,D,20070919,000000,95.448,95.448,95.448,95.448,0,0
PLX_PE,D,20070920,000000,82.714,82.714,82.714,82.714,0,0
PLX_PE,D,20070921,000000,87.494,87.494,87.494,87.494,0,0
PLX_PE,D,20070924,000000,85.816,85.816,85.816,85.816,0,0
PLX_PE,D,20070925,000000,81.489,81.489,81.489,81.489,0,0
PLX_PE,D,20070926,000000,82.501,82.501,82.501,82.501,0,0
PLX_PE,D,20070927,000000,80.835,80.835,80.835,80.835,0,0
PLX_PE,D,20070928,000000,75.044,75.044,75.044,75.044,0,0
PLX_PE,D,20071001,000000,74.898,74.898,74.898,74.898,0,0
PLX_PE,D,20071002,000000,43.925,43.925,43.925,43.925,0,0
PLX_PE,D,20071003,000000,46.965,46.965,46.965,46.965,0,0
PLX_PE,D,20071004,000000,47.978,47.978,47.978,47.978,0,0
PLX_PE,D,20071005,000000,44.939,44.939,44.939,44.939,0,0
PLX_PE,D,20071008,000000,43.275,43.275,43.275,43.275,0,0
PLX_PE,D,20071009,000000,43.42,43.42,43.42,43.42,0,0
PLX_PE,D,20071010,000000,44.939,44.939,44.939,44.939,0,0
PLX_PE,D,20071011,000000,44.433,44.433,44.433,44.433,0,0
PLX_PE,D,20071012,000000,44.939,44.939,44.939,44.939,0,0
PLX_PE,D,20071015,000000,45.446,45.446,45.446,45.446,0,0
PLX_PE,D,20071016,000000,44.939,44.939,44.939,44.939,0,0
PLX_PE,D,20071017,000000,44.07,44.07,44.07,44.07,0,0
PLX_PE,D,20071018,000000,43.492,43.492,43.492,43.492,0,0
PLX_PE,D,20071019,000000,42.622,42.622,42.622,42.622,0,0
PLX_PE,D,20071022,000000,41.465,41.465,41.465,41.465,0,0
PLX_PE,D,20071023,000000,41.248,41.248,41.248,41.248,0,0
PLX_PE,D,20071024,000000,42.044,42.044,42.044,42.044,0,0
PLX_PE,D,20071025,000000,41.031,41.031,41.031,41.031,0,0
PLX_PE,D,20071026,000000,42.19,42.19,42.19,42.19,0,0
PLX_PE,D,20071029,000000,42.19,42.19,42.19,42.19,0,0
PLX_PE,D,20071030,000000,40.597,40.597,40.597,40.597,0,0
PLX_PE,D,20071031,000000,41.177,41.177,41.177,41.177,0,0
PLX_PE,D,20071102,000000,40.814,40.814,40.814,40.814,0,0
PLX_PE,D,20071105,000000,39.367,39.367,39.367,39.367,0,0
PLX_PE,D,20071106,000000,38.788,38.788,38.788,38.788,0,0
PLX_PE,D,20071107,000000,37.774,37.774,37.774,37.774,0,0
PLX_PE,D,20071108,000000,38.353,38.353,38.353,38.353,0,0
PLX_PE,D,20071109,000000,38.571,39.73,37.557,39.005,0,0
PLX_PE,D,20071112,000000,38.209,39.801,36.761,38.644,0,0
PLX_PE,D,20071113,000000,39.73,39.73,38.933,39.005,0,0
PLX_PE,D,20071114,000000,40.888,40.888,34.881,34.881,0,0
PLX_PE,D,20071115,000000,39.801,39.801,25.038,25.038,0,0
PLX_PE,D,20071116,000000,25.038,26.269,23.663,25.908,0,0
PLX_PE,D,20071119,000000,25.834,26.197,25.111,25.98,0,0
