<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLY_PE,D,20170727,000000,12.538,12.538,12.538,12.538,0,0
PLY_PE,D,20170728,000000,12.374,12.786,12.374,12.786,0,0
PLY_PE,D,20170731,000000,12.869,13.033,12.786,12.95,0,0
PLY_PE,D,20170801,000000,13.033,13.116,12.95,13.033,0,0
PLY_PE,D,20170802,000000,13.033,13.033,12.786,12.869,0,0
PLY_PE,D,20170803,000000,12.869,12.869,12.622,12.703,0,0
PLY_PE,D,20170804,000000,12.703,12.786,12.703,12.786,0,0
PLY_PE,D,20170807,000000,12.786,12.786,12.622,12.622,0,0
PLY_PE,D,20170808,000000,12.622,12.703,12.622,12.703,0,0
PLY_PE,D,20170809,000000,12.703,12.703,12.703,12.703,0,0
PLY_PE,D,20170810,000000,12.703,12.703,12.703,12.703,0,0
PLY_PE,D,20170811,000000,12.703,12.703,12.703,12.703,0,0
PLY_PE,D,20170814,000000,12.703,12.703,12.703,12.703,0,0
PLY_PE,D,20170816,000000,12.703,12.703,12.622,12.622,0,0
PLY_PE,D,20170817,000000,12.538,12.622,11.96,11.96,0,0
PLY_PE,D,20170818,000000,11.96,12.126,11.96,12.043,0,0
PLY_PE,D,20170821,000000,12.043,12.043,11.878,11.96,0,0
PLY_PE,D,20170822,000000,11.713,12.455,11.713,12.455,0,0
PLY_PE,D,20170823,000000,12.538,12.703,12.538,12.703,0,0
PLY_PE,D,20170824,000000,12.703,12.786,12.622,12.622,0,0
PLY_PE,D,20170825,000000,12.622,12.703,12.622,12.703,0,0
PLY_PE,D,20170828,000000,12.703,12.703,12.455,12.622,0,0
PLY_PE,D,20170829,000000,12.703,12.703,12.538,12.622,0,0
PLY_PE,D,20170830,000000,12.703,12.703,12.622,12.622,0,0
PLY_PE,D,20170831,000000,12.622,12.703,12.622,12.703,0,0
PLY_PE,D,20170901,000000,12.703,12.95,12.703,12.869,0,0
PLY_PE,D,20170904,000000,12.869,12.869,12.703,12.786,0,0
PLY_PE,D,20170905,000000,12.786,12.786,12.703,12.786,0,0
PLY_PE,D,20170906,000000,12.786,12.869,12.786,12.869,0,0
PLY_PE,D,20170907,000000,12.869,12.869,12.703,12.703,0,0
PLY_PE,D,20170908,000000,12.703,12.786,12.703,12.786,0,0
PLY_PE,D,20170911,000000,12.786,13.198,12.786,13.198,0,0
PLY_PE,D,20170912,000000,13.281,13.364,13.198,13.364,0,0
PLY_PE,D,20170913,000000,13.364,13.445,13.281,13.364,0,0
PLY_PE,D,20170914,000000,13.364,13.364,13.198,13.364,0,0
PLY_PE,D,20170915,000000,13.281,13.445,13.281,13.364,0,0
PLY_PE,D,20170918,000000,13.364,13.364,13.116,13.198,0,0
PLY_PE,D,20170919,000000,13.198,13.281,13.116,13.116,0,0
PLY_PE,D,20170920,000000,13.116,13.198,13.033,13.033,0,0
PLY_PE,D,20170921,000000,13.033,13.033,12.869,12.95,0,0
PLY_PE,D,20170922,000000,12.869,13.033,12.869,13.033,0,0
PLY_PE,D,20170925,000000,12.95,13.033,12.95,13.033,0,0
PLY_PE,D,20170926,000000,13.033,13.116,12.95,13.033,0,0
PLY_PE,D,20170927,000000,12.95,13.033,12.95,13.033,0,0
PLY_PE,D,20170928,000000,13.033,13.033,13.033,13.033,0,0
PLY_PE,D,20170929,000000,13.116,13.116,13.116,13.116,0,0
PLY_PE,D,20171002,000000,13.116,13.116,13.033,13.033,0,0
PLY_PE,D,20171003,000000,13.033,13.116,13.033,13.033,0,0
PLY_PE,D,20171004,000000,12.95,12.95,12.786,12.95,0,0
