<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PND_PE,D,20070813,000000,61.743,61.743,61.743,61.743,0,0
PND_PE,D,20070814,000000,60.782,60.782,60.782,60.782,0,0
PND_PE,D,20070816,000000,52.318,52.318,52.318,52.318,0,0
PND_PE,D,20070817,000000,53.088,53.088,53.088,53.088,0,0
PND_PE,D,20070820,000000,44.624,44.624,44.624,44.624,0,0
PND_PE,D,20070821,000000,45.394,45.394,45.394,45.394,0,0
PND_PE,D,20070822,000000,29.91,29.91,29.91,29.91,0,0
PND_PE,D,20070823,000000,30.487,30.487,30.487,30.487,0,0
PND_PE,D,20070824,000000,31.353,31.353,31.353,31.353,0,0
PND_PE,D,20070827,000000,32.699,32.699,32.699,32.699,0,0
PND_PE,D,20070828,000000,31.737,31.737,31.737,31.737,0,0
PND_PE,D,20070829,000000,30.775,30.775,30.775,30.775,0,0
PND_PE,D,20070830,000000,26.351,26.351,26.351,26.351,0,0
PND_PE,D,20070831,000000,27.794,27.794,27.794,27.794,0,0
PND_PE,D,20070903,000000,27.794,27.794,27.794,27.794,0,0
PND_PE,D,20070904,000000,28.756,28.756,28.756,28.756,0,0
PND_PE,D,20070905,000000,27.409,27.409,27.409,27.409,0,0
PND_PE,D,20070906,000000,27.313,27.313,27.313,27.313,0,0
PND_PE,D,20070907,000000,27.121,27.121,27.121,27.121,0,0
PND_PE,D,20070910,000000,26.255,26.255,26.255,26.255,0,0
PND_PE,D,20070911,000000,25.967,25.967,25.967,25.967,0,0
PND_PE,D,20070912,000000,25.582,25.582,25.582,25.582,0,0
PND_PE,D,20070913,000000,35.873,35.873,35.873,35.873,0,0
PND_PE,D,20070914,000000,35.873,35.873,35.873,35.873,0,0
PND_PE,D,20070917,000000,36.161,36.161,36.161,36.161,0,0
PND_PE,D,20070918,000000,36.354,36.354,36.354,36.354,0,0
PND_PE,D,20070919,000000,37.411,37.411,37.411,37.411,0,0
PND_PE,D,20070920,000000,38.565,38.565,38.565,38.565,0,0
PND_PE,D,20070921,000000,41.354,41.354,41.354,41.354,0,0
PND_PE,D,20070924,000000,43.855,43.855,43.855,43.855,0,0
PND_PE,D,20070925,000000,44.432,44.432,44.432,44.432,0,0
PND_PE,D,20070926,000000,43.855,43.855,43.855,43.855,0,0
PND_PE,D,20070927,000000,42.316,42.316,42.316,42.316,0,0
PND_PE,D,20070928,000000,40.297,40.297,40.297,40.297,0,0
PND_PE,D,20071001,000000,38.95,38.95,38.95,38.95,0,0
PND_PE,D,20071002,000000,40.393,40.393,40.393,40.393,0,0
PND_PE,D,20071003,000000,39.816,39.816,39.816,39.816,0,0
PND_PE,D,20071004,000000,40.008,40.008,40.008,40.008,0,0
PND_PE,D,20071005,000000,39.335,39.335,39.335,39.335,0,0
