<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PZU_PE,D,20100512,000000,4.2475,4.2475,4.2475,4.2475,0,0
PZU_PE,D,20100513,000000,4.2475,4.2475,4.1964,4.1964,0,0
PZU_PE,D,20100514,000000,4.1964,4.1964,4.1453,4.1453,0,0
PZU_PE,D,20100517,000000,4.0428,4.1453,4.0428,4.1453,0,0
PZU_PE,D,20100518,000000,4.1453,4.1964,4.1453,4.1453,0,0
PZU_PE,D,20100519,000000,4.0941,4.1453,4.0428,4.0428,0,0
PZU_PE,D,20100520,000000,4.0428,4.2475,3.8893,4.2475,0,0
PZU_PE,D,20100521,000000,4.2475,4.3499,4.2475,4.3499,0,0
PZU_PE,D,20100524,000000,4.3499,4.4523,4.3499,4.4011,0,0
PZU_PE,D,20100525,000000,4.2988,4.3499,4.2475,4.2475,0,0
PZU_PE,D,20100526,000000,4.2988,4.5546,4.2988,4.5546,0,0
PZU_PE,D,20100527,000000,4.4523,4.5035,4.4523,4.5035,0,0
PZU_PE,D,20100528,000000,4.5035,4.5035,4.4523,4.5035,0,0
PZU_PE,D,20100531,000000,4.454,4.5014,4.4012,4.5014,0,0
PZU_PE,D,20100601,000000,4.4523,4.5035,4.4011,4.5035,0,0
PZU_PE,D,20100602,000000,4.5035,4.5546,4.5035,4.5035,0,0
PZU_PE,D,20100604,000000,4.5035,4.5035,4.4011,4.4011,0,0
PZU_PE,D,20100607,000000,4.2988,4.4011,4.2988,4.4011,0,0
PZU_PE,D,20100608,000000,4.4011,4.4523,4.3499,4.3499,0,0
PZU_PE,D,20100609,000000,4.3499,4.4523,4.3499,4.4523,0,0
PZU_PE,D,20100610,000000,4.4011,4.5035,4.4011,4.5035,0,0
PZU_PE,D,20100611,000000,4.5035,4.5035,4.4523,4.5035,0,0
PZU_PE,D,20100614,000000,4.5035,4.5546,4.5035,4.5546,0,0
PZU_PE,D,20100615,000000,4.5546,4.5546,4.5546,4.5546,0,0
PZU_PE,D,20100616,000000,4.5546,4.5546,4.4523,4.5546,0,0
PZU_PE,D,20100617,000000,4.5014,4.5541,4.5014,4.5541,0,0
PZU_PE,D,20100618,000000,4.5546,4.6057,4.5546,4.6057,0,0
PZU_PE,D,20100621,000000,4.6057,4.708,4.6057,4.708,0,0
PZU_PE,D,20100622,000000,4.657,4.657,4.657,4.657,0,0
PZU_PE,D,20100623,000000,4.657,4.657,4.6057,4.6057,0,0
PZU_PE,D,20100624,000000,4.6057,4.657,4.5546,4.5546,0,0
PZU_PE,D,20100625,000000,4.5546,4.6057,4.5546,4.6057,0,0
PZU_PE,D,20100628,000000,4.6057,4.6057,4.5546,4.5546,0,0
PZU_PE,D,20100629,000000,4.5546,4.5546,4.5035,4.5035,0,0
PZU_PE,D,20100630,000000,4.5014,4.5541,4.5014,4.5014,0,0
PZU_PE,D,20100701,000000,4.5035,4.6057,4.5035,4.6057,0,0
PZU_PE,D,20100702,000000,4.5546,4.6057,4.5546,4.5546,0,0
PZU_PE,D,20100705,000000,4.5546,4.5546,4.5546,4.5546,0,0
PZU_PE,D,20100706,000000,4.5546,4.657,4.5546,4.6057,0,0
PZU_PE,D,20100707,000000,4.5546,4.6057,4.5546,4.6057,0,0
PZU_PE,D,20100708,000000,4.657,4.708,4.6057,4.6057,0,0
PZU_PE,D,20100709,000000,4.6057,4.657,4.6057,4.657,0,0
PZU_PE,D,20100712,000000,4.657,4.8105,4.657,4.8105,0,0
PZU_PE,D,20100713,000000,4.8105,4.9129,4.8105,4.8617,0,0
PZU_PE,D,20100714,000000,4.8617,4.8617,4.7594,4.7594,0,0
PZU_PE,D,20100715,000000,4.7594,4.8105,4.7594,4.7594,0,0
PZU_PE,D,20100716,000000,4.708,4.8105,4.708,4.7594,0,0
PZU_PE,D,20100719,000000,4.7594,4.8617,4.7594,4.8105,0,0
PZU_PE,D,20100720,000000,4.812,4.812,4.7594,4.7594,0,0
PZU_PE,D,20100721,000000,4.7594,4.8617,4.7594,4.8105,0,0
PZU_PE,D,20100722,000000,4.8105,4.9129,4.8105,4.9129,0,0
PZU_PE,D,20100723,000000,4.8617,4.9129,4.8617,4.8617,0,0
PZU_PE,D,20100726,000000,4.964,5.0153,4.9129,5.0153,0,0
PZU_PE,D,20100727,000000,5.0153,5.0663,4.964,4.964,0,0
PZU_PE,D,20100728,000000,5.0153,5.0153,4.9129,4.9129,0,0
PZU_PE,D,20100729,000000,4.9129,5.0663,4.9129,5.0153,0,0
PZU_PE,D,20100730,000000,5.0173,5.0647,4.9648,5.0647,0,0
PZU_PE,D,20100802,000000,5.0663,5.1176,5.0663,5.0663,0,0
PZU_PE,D,20100803,000000,5.0647,5.17,5.0647,5.17,0,0
PZU_PE,D,20100804,000000,5.1687,5.1687,5.1176,5.1176,0,0
PZU_PE,D,20100805,000000,5.1174,5.17,5.0647,5.1174,0,0
PZU_PE,D,20100806,000000,5.1174,5.1174,5.0647,5.1174,0,0
PZU_PE,D,20100809,000000,5.1174,5.1174,4.9121,4.9121,0,0
PZU_PE,D,20100810,000000,4.964,4.964,4.8617,4.9129,0,0
PZU_PE,D,20100811,000000,4.9129,4.9129,4.8617,4.8617,0,0
PZU_PE,D,20100812,000000,4.8617,4.964,4.8617,4.964,0,0
