<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
R22_PE,D,20171229,000000,45.915,45.915,45.915,45.915,0,0
R22_PE,D,20180103,000000,37.047,44.535,36.16,44.535,0,0
R22_PE,D,20180104,000000,44.634,44.634,42.959,43.353,0,0
R22_PE,D,20180105,000000,45.422,45.422,43.353,45.225,0,0
R22_PE,D,20180108,000000,45.718,46.999,44.535,44.535,0,0
R22_PE,D,20180109,000000,44.043,44.043,43.451,43.451,0,0
R22_PE,D,20180110,000000,43.747,44.535,43.747,44.437,0,0
R22_PE,D,20180111,000000,45.126,45.126,43.451,44.535,0,0
R22_PE,D,20180112,000000,43.451,45.324,43.451,45.225,0,0
R22_PE,D,20180115,000000,46.703,46.703,45.422,46.112,0,0
R22_PE,D,20180116,000000,46.999,46.999,45.324,46.112,0,0
R22_PE,D,20180117,000000,46.112,60.399,45.126,60.399,0,0
R22_PE,D,20180118,000000,60.399,60.694,57.935,60.694,0,0
R22_PE,D,20180119,000000,60.694,60.694,60.103,60.399,0,0
R22_PE,D,20180122,000000,60.694,60.694,60.399,60.694,0,0
R22_PE,D,20180123,000000,60.399,61.088,60.004,60.694,0,0
R22_PE,D,20180124,000000,60.694,60.99,60.201,60.891,0,0
R22_PE,D,20180125,000000,60.891,65.621,60.3,65.128,0,0
R22_PE,D,20180126,000000,62.369,64.832,62.369,64.34,0,0
R22_PE,D,20180129,000000,62.665,64.34,62.665,64.34,0,0
R22_PE,D,20180130,000000,64.635,64.635,62.665,63.65,0,0
R22_PE,D,20180131,000000,62.96,65.128,62.96,63.65,0,0
R22_PE,D,20180201,000000,65.029,65.621,63.551,65.621,0,0
R22_PE,D,20180202,000000,65.621,65.621,65.621,65.621,0,0
R22_PE,D,20180205,000000,63.946,64.044,61.679,64.044,0,0
R22_PE,D,20180206,000000,62.369,63.354,59.118,63.354,0,0
R22_PE,D,20180207,000000,65.325,65.325,63.354,63.946,0,0
R22_PE,D,20180208,000000,63.256,64.044,60.694,64.044,0,0
R22_PE,D,20180209,000000,62.468,64.044,61.384,63.65,0,0
R22_PE,D,20180212,000000,63.946,64.044,63.847,64.044,0,0
R22_PE,D,20180213,000000,64.241,67,64.241,65.029,0,0
R22_PE,D,20180214,000000,65.916,66.606,65.621,66.31,0,0
R22_PE,D,20180215,000000,66.803,67.099,66.507,67.099,0,0
R22_PE,D,20180216,000000,67.099,67.296,66.31,67,0,0
R22_PE,D,20180219,000000,67.296,68.774,67.296,68.281,0,0
R22_PE,D,20180220,000000,68.281,68.281,67,68.281,0,0
R22_PE,D,20180221,000000,67.985,68.281,65.621,66.606,0,0
R22_PE,D,20180222,000000,67.099,67.099,64.734,66.606,0,0
R22_PE,D,20180223,000000,66.113,66.113,63.946,64.044,0,0
