<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBC_PE,D,20070813,000000,1.4,1.4,1.4,1.4,0,0
RBC_PE,D,20070814,000000,1.4,1.4,1.4,1.4,0,0
RBC_PE,D,20070816,000000,1.3,1.3,1.3,1.3,0,0
RBC_PE,D,20070817,000000,1.3,1.3,1.3,1.3,0,0
RBC_PE,D,20070820,000000,1.3,1.3,1.3,1.3,0,0
RBC_PE,D,20070821,000000,1.3,1.3,1.3,1.3,0,0
RBC_PE,D,20070822,000000,1.3,1.3,1.3,1.3,0,0
RBC_PE,D,20070823,000000,1.3,1.3,1.3,1.3,0,0
RBC_PE,D,20070824,000000,1.4,1.4,1.4,1.4,0,0
RBC_PE,D,20070827,000000,1.4,1.4,1.4,1.4,0,0
RBC_PE,D,20070828,000000,1.3,1.3,1.3,1.3,0,0
RBC_PE,D,20070829,000000,1.3,1.3,1.3,1.3,0,0
RBC_PE,D,20100324,000000,7.7,7.7,7.7,7.7,0,0
RBC_PE,D,20100325,000000,7.8,7.8,7.5,7.6,0,0
RBC_PE,D,20100326,000000,7.5,7.8,7.5,7.8,0,0
RBC_PE,D,20100329,000000,7.8,7.9,7.5,7.8,0,0
RBC_PE,D,20100330,000000,8.2,8.2,7.7,7.8,0,0
RBC_PE,D,20100331,000000,7.8,8,7.8,8,0,0
RBC_PE,D,20100401,000000,8.2,8.6,8.2,8.6,0,0
RBC_PE,D,20100406,000000,8.7,9.1,8.6,8.9,0,0
RBC_PE,D,20100407,000000,9,9.3,9,9.3,0,0
RBC_PE,D,20100408,000000,9.2,9.4,9,9.3,0,0
RBC_PE,D,20100409,000000,9.4,9.7,9.4,9.7,0,0
RBC_PE,D,20100412,000000,9.7,10.5,9.7,10.5,0,0
RBC_PE,D,20100413,000000,10.3,10.8,9.9,9.9,0,0
RBC_PE,D,20100414,000000,9.9,10.2,9.5,10.1,0,0
RBC_PE,D,20100415,000000,10,10.2,9.8,10.1,0,0
RBC_PE,D,20100416,000000,10,10,9.8,9.9,0,0
RBC_PE,D,20100419,000000,9.7,9.8,9.4,9.6,0,0
RBC_PE,D,20100420,000000,9.6,10.4,9.6,10.4,0,0
RBC_PE,D,20100421,000000,10.6,10.6,10.2,10.3,0,0
RBC_PE,D,20100422,000000,10.1,10.2,9.8,9.8,0,0
RBC_PE,D,20100423,000000,9.8,10,9.8,9.9,0,0
RBC_PE,D,20100426,000000,9.8,10.1,9.8,9.9,0,0
RBC_PE,D,20100427,000000,9.8,10.2,9.8,10,0,0
RBC_PE,D,20100428,000000,9.8,9.9,9.7,9.9,0,0
