<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDL_PE,D,20070813,000000,39.411,39.411,39.411,39.411,0,0
RDL_PE,D,20070814,000000,41.628,41.628,41.628,41.628,0,0
RDL_PE,D,20070816,000000,38.464,38.464,38.464,38.464,0,0
RDL_PE,D,20070817,000000,37.437,37.437,37.437,37.437,0,0
RDL_PE,D,20070820,000000,37.59,37.59,37.59,37.59,0,0
RDL_PE,D,20070821,000000,36.409,36.409,36.409,36.409,0,0
RDL_PE,D,20070822,000000,37.51,37.51,37.51,37.51,0,0
RDL_PE,D,20070823,000000,36.959,36.959,36.959,36.959,0,0
RDL_PE,D,20070824,000000,37.59,37.59,37.59,37.59,0,0
RDL_PE,D,20070827,000000,36.959,36.959,36.959,36.959,0,0
RDL_PE,D,20070828,000000,36.877,36.877,36.877,36.877,0,0
RDL_PE,D,20070829,000000,36.643,36.643,36.643,36.643,0,0
RDL_PE,D,20070830,000000,40.753,40.753,40.753,40.753,0,0
RDL_PE,D,20070831,000000,42.179,42.179,42.179,42.179,0,0
RDL_PE,D,20070903,000000,42.259,42.259,42.259,42.259,0,0
RDL_PE,D,20070904,000000,42.106,42.106,42.106,42.106,0,0
RDL_PE,D,20070905,000000,42.106,42.106,42.106,42.106,0,0
RDL_PE,D,20070906,000000,42.179,42.179,42.179,42.179,0,0
RDL_PE,D,20070907,000000,41.466,41.466,41.466,41.466,0,0
RDL_PE,D,20070910,000000,40.043,40.043,40.043,40.043,0,0
RDL_PE,D,20070911,000000,41.628,41.628,41.628,41.628,0,0
RDL_PE,D,20070912,000000,41.628,41.628,41.628,41.628,0,0
RDL_PE,D,20070913,000000,41.709,41.709,41.709,41.709,0,0
RDL_PE,D,20070914,000000,41.313,41.313,41.313,41.313,0,0
RDL_PE,D,20070917,000000,41.79,41.79,41.79,41.79,0,0
RDL_PE,D,20070918,000000,42.106,42.106,42.106,42.106,0,0
RDL_PE,D,20070919,000000,42.502,42.502,42.502,42.502,0,0
RDL_PE,D,20070920,000000,42.025,42.025,42.025,42.025,0,0
RDL_PE,D,20070921,000000,41.945,41.945,41.945,41.945,0,0
RDL_PE,D,20070924,000000,36.643,36.643,36.643,36.643,0,0
RDL_PE,D,20070925,000000,35.85,35.85,35.85,35.85,0,0
RDL_PE,D,20070926,000000,36.643,36.643,36.643,36.643,0,0
RDL_PE,D,20070927,000000,35.769,35.769,35.769,35.769,0,0
RDL_PE,D,20070928,000000,35.616,35.616,35.616,35.616,0,0
RDL_PE,D,20071001,000000,34.191,34.191,34.191,34.191,0,0
RDL_PE,D,20071002,000000,33.552,33.552,33.552,33.552,0,0
RDL_PE,D,20071003,000000,33.552,33.552,33.552,33.552,0,0
RDL_PE,D,20071004,000000,34.11,34.11,34.11,34.11,0,0
RDL_PE,D,20071005,000000,36.959,36.959,36.959,36.959,0,0
RDL_PE,D,20071008,000000,36.328,36.328,36.328,36.328,0,0
RDL_PE,D,20071009,000000,36.481,36.481,36.481,36.481,0,0
RDL_PE,D,20071010,000000,36.328,36.328,36.328,36.328,0,0
RDL_PE,D,20071011,000000,35.697,35.697,35.697,35.697,0,0
RDL_PE,D,20071012,000000,35.697,35.697,35.697,35.697,0,0
RDL_PE,D,20071015,000000,35.616,35.616,35.616,35.616,0,0
RDL_PE,D,20071016,000000,35.616,35.616,35.616,35.616,0,0
RDL_PE,D,20071017,000000,35.057,35.057,35.057,35.057,0,0
RDL_PE,D,20071018,000000,34.822,34.822,34.822,34.822,0,0
RDL_PE,D,20071019,000000,35.219,35.219,35.219,35.219,0,0
RDL_PE,D,20071022,000000,35.219,35.219,35.219,35.219,0,0
RDL_PE,D,20071023,000000,35.138,35.138,35.138,35.138,0,0
RDL_PE,D,20071024,000000,35.372,35.372,35.372,35.372,0,0
RDL_PE,D,20071025,000000,35.454,35.454,35.454,35.454,0,0
RDL_PE,D,20071026,000000,35.219,35.219,35.219,35.219,0,0
RDL_PE,D,20071029,000000,35.769,35.769,35.769,35.769,0,0
RDL_PE,D,20071030,000000,36.247,36.247,36.247,36.247,0,0
RDL_PE,D,20071031,000000,36.563,36.563,36.563,36.563,0,0
RDL_PE,D,20071102,000000,36.247,36.247,36.247,36.247,0,0
RDL_PE,D,20071105,000000,35.372,35.372,35.372,35.372,0,0
RDL_PE,D,20071106,000000,33.795,33.795,33.795,33.795,0,0
RDL_PE,D,20071107,000000,31.028,31.028,31.028,31.028,0,0
RDL_PE,D,20071108,000000,30.072,30.072,30.072,30.072,0,0
RDL_PE,D,20071109,000000,30.072,30.55,28.413,29.125,0,0
RDL_PE,D,20071112,000000,27.936,29.125,27.936,28.81,0,0
RDL_PE,D,20071113,000000,28.81,28.81,28.017,28.81,0,0
RDL_PE,D,20071114,000000,28.81,29.603,28.17,28.81,0,0
RDL_PE,D,20071115,000000,28.81,28.81,26.512,26.593,0,0
RDL_PE,D,20071116,000000,26.431,27.458,24.375,27.458,0,0
RDL_PE,D,20071119,000000,26.674,27.54,25.321,25.321,0,0
RDL_PE,D,20071120,000000,25.718,25.718,24.141,24.537,0,0
RDL_PE,D,20071121,000000,23.502,23.502,23.502,23.502,0,0
RDL_PE,D,20071122,000000,23.347,27.54,22.076,27.223,0,0
RDL_PE,D,20071123,000000,27.54,27.54,26.593,27.54,0,0
RDL_PE,D,20071126,000000,28.729,28.729,26.277,26.593,0,0
RDL_PE,D,20071127,000000,26.593,26.593,25.403,25.564,0,0
RDL_PE,D,20071128,000000,26.034,26.512,24.61,24.61,0,0
RDL_PE,D,20071129,000000,25.799,26.277,25.321,25.799,0,0
RDL_PE,D,20071130,000000,25.799,25.799,25.087,25.403,0,0
RDL_PE,D,20071203,000000,25.168,25.168,24.059,24.375,0,0
RDL_PE,D,20071204,000000,24.61,25.087,24.537,24.934,0,0
RDL_PE,D,20071205,000000,25.403,26.747,25.403,25.646,0,0
RDL_PE,D,20071206,000000,25.881,26.431,25.403,26.431,0,0
RDL_PE,D,20071207,000000,26.431,26.431,25.961,26.034,0,0
RDL_PE,D,20071210,000000,25.564,26.512,25.564,26.431,0,0
RDL_PE,D,20071211,000000,26.196,26.196,25.321,26.115,0,0
RDL_PE,D,20071212,000000,25.881,25.881,25.248,25.799,0,0
RDL_PE,D,20071213,000000,25.564,25.881,24.772,25.168,0,0
RDL_PE,D,20071214,000000,25.321,25.483,24.691,25.483,0,0
RDL_PE,D,20071217,000000,25.403,25.403,24.61,24.691,0,0
RDL_PE,D,20071218,000000,24.61,24.691,23.898,24.691,0,0
