<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RON_PE,D,20071105,000000,40.9,40.9,40.9,40.9,0,0
RON_PE,D,20071106,000000,41.375,41.375,41.375,41.375,0,0
RON_PE,D,20071107,000000,40.294,40.294,40.294,40.294,0,0
RON_PE,D,20071108,000000,39.955,39.955,39.955,39.955,0,0
RON_PE,D,20071109,000000,39.955,41.036,39.955,39.955,0,0
RON_PE,D,20071112,000000,39.955,40.969,39.955,39.955,0,0
RON_PE,D,20071113,000000,40.294,40.699,39.617,40.699,0,0
RON_PE,D,20071114,000000,40.699,40.699,40.294,40.294,0,0
RON_PE,D,20071115,000000,40.631,40.631,39.549,39.617,0,0
RON_PE,D,20071116,000000,39.617,39.617,38.13,38.13,0,0
RON_PE,D,20071119,000000,37.792,38.13,36.71,37.454,0,0
RON_PE,D,20071120,000000,36.71,36.71,35.966,36.372,0,0
RON_PE,D,20071121,000000,35.966,35.966,35.966,35.966,0,0
RON_PE,D,20071122,000000,35.966,37.046,35.224,37.046,0,0
RON_PE,D,20071123,000000,37.386,37.386,35.966,35.966,0,0
RON_PE,D,20071126,000000,35.966,35.966,34.884,34.884,0,0
RON_PE,D,20071127,000000,34.884,35.629,34.884,34.884,0,0
RON_PE,D,20071128,000000,34.884,35.224,34.546,34.884,0,0
RON_PE,D,20071129,000000,34.884,35.629,34.884,35.629,0,0
RON_PE,D,20071130,000000,35.29,35.629,34.952,35.629,0,0
RON_PE,D,20071203,000000,35.29,35.29,35.29,35.29,0,0
RON_PE,D,20071204,000000,35.29,35.561,35.29,35.561,0,0
RON_PE,D,20071205,000000,35.629,37.792,35.629,37.792,0,0
RON_PE,D,20071206,000000,37.792,37.792,37.792,37.792,0,0
RON_PE,D,20071207,000000,38.062,38.062,37.454,37.454,0,0
RON_PE,D,20071210,000000,36.71,37.046,35.02,35.02,0,0
RON_PE,D,20071211,000000,35.29,35.697,35.29,35.629,0,0
RON_PE,D,20071212,000000,36.71,36.71,36.642,36.71,0,0
RON_PE,D,20071213,000000,37.454,37.792,36.71,36.71,0,0
RON_PE,D,20071214,000000,37.454,37.454,36.101,36.101,0,0
RON_PE,D,20071217,000000,35.697,36.101,35.29,35.561,0,0
RON_PE,D,20071218,000000,35.966,35.966,35.29,35.29,0,0
RON_PE,D,20071219,000000,35.02,35.02,34.614,34.614,0,0
RON_PE,D,20071220,000000,35.29,35.29,34.614,34.614,0,0
RON_PE,D,20071221,000000,35.224,35.224,33.126,33.126,0,0
RON_PE,D,20071227,000000,34.209,34.209,31.706,32.383,0,0
RON_PE,D,20071228,000000,32.383,35.561,31.706,34.884,0,0
RON_PE,D,20080102,000000,35.224,35.224,33.938,34.005,0,0
RON_PE,D,20080103,000000,35.29,35.29,35.29,35.29,0,0
RON_PE,D,20080104,000000,35.29,35.29,34.681,34.681,0,0
RON_PE,D,20080107,000000,34.952,35.629,33.465,33.465,0,0
RON_PE,D,20080108,000000,33.262,33.87,33.262,33.87,0,0
RON_PE,D,20080109,000000,33.329,34.142,33.126,33.126,0,0
RON_PE,D,20080110,000000,33.87,33.87,30.964,32.45,0,0
RON_PE,D,20080111,000000,32.45,32.45,30.964,30.964,0,0
RON_PE,D,20080114,000000,28.799,28.799,28.799,28.799,0,0
RON_PE,D,20080115,000000,27.719,27.719,26.636,27.719,0,0
