<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RPC_PE,D,20070813,000000,16.889,16.889,16.889,16.889,0,0
RPC_PE,D,20070814,000000,15.876,15.876,15.876,15.876,0,0
RPC_PE,D,20070816,000000,13.697,13.697,13.697,13.697,0,0
RPC_PE,D,20070817,000000,14.01,14.01,14.01,14.01,0,0
RPC_PE,D,20070820,000000,12.764,12.764,12.764,12.764,0,0
RPC_PE,D,20070821,000000,12.218,12.218,12.218,12.218,0,0
RPC_PE,D,20070822,000000,12.997,12.997,12.997,12.997,0,0
RPC_PE,D,20070823,000000,13.387,13.387,13.387,13.387,0,0
RPC_PE,D,20070824,000000,13.621,13.621,13.621,13.621,0,0
RPC_PE,D,20070827,000000,14.085,14.085,14.085,14.085,0,0
RPC_PE,D,20070828,000000,14.32,14.32,14.32,14.32,0,0
RPC_PE,D,20070829,000000,14.01,14.01,14.01,14.01,0,0
RPC_PE,D,20070830,000000,13.308,13.308,13.308,13.308,0,0
RPC_PE,D,20070831,000000,13.775,13.775,13.775,13.775,0,0
RPC_PE,D,20070903,000000,13.93,13.93,13.93,13.93,0,0
RPC_PE,D,20070904,000000,13.853,13.853,13.853,13.853,0,0
RPC_PE,D,20070905,000000,13.775,13.775,13.775,13.775,0,0
RPC_PE,D,20070906,000000,13.775,13.775,13.775,13.775,0,0
RPC_PE,D,20070907,000000,13.775,13.775,13.775,13.775,0,0
RPC_PE,D,20070910,000000,13.308,13.308,13.308,13.308,0,0
RPC_PE,D,20070911,000000,13.308,13.308,13.308,13.308,0,0
RPC_PE,D,20070912,000000,13.308,13.308,13.308,13.308,0,0
RPC_PE,D,20070913,000000,13.387,13.387,13.387,13.387,0,0
RPC_PE,D,20070914,000000,13.387,13.387,13.387,13.387,0,0
RPC_PE,D,20070917,000000,13.308,13.308,13.308,13.308,0,0
RPC_PE,D,20070918,000000,13.23,13.23,13.23,13.23,0,0
RPC_PE,D,20070919,000000,13.541,13.541,13.541,13.541,0,0
RPC_PE,D,20070920,000000,13.308,13.308,13.308,13.308,0,0
RPC_PE,D,20070921,000000,13.387,13.387,13.387,13.387,0,0
RPC_PE,D,20070924,000000,13.308,13.308,13.308,13.308,0,0
RPC_PE,D,20070925,000000,13.23,13.23,13.23,13.23,0,0
RPC_PE,D,20070926,000000,13.23,13.23,13.23,13.23,0,0
RPC_PE,D,20070927,000000,13.23,13.23,13.23,13.23,0,0
RPC_PE,D,20070928,000000,13.075,13.075,13.075,13.075,0,0
RPC_PE,D,20071001,000000,12.452,12.452,12.452,12.452,0,0
RPC_PE,D,20071002,000000,11.829,11.829,11.829,11.829,0,0
RPC_PE,D,20071003,000000,11.674,11.674,11.674,11.674,0,0
RPC_PE,D,20071004,000000,12.062,12.062,12.062,12.062,0,0
RPC_PE,D,20071005,000000,13.075,13.075,13.075,13.075,0,0
RPC_PE,D,20071008,000000,13.23,13.23,13.23,13.23,0,0
RPC_PE,D,20071009,000000,12.997,12.997,12.997,12.997,0,0
RPC_PE,D,20071010,000000,12.84,12.84,12.84,12.84,0,0
RPC_PE,D,20071011,000000,13.152,13.152,13.152,13.152,0,0
RPC_PE,D,20071012,000000,13.308,13.308,13.308,13.308,0,0
RPC_PE,D,20071015,000000,13.152,13.152,13.152,13.152,0,0
RPC_PE,D,20071016,000000,13.308,13.308,13.308,13.308,0,0
RPC_PE,D,20071017,000000,13.463,13.463,13.463,13.463,0,0
RPC_PE,D,20071018,000000,13.93,13.93,13.93,13.93,0,0
RPC_PE,D,20071019,000000,13.93,13.93,13.93,13.93,0,0
RPC_PE,D,20071022,000000,13.775,13.775,13.775,13.775,0,0
RPC_PE,D,20071023,000000,13.697,13.697,13.697,13.697,0,0
RPC_PE,D,20071024,000000,13.308,13.308,13.308,13.308,0,0
RPC_PE,D,20071025,000000,13.23,13.23,13.23,13.23,0,0
RPC_PE,D,20071026,000000,13.23,13.23,13.23,13.23,0,0
RPC_PE,D,20071029,000000,13.23,13.23,13.23,13.23,0,0
RPC_PE,D,20071030,000000,13.152,13.152,13.152,13.152,0,0
RPC_PE,D,20071031,000000,13.152,13.152,13.152,13.152,0,0
RPC_PE,D,20071102,000000,13.075,13.075,13.075,13.075,0,0
RPC_PE,D,20071105,000000,12.764,12.764,12.764,12.764,0,0
RPC_PE,D,20071106,000000,12.452,12.452,12.452,12.452,0,0
RPC_PE,D,20071107,000000,11.986,11.986,11.986,11.986,0,0
RPC_PE,D,20071108,000000,11.596,11.596,11.596,11.596,0,0
RPC_PE,D,20071109,000000,10.663,12.218,10.663,11.674,0,0
RPC_PE,D,20071112,000000,11.751,12.141,11.44,11.986,0,0
RPC_PE,D,20071113,000000,11.751,12.452,11.751,12.297,0,0
RPC_PE,D,20071114,000000,12.297,12.686,12.062,12.686,0,0
RPC_PE,D,20071115,000000,12.218,12.686,11.986,12.297,0,0
RPC_PE,D,20071116,000000,12.218,12.297,11.829,12.297,0,0
RPC_PE,D,20081117,000000,14.631,14.631,14.631,14.631,0,0
RPC_PE,D,20081118,000000,14.786,14.786,14.32,14.398,0,0
RPC_PE,D,20081119,000000,14.631,14.631,13.541,14.085,0,0
RPC_PE,D,20081120,000000,14.085,14.085,13.93,13.93,0,0
RPC_PE,D,20081121,000000,13.93,13.93,13.775,13.775,0,0
RPC_PE,D,20081124,000000,13.93,13.93,13.541,13.541,0,0
RPC_PE,D,20081125,000000,13.541,14.085,13.23,13.853,0,0
RPC_PE,D,20081126,000000,14.32,14.32,12.608,12.608,0,0
RPC_PE,D,20081127,000000,12.608,12.608,12.062,12.062,0,0
RPC_PE,D,20081128,000000,11.284,11.284,7.1598,7.1598,0,0
RPC_PE,D,20081201,000000,7.3154,7.3154,5.2142,5.2142,0,0
RPC_PE,D,20081202,000000,5.2921,5.6033,5.2142,5.4476,0,0
RPC_PE,D,20081203,000000,5.6033,5.7588,5.5254,5.5254,0,0
RPC_PE,D,20081204,000000,5.6811,5.8366,5.5254,5.5254,0,0
RPC_PE,D,20081205,000000,5.6033,5.6033,5.5254,5.5254,0,0
RPC_PE,D,20081208,000000,7.3154,7.3154,6.2258,6.3814,0,0
RPC_PE,D,20081209,000000,6.537,6.537,5.8366,5.9146,0,0
RPC_PE,D,20081210,000000,5.8366,5.8366,5.5254,5.6811,0,0
RPC_PE,D,20081211,000000,5.6811,5.6811,5.4476,5.4476,0,0
RPC_PE,D,20081212,000000,5.4476,5.4476,5.2921,5.3697,0,0
RPC_PE,D,20081215,000000,5.3697,5.5254,5.3697,5.3697,0,0
RPC_PE,D,20081216,000000,5.2921,5.2921,5.0586,5.1364,0,0
RPC_PE,D,20081217,000000,5.1364,5.1364,4.825,4.825,0,0
RPC_PE,D,20081218,000000,4.7473,4.7473,4.3581,4.3581,0,0
RPC_PE,D,20081219,000000,4.3581,4.3581,3.8134,4.1246,0,0
RPC_PE,D,20081222,000000,4.2024,4.2024,3.9689,4.0468,0,0
RPC_PE,D,20081223,000000,4.0468,4.0468,3.9689,4.0468,0,0
RPC_PE,D,20081229,000000,4.0468,4.1246,4.0468,4.0468,0,0
RPC_PE,D,20081230,000000,4.1246,4.5137,4.0468,4.3581,0,0
RPC_PE,D,20081231,000000,4.5137,4.5915,4.3581,4.3581,0,0
RPC_PE,D,20090105,000000,4.4359,4.4359,4.1246,4.1246,0,0
