<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RWL_PE,D,20070813,000000,28.727,28.727,28.727,28.727,0,0
RWL_PE,D,20070814,000000,29.279,29.279,29.279,29.279,0,0
RWL_PE,D,20070816,000000,29.279,29.279,29.279,29.279,0,0
RWL_PE,D,20070817,000000,28.727,28.727,28.727,28.727,0,0
RWL_PE,D,20070820,000000,29.279,29.279,29.279,29.279,0,0
RWL_PE,D,20070821,000000,30.537,30.537,30.537,30.537,0,0
RWL_PE,D,20070822,000000,30.929,30.929,30.929,30.929,0,0
RWL_PE,D,20070823,000000,30.223,30.223,30.223,30.223,0,0
RWL_PE,D,20070824,000000,29.985,29.985,29.985,29.985,0,0
RWL_PE,D,20070827,000000,29.907,29.907,29.907,29.907,0,0
RWL_PE,D,20070828,000000,29.907,29.907,29.907,29.907,0,0
RWL_PE,D,20070829,000000,29.593,29.593,29.593,29.593,0,0
RWL_PE,D,20070830,000000,30.223,30.223,30.223,30.223,0,0
RWL_PE,D,20070831,000000,30.223,30.223,30.223,30.223,0,0
RWL_PE,D,20070903,000000,30.066,30.066,30.066,30.066,0,0
RWL_PE,D,20070904,000000,30.066,30.066,30.066,30.066,0,0
RWL_PE,D,20070905,000000,30.066,30.066,30.066,30.066,0,0
RWL_PE,D,20070906,000000,29.593,29.593,29.593,29.593,0,0
RWL_PE,D,20070907,000000,29.201,29.201,29.201,29.201,0,0
RWL_PE,D,20070910,000000,29.043,29.043,29.043,29.043,0,0
RWL_PE,D,20070911,000000,30.223,30.223,30.223,30.223,0,0
RWL_PE,D,20070912,000000,29.672,29.672,29.672,29.672,0,0
RWL_PE,D,20070913,000000,30.223,30.223,30.223,30.223,0,0
RWL_PE,D,20070914,000000,30.458,30.458,30.458,30.458,0,0
RWL_PE,D,20070917,000000,29.514,29.514,29.514,29.514,0,0
RWL_PE,D,20070918,000000,29.043,29.043,29.043,29.043,0,0
RWL_PE,D,20070919,000000,28.964,28.964,28.964,28.964,0,0
RWL_PE,D,20070920,000000,28.964,28.964,28.964,28.964,0,0
RWL_PE,D,20070921,000000,28.806,28.806,28.806,28.806,0,0
RWL_PE,D,20070924,000000,28.491,28.491,28.491,28.491,0,0
RWL_PE,D,20070925,000000,28.491,28.491,28.491,28.491,0,0
RWL_PE,D,20070926,000000,29.357,29.357,29.357,29.357,0,0
RWL_PE,D,20070927,000000,29.357,29.357,29.357,29.357,0,0
RWL_PE,D,20070928,000000,29.279,29.279,29.279,29.279,0,0
RWL_PE,D,20071001,000000,28.491,28.491,28.491,28.491,0,0
RWL_PE,D,20071002,000000,27.862,27.862,27.862,27.862,0,0
RWL_PE,D,20071003,000000,28.412,28.412,28.412,28.412,0,0
RWL_PE,D,20071004,000000,28.569,28.569,28.569,28.569,0,0
RWL_PE,D,20071005,000000,29.593,29.593,29.593,29.593,0,0
RWL_PE,D,20071008,000000,30.774,30.774,30.774,30.774,0,0
RWL_PE,D,20071009,000000,30.774,30.774,30.774,30.774,0,0
RWL_PE,D,20071010,000000,30.774,30.774,30.774,30.774,0,0
RWL_PE,D,20071011,000000,30.774,30.774,30.774,30.774,0,0
RWL_PE,D,20071012,000000,30.694,30.694,30.694,30.694,0,0
RWL_PE,D,20071015,000000,30.144,30.144,30.144,30.144,0,0
RWL_PE,D,20071016,000000,30.616,30.616,30.616,30.616,0,0
RWL_PE,D,20071017,000000,30.774,30.774,30.774,30.774,0,0
RWL_PE,D,20071018,000000,31.718,31.718,31.718,31.718,0,0
RWL_PE,D,20071019,000000,32.585,32.585,32.585,32.585,0,0
RWL_PE,D,20071022,000000,32.426,32.426,32.426,32.426,0,0
RWL_PE,D,20071023,000000,31.955,31.955,31.955,31.955,0,0
RWL_PE,D,20071024,000000,31.797,31.797,31.797,31.797,0,0
RWL_PE,D,20071025,000000,30.537,30.537,30.537,30.537,0,0
RWL_PE,D,20071026,000000,30.38,30.38,30.38,30.38,0,0
RWL_PE,D,20071029,000000,29.593,29.593,29.593,29.593,0,0
RWL_PE,D,20071030,000000,30.223,30.223,30.223,30.223,0,0
RWL_PE,D,20071031,000000,29.357,29.357,29.357,29.357,0,0
RWL_PE,D,20071102,000000,29.593,29.593,29.593,29.593,0,0
RWL_PE,D,20071105,000000,28.097,28.097,28.097,28.097,0,0
RWL_PE,D,20071106,000000,27.31,27.31,27.31,27.31,0,0
RWL_PE,D,20071107,000000,26.601,26.601,26.601,26.601,0,0
RWL_PE,D,20071108,000000,25.186,25.186,25.186,25.186,0,0
RWL_PE,D,20071109,000000,23.927,24.872,23.927,24.872,0,0
RWL_PE,D,20071112,000000,24.084,24.872,22.824,24.005,0,0
RWL_PE,D,20071113,000000,24.478,24.478,22.983,22.983,0,0
RWL_PE,D,20071114,000000,22.983,22.983,21.329,22.51,0,0
RWL_PE,D,20071115,000000,22.352,22.51,19.518,19.518,0,0
RWL_PE,D,20071116,000000,19.518,46.515,17.158,46.515,0,0
RWL_PE,D,20071119,000000,46.515,49.504,22.194,22.194,0,0
RWL_PE,D,20071120,000000,21.8,22.904,21.8,22.824,0,0
RWL_PE,D,20071121,000000,22.51,22.746,22.116,22.116,0,0
RWL_PE,D,20071122,000000,22.194,23.296,21.8,23.296,0,0
RWL_PE,D,20071123,000000,23.847,24.321,23.533,23.847,0,0
RWL_PE,D,20071126,000000,23.847,23.847,22.824,22.904,0,0
RWL_PE,D,20071127,000000,21.8,22.116,21.408,21.408,0,0
RWL_PE,D,20071128,000000,21.408,22.194,21.408,21.566,0,0
RWL_PE,D,20071129,000000,22.194,22.431,21.644,21.8,0,0
RWL_PE,D,20071130,000000,22.116,23.376,22.116,22.51,0,0
RWL_PE,D,20071203,000000,24.95,24.95,22.746,22.824,0,0
RWL_PE,D,20071204,000000,22.904,22.904,22.746,22.824,0,0
RWL_PE,D,20071205,000000,23.139,24.162,23.139,24.084,0,0
RWL_PE,D,20071206,000000,24.162,24.792,24.162,24.714,0,0
RWL_PE,D,20071207,000000,24.714,25.186,24.478,25.107,0,0
RWL_PE,D,20071210,000000,25.186,25.344,24.478,25.344,0,0
RWL_PE,D,20071211,000000,24.872,25.107,24.634,24.714,0,0
RWL_PE,D,20071212,000000,24.634,24.714,24.005,24.557,0,0
RWL_PE,D,20071213,000000,24.872,25.344,24.872,25.266,0,0
RWL_PE,D,20071214,000000,26.051,26.051,25.027,25.344,0,0
RWL_PE,D,20071217,000000,25.344,25.344,24.005,24.005,0,0
RWL_PE,D,20071218,000000,23.689,24.321,23.689,24.24,0,0
RWL_PE,D,20071219,000000,24.24,24.24,24.005,24.005,0,0
RWL_PE,D,20071220,000000,23.689,24.005,23.689,23.689,0,0
RWL_PE,D,20071221,000000,24.005,24.321,23.768,23.768,0,0
RWL_PE,D,20071227,000000,23.376,24.005,23.296,23.296,0,0
RWL_PE,D,20071228,000000,23.453,23.453,22.194,22.666,0,0
RWL_PE,D,20080102,000000,22.746,23.611,22.746,23.533,0,0
RWL_PE,D,20080103,000000,23.139,23.611,23.139,23.533,0,0
RWL_PE,D,20080104,000000,23.611,24.005,23.611,23.689,0,0
RWL_PE,D,20080107,000000,23.376,23.376,23.296,23.296,0,0
RWL_PE,D,20080108,000000,21.958,23.06,21.958,22.666,0,0
RWL_PE,D,20080109,000000,22.038,22.273,21.722,21.722,0,0
