<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEN_PE,D,20131209,000000,32.3,32.3,32.3,32.3,0,0
SEN_PE,D,20131210,000000,31.3,32.1,31.3,32,0,0
SEN_PE,D,20131211,000000,31.8,32.8,31.8,32,0,0
SEN_PE,D,20131212,000000,32,32,31.6,32,0,0
SEN_PE,D,20131213,000000,32.2,32.3,31.8,32.2,0,0
SEN_PE,D,20131216,000000,31.9,31.9,30.5,30.8,0,0
SEN_PE,D,20131217,000000,30.5,30.8,29.5,29.8,0,0
SEN_PE,D,20131218,000000,29.1,29.1,27.4,27.8,0,0
SEN_PE,D,20131219,000000,27.9,27.9,25.9,26.4,0,0
SEN_PE,D,20131220,000000,25.8,26.7,25.2,26.3,0,0
SEN_PE,D,20131223,000000,26.3,27.8,26.3,27.8,0,0
SEN_PE,D,20131227,000000,28.2,28.8,28.1,28.6,0,0
SEN_PE,D,20131230,000000,28.6,29.5,28.4,29.5,0,0
SEN_PE,D,20140102,000000,28.9,29.4,28.5,28.9,0,0
SEN_PE,D,20140103,000000,28.9,29.6,28.7,28.8,0,0
SEN_PE,D,20140107,000000,28.8,29,28.1,28.5,0,0
SEN_PE,D,20140108,000000,28.9,28.9,27.4,27.4,0,0
SEN_PE,D,20140109,000000,27.4,27.7,27,27.1,0,0
SEN_PE,D,20140110,000000,27.8,27.8,25.6,25.6,0,0
SEN_PE,D,20140113,000000,26.4,26.4,26.4,26.4,0,0
SEN_PE,D,20140114,000000,26.6,26.6,26.2,26.4,0,0
SEN_PE,D,20140115,000000,26.5,27.1,25.6,25.7,0,0
SEN_PE,D,20140116,000000,25.7,25.7,25.3,25.6,0,0
SEN_PE,D,20140117,000000,25.6,25.7,25.4,25.6,0,0
SEN_PE,D,20140120,000000,25.6,27.8,25.4,27.8,0,0
SEN_PE,D,20140121,000000,27.8,28.6,27.3,27.3,0,0
SEN_PE,D,20140122,000000,27.1,27.3,26.4,26.7,0,0
SEN_PE,D,20140123,000000,26.6,26.9,26.4,26.4,0,0
SEN_PE,D,20140124,000000,26.7,26.7,26.1,26.1,0,0
SEN_PE,D,20140127,000000,26.1,26.1,25.4,26.1,0,0
SEN_PE,D,20140128,000000,26.1,26.7,25.4,25.4,0,0
SEN_PE,D,20140129,000000,25.5,25.9,25,25.2,0,0
SEN_PE,D,20140130,000000,24.9,25.2,24.2,24.7,0,0
SEN_PE,D,20140131,000000,24.8,25,24.6,24.8,0,0
SEN_PE,D,20140203,000000,24.8,25.5,24.8,25.4,0,0
SEN_PE,D,20140204,000000,25.1,25.2,24.8,25.1,0,0
SEN_PE,D,20140205,000000,25.1,26.1,25,25.4,0,0
SEN_PE,D,20140206,000000,26.5,26.5,25.6,26.1,0,0
SEN_PE,D,20140207,000000,26.4,26.4,25.6,25.6,0,0
SEN_PE,D,20140210,000000,25.6,26.1,25.6,25.8,0,0
SEN_PE,D,20140211,000000,26,26,25.7,25.9,0,0
SEN_PE,D,20140212,000000,25.7,26,25.4,25.8,0,0
SEN_PE,D,20140213,000000,25.8,26.5,25.8,26.2,0,0
SEN_PE,D,20140214,000000,26.3,26.7,26.2,26.2,0,0
SEN_PE,D,20140217,000000,26.3,26.3,25.9,26,0,0
SEN_PE,D,20140218,000000,26.1,26.3,25.8,25.8,0,0
SEN_PE,D,20140219,000000,25.8,25.8,24.6,24.7,0,0
SEN_PE,D,20140220,000000,24.7,24.7,23.4,23.6,0,0
SEN_PE,D,20140221,000000,23.8,24.7,23.8,24.6,0,0
SEN_PE,D,20140224,000000,24.9,26,24.9,25.7,0,0
SEN_PE,D,20140225,000000,25.9,26.2,25.7,25.7,0,0
SEN_PE,D,20140226,000000,25.7,26,24.6,24.8,0,0
SEN_PE,D,20140227,000000,24.8,25.4,24.7,25.4,0,0
SEN_PE,D,20140228,000000,25.8,25.8,25.2,25.4,0,0
SEN_PE,D,20140303,000000,23.4,23.4,20.1,22.6,0,0
SEN_PE,D,20140304,000000,22.6,24.5,22.6,24.3,0,0
SEN_PE,D,20140305,000000,24.6,24.6,24.1,24.1,0,0
SEN_PE,D,20140306,000000,24.2,24.3,22.6,23.7,0,0
SEN_PE,D,20140307,000000,23.7,23.7,22.1,22.1,0,0
SEN_PE,D,20140310,000000,22.1,22.1,20.6,21,0,0
SEN_PE,D,20140311,000000,20.7,21.5,20.7,21,0,0
SEN_PE,D,20140312,000000,21,22,20.8,21,0,0
SEN_PE,D,20140313,000000,21.1,21.6,21.1,21.4,0,0
SEN_PE,D,20140314,000000,21.1,21.1,20.6,20.8,0,0
SEN_PE,D,20140317,000000,20.7,21.8,20.7,21.7,0,0
SEN_PE,D,20140318,000000,22.2,22.3,21.5,21.7,0,0
SEN_PE,D,20140319,000000,21.8,21.8,21,21.1,0,0
SEN_PE,D,20140320,000000,21.2,22.1,21.1,22,0,0
SEN_PE,D,20140321,000000,21.7,22.9,21.6,21.6,0,0
SEN_PE,D,20140324,000000,22,22.3,21.8,22.3,0,0
SEN_PE,D,20140325,000000,22.3,23.8,22.1,23.5,0,0
SEN_PE,D,20140326,000000,23.7,25.3,23.7,24.7,0,0
SEN_PE,D,20140327,000000,24.8,24.8,24,24,0,0
SEN_PE,D,20140328,000000,24,24.3,23.3,24.1,0,0
SEN_PE,D,20140331,000000,24.1,24.8,24.1,24.7,0,0
SEN_PE,D,20140401,000000,24.6,25.2,24.6,24.9,0,0
SEN_PE,D,20140402,000000,24.9,25.1,24.8,24.8,0,0
SEN_PE,D,20140403,000000,24.8,24.8,24.2,24.6,0,0
SEN_PE,D,20170928,000000,24.6,24.6,24.6,24.6,0,0
