<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SME_PE,D,20070813,000000,26.662,26.662,26.662,26.662,0,0
SME_PE,D,20070814,000000,25.536,25.536,25.536,25.536,0,0
SME_PE,D,20070816,000000,24.341,24.341,24.341,24.341,0,0
SME_PE,D,20070817,000000,26.861,26.861,26.861,26.861,0,0
SME_PE,D,20070820,000000,26.928,26.928,26.928,26.928,0,0
SME_PE,D,20070821,000000,24.806,24.806,24.806,24.806,0,0
SME_PE,D,20070822,000000,27.195,27.195,27.195,27.195,0,0
SME_PE,D,20070823,000000,29.183,29.183,29.183,29.183,0,0
SME_PE,D,20070824,000000,29.318,29.318,29.318,29.318,0,0
SME_PE,D,20070827,000000,30.045,30.045,30.045,30.045,0,0
SME_PE,D,20070828,000000,29.051,29.051,29.051,29.051,0,0
SME_PE,D,20070829,000000,29.582,29.582,29.582,29.582,0,0
SME_PE,D,20070830,000000,29.449,29.449,29.449,29.449,0,0
SME_PE,D,20070831,000000,30.311,30.311,30.311,30.311,0,0
SME_PE,D,20070903,000000,31.174,31.174,31.174,31.174,0,0
SME_PE,D,20070904,000000,31.903,31.903,31.903,31.903,0,0
SME_PE,D,20070905,000000,31.24,31.24,31.24,31.24,0,0
SME_PE,D,20070906,000000,30.842,30.842,30.842,30.842,0,0
SME_PE,D,20070907,000000,29.117,29.117,29.117,29.117,0,0
SME_PE,D,20070910,000000,29.78,29.78,29.78,29.78,0,0
SME_PE,D,20070911,000000,29.78,29.78,29.78,29.78,0,0
SME_PE,D,20070912,000000,29.78,29.78,29.78,29.78,0,0
SME_PE,D,20070913,000000,31.106,31.106,31.106,31.106,0,0
SME_PE,D,20070914,000000,30.908,30.908,30.908,30.908,0,0
SME_PE,D,20070917,000000,30.311,30.311,30.311,30.311,0,0
SME_PE,D,20070918,000000,29.449,29.449,29.449,29.449,0,0
SME_PE,D,20070919,000000,30.576,30.576,30.576,30.576,0,0
SME_PE,D,20070920,000000,30.576,30.576,30.576,30.576,0,0
SME_PE,D,20070921,000000,30.576,30.576,30.576,30.576,0,0
SME_PE,D,20070924,000000,29.318,29.318,29.318,29.318,0,0
SME_PE,D,20070925,000000,28.52,28.52,28.52,28.52,0,0
SME_PE,D,20070926,000000,28.851,28.851,28.851,28.851,0,0
SME_PE,D,20070927,000000,29.382,29.382,29.382,29.382,0,0
SME_PE,D,20070928,000000,29.051,29.051,29.051,29.051,0,0
SME_PE,D,20071001,000000,28.321,28.321,28.321,28.321,0,0
SME_PE,D,20071002,000000,27.326,27.326,27.326,27.326,0,0
SME_PE,D,20071003,000000,28.255,28.255,28.255,28.255,0,0
SME_PE,D,20071004,000000,28.255,28.255,28.255,28.255,0,0
SME_PE,D,20071005,000000,28.321,28.321,28.321,28.321,0,0
SME_PE,D,20071008,000000,27.99,27.99,27.99,27.99,0,0
SME_PE,D,20071009,000000,28.652,28.652,28.652,28.652,0,0
SME_PE,D,20071010,000000,29.449,29.449,29.449,29.449,0,0
SME_PE,D,20071011,000000,28.321,28.321,28.321,28.321,0,0
SME_PE,D,20071012,000000,28.321,28.321,28.321,28.321,0,0
SME_PE,D,20071015,000000,28.321,28.321,28.321,28.321,0,0
SME_PE,D,20071016,000000,28.321,28.321,28.321,28.321,0,0
SME_PE,D,20071017,000000,28.056,28.056,28.056,28.056,0,0
