<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNK_PE,D,20070813,000000,8.8866,8.8866,8.8866,8.8866,0,0
SNK_PE,D,20070814,000000,8.8294,8.8294,8.8294,8.8294,0,0
SNK_PE,D,20070816,000000,8.5989,8.5989,8.5989,8.5989,0,0
SNK_PE,D,20070817,000000,8.4248,8.4248,8.4248,8.4248,0,0
SNK_PE,D,20070820,000000,8.54,8.54,8.54,8.54,0,0
SNK_PE,D,20070821,000000,8.54,8.54,8.54,8.54,0,0
SNK_PE,D,20070822,000000,8.5989,8.5989,8.5989,8.5989,0,0
SNK_PE,D,20070823,000000,8.5989,8.5989,8.5989,8.5989,0,0
SNK_PE,D,20070824,000000,8.7133,8.7133,8.7133,8.7133,0,0
SNK_PE,D,20070827,000000,8.5989,8.5989,8.5989,8.5989,0,0
SNK_PE,D,20070828,000000,8.2448,8.2448,8.2448,8.2448,0,0
SNK_PE,D,20070829,000000,8.2448,8.2448,8.2448,8.2448,0,0
SNK_PE,D,20070830,000000,8.3597,8.3597,8.3597,8.3597,0,0
SNK_PE,D,20070831,000000,8.3597,8.3597,8.3597,8.3597,0,0
SNK_PE,D,20070903,000000,8.54,8.54,8.54,8.54,0,0
SNK_PE,D,20070904,000000,8.54,8.54,8.54,8.54,0,0
SNK_PE,D,20070905,000000,8.3022,8.3022,8.3022,8.3022,0,0
SNK_PE,D,20070906,000000,8.4248,8.4248,8.4248,8.4248,0,0
SNK_PE,D,20070907,000000,8.129,8.129,8.129,8.129,0,0
SNK_PE,D,20070910,000000,8.129,8.129,8.129,8.129,0,0
SNK_PE,D,20070911,000000,8.129,8.129,8.129,8.129,0,0
SNK_PE,D,20070912,000000,8.129,8.129,8.129,8.129,0,0
SNK_PE,D,20070913,000000,7.9548,7.9548,7.9548,7.9548,0,0
SNK_PE,D,20070914,000000,7.8395,7.8395,7.8395,7.8395,0,0
SNK_PE,D,20070917,000000,7.8395,7.8395,7.8395,7.8395,0,0
SNK_PE,D,20070918,000000,8.2448,8.2448,8.2448,8.2448,0,0
SNK_PE,D,20070919,000000,8.3022,8.3022,8.3022,8.3022,0,0
SNK_PE,D,20070920,000000,8.3022,8.3022,8.3022,8.3022,0,0
SNK_PE,D,20070921,000000,8.3022,8.3022,8.3022,8.3022,0,0
SNK_PE,D,20070924,000000,8.0706,8.0706,8.0706,8.0706,0,0
SNK_PE,D,20070925,000000,8.0706,8.0706,8.0706,8.0706,0,0
SNK_PE,D,20070926,000000,8.129,8.129,8.129,8.129,0,0
SNK_PE,D,20070927,000000,8.129,8.129,8.129,8.129,0,0
SNK_PE,D,20070928,000000,8.129,8.129,8.129,8.129,0,0
SNK_PE,D,20071001,000000,7.8966,7.8966,7.8966,7.8966,0,0
SNK_PE,D,20071002,000000,7.9548,7.9548,7.9548,7.9548,0,0
SNK_PE,D,20071003,000000,8.0706,8.0706,8.0706,8.0706,0,0
SNK_PE,D,20071004,000000,8.0132,8.0132,8.0132,8.0132,0,0
SNK_PE,D,20071005,000000,8.0706,8.0706,8.0706,8.0706,0,0
SNK_PE,D,20071008,000000,8.0132,8.0132,8.0132,8.0132,0,0
SNK_PE,D,20071009,000000,8.129,8.129,8.129,8.129,0,0
SNK_PE,D,20071010,000000,8.129,8.129,8.129,8.129,0,0
SNK_PE,D,20071011,000000,8.129,8.129,8.129,8.129,0,0
SNK_PE,D,20071012,000000,8.129,8.129,8.129,8.129,0,0
SNK_PE,D,20071015,000000,8.0132,8.0132,8.0132,8.0132,0,0
SNK_PE,D,20071016,000000,8.129,8.129,8.129,8.129,0,0
SNK_PE,D,20071017,000000,8.129,8.129,8.129,8.129,0,0
SNK_PE,D,20071018,000000,7.9548,7.9548,7.9548,7.9548,0,0
SNK_PE,D,20071019,000000,7.8395,7.8395,7.8395,7.8395,0,0
SNK_PE,D,20071022,000000,7.665,7.665,7.665,7.665,0,0
SNK_PE,D,20071023,000000,8.0706,8.0706,8.0706,8.0706,0,0
SNK_PE,D,20071024,000000,8.0706,8.0706,8.0706,8.0706,0,0
SNK_PE,D,20071025,000000,8.0706,8.0706,8.0706,8.0706,0,0
SNK_PE,D,20071026,000000,8.0706,8.0706,8.0706,8.0706,0,0
SNK_PE,D,20071029,000000,8.0706,8.0706,8.0706,8.0706,0,0
SNK_PE,D,20071030,000000,8.1864,8.1864,8.1864,8.1864,0,0
SNK_PE,D,20071031,000000,8.1864,8.1864,8.1864,8.1864,0,0
SNK_PE,D,20071102,000000,8.1864,8.1864,8.1864,8.1864,0,0
SNK_PE,D,20071105,000000,8.1864,8.1864,8.1864,8.1864,0,0
SNK_PE,D,20071106,000000,8.1864,8.1864,8.1864,8.1864,0,0
SNK_PE,D,20071107,000000,7.9548,7.9548,7.9548,7.9548,0,0
SNK_PE,D,20071108,000000,8.0706,8.0706,8.0706,8.0706,0,0
SNK_PE,D,20071109,000000,8.0132,8.0706,8.0132,8.0706,0,0
SNK_PE,D,20071112,000000,8.3022,8.3022,8.0706,8.0706,0,0
SNK_PE,D,20071113,000000,8.3022,8.3597,7.5499,8.3022,0,0
SNK_PE,D,20071114,000000,8.3597,8.3597,7.7229,8.1864,0,0
SNK_PE,D,20071115,000000,8.3597,8.3597,7.7815,7.7815,0,0
SNK_PE,D,20071116,000000,7.6078,7.7815,7.4337,7.7815,0,0
SNK_PE,D,20071119,000000,7.6078,7.7815,7.3761,7.3761,0,0
SNK_PE,D,20071120,000000,7.4919,7.4919,7.4919,7.4919,0,0
SNK_PE,D,20071121,000000,7.3761,7.4919,7.0289,7.4337,0,0
SNK_PE,D,20071122,000000,7.4337,7.4337,7.0289,7.4337,0,0
SNK_PE,D,20071123,000000,7.4337,7.4337,7.2606,7.4337,0,0
SNK_PE,D,20071126,000000,7.4337,7.4337,7.4337,7.4337,0,0
SNK_PE,D,20071127,000000,7.4337,7.4337,7.2606,7.2606,0,0
SNK_PE,D,20071128,000000,7.2606,7.2606,7.0289,7.0289,0,0
SNK_PE,D,20071129,000000,7.0289,7.3761,7.0289,7.3761,0,0
