<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNT_PE,D,20110809,000000,37.186,37.186,37.186,37.186,0,0
SNT_PE,D,20110810,000000,44.213,44.213,36.6,36.795,0,0
SNT_PE,D,20110811,000000,40.699,40.699,40.699,40.699,0,0
SNT_PE,D,20110812,000000,43.822,43.822,40.699,43.432,0,0
SNT_PE,D,20110816,000000,43.92,49.776,43.92,49.776,0,0
SNT_PE,D,20110818,000000,37.283,37.674,37.283,37.283,0,0
SNT_PE,D,20110902,000000,36.893,40.016,36.893,40.016,0,0
SNT_PE,D,20110905,000000,40.016,40.016,40.016,40.016,0,0
SNT_PE,D,20110906,000000,40.016,40.016,40.016,40.016,0,0
SNT_PE,D,20110907,000000,38.65,44.506,38.65,44.506,0,0
SNT_PE,D,20110908,000000,42.749,42.749,41.773,41.773,0,0
SNT_PE,D,20110909,000000,42.163,43.822,37.478,37.478,0,0
SNT_PE,D,20110912,000000,39.821,39.918,34.941,39.918,0,0
SNT_PE,D,20110913,000000,37.771,39.528,37.771,39.528,0,0
SNT_PE,D,20110915,000000,37.674,40.894,37.674,40.894,0,0
SNT_PE,D,20110919,000000,39.528,39.528,39.528,39.528,0,0
SNT_PE,D,20110920,000000,39.333,39.528,39.333,39.528,0,0
SNT_PE,D,20110921,000000,39.04,39.04,35.917,37.088,0,0
SNT_PE,D,20110922,000000,36.698,36.698,36.6,36.6,0,0
SNT_PE,D,20110923,000000,37.966,38.357,37.966,38.357,0,0
SNT_PE,D,20110926,000000,38.357,42.846,37.966,42.749,0,0
SNT_PE,D,20110927,000000,42.749,42.846,41.675,41.773,0,0
SNT_PE,D,20110928,000000,39.723,41.09,38.357,41.09,0,0
SNT_PE,D,20110929,000000,37.966,41.09,36.307,41.09,0,0
SNT_PE,D,20110930,000000,41.09,41.09,41.09,41.09,0,0
SNT_PE,D,20111003,000000,41.09,41.09,41.09,41.09,0,0
SNT_PE,D,20111004,000000,38.845,41.09,37.674,41.09,0,0
SNT_PE,D,20111005,000000,40.992,41.09,40.992,41.09,0,0
SNT_PE,D,20111006,000000,41.773,41.773,41.09,41.09,0,0
SNT_PE,D,20111007,000000,41.773,41.773,41.773,41.773,0,0
SNT_PE,D,20111010,000000,41.48,46.262,41.48,46.262,0,0
SNT_PE,D,20111011,000000,45.97,45.97,44.506,45.872,0,0
SNT_PE,D,20111012,000000,46.262,46.262,44.506,44.506,0,0
SNT_PE,D,20111013,000000,44.506,44.506,44.506,44.506,0,0
SNT_PE,D,20111014,000000,45.189,45.189,44.994,44.994,0,0
SNT_PE,D,20111017,000000,44.798,44.798,44.798,44.798,0,0
SNT_PE,D,20111018,000000,44.798,44.798,44.798,44.798,0,0
SNT_PE,D,20111019,000000,44.798,44.798,44.798,44.798,0,0
SNT_PE,D,20111020,000000,44.798,44.798,44.798,44.798,0,0
SNT_PE,D,20111021,000000,44.798,44.798,44.798,44.798,0,0
SNT_PE,D,20111024,000000,44.506,44.798,44.506,44.798,0,0
SNT_PE,D,20111025,000000,44.506,44.506,44.506,44.506,0,0
SNT_PE,D,20111026,000000,44.506,44.506,44.506,44.506,0,0
SNT_PE,D,20111027,000000,44.506,44.506,44.506,44.506,0,0
SNT_PE,D,20111028,000000,44.506,44.506,44.506,44.506,0,0
