<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNX_PE,D,20120606,000000,252.75,263.56,252.75,263.56,0,0
SNX_PE,D,20120628,000000,252.75,292.85,252.75,292.85,0,0
SNX_PE,D,20120629,000000,280.85,307.5,280.85,307.5,0,0
SNX_PE,D,20120702,000000,280.85,336.69,280.85,336.69,0,0
SNX_PE,D,20120703,000000,266.79,278.21,266.79,278.21,0,0
SNX_PE,D,20120704,000000,294.91,308.97,294.91,308.97,0,0
SNX_PE,D,20120705,000000,351.05,380.64,337.09,380.64,0,0
SNX_PE,D,20120706,000000,421.33,527.01,421.33,527.01,0,0
SNX_PE,D,20120711,000000,407.28,497.82,407.28,497.82,0,0
SNX_PE,D,20120712,000000,421.33,439.22,421.33,439.22,0,0
SNX_PE,D,20120713,000000,449.35,468.52,449.35,468.52,0,0
SNX_PE,D,20120716,000000,449.35,449.35,421.33,439.22,0,0
SNX_PE,D,20120717,000000,421.33,439.22,421.33,439.22,0,0
SNX_PE,D,20120719,000000,421.33,439.22,421.33,439.22,0,0
SNX_PE,D,20120724,000000,421.33,421.33,379.16,395.28,0,0
SNX_PE,D,20120725,000000,407.28,424.58,407.28,424.58,0,0
SNX_PE,D,20120730,000000,421.33,439.22,421.33,439.22,0,0
SNX_PE,D,20120802,000000,435.39,463.41,435.39,453.88,0,0
SNX_PE,D,20120806,000000,393.22,393.22,393.22,393.22,0,0
SNX_PE,D,20120809,000000,407.28,424.58,407.28,424.58,0,0
SNX_PE,D,20120810,000000,393.22,395.28,379.16,395.28,0,0
SNX_PE,D,20120827,000000,421.33,421.33,102.73,102.73,0,0
SNX_PE,D,20120907,000000,91.522,99.286,88.18,99.286,0,0
SNX_PE,D,20120912,000000,91.522,95.847,81.397,95.847,0,0
SNX_PE,D,20120913,000000,91.522,102.73,91.522,102.73,0,0
SNX_PE,D,20120919,000000,101.65,102.73,84.739,102.73,0,0
SNX_PE,D,20120925,000000,84.739,85.623,84.739,85.623,0,0
SNX_PE,D,20120928,000000,88.18,88.18,71.173,85.623,0,0
SNX_PE,D,20121001,000000,84.739,85.623,84.739,85.623,0,0
SNX_PE,D,20121002,000000,71.173,71.173,67.831,68.519,0,0
SNX_PE,D,20121003,000000,74.613,75.301,74.613,75.301,0,0
SNX_PE,D,20121009,000000,64.39,65.078,64.39,65.078,0,0
SNX_PE,D,20121010,000000,64.39,71.959,64.39,71.959,0,0
SNX_PE,D,20121011,000000,57.606,75.301,57.606,75.301,0,0
SNX_PE,D,20121012,000000,74.613,75.301,74.613,75.301,0,0
SNX_PE,D,20121015,000000,74.613,75.301,74.613,75.301,0,0
SNX_PE,D,20121016,000000,74.613,78.742,74.613,78.742,0,0
SNX_PE,D,20121017,000000,74.613,75.301,74.613,75.301,0,0
SNX_PE,D,20121018,000000,81.397,82.183,81.397,82.183,0,0
SNX_PE,D,20121019,000000,81.397,82.183,81.397,82.183,0,0
