<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPL_PE,D,20070813,000000,13.616,13.616,13.616,13.616,0,0
SPL_PE,D,20070814,000000,13.616,13.616,13.616,13.616,0,0
SPL_PE,D,20070816,000000,13.167,13.167,13.167,13.167,0,0
SPL_PE,D,20070817,000000,13.464,13.464,13.464,13.464,0,0
SPL_PE,D,20070820,000000,13.684,13.684,13.684,13.684,0,0
SPL_PE,D,20070821,000000,13.167,13.167,13.167,13.167,0,0
SPL_PE,D,20070822,000000,13.684,13.684,13.684,13.684,0,0
SPL_PE,D,20070823,000000,13.616,13.616,13.616,13.616,0,0
SPL_PE,D,20070824,000000,13.54,13.54,13.54,13.54,0,0
SPL_PE,D,20070827,000000,13.684,13.684,13.684,13.684,0,0
SPL_PE,D,20070828,000000,13.387,13.387,13.387,13.387,0,0
SPL_PE,D,20070829,000000,13.243,13.243,13.243,13.243,0,0
SPL_PE,D,20070830,000000,14.889,14.889,14.889,14.889,0,0
SPL_PE,D,20070831,000000,15.559,15.559,15.559,15.559,0,0
SPL_PE,D,20070903,000000,15.711,15.711,15.711,15.711,0,0
SPL_PE,D,20070904,000000,15.635,15.635,15.635,15.635,0,0
SPL_PE,D,20070905,000000,15.331,15.331,15.331,15.331,0,0
SPL_PE,D,20070906,000000,14.957,14.957,14.957,14.957,0,0
SPL_PE,D,20070907,000000,14.957,14.957,14.957,14.957,0,0
SPL_PE,D,20070910,000000,14.889,14.889,14.889,14.889,0,0
SPL_PE,D,20070911,000000,15.262,15.262,15.262,15.262,0,0
SPL_PE,D,20070912,000000,16.008,16.008,16.008,16.008,0,0
SPL_PE,D,20070913,000000,16.457,16.457,16.457,16.457,0,0
SPL_PE,D,20070914,000000,16.457,16.457,16.457,16.457,0,0
SPL_PE,D,20070917,000000,16.457,16.457,16.457,16.457,0,0
SPL_PE,D,20070918,000000,16.534,16.534,16.534,16.534,0,0
SPL_PE,D,20070919,000000,16.909,16.909,16.909,16.909,0,0
SPL_PE,D,20070920,000000,16.977,16.977,16.977,16.977,0,0
SPL_PE,D,20070921,000000,16.153,16.153,16.153,16.153,0,0
SPL_PE,D,20070924,000000,16.008,16.008,16.008,16.008,0,0
SPL_PE,D,20070925,000000,15.559,15.559,15.559,15.559,0,0
SPL_PE,D,20070926,000000,15.559,15.559,15.559,15.559,0,0
SPL_PE,D,20070927,000000,15.856,15.856,15.856,15.856,0,0
SPL_PE,D,20070928,000000,15.482,15.482,15.482,15.482,0,0
SPL_PE,D,20071001,000000,15.482,15.482,15.482,15.482,0,0
SPL_PE,D,20071002,000000,16.008,16.008,16.008,16.008,0,0
SPL_PE,D,20071003,000000,16.23,16.23,16.23,16.23,0,0
SPL_PE,D,20071004,000000,16.383,16.383,16.383,16.383,0,0
SPL_PE,D,20071005,000000,16.832,16.832,16.832,16.832,0,0
SPL_PE,D,20071008,000000,16.909,16.909,16.909,16.909,0,0
SPL_PE,D,20071009,000000,17.358,17.358,17.358,17.358,0,0
SPL_PE,D,20071010,000000,17.052,17.052,17.052,17.052,0,0
SPL_PE,D,20071011,000000,17.426,17.426,17.426,17.426,0,0
SPL_PE,D,20071012,000000,17.129,17.129,17.129,17.129,0,0
SPL_PE,D,20071015,000000,17.426,17.426,17.426,17.426,0,0
SPL_PE,D,20071016,000000,16.909,16.909,16.909,16.909,0,0
SPL_PE,D,20071017,000000,17.129,17.129,17.129,17.129,0,0
SPL_PE,D,20071018,000000,16.383,16.383,16.383,16.383,0,0
SPL_PE,D,20071019,000000,16.832,16.832,16.832,16.832,0,0
SPL_PE,D,20071022,000000,16.307,16.307,16.307,16.307,0,0
SPL_PE,D,20071023,000000,16.604,16.604,16.604,16.604,0,0
SPL_PE,D,20071024,000000,16.307,16.307,16.307,16.307,0,0
