<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STF_PE,D,20070813,000000,17.367,17.367,17.367,17.367,0,0
STF_PE,D,20070814,000000,16.674,16.674,16.674,16.674,0,0
STF_PE,D,20070816,000000,14.097,14.097,14.097,14.097,0,0
STF_PE,D,20070817,000000,13.238,13.238,13.238,13.238,0,0
STF_PE,D,20070820,000000,13.238,13.238,13.238,13.238,0,0
STF_PE,D,20070821,000000,12.293,12.293,12.293,12.293,0,0
STF_PE,D,20070822,000000,12.643,12.643,12.643,12.643,0,0
STF_PE,D,20070823,000000,13.152,13.152,13.152,13.152,0,0
STF_PE,D,20070824,000000,13.668,13.668,13.668,13.668,0,0
STF_PE,D,20070827,000000,14.528,14.528,14.528,14.528,0,0
STF_PE,D,20070828,000000,14.01,14.01,14.01,14.01,0,0
STF_PE,D,20070829,000000,13.932,13.932,13.932,13.932,0,0
STF_PE,D,20070830,000000,13.932,13.932,13.932,13.932,0,0
STF_PE,D,20070831,000000,14.186,14.186,14.186,14.186,0,0
STF_PE,D,20070903,000000,14.956,14.956,14.956,14.956,0,0
STF_PE,D,20070904,000000,15.045,15.045,15.045,15.045,0,0
STF_PE,D,20070905,000000,15.045,15.045,15.045,15.045,0,0
STF_PE,D,20070906,000000,14.614,14.614,14.614,14.614,0,0
STF_PE,D,20070907,000000,14.097,14.097,14.097,14.097,0,0
STF_PE,D,20070910,000000,13.843,13.843,13.843,13.843,0,0
STF_PE,D,20070911,000000,13.932,13.932,13.932,13.932,0,0
STF_PE,D,20070912,000000,13.843,13.843,13.843,13.843,0,0
STF_PE,D,20070913,000000,13.843,13.843,13.843,13.843,0,0
STF_PE,D,20070914,000000,14.01,14.01,14.01,14.01,0,0
STF_PE,D,20070917,000000,13.932,13.932,13.932,13.932,0,0
STF_PE,D,20070918,000000,13.932,13.932,13.932,13.932,0,0
STF_PE,D,20070919,000000,15.132,15.132,15.132,15.132,0,0
STF_PE,D,20070920,000000,14.878,14.878,14.878,14.878,0,0
STF_PE,D,20070921,000000,14.956,14.956,14.956,14.956,0,0
STF_PE,D,20070924,000000,14.528,14.528,14.528,14.528,0,0
STF_PE,D,20070925,000000,14.79,14.79,14.79,14.79,0,0
STF_PE,D,20070926,000000,14.448,14.448,14.448,14.448,0,0
STF_PE,D,20070927,000000,14.448,14.448,14.448,14.448,0,0
STF_PE,D,20070928,000000,14.361,14.361,14.361,14.361,0,0
STF_PE,D,20071001,000000,13.58,13.58,13.58,13.58,0,0
STF_PE,D,20071002,000000,13.238,13.238,13.238,13.238,0,0
STF_PE,D,20071003,000000,13.326,13.326,13.326,13.326,0,0
STF_PE,D,20071004,000000,13.152,13.152,13.152,13.152,0,0
STF_PE,D,20071005,000000,13.757,13.757,13.757,13.757,0,0
STF_PE,D,20071008,000000,14.01,14.01,14.01,14.01,0,0
STF_PE,D,20071009,000000,14.272,14.272,14.272,14.272,0,0
STF_PE,D,20071010,000000,14.272,14.272,14.272,14.272,0,0
STF_PE,D,20071011,000000,14.614,14.614,14.614,14.614,0,0
STF_PE,D,20071012,000000,14.448,14.448,14.448,14.448,0,0
STF_PE,D,20071015,000000,14.528,14.528,14.528,14.528,0,0
