<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEN_PE,D,20180511,000000,51.652,51.652,51.652,51.652,0,0
TEN_PE,D,20180514,000000,67.264,71.696,55.603,55.603,0,0
TEN_PE,D,20180515,000000,55.506,55.506,48.954,51.652,0,0
TEN_PE,D,20180516,000000,52.904,53.098,50.4,53.098,0,0
TEN_PE,D,20180517,000000,53.29,53.29,49.147,49.147,0,0
TEN_PE,D,20180518,000000,49.147,51.267,48.761,49.147,0,0
TEN_PE,D,20180521,000000,50.014,52.423,50.014,50.688,0,0
TEN_PE,D,20180522,000000,52.134,52.134,50.881,51.555,0,0
TEN_PE,D,20180523,000000,51.652,51.652,49.147,50.881,0,0
TEN_PE,D,20180524,000000,50.881,50.881,49.917,50.784,0,0
TEN_PE,D,20180525,000000,50.784,50.784,49.532,50.4,0,0
TEN_PE,D,20180528,000000,50.592,53.29,50.4,53.29,0,0
TEN_PE,D,20180529,000000,58.301,59.361,55.121,56.085,0,0
TEN_PE,D,20180530,000000,54.061,54.928,37.005,37.005,0,0
TEN_PE,D,20180601,000000,37.005,38.064,36.522,37.872,0,0
TEN_PE,D,20180604,000000,38.45,41.341,38.45,41.244,0,0
TEN_PE,D,20180605,000000,42.305,46.159,42.305,46.159,0,0
TEN_PE,D,20180606,000000,47.219,51.459,46.833,46.931,0,0
TEN_PE,D,20180607,000000,48.182,49.532,45.87,49.147,0,0
TEN_PE,D,20180608,000000,48.857,49.725,47.701,49.05,0,0
TEN_PE,D,20180611,000000,50.014,50.014,44.713,47.027,0,0
TEN_PE,D,20180612,000000,47.701,48.086,47.123,47.605,0,0
TEN_PE,D,20180613,000000,47.894,47.894,46.448,46.931,0,0
TEN_PE,D,20180614,000000,46.159,49.147,45.099,48.857,0,0
TEN_PE,D,20180615,000000,48.954,48.954,47.99,48.568,0,0
TEN_PE,D,20180618,000000,48.472,48.472,47.412,47.894,0,0
TEN_PE,D,20180619,000000,47.412,47.412,45.581,46.448,0,0
TEN_PE,D,20180620,000000,46.159,46.641,44.425,45.581,0,0
TEN_PE,D,20180621,000000,45.581,45.678,42.786,43.268,0,0
TEN_PE,D,20180622,000000,42.979,43.846,42.979,43.172,0,0
TEN_PE,D,20180625,000000,43.364,47.315,42.305,45.966,0,0
TEN_PE,D,20180626,000000,46.063,46.448,44.425,45.581,0,0
TEN_PE,D,20180627,000000,45.099,45.581,44.425,44.521,0,0
TEN_PE,D,20180628,000000,44.232,45.581,44.135,45.581,0,0
TEN_PE,D,20180629,000000,44.521,45.581,44.521,45.003,0,0
TEN_PE,D,20180702,000000,45.003,46.256,45.003,46.159,0,0
TEN_PE,D,20180703,000000,46.159,46.159,45.292,45.87,0,0
TEN_PE,D,20180704,000000,46.159,47.315,45.678,45.87,0,0
TEN_PE,D,20180705,000000,45.966,48.182,45.87,47.701,0,0
TEN_PE,D,20180706,000000,47.99,48.568,47.412,47.412,0,0
TEN_PE,D,20180709,000000,47.894,47.99,46.545,47.219,0,0
TEN_PE,D,20180710,000000,47.315,52.037,47.123,50.688,0,0
TEN_PE,D,20180711,000000,51.555,51.555,50.303,50.592,0,0
TEN_PE,D,20180712,000000,50.978,51.17,50.303,50.784,0,0
TEN_PE,D,20180713,000000,50.881,50.881,50.303,50.592,0,0
TEN_PE,D,20180716,000000,51.17,51.459,50.496,50.592,0,0
TEN_PE,D,20180717,000000,50.592,50.592,49.243,50.11,0,0
TEN_PE,D,20180718,000000,50.303,50.303,48.857,49.435,0,0
TEN_PE,D,20180719,000000,49.435,49.725,48.568,49.147,0,0
TEN_PE,D,20180720,000000,49.725,50.881,49.147,50.014,0,0
TEN_PE,D,20180723,000000,50.592,51.267,50.4,51.267,0,0
TEN_PE,D,20180724,000000,51.555,52.037,50.11,51.652,0,0
TEN_PE,D,20180725,000000,52.134,57.338,51.459,56.277,0,0
TEN_PE,D,20180726,000000,56.567,59.169,56.567,58.59,0,0
TEN_PE,D,20180727,000000,58.879,63.023,57.434,62.734,0,0
TEN_PE,D,20180730,000000,65.144,68.709,62.348,62.445,0,0
TEN_PE,D,20180731,000000,62.156,65.046,59.747,60.422,0,0
TEN_PE,D,20180801,000000,60.71,61.577,60.036,60.71,0,0
TEN_PE,D,20180802,000000,61.096,61.674,60.71,60.903,0,0
TEN_PE,D,20180803,000000,60.999,61.577,60.132,60.132,0,0
TEN_PE,D,20180806,000000,60.999,60.999,58.108,58.879,0,0
TEN_PE,D,20180807,000000,59.169,60.036,58.012,59.073,0,0
TEN_PE,D,20180808,000000,59.747,63.216,58.879,63.216,0,0
TEN_PE,D,20180809,000000,64.662,67.456,62.83,67.456,0,0
TEN_PE,D,20180810,000000,67.552,67.552,65.336,67.167,0,0
TEN_PE,D,20180813,000000,66.781,70.154,66.589,69.287,0,0
TEN_PE,D,20180814,000000,69.287,72.756,68.998,72.564,0,0
TEN_PE,D,20180816,000000,74.009,75.551,71.889,74.298,0,0
TEN_PE,D,20180817,000000,74.587,74.587,71.985,72.852,0,0
TEN_PE,D,20180820,000000,73.431,75.647,71.117,71.311,0,0
TEN_PE,D,20180821,000000,72.66,72.66,69.866,71.6,0,0
TEN_PE,D,20180822,000000,72.178,72.178,70.154,70.54,0,0
TEN_PE,D,20180823,000000,71.696,71.696,68.998,69.191,0,0
TEN_PE,D,20180824,000000,71.6,71.6,69.383,69.866,0,0
TEN_PE,D,20180827,000000,70.443,73.431,70.443,71.021,0,0
TEN_PE,D,20180828,000000,69.576,72.178,41.244,41.244,0,0
TEN_PE,D,20180829,000000,41.244,44.425,38.642,42.979,0,0
TEN_PE,D,20180830,000000,44.039,44.039,41.052,41.726,0,0
TEN_PE,D,20180831,000000,41.341,41.341,39.028,39.51,0,0
TEN_PE,D,20180903,000000,39.028,39.413,33.15,33.15,0,0
TEN_PE,D,20180904,000000,32.379,35.463,32.379,35.077,0,0
TEN_PE,D,20180905,000000,34.981,37.293,34.981,35.752,0,0
TEN_PE,D,20180906,000000,35.173,35.173,33.632,34.499,0,0
TEN_PE,D,20180907,000000,33.92,36.138,33.92,34.499,0,0
TEN_PE,D,20180910,000000,33.92,36.33,33.15,36.33,0,0
TEN_PE,D,20180911,000000,37.101,37.101,34.114,34.114,0,0
TEN_PE,D,20180912,000000,35.173,35.559,33.342,33.536,0,0
TEN_PE,D,20180913,000000,34.691,34.691,33.92,34.595,0,0
TEN_PE,D,20180914,000000,34.691,34.981,34.306,34.981,0,0
TEN_PE,D,20180917,000000,34.981,39.991,34.981,39.991,0,0
TEN_PE,D,20180918,000000,40.185,42.497,39.799,39.799,0,0
TEN_PE,D,20180919,000000,39.607,40.859,37.679,37.679,0,0
TEN_PE,D,20180920,000000,37.679,38.642,37.679,38.45,0,0
TEN_PE,D,20180921,000000,38.642,39.799,38.546,39.028,0,0
TEN_PE,D,20180924,000000,39.028,39.413,36.33,36.33,0,0
TEN_PE,D,20180925,000000,36.715,38.257,36.715,38.161,0,0
TEN_PE,D,20180926,000000,38.257,39.703,37.775,37.872,0,0
TEN_PE,D,20180927,000000,38.161,39.221,38.161,38.257,0,0
TEN_PE,D,20180928,000000,38.642,39.317,37.101,37.872,0,0
TEN_PE,D,20181001,000000,37.872,38.064,36.522,36.812,0,0
TEN_PE,D,20181002,000000,36.33,36.812,35.752,36.138,0,0
TEN_PE,D,20181003,000000,36.33,36.908,34.788,36.812,0,0
TEN_PE,D,20181004,000000,37.005,37.005,35.655,35.944,0,0
TEN_PE,D,20181005,000000,35.366,38.546,35.366,36.908,0,0
TEN_PE,D,20181008,000000,36.908,37.101,35.077,35.559,0,0
TEN_PE,D,20181009,000000,35.173,35.752,34.691,35.366,0,0
TEN_PE,D,20181010,000000,35.366,35.366,33.342,33.728,0,0
TEN_PE,D,20181011,000000,32.09,32.475,29.681,31.126,0,0
TEN_PE,D,20181012,000000,31.608,32.765,30.741,32.668,0,0
TEN_PE,D,20181015,000000,33.15,33.15,31.704,32.379,0,0
TEN_PE,D,20181016,000000,32.475,32.765,32.186,32.379,0,0
TEN_PE,D,20181017,000000,32.379,32.571,31.222,31.416,0,0
TEN_PE,D,20181018,000000,31.318,31.993,30.837,30.837,0,0
TEN_PE,D,20181019,000000,30.548,31.03,30.163,30.644,0,0
TEN_PE,D,20181022,000000,30.451,30.451,28.332,29.873,0,0
TEN_PE,D,20181023,000000,28.91,28.91,27.175,28.524,0,0
TEN_PE,D,20181024,000000,27.849,29.873,27.849,29.102,0,0
TEN_PE,D,20181025,000000,27.561,27.946,27.175,27.657,0,0
TEN_PE,D,20181026,000000,27.753,28.91,27.753,27.753,0,0
TEN_PE,D,20181029,000000,27.753,28.524,27.753,28.235,0,0
TEN_PE,D,20181030,000000,28.043,28.332,27.849,28.332,0,0
TEN_PE,D,20181031,000000,28.62,30.067,28.332,29.392,0,0
TEN_PE,D,20181102,000000,29.969,31.993,29.969,31.608,0,0
TEN_PE,D,20181105,000000,31.993,36.715,31.993,35.944,0,0
TEN_PE,D,20181106,000000,36.715,37.968,35.944,37.005,0,0
TEN_PE,D,20181107,000000,37.583,37.583,34.306,34.499,0,0
TEN_PE,D,20181108,000000,34.499,35.944,34.017,34.403,0,0
TEN_PE,D,20181109,000000,33.92,33.92,32.186,33.439,0,0
TEN_PE,D,20181113,000000,32.379,32.379,31.608,32.186,0,0
TEN_PE,D,20181114,000000,31.801,34.114,31.608,34.114,0,0
TEN_PE,D,20181115,000000,34.403,34.691,33.15,33.728,0,0
TEN_PE,D,20181116,000000,33.632,33.92,31.801,32.186,0,0
TEN_PE,D,20181119,000000,32.571,33.15,31.222,31.897,0,0
TEN_PE,D,20181120,000000,31.704,31.897,30.451,30.451,0,0
TEN_PE,D,20181121,000000,29.969,29.969,20.429,20.429,0,0
TEN_PE,D,20181122,000000,20.719,22.743,20.525,22.646,0,0
TEN_PE,D,20181123,000000,23.224,23.513,22.453,22.453,0,0
TEN_PE,D,20181126,000000,22.453,23.031,22.453,22.839,0,0
TEN_PE,D,20181127,000000,22.839,22.935,22.453,22.646,0,0
TEN_PE,D,20181128,000000,22.743,23.417,22.743,23.224,0,0
TEN_PE,D,20181129,000000,23.417,23.898,23.417,23.802,0,0
TEN_PE,D,20181130,000000,23.706,23.995,23.513,23.706,0,0
TEN_PE,D,20181203,000000,23.802,23.802,22.26,22.357,0,0
TEN_PE,D,20181204,000000,22.743,22.743,21.682,22.26,0,0
TEN_PE,D,20181205,000000,21.972,21.972,21.393,21.875,0,0
TEN_PE,D,20181206,000000,21.586,21.586,20.911,21.008,0,0
