<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOA_PE,D,20110909,000000,8.1866,8.1866,8.1866,8.1866,0,0
TOA_PE,D,20110912,000000,7.6905,8.0212,7.6905,8.0212,0,0
TOA_PE,D,20110913,000000,7.7732,8.0212,7.6905,8.0212,0,0
TOA_PE,D,20110916,000000,7.6905,8.0212,7.6905,7.6905,0,0
TOA_PE,D,20110919,000000,7.8558,8.0212,7.8558,8.0212,0,0
TOA_PE,D,20110920,000000,8.0212,8.0212,8.0212,8.0212,0,0
TOA_PE,D,20110921,000000,7.4424,8.0212,7.4424,8.0212,0,0
TOA_PE,D,20110923,000000,7.6905,8.0212,7.6905,8.0212,0,0
TOA_PE,D,20110926,000000,8.0212,8.1039,7.6078,8.1039,0,0
TOA_PE,D,20110927,000000,8.1039,8.3517,8.1039,8.3517,0,0
TOA_PE,D,20110928,000000,8.4344,8.5173,8.1039,8.3517,0,0
TOA_PE,D,20110929,000000,8.3517,8.5997,8.3517,8.5997,0,0
TOA_PE,D,20110930,000000,8.5997,8.7658,8.5997,8.6832,0,0
TOA_PE,D,20111003,000000,7.8558,8.4344,7.8558,8.4344,0,0
TOA_PE,D,20111004,000000,8.2688,8.2688,8.2688,8.2688,0,0
TOA_PE,D,20111005,000000,8.2688,8.5997,8.2688,8.5997,0,0
TOA_PE,D,20111006,000000,8.5173,8.5997,8.5173,8.5173,0,0
TOA_PE,D,20111011,000000,8.5173,8.5173,8.5173,8.5173,0,0
TOA_PE,D,20111012,000000,8.3517,8.4344,8.1866,8.4344,0,0
TOA_PE,D,20111013,000000,8.5173,8.5173,8.2688,8.2688,0,0
TOA_PE,D,20111017,000000,8.2688,8.5173,8.2688,8.2688,0,0
TOA_PE,D,20111018,000000,8.2688,8.4344,8.1039,8.4344,0,0
TOA_PE,D,20111026,000000,8.0212,8.4344,8.0212,8.2688,0,0
TOA_PE,D,20111028,000000,8.0212,8.2688,8.0212,8.2688,0,0
TOA_PE,D,20111031,000000,8.2688,8.2688,8.2688,8.2688,0,0
TOA_PE,D,20111103,000000,8.1039,8.1039,8.1039,8.1039,0,0
TOA_PE,D,20111104,000000,7.7732,8.2688,7.7732,8.2688,0,0
TOA_PE,D,20111107,000000,8.2688,8.2688,8.2688,8.2688,0,0
TOA_PE,D,20111108,000000,8.2688,8.2688,8.2688,8.2688,0,0
TOA_PE,D,20111109,000000,7.9385,8.2688,7.9385,8.2688,0,0
TOA_PE,D,20111110,000000,7.6905,8.4344,7.6905,8.4344,0,0
TOA_PE,D,20111114,000000,8.4344,8.5997,8.4344,8.5997,0,0
TOA_PE,D,20111115,000000,8.5997,8.5997,8.2688,8.2688,0,0
TOA_PE,D,20111116,000000,8.4344,8.5173,7.3597,7.3597,0,0
TOA_PE,D,20111117,000000,7.3597,7.3597,7.3597,7.3597,0,0
TOA_PE,D,20111118,000000,7.1115,7.2769,7.1115,7.2769,0,0
TOA_PE,D,20111121,000000,7.1115,7.1115,6.9461,7.1115,0,0
TOA_PE,D,20111122,000000,7.0289,7.1115,7.0289,7.1115,0,0
TOA_PE,D,20111124,000000,7.2769,7.2769,6.9461,7.0289,0,0
TOA_PE,D,20111128,000000,7.2769,7.2769,7.2769,7.2769,0,0
TOA_PE,D,20111129,000000,6.8634,7.2769,6.8634,7.2769,0,0
TOA_PE,D,20111130,000000,7.1943,7.3597,7.1943,7.3597,0,0
TOA_PE,D,20111202,000000,7.3597,7.3597,7.2769,7.2769,0,0
TOA_PE,D,20111206,000000,6.7808,7.2769,6.7808,7.2769,0,0
TOA_PE,D,20111209,000000,7.1943,7.2769,7.1115,7.2769,0,0
TOA_PE,D,20111214,000000,7.0289,7.0289,6.9461,6.9461,0,0
TOA_PE,D,20111216,000000,6.5327,7.1115,6.5327,6.9461,0,0
TOA_PE,D,20111222,000000,6.45,6.9461,6.3674,6.7808,0,0
TOA_PE,D,20111223,000000,6.6155,6.7808,6.1193,6.1193,0,0
TOA_PE,D,20111227,000000,6.3674,6.3674,6.1193,6.1193,0,0
TOA_PE,D,20111228,000000,5.5404,6.2847,5.5404,6.202,0,0
TOA_PE,D,20111229,000000,6.0366,6.202,5.7058,6.202,0,0
TOA_PE,D,20111230,000000,5.8712,6.202,5.8712,6.202,0,0
TOA_PE,D,20120102,000000,6.202,6.202,6.1193,6.1193,0,0
TOA_PE,D,20120103,000000,6.5327,6.6155,6.5327,6.6155,0,0
TOA_PE,D,20120104,000000,6.6155,7.0289,6.6155,7.0289,0,0
TOA_PE,D,20120109,000000,6.8634,6.8634,6.3674,6.3674,0,0
TOA_PE,D,20120110,000000,6.3674,6.5327,6.202,6.3674,0,0
TOA_PE,D,20120111,000000,6.202,6.2847,6.202,6.2847,0,0
TOA_PE,D,20120112,000000,6.2847,6.2847,6.202,6.202,0,0
TOA_PE,D,20120113,000000,6.202,6.202,6.202,6.202,0,0
TOA_PE,D,20120116,000000,6.1193,6.1193,6.1193,6.1193,0,0
TOA_PE,D,20120117,000000,6.1193,6.9461,6.1193,6.9461,0,0
TOA_PE,D,20120118,000000,7.0289,7.1115,7.0289,7.1115,0,0
TOA_PE,D,20120119,000000,7.0289,7.0289,6.6155,6.8634,0,0
TOA_PE,D,20120120,000000,6.6155,6.6155,6.2847,6.6155,0,0
TOA_PE,D,20120123,000000,6.3674,6.3674,6.2847,6.2847,0,0
TOA_PE,D,20120124,000000,6.2847,6.6155,6.2847,6.6155,0,0
TOA_PE,D,20120125,000000,6.6155,6.6155,6.6155,6.6155,0,0
TOA_PE,D,20120126,000000,6.5327,6.5327,6.5327,6.5327,0,0
TOA_PE,D,20120127,000000,6.3674,6.6981,6.3674,6.6981,0,0
TOA_PE,D,20120130,000000,6.6155,6.6155,6.3674,6.3674,0,0
TOA_PE,D,20120131,000000,6.5327,6.6981,6.3674,6.6981,0,0
TOA_PE,D,20120203,000000,6.6981,6.6981,6.5327,6.5327,0,0
TOA_PE,D,20120207,000000,6.5327,6.5327,6.5327,6.5327,0,0
TOA_PE,D,20120209,000000,6.5327,6.5327,6.5327,6.5327,0,0
TOA_PE,D,20120210,000000,6.3674,6.3674,6.3674,6.3674,0,0
TOA_PE,D,20120213,000000,6.3674,6.3674,6.3674,6.3674,0,0
TOA_PE,D,20120216,000000,6.5327,6.5327,6.3674,6.45,0,0
TOA_PE,D,20120221,000000,6.5327,6.5327,6.5327,6.5327,0,0
TOA_PE,D,20120222,000000,6.5327,6.5327,6.5327,6.5327,0,0
TOA_PE,D,20120223,000000,6.45,6.45,6.45,6.45,0,0
TOA_PE,D,20120227,000000,6.45,6.45,6.3674,6.3674,0,0
TOA_PE,D,20120228,000000,6.3674,6.3674,6.3674,6.3674,0,0
TOA_PE,D,20120229,000000,6.3674,6.3674,6.3674,6.3674,0,0
TOA_PE,D,20120301,000000,6.6155,6.6981,6.3674,6.6155,0,0
TOA_PE,D,20120302,000000,6.6155,6.6155,6.1193,6.1193,0,0
TOA_PE,D,20120306,000000,6.202,6.202,6.202,6.202,0,0
TOA_PE,D,20120308,000000,6.202,6.45,6.202,6.45,0,0
TOA_PE,D,20120309,000000,6.45,6.45,6.45,6.45,0,0
TOA_PE,D,20120312,000000,6.1193,6.45,6.1193,6.45,0,0
TOA_PE,D,20120313,000000,6.45,6.45,6.45,6.45,0,0
