<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOR_PE,D,20140905,000000,32.09,32.09,32.09,32.09,0,0
TOR_PE,D,20140908,000000,32.325,32.325,30.681,31.308,0,0
TOR_PE,D,20140909,000000,31.308,32.794,31.308,32.794,0,0
TOR_PE,D,20140910,000000,32.639,32.874,32.325,32.874,0,0
TOR_PE,D,20140911,000000,32.874,33.42,11.192,11.192,0,0
TOR_PE,D,20140912,000000,11.192,11.192,11.036,11.114,0,0
TOR_PE,D,20140915,000000,11.349,11.349,11.114,11.349,0,0
TOR_PE,D,20140916,000000,11.349,11.819,11.349,11.583,0,0
TOR_PE,D,20140917,000000,11.74,11.74,11.583,11.74,0,0
TOR_PE,D,20140918,000000,11.74,11.74,11.661,11.661,0,0
TOR_PE,D,20140919,000000,11.74,11.74,11.583,11.661,0,0
TOR_PE,D,20140922,000000,11.74,11.74,11.583,11.583,0,0
TOR_PE,D,20140923,000000,11.583,11.583,11.192,11.349,0,0
TOR_PE,D,20140924,000000,11.192,11.661,10.879,11.661,0,0
TOR_PE,D,20140925,000000,11.661,11.74,11.661,11.661,0,0
TOR_PE,D,20140926,000000,11.74,12.367,11.661,12.053,0,0
TOR_PE,D,20140929,000000,12.367,12.367,12.053,12.288,0,0
TOR_PE,D,20140930,000000,12.367,12.367,12.211,12.211,0,0
TOR_PE,D,20141001,000000,12.288,12.288,11.897,12.131,0,0
TOR_PE,D,20141002,000000,12.211,12.211,11.897,12.053,0,0
TOR_PE,D,20141003,000000,12.053,12.211,11.975,12.211,0,0
TOR_PE,D,20141006,000000,12.288,12.288,12.131,12.131,0,0
TOR_PE,D,20141007,000000,12.131,12.288,12.131,12.288,0,0
TOR_PE,D,20141008,000000,12.288,12.288,11.975,11.975,0,0
TOR_PE,D,20141009,000000,12.053,12.211,11.819,11.897,0,0
TOR_PE,D,20141010,000000,11.897,11.897,11.661,11.897,0,0
TOR_PE,D,20141013,000000,11.975,11.975,11.661,11.897,0,0
TOR_PE,D,20141014,000000,11.897,11.897,11.583,11.819,0,0
TOR_PE,D,20141015,000000,11.897,11.897,11.428,11.583,0,0
TOR_PE,D,20141016,000000,11.661,11.661,11.428,11.506,0,0
TOR_PE,D,20141017,000000,11.74,11.74,11.349,11.583,0,0
TOR_PE,D,20141020,000000,11.583,11.583,11.349,11.506,0,0
TOR_PE,D,20141021,000000,11.506,11.975,11.506,11.819,0,0
TOR_PE,D,20141022,000000,11.819,11.819,11.74,11.74,0,0
TOR_PE,D,20141023,000000,11.819,11.819,11.583,11.819,0,0
TOR_PE,D,20141024,000000,11.661,11.819,11.661,11.819,0,0
TOR_PE,D,20141027,000000,11.819,11.819,11.506,11.661,0,0
TOR_PE,D,20141028,000000,11.583,11.661,11.583,11.661,0,0
TOR_PE,D,20141029,000000,11.661,11.74,11.506,11.661,0,0
TOR_PE,D,20141030,000000,11.819,12.053,11.506,12.053,0,0
TOR_PE,D,20141031,000000,12.053,12.522,11.975,12.053,0,0
TOR_PE,D,20141103,000000,12.288,12.288,11.897,11.975,0,0
TOR_PE,D,20141104,000000,12.288,12.288,11.975,12.053,0,0
TOR_PE,D,20141105,000000,12.211,12.288,12.053,12.131,0,0
TOR_PE,D,20141106,000000,11.975,12.288,11.975,12.211,0,0
TOR_PE,D,20141107,000000,12.288,12.288,11.897,12.211,0,0
TOR_PE,D,20141110,000000,12.288,12.288,11.975,12.131,0,0
TOR_PE,D,20141112,000000,12.211,12.288,12.131,12.131,0,0
TOR_PE,D,20141113,000000,12.131,12.131,11.661,12.131,0,0
TOR_PE,D,20141114,000000,12.211,12.211,11.897,12.131,0,0
TOR_PE,D,20141117,000000,12.131,12.131,11.661,11.897,0,0
TOR_PE,D,20141118,000000,11.897,12.602,11.74,12.444,0,0
TOR_PE,D,20141119,000000,12.367,12.602,12.288,12.367,0,0
TOR_PE,D,20141120,000000,12.367,12.522,12.053,12.367,0,0
TOR_PE,D,20141121,000000,11.74,12.367,11.74,12.288,0,0
