<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRN_PE,D,20081020,000000,55.875,55.875,55.875,55.875,0,0
TRN_PE,D,20081021,000000,56.423,56.514,56.423,56.514,0,0
TRN_PE,D,20081022,000000,56.514,56.514,56.514,56.514,0,0
TRN_PE,D,20081023,000000,56.514,58.887,56.514,58.887,0,0
TRN_PE,D,20081028,000000,58.796,58.796,58.796,58.796,0,0
TRN_PE,D,20081029,000000,58.796,58.796,56.514,56.514,0,0
TRN_PE,D,20081030,000000,56.514,56.514,56.514,56.514,0,0
TRN_PE,D,20081031,000000,56.514,56.97,56.514,56.97,0,0
TRN_PE,D,20081103,000000,56.97,56.97,56.97,56.97,0,0
TRN_PE,D,20081104,000000,58.796,58.979,58.796,58.979,0,0
TRN_PE,D,20081105,000000,58.887,58.887,57.975,57.975,0,0
TRN_PE,D,20081106,000000,57.975,57.975,57.975,57.975,0,0
TRN_PE,D,20081107,000000,57.975,57.975,55.51,55.51,0,0
TRN_PE,D,20081110,000000,55.51,55.51,55.51,55.51,0,0
TRN_PE,D,20081114,000000,55.51,55.51,55.51,55.51,0,0
TRN_PE,D,20081117,000000,55.51,55.51,55.51,55.51,0,0
TRN_PE,D,20081118,000000,55.51,55.51,55.51,55.51,0,0
TRN_PE,D,20081119,000000,55.51,55.51,55.51,55.51,0,0
TRN_PE,D,20081121,000000,55.51,55.51,55.51,55.51,0,0
TRN_PE,D,20081124,000000,57.519,57.519,57.519,57.519,0,0
TRN_PE,D,20081201,000000,58.979,58.979,58.979,58.979,0,0
TRN_PE,D,20081202,000000,58.979,58.979,58.979,58.979,0,0
TRN_PE,D,20081203,000000,58.979,58.979,58.979,58.979,0,0
TRN_PE,D,20081204,000000,58.979,58.979,58.979,58.979,0,0
TRN_PE,D,20081205,000000,58.979,58.979,58.979,58.979,0,0
TRN_PE,D,20081208,000000,58.979,58.979,58.979,58.979,0,0
TRN_PE,D,20081209,000000,58.979,58.979,58.979,58.979,0,0
TRN_PE,D,20081210,000000,58.979,58.979,58.979,58.979,0,0
TRN_PE,D,20081211,000000,58.979,58.979,58.523,58.523,0,0
TRN_PE,D,20081212,000000,58.523,58.523,58.523,58.523,0,0
TRN_PE,D,20081217,000000,58.523,58.523,58.523,58.523,0,0
TRN_PE,D,20081219,000000,58.523,58.523,58.523,58.523,0,0
TRN_PE,D,20081230,000000,58.523,58.523,58.523,58.523,0,0
TRN_PE,D,20081231,000000,59.07,59.07,58.979,58.979,0,0
TRN_PE,D,20090105,000000,58.523,58.523,58.523,58.523,0,0
TRN_PE,D,20090120,000000,57.519,57.519,57.519,57.519,0,0
TRN_PE,D,20090204,000000,59.436,59.527,59.436,59.527,0,0
TRN_PE,D,20090305,000000,55.601,55.601,55.51,55.51,0,0
TRN_PE,D,20090420,000000,55.418,55.418,55.418,55.418,0,0
TRN_PE,D,20090421,000000,55.418,57.427,55.418,57.427,0,0
TRN_PE,D,20090422,000000,53.501,53.501,53.41,53.41,0,0
TRN_PE,D,20090423,000000,53.41,53.41,53.41,53.41,0,0
TRN_PE,D,20090505,000000,55.418,55.418,55.418,55.418,0,0
TRN_PE,D,20090806,000000,52.405,52.405,52.405,52.405,0,0
TRN_PE,D,20090818,000000,52.405,52.405,52.405,52.405,0,0
TRN_PE,D,20090915,000000,52.405,52.405,52.405,52.405,0,0
TRN_PE,D,20090923,000000,51.492,51.492,51.492,51.492,0,0
TRN_PE,D,20091022,000000,51.036,51.036,51.036,51.036,0,0
TRN_PE,D,20091103,000000,49.666,49.666,49.666,49.666,0,0
TRN_PE,D,20091104,000000,49.666,49.666,49.666,49.666,0,0
TRN_PE,D,20091105,000000,47.841,47.841,47.841,47.841,0,0
TRN_PE,D,20091109,000000,47.841,47.841,47.841,47.841,0,0
TRN_PE,D,20091110,000000,47.841,47.841,47.841,47.841,0,0
TRN_PE,D,20091112,000000,47.841,47.841,47.841,47.841,0,0
TRN_PE,D,20091113,000000,47.841,47.841,47.841,47.841,0,0
TRN_PE,D,20091116,000000,47.841,47.841,46.928,46.928,0,0
TRN_PE,D,20091117,000000,46.928,46.928,46.015,46.015,0,0
TRN_PE,D,20091118,000000,46.015,46.015,46.015,46.015,0,0
TRN_PE,D,20091125,000000,55.236,64.457,55.236,64.366,0,0
TRN_PE,D,20091130,000000,64.366,64.366,64.366,64.366,0,0
TRN_PE,D,20091207,000000,64.366,71.761,64.366,71.761,0,0
TRN_PE,D,20091209,000000,107.28,119.05,107.28,118.96,0,0
TRN_PE,D,20091210,000000,95.408,113.94,95.408,113.94,0,0
TRN_PE,D,20091216,000000,91.299,109.19,91.299,108.92,0,0
TRN_PE,D,20091222,000000,102.17,110.75,102.17,109.83,0,0
TRN_PE,D,20091228,000000,111.57,114.13,111.57,114.03,0,0
TRN_PE,D,20091230,000000,114.13,114.13,114.03,114.03,0,0
TRN_PE,D,20091231,000000,127.73,127.73,127.73,127.73,0,0
TRN_PE,D,20100104,000000,119.23,119.23,119.15,119.15,0,0
TRN_PE,D,20100118,000000,124.35,129.46,124.35,129.37,0,0
TRN_PE,D,20100119,000000,134.58,136.31,134.58,136.22,0,0
TRN_PE,D,20100120,000000,137.95,144.8,137.95,144.71,0,0
TRN_PE,D,20100121,000000,140.51,140.51,140.42,140.42,0,0
TRN_PE,D,20100122,000000,140.51,140.51,140.42,140.42,0,0
TRN_PE,D,20100125,000000,143.06,143.06,142.98,142.98,0,0
TRN_PE,D,20100128,000000,141.42,141.42,141.33,141.33,0,0
TRN_PE,D,20100201,000000,143.89,143.89,143.89,143.89,0,0
TRN_PE,D,20100209,000000,143.89,143.89,143.89,143.89,0,0
TRN_PE,D,20100211,000000,143.06,143.06,142.98,142.98,0,0
TRN_PE,D,20100212,000000,143.89,143.89,143.89,143.89,0,0
TRN_PE,D,20100217,000000,143.89,143.89,143.89,143.89,0,0
TRN_PE,D,20100223,000000,80.8,80.8,80.8,80.8,0,0
TRN_PE,D,20100406,000000,80.8,95.59,80.8,81.438,0,0
TRN_PE,D,20100407,000000,84.817,92.578,81.438,92.486,0,0
TRN_PE,D,20100408,000000,91.482,96.318,91.482,96.318,0,0
TRN_PE,D,20100409,000000,92.486,96.318,88.56,96.318,0,0
TRN_PE,D,20100412,000000,96.318,98.781,96.318,98.781,0,0
TRN_PE,D,20100413,000000,98.781,99.79,98.781,99.69,0,0
TRN_PE,D,20100414,000000,99.69,101.16,99.69,101.16,0,0
TRN_PE,D,20100420,000000,101.16,103.08,101.16,103.08,0,0
TRN_PE,D,20100426,000000,94.404,104.08,94.404,104.08,0,0
TRN_PE,D,20100427,000000,104.08,106.09,104.08,106.09,0,0
TRN_PE,D,20100430,000000,97.415,101.25,97.415,101.16,0,0
TRN_PE,D,20100504,000000,105.91,107.82,101.16,101.16,0,0
TRN_PE,D,20100505,000000,105.91,106,105.91,106,0,0
TRN_PE,D,20100506,000000,101.25,106.09,101.25,106,0,0
TRN_PE,D,20100507,000000,102.17,106.09,101.25,106,0,0
TRN_PE,D,20100514,000000,98.329,104.08,86.734,104.08,0,0
TRN_PE,D,20100525,000000,103.44,133.2,103.44,133.12,0,0
TRN_PE,D,20100526,000000,114.94,119.78,110.2,119.7,0,0
TRN_PE,D,20100527,000000,97.694,124.53,97.694,124.53,0,0
TRN_PE,D,20100531,000000,99.61,129.37,99.61,124.44,0,0
TRN_PE,D,20100608,000000,100.61,114.94,100.61,114.94,0,0
TRN_PE,D,20100609,000000,118.78,118.78,118.78,118.78,0,0
TRN_PE,D,20100621,000000,95.77,95.77,95.77,95.77,0,0
TRN_PE,D,20100622,000000,114.94,114.94,95.77,114.94,0,0
TRN_PE,D,20100623,000000,91.938,105.36,91.938,105.36,0,0
TRN_PE,D,20100624,000000,91.938,105.26,91.938,105.26,0,0
TRN_PE,D,20100625,000000,91.938,100.97,91.938,100.97,0,0
TRN_PE,D,20100630,000000,101.52,105.36,101.52,105.36,0,0
TRN_PE,D,20100705,000000,110.2,110.2,110.2,110.2,0,0
TRN_PE,D,20100708,000000,110.2,110.2,110.2,110.2,0,0
TRN_PE,D,20100714,000000,110.2,110.2,110.2,110.2,0,0
TRN_PE,D,20100716,000000,110.2,110.2,110.2,110.2,0,0
TRN_PE,D,20100721,000000,110.2,110.2,110.2,110.2,0,0
TRN_PE,D,20100722,000000,110.2,110.2,110.2,110.2,0,0
TRN_PE,D,20100727,000000,111.11,111.11,111.11,111.11,0,0
TRN_PE,D,20100728,000000,111.11,114.94,111.11,114.94,0,0
TRN_PE,D,20100730,000000,114.94,123.62,114.94,123.52,0,0
TRN_PE,D,20100802,000000,119.78,124.53,114.94,114.94,0,0
TRN_PE,D,20100803,000000,91.938,114.94,91.938,114.94,0,0
TRN_PE,D,20100804,000000,114.49,133.12,114.49,133.12,0,0
TRN_PE,D,20100805,000000,117.87,117.87,117.77,117.77,0,0
TRN_PE,D,20100806,000000,119.23,123.62,119.23,123.52,0,0
TRN_PE,D,20100809,000000,125.53,125.53,125.45,125.45,0,0
TRN_PE,D,20100810,000000,125.53,125.53,125.45,125.45,0,0
TRN_PE,D,20100812,000000,123.62,125.53,123.62,125.45,0,0
TRN_PE,D,20100816,000000,119.78,119.78,119.7,119.7,0,0
TRN_PE,D,20100818,000000,119.78,119.78,119.7,119.7,0,0
TRN_PE,D,20100819,000000,120.7,132.47,95.77,132.47,0,0
TRN_PE,D,20100823,000000,130.47,130.47,130.37,130.37,0,0
TRN_PE,D,20100825,000000,130.47,130.47,130.37,130.37,0,0
TRN_PE,D,20100826,000000,130.47,132.47,130.47,132.47,0,0
TRN_PE,D,20100827,000000,107.46,130.47,107.46,130.37,0,0
TRN_PE,D,20100831,000000,104.35,135.67,104.35,135.58,0,0
TRN_PE,D,20100906,000000,140.88,140.88,140.78,140.78,0,0
TRN_PE,D,20100915,000000,137.77,137.77,137.68,137.68,0,0
TRN_PE,D,20100922,000000,114.76,137.77,114.76,137.68,0,0
TRN_PE,D,20100923,000000,114.76,125.17,104.35,125.17,0,0
TRN_PE,D,20100927,000000,130.47,135.67,130.47,135.58,0,0
TRN_PE,D,20100929,000000,130.47,138.77,130.47,138.69,0,0
TRN_PE,D,20101006,000000,92.759,92.851,92.759,92.851,0,0
TRN_PE,D,20101007,000000,93.947,99.146,88.652,99.06,0,0
TRN_PE,D,20101011,000000,98.511,98.511,98.511,98.511,0,0
TRN_PE,D,20101013,000000,97.963,98.511,97.963,98.511,0,0
TRN_PE,D,20101014,000000,99.51,99.61,99.51,99.61,0,0
TRN_PE,D,20101015,000000,100.16,100.16,100.16,100.16,0,0
TRN_PE,D,20101018,000000,101.07,101.25,101.07,101.16,0,0
TRN_PE,D,20101019,000000,101.25,102.53,101.25,102.53,0,0
TRN_PE,D,20101020,000000,103.26,103.8,103.26,103.8,0,0
TRN_PE,D,20101021,000000,103.8,124.44,103.44,124.44,0,0
TRN_PE,D,20101022,000000,122.07,124.17,53.41,53.41,0,0
TRN_PE,D,20101025,000000,49.575,50.032,42.819,43.093,0,0
TRN_PE,D,20101026,000000,43.093,45.923,41.724,45.923,0,0
TRN_PE,D,20101027,000000,41.358,45.467,41.084,43.55,0,0
TRN_PE,D,20101028,000000,43.002,43.002,38.711,41.084,0,0
TRN_PE,D,20101029,000000,38.711,38.711,36.702,38.62,0,0
TRN_PE,D,20101102,000000,39.533,40.445,38.711,40.171,0,0
TRN_PE,D,20101103,000000,38.802,42.546,38.802,42.454,0,0
TRN_PE,D,20101104,000000,42.089,42.546,42.089,42.546,0,0
TRN_PE,D,20101105,000000,42.546,42.637,42.546,42.546,0,0
TRN_PE,D,20101108,000000,43.276,43.276,42.728,42.728,0,0
TRN_PE,D,20101109,000000,42.363,42.728,42.363,42.728,0,0
TRN_PE,D,20101110,000000,42.546,42.546,40.171,42.546,0,0
TRN_PE,D,20101112,000000,42.546,42.546,42.546,42.546,0,0
TRN_PE,D,20101115,000000,40.263,42.089,40.263,42.089,0,0
TRN_PE,D,20101116,000000,41.997,41.997,41.906,41.906,0,0
TRN_PE,D,20101117,000000,41.815,41.815,41.815,41.815,0,0
TRN_PE,D,20101118,000000,41.815,41.997,41.815,41.906,0,0
TRN_PE,D,20101119,000000,42.089,42.18,42.089,42.18,0,0
TRN_PE,D,20101122,000000,42.18,42.271,42.18,42.271,0,0
TRN_PE,D,20101123,000000,42.271,42.271,40.354,42.271,0,0
TRN_PE,D,20101124,000000,42.089,42.18,39.441,41.997,0,0
TRN_PE,D,20101125,000000,43.367,45.376,43.367,43.55,0,0
TRN_PE,D,20101126,000000,43.184,43.276,40.263,40.263,0,0
TRN_PE,D,20101129,000000,40.263,40.263,40.171,40.171,0,0
TRN_PE,D,20101130,000000,40.354,42.546,40.354,42.546,0,0
