<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSG_PE,D,20090916,000000,51.449,51.449,13.266,13.266,0,0
TSG_PE,D,20090917,000000,13.623,14.162,12.279,12.279,0,0
TSG_PE,D,20090918,000000,12.011,12.19,12.011,12.19,0,0
TSG_PE,D,20090921,000000,12.1,12.817,12.1,12.728,0,0
TSG_PE,D,20090922,000000,13.087,13.087,13.087,13.087,0,0
TSG_PE,D,20090923,000000,12.728,12.817,12.728,12.817,0,0
TSG_PE,D,20090924,000000,12.728,13.355,12.548,13.355,0,0
TSG_PE,D,20090925,000000,13.355,15.417,13.355,15.327,0,0
TSG_PE,D,20090928,000000,15.148,15.148,14.43,15.148,0,0
TSG_PE,D,20090929,000000,14.341,14.968,14.341,14.968,0,0
TSG_PE,D,20090930,000000,14.341,14.79,14.251,14.79,0,0
TSG_PE,D,20091001,000000,14.79,14.79,14.162,14.79,0,0
TSG_PE,D,20091002,000000,15.327,15.327,15.238,15.238,0,0
TSG_PE,D,20091005,000000,15.058,15.058,14.968,15.058,0,0
TSG_PE,D,20091006,000000,14.251,14.43,13.983,14.341,0,0
TSG_PE,D,20091007,000000,14.341,14.341,14.341,14.341,0,0
TSG_PE,D,20091008,000000,14.072,14.072,14.072,14.072,0,0
TSG_PE,D,20091009,000000,14.341,14.341,13.893,14.341,0,0
TSG_PE,D,20091012,000000,13.893,13.893,13.893,13.893,0,0
TSG_PE,D,20091013,000000,14.341,14.341,13.714,13.893,0,0
TSG_PE,D,20091014,000000,13.714,13.714,13.444,13.714,0,0
TSG_PE,D,20091015,000000,13.893,13.893,13.444,13.714,0,0
TSG_PE,D,20091016,000000,14.341,14.341,14.162,14.162,0,0
TSG_PE,D,20091019,000000,14.162,14.162,13.444,13.534,0,0
TSG_PE,D,20091020,000000,13.534,14.162,13.534,13.893,0,0
TSG_PE,D,20091021,000000,13.893,13.893,13.444,13.444,0,0
TSG_PE,D,20091022,000000,13.534,13.534,13.355,13.355,0,0
TSG_PE,D,20091023,000000,13.534,13.534,13.444,13.444,0,0
TSG_PE,D,20091026,000000,13.534,14.43,13.444,14.341,0,0
TSG_PE,D,20091027,000000,13.983,13.983,13.893,13.893,0,0
TSG_PE,D,20091028,000000,14.072,14.341,14.072,14.341,0,0
TSG_PE,D,20091029,000000,13.444,14.162,13.444,13.714,0,0
TSG_PE,D,20091030,000000,14.072,14.072,13.444,13.714,0,0
TSG_PE,D,20091102,000000,13.893,13.893,13.534,13.534,0,0
TSG_PE,D,20091103,000000,13.534,13.534,13.444,13.534,0,0
TSG_PE,D,20091104,000000,13.893,13.893,13.534,13.623,0,0
TSG_PE,D,20091105,000000,13.534,13.534,13.444,13.444,0,0
TSG_PE,D,20091106,000000,13.444,13.444,13.355,13.355,0,0
TSG_PE,D,20091109,000000,13.534,13.534,13.355,13.355,0,0
TSG_PE,D,20091110,000000,13.355,13.355,13.355,13.355,0,0
TSG_PE,D,20091112,000000,13.444,14.162,13.266,14.162,0,0
TSG_PE,D,20091113,000000,14.251,14.341,13.444,13.714,0,0
TSG_PE,D,20091116,000000,13.714,14.52,13.714,14.52,0,0
TSG_PE,D,20091117,000000,14.251,14.251,14.162,14.162,0,0
