<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UCG_PE,D,20071220,000000,7.5529,7.5529,7.5529,7.5529,0,0
UCG_PE,D,20071221,000000,7.824,7.824,7.5529,7.7598,0,0
UCG_PE,D,20071227,000000,7.7598,7.7598,7.6886,7.6886,0,0
UCG_PE,D,20071228,000000,7.6886,7.7598,7.6244,7.6886,0,0
UCG_PE,D,20080102,000000,7.7598,7.7598,7.5529,7.6244,0,0
UCG_PE,D,20080103,000000,7.5529,7.6244,7.4886,7.5529,0,0
UCG_PE,D,20080104,000000,7.6244,8.2953,7.4243,8.2953,0,0
UCG_PE,D,20080107,000000,8.1669,8.2953,8.1669,8.2311,0,0
UCG_PE,D,20080108,000000,8.2311,8.2311,8.0312,8.0954,0,0
UCG_PE,D,20080109,000000,8.0312,8.2953,7.824,8.2311,0,0
UCG_PE,D,20080110,000000,8.3667,8.5022,8.0954,8.0954,0,0
UCG_PE,D,20080111,000000,8.3667,8.5666,8.3667,8.5666,0,0
UCG_PE,D,20080114,000000,8.6382,8.6382,8.6382,8.6382,0,0
UCG_PE,D,20080115,000000,8.7743,8.7743,8.3667,8.3667,0,0
UCG_PE,D,20080116,000000,7.824,8.5022,7.824,8.5022,0,0
UCG_PE,D,20080117,000000,8.431,8.5022,8.3667,8.431,0,0
UCG_PE,D,20080118,000000,8.3667,8.3667,8.2311,8.2311,0,0
UCG_PE,D,20080121,000000,8.2311,8.2311,7.5529,7.7598,0,0
UCG_PE,D,20080122,000000,7.4243,7.6244,7.2173,7.4886,0,0
UCG_PE,D,20080123,000000,7.4886,7.4886,7.0818,7.353,0,0
UCG_PE,D,20080124,000000,7.6244,7.8956,7.6244,7.8956,0,0
UCG_PE,D,20080125,000000,7.6244,7.824,7.6244,7.6886,0,0
UCG_PE,D,20080128,000000,7.6886,7.6886,7.4243,7.5529,0,0
UCG_PE,D,20080129,000000,7.6886,7.7598,7.4243,7.4243,0,0
UCG_PE,D,20080130,000000,7.4243,7.4886,7.4243,7.4886,0,0
UCG_PE,D,20080131,000000,7.4886,7.4886,7.2887,7.353,0,0
UCG_PE,D,20080201,000000,7.4243,7.5529,7.4243,7.5529,0,0
UCG_PE,D,20080204,000000,7.6886,7.7598,7.6886,7.7598,0,0
UCG_PE,D,20080205,000000,7.7598,7.7598,7.4886,7.4886,0,0
UCG_PE,D,20080206,000000,7.353,7.4886,7.2173,7.4886,0,0
UCG_PE,D,20080207,000000,7.5529,7.5529,7.2173,7.2173,0,0
UCG_PE,D,20080208,000000,7.2173,7.2173,6.946,7.0175,0,0
UCG_PE,D,20080211,000000,6.8175,7.0175,6.8175,6.8175,0,0
UCG_PE,D,20080212,000000,7.0175,7.1531,7.0175,7.1531,0,0
UCG_PE,D,20080213,000000,7.2887,7.5529,7.2887,7.5529,0,0
UCG_PE,D,20080214,000000,7.5529,7.6886,7.4243,7.4886,0,0
UCG_PE,D,20080215,000000,7.4886,7.4886,7.2887,7.2887,0,0
UCG_PE,D,20080218,000000,7.353,7.353,7.2887,7.353,0,0
UCG_PE,D,20080219,000000,7.2887,7.5529,7.2887,7.4886,0,0
UCG_PE,D,20080220,000000,7.4243,7.4886,7.4243,7.4243,0,0
UCG_PE,D,20080221,000000,7.4886,7.4886,7.4243,7.4243,0,0
UCG_PE,D,20080222,000000,7.4243,7.4243,7.353,7.353,0,0
UCG_PE,D,20080225,000000,7.4243,7.4243,7.0175,7.0175,0,0
UCG_PE,D,20080226,000000,7.1531,7.2173,7.1531,7.2173,0,0
UCG_PE,D,20080227,000000,7.0175,7.2887,7.0175,7.2173,0,0
UCG_PE,D,20080228,000000,7.2887,7.2887,7.2887,7.2887,0,0
UCG_PE,D,20080303,000000,7.1531,7.1531,6.8175,6.8175,0,0
