<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ULG_PE,D,20180615,000000,60.293,60.293,60.293,60.293,0,0
ULG_PE,D,20180618,000000,47.962,59.516,47.962,59.516,0,0
ULG_PE,D,20180619,000000,59.516,59.516,52.719,54.856,0,0
ULG_PE,D,20180620,000000,53.011,53.011,45.243,45.341,0,0
ULG_PE,D,20180621,000000,47.088,60.195,47.088,58.544,0,0
ULG_PE,D,20180622,000000,61.361,67.38,58.739,60.293,0,0
ULG_PE,D,20180625,000000,62.04,62.04,56.506,56.506,0,0
ULG_PE,D,20180626,000000,57.963,58.739,55.049,58.448,0,0
ULG_PE,D,20180627,000000,57.283,58.448,55.535,57.477,0,0
ULG_PE,D,20180628,000000,57.38,57.38,51.943,54.953,0,0
ULG_PE,D,20180629,000000,54.953,54.953,50.487,51.943,0,0
ULG_PE,D,20180702,000000,51.943,53.399,51.943,52.719,0,0
ULG_PE,D,20180703,000000,52.719,53.885,52.719,53.885,0,0
ULG_PE,D,20180704,000000,53.788,56.506,53.788,55.438,0,0
ULG_PE,D,20180705,000000,56.506,58.934,56.506,58.059,0,0
ULG_PE,D,20180706,000000,59.127,59.127,55.826,57.574,0,0
ULG_PE,D,20180709,000000,56.992,56.992,54.856,55.632,0,0
ULG_PE,D,20180710,000000,56.215,58.448,55.049,56.895,0,0
ULG_PE,D,20180711,000000,57.865,64.079,57.671,60.195,0,0
ULG_PE,D,20180712,000000,60.973,61.361,58.934,60.195,0,0
ULG_PE,D,20180713,000000,60.195,60.293,58.351,60.293,0,0
ULG_PE,D,20180716,000000,62.234,62.234,59.419,59.516,0,0
ULG_PE,D,20180717,000000,60.002,61.069,58.836,60.875,0,0
ULG_PE,D,20180718,000000,60.293,60.973,58.156,60.778,0,0
ULG_PE,D,20180719,000000,60.875,61.166,59.127,61.069,0,0
ULG_PE,D,20180720,000000,60.973,61.069,59.516,59.904,0,0
ULG_PE,D,20180723,000000,61.069,61.069,58.836,60.681,0,0
ULG_PE,D,20180724,000000,59.613,59.904,58.059,59.904,0,0
ULG_PE,D,20180725,000000,58.059,60.195,58.059,60.098,0,0
ULG_PE,D,20180726,000000,58.739,60.487,58.642,60.487,0,0
ULG_PE,D,20180727,000000,60.293,62.429,59.807,62.332,0,0
ULG_PE,D,20180730,000000,66.506,75.342,49.419,49.419,0,0
ULG_PE,D,20180731,000000,50.39,52.914,48.156,49.904,0,0
ULG_PE,D,20180801,000000,50.292,50.292,46.797,47.185,0,0
ULG_PE,D,20180802,000000,46.409,47.088,44.758,46.894,0,0
ULG_PE,D,20180803,000000,46.409,48.448,45.535,47.088,0,0
ULG_PE,D,20180806,000000,47.477,47.477,46.409,47.088,0,0
ULG_PE,D,20180807,000000,47.477,47.477,44.467,46.214,0,0
ULG_PE,D,20180808,000000,46.409,47.865,45.341,47.282,0,0
