<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ULM_PE,D,20070813,000000,22.228,22.228,22.228,22.228,0,0
ULM_PE,D,20070814,000000,22.029,22.029,22.029,22.029,0,0
ULM_PE,D,20070816,000000,18.881,18.881,18.881,18.881,0,0
ULM_PE,D,20070817,000000,18.813,18.813,18.813,18.813,0,0
ULM_PE,D,20070820,000000,19.483,19.483,19.483,19.483,0,0
ULM_PE,D,20070821,000000,19.215,19.215,19.215,19.215,0,0
ULM_PE,D,20070822,000000,21.358,21.358,21.358,21.358,0,0
ULM_PE,D,20070823,000000,22.093,22.093,22.093,22.093,0,0
ULM_PE,D,20070824,000000,23.166,23.166,23.166,23.166,0,0
ULM_PE,D,20070827,000000,23.166,23.166,23.166,23.166,0,0
ULM_PE,D,20070828,000000,22.496,22.496,22.496,22.496,0,0
ULM_PE,D,20070829,000000,23.166,23.166,23.166,23.166,0,0
ULM_PE,D,20070830,000000,22.564,22.564,22.564,22.564,0,0
ULM_PE,D,20070831,000000,23.032,23.032,23.032,23.032,0,0
ULM_PE,D,20070903,000000,23.501,23.501,23.501,23.501,0,0
ULM_PE,D,20070904,000000,23.098,23.098,23.098,23.098,0,0
ULM_PE,D,20070905,000000,23.367,23.367,23.367,23.367,0,0
ULM_PE,D,20070906,000000,23.166,23.166,23.166,23.166,0,0
ULM_PE,D,20070907,000000,22.362,22.362,22.362,22.362,0,0
ULM_PE,D,20070910,000000,21.29,21.29,21.29,21.29,0,0
ULM_PE,D,20070911,000000,22.564,22.564,22.564,22.564,0,0
ULM_PE,D,20070912,000000,22.295,22.295,22.295,22.295,0,0
ULM_PE,D,20070913,000000,22.831,22.831,22.831,22.831,0,0
ULM_PE,D,20070914,000000,23.367,23.367,23.367,23.367,0,0
ULM_PE,D,20070917,000000,22.564,22.564,22.564,22.564,0,0
ULM_PE,D,20070918,000000,22.228,22.228,22.228,22.228,0,0
ULM_PE,D,20070919,000000,21.492,21.492,21.492,21.492,0,0
ULM_PE,D,20070920,000000,22.362,22.362,22.362,22.362,0,0
ULM_PE,D,20070921,000000,22.496,22.496,22.496,22.496,0,0
ULM_PE,D,20070924,000000,22.496,22.496,22.496,22.496,0,0
ULM_PE,D,20070925,000000,22.429,22.429,22.429,22.429,0,0
ULM_PE,D,20070926,000000,21.893,21.893,21.893,21.893,0,0
ULM_PE,D,20070927,000000,22.362,22.362,22.362,22.362,0,0
ULM_PE,D,20070928,000000,22.429,22.429,22.429,22.429,0,0
ULM_PE,D,20071001,000000,23.232,23.232,23.232,23.232,0,0
ULM_PE,D,20071002,000000,22.162,22.162,22.162,22.162,0,0
ULM_PE,D,20071003,000000,21.827,21.827,21.827,21.827,0,0
ULM_PE,D,20071004,000000,21.558,21.558,21.558,21.558,0,0
ULM_PE,D,20071005,000000,21.96,21.96,21.96,21.96,0,0
ULM_PE,D,20071008,000000,21.693,21.693,21.693,21.693,0,0
ULM_PE,D,20071009,000000,22.162,22.162,22.162,22.162,0,0
ULM_PE,D,20071010,000000,22.564,22.564,22.564,22.564,0,0
ULM_PE,D,20071011,000000,22.429,22.429,22.429,22.429,0,0
ULM_PE,D,20071012,000000,22.162,22.162,22.162,22.162,0,0
ULM_PE,D,20071015,000000,21.827,21.827,21.827,21.827,0,0
ULM_PE,D,20071016,000000,21.693,21.693,21.693,21.693,0,0
ULM_PE,D,20071017,000000,21.693,21.693,21.693,21.693,0,0
ULM_PE,D,20071018,000000,21.693,21.693,21.693,21.693,0,0
ULM_PE,D,20071019,000000,22.697,22.697,22.697,22.697,0,0
ULM_PE,D,20071022,000000,22.564,22.564,22.564,22.564,0,0
ULM_PE,D,20071023,000000,22.964,22.964,22.964,22.964,0,0
ULM_PE,D,20071024,000000,23.098,23.098,23.098,23.098,0,0
ULM_PE,D,20071025,000000,23.902,23.902,23.902,23.902,0,0
ULM_PE,D,20071026,000000,23.166,23.166,23.166,23.166,0,0
ULM_PE,D,20071029,000000,23.098,23.098,23.098,23.098,0,0
ULM_PE,D,20071030,000000,22.899,22.899,22.899,22.899,0,0
ULM_PE,D,20071031,000000,23.634,23.634,23.634,23.634,0,0
ULM_PE,D,20071102,000000,22.964,22.964,22.964,22.964,0,0
ULM_PE,D,20071105,000000,22.362,22.362,22.362,22.362,0,0
ULM_PE,D,20071106,000000,22.162,22.162,22.162,22.162,0,0
ULM_PE,D,20071107,000000,22.228,22.228,22.228,22.228,0,0
ULM_PE,D,20071108,000000,21.492,21.492,21.492,21.492,0,0
ULM_PE,D,20071109,000000,21.224,21.893,20.822,21.29,0,0
ULM_PE,D,20071112,000000,20.755,21.29,18.881,18.948,0,0
ULM_PE,D,20071113,000000,19.015,21.893,19.015,21.827,0,0
ULM_PE,D,20071114,000000,21.29,21.759,20.555,21.759,0,0
ULM_PE,D,20071115,000000,21.358,21.759,19.082,21.023,0,0
ULM_PE,D,20071116,000000,20.355,21.023,19.551,19.751,0,0
ULM_PE,D,20071119,000000,19.818,20.355,19.551,19.951,0,0
ULM_PE,D,20071120,000000,19.751,20.355,19.751,20.355,0,0
ULM_PE,D,20071121,000000,19.951,20.152,19.349,20.085,0,0
ULM_PE,D,20071122,000000,19.283,20.688,19.283,20.688,0,0
ULM_PE,D,20071123,000000,19.885,20.688,19.885,20.688,0,0
ULM_PE,D,20071126,000000,20.688,21.091,20.555,20.688,0,0
ULM_PE,D,20071127,000000,20.688,20.688,19.951,20.688,0,0
ULM_PE,D,20071128,000000,21.091,21.091,19.818,19.818,0,0
ULM_PE,D,20071129,000000,19.818,20.085,19.283,20.085,0,0
ULM_PE,D,20071130,000000,19.818,20.555,19.818,20.487,0,0
ULM_PE,D,20071203,000000,20.555,20.621,20.555,20.555,0,0
ULM_PE,D,20071204,000000,20.555,20.555,20.085,20.555,0,0
ULM_PE,D,20071205,000000,20.555,20.89,20.286,20.89,0,0
ULM_PE,D,20071206,000000,21.091,21.091,20.487,20.487,0,0
ULM_PE,D,20071207,000000,20.487,20.822,20.286,20.822,0,0
ULM_PE,D,20071210,000000,20.286,20.822,20.286,20.822,0,0
ULM_PE,D,20071211,000000,20.555,20.957,20.355,20.822,0,0
ULM_PE,D,20071212,000000,20.555,20.822,20.555,20.822,0,0
ULM_PE,D,20071213,000000,20.487,20.755,20.487,20.755,0,0
ULM_PE,D,20071214,000000,20.42,20.822,20.42,20.822,0,0
ULM_PE,D,20071217,000000,20.02,20.085,19.684,19.684,0,0
ULM_PE,D,20071218,000000,19.551,20.555,19.551,20.555,0,0
ULM_PE,D,20071219,000000,20.02,20.22,19.951,20.22,0,0
ULM_PE,D,20071220,000000,20.22,20.22,19.751,20.22,0,0
ULM_PE,D,20071221,000000,20.487,21.156,20.22,20.822,0,0
ULM_PE,D,20071227,000000,20.822,21.224,20.355,21.224,0,0
ULM_PE,D,20071228,000000,20.822,22.697,20.822,22.697,0,0
ULM_PE,D,20080102,000000,22.295,22.295,22.228,22.228,0,0
ULM_PE,D,20080103,000000,20.957,21.96,20.957,21.96,0,0
ULM_PE,D,20080104,000000,21.893,21.893,21.224,21.893,0,0
ULM_PE,D,20080107,000000,21.224,21.224,20.487,20.487,0,0
ULM_PE,D,20080108,000000,20.286,20.286,19.818,19.818,0,0
ULM_PE,D,20080109,000000,19.818,19.818,19.082,19.349,0,0
ULM_PE,D,20080110,000000,19.082,19.483,18.747,19.483,0,0
ULM_PE,D,20080111,000000,19.551,19.551,18.881,19.349,0,0
ULM_PE,D,20080114,000000,18.412,18.412,18.412,18.412,0,0
ULM_PE,D,20080115,000000,18.412,18.412,16.604,17.542,0,0
ULM_PE,D,20080116,000000,17.006,17.006,15.935,16.67,0,0
ULM_PE,D,20080117,000000,16.336,16.805,16.336,16.738,0,0
ULM_PE,D,20080118,000000,15.868,16.203,15.868,16.135,0,0
ULM_PE,D,20080121,000000,16.069,16.069,15.466,15.601,0,0
ULM_PE,D,20080122,000000,14.261,16.203,14.261,16.203,0,0
ULM_PE,D,20080123,000000,16.47,17.006,15.868,16.404,0,0
ULM_PE,D,20080124,000000,16.604,17.675,16.604,17.274,0,0
ULM_PE,D,20080125,000000,18.01,18.01,17.139,17.139,0,0
ULM_PE,D,20080128,000000,16.604,17.609,16.604,17.609,0,0
ULM_PE,D,20080129,000000,18.078,18.412,17.675,18.412,0,0
