<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNI_PE,D,20080512,000000,26.369,26.369,26.369,26.369,0,0
UNI_PE,D,20080513,000000,26.369,26.446,25.819,26.446,0,0
UNI_PE,D,20080514,000000,26.446,26.682,26.135,26.682,0,0
UNI_PE,D,20080515,000000,26.918,27.232,26.682,27.232,0,0
UNI_PE,D,20080516,000000,27.467,28.881,27.467,27.86,0,0
UNI_PE,D,20080519,000000,28.567,29.116,28.567,29.036,0,0
UNI_PE,D,20080520,000000,29.351,29.902,29.273,29.273,0,0
UNI_PE,D,20080521,000000,29.351,29.351,28.567,28.644,0,0
UNI_PE,D,20080523,000000,28.096,29.194,28.096,29.116,0,0
UNI_PE,D,20080526,000000,29.273,29.351,28.174,29.116,0,0
UNI_PE,D,20080527,000000,29.116,29.116,29.036,29.036,0,0
UNI_PE,D,20080528,000000,28.958,29.036,28.958,29.036,0,0
UNI_PE,D,20080529,000000,29.036,29.036,29.036,29.036,0,0
UNI_PE,D,20080530,000000,29.273,29.273,28.802,28.802,0,0
UNI_PE,D,20080602,000000,28.802,28.802,16.559,16.559,0,0
UNI_PE,D,20080603,000000,16.559,16.559,16.559,16.559,0,0
UNI_PE,D,20080604,000000,16.559,16.559,16.087,16.087,0,0
UNI_PE,D,20080605,000000,16.246,16.559,16.246,16.324,0,0
UNI_PE,D,20080606,000000,16.48,16.48,16.402,16.402,0,0
UNI_PE,D,20080609,000000,15.93,16.559,15.461,16.559,0,0
UNI_PE,D,20080610,000000,16.559,16.559,16.559,16.559,0,0
UNI_PE,D,20080611,000000,16.402,16.402,16.402,16.402,0,0
UNI_PE,D,20080612,000000,16.402,16.402,16.402,16.402,0,0
UNI_PE,D,20080613,000000,16.402,16.402,16.402,16.402,0,0
UNI_PE,D,20080616,000000,16.324,16.402,16.324,16.402,0,0
UNI_PE,D,20080617,000000,15.853,16.402,15.853,16.324,0,0
UNI_PE,D,20080618,000000,16.246,16.246,16.246,16.246,0,0
UNI_PE,D,20080619,000000,15.618,15.774,15.618,15.774,0,0
UNI_PE,D,20080620,000000,15.774,16.087,15.774,16.087,0,0
UNI_PE,D,20080623,000000,15.774,16.324,15.774,16.246,0,0
UNI_PE,D,20080624,000000,16.246,16.246,16.166,16.166,0,0
UNI_PE,D,20080625,000000,16.087,16.087,16.01,16.087,0,0
UNI_PE,D,20080626,000000,15.93,16.087,15.853,16.087,0,0
UNI_PE,D,20080627,000000,15.93,15.93,15.93,15.93,0,0
UNI_PE,D,20080630,000000,16.087,16.087,16.087,16.087,0,0
UNI_PE,D,20080701,000000,16.087,16.087,16.087,16.087,0,0
UNI_PE,D,20080702,000000,16.087,16.087,16.087,16.087,0,0
UNI_PE,D,20080703,000000,16.166,16.166,16.166,16.166,0,0
UNI_PE,D,20080704,000000,16.087,16.087,16.087,16.087,0,0
UNI_PE,D,20080707,000000,16.087,16.087,16.087,16.087,0,0
UNI_PE,D,20080708,000000,15.774,16.087,15.774,16.087,0,0
UNI_PE,D,20080709,000000,16.087,16.087,15.461,16.087,0,0
UNI_PE,D,20080710,000000,15.93,15.93,15.93,15.93,0,0
UNI_PE,D,20080711,000000,15.93,15.93,15.461,15.93,0,0
UNI_PE,D,20080714,000000,15.461,15.774,15.461,15.774,0,0
UNI_PE,D,20080715,000000,15.304,15.853,15.304,15.853,0,0
UNI_PE,D,20080716,000000,16.087,16.087,15.93,15.93,0,0
UNI_PE,D,20080717,000000,15.618,15.93,15.304,15.304,0,0
UNI_PE,D,20080718,000000,16.087,16.087,15.304,15.304,0,0
UNI_PE,D,20080721,000000,16.087,16.087,16.087,16.087,0,0
UNI_PE,D,20080722,000000,15.618,15.618,15.618,15.618,0,0
UNI_PE,D,20080723,000000,15.618,15.618,15.618,15.618,0,0
UNI_PE,D,20080724,000000,15.618,15.618,15.618,15.618,0,0
UNI_PE,D,20080725,000000,15.618,15.618,15.618,15.618,0,0
UNI_PE,D,20080728,000000,15.93,15.93,15.93,15.93,0,0
UNI_PE,D,20080729,000000,15.93,15.93,15.93,15.93,0,0
UNI_PE,D,20080730,000000,15.93,15.93,15.853,15.853,0,0
UNI_PE,D,20080731,000000,15.618,15.618,15.304,15.304,0,0
UNI_PE,D,20080801,000000,15.618,15.618,15.304,15.618,0,0
UNI_PE,D,20080804,000000,15.618,15.618,15.618,15.618,0,0
UNI_PE,D,20080805,000000,15.618,15.618,15.618,15.618,0,0
UNI_PE,D,20080806,000000,15.93,15.93,15.618,15.618,0,0
UNI_PE,D,20080807,000000,15.147,15.618,15.147,15.618,0,0
UNI_PE,D,20080808,000000,15.461,15.461,15.461,15.461,0,0
UNI_PE,D,20080811,000000,15.618,16.01,15.461,15.461,0,0
UNI_PE,D,20080812,000000,15.93,15.93,15.93,15.93,0,0
UNI_PE,D,20080813,000000,15.93,16.559,15.93,16.559,0,0
UNI_PE,D,20080814,000000,16.246,16.716,16.246,16.716,0,0
UNI_PE,D,20080818,000000,16.402,17.187,12.793,12.793,0,0
UNI_PE,D,20080819,000000,12.244,12.244,12.244,12.244,0,0
UNI_PE,D,20080820,000000,11.929,12.478,11.929,12.399,0,0
UNI_PE,D,20080821,000000,12.399,12.478,12.399,12.478,0,0
UNI_PE,D,20080822,000000,12.163,12.555,12.007,12.478,0,0
UNI_PE,D,20080825,000000,12.244,12.478,12.163,12.478,0,0
UNI_PE,D,20080827,000000,12.478,12.478,12.478,12.478,0,0
UNI_PE,D,20080829,000000,12.555,12.555,12.007,12.478,0,0
UNI_PE,D,20080901,000000,12.163,12.555,12.163,12.555,0,0
UNI_PE,D,20080902,000000,12.478,12.555,12.244,12.478,0,0
UNI_PE,D,20080903,000000,12.399,12.399,11.301,11.614,0,0
UNI_PE,D,20080904,000000,11.849,12.322,11.614,12.163,0,0
UNI_PE,D,20080905,000000,12.322,12.478,11.772,12.163,0,0
UNI_PE,D,20080908,000000,12.244,12.244,12.163,12.163,0,0
UNI_PE,D,20080909,000000,11.849,12.478,11.849,12.399,0,0
UNI_PE,D,20080910,000000,12.399,12.399,12.399,12.399,0,0
UNI_PE,D,20080911,000000,12.478,12.478,12.322,12.399,0,0
UNI_PE,D,20080912,000000,12.007,12.244,11.849,12.244,0,0
UNI_PE,D,20080915,000000,12.399,12.399,11.849,11.849,0,0
UNI_PE,D,20080916,000000,11.537,11.614,11.379,11.614,0,0
UNI_PE,D,20080917,000000,11.849,11.849,10.909,11.301,0,0
UNI_PE,D,20080918,000000,10.986,11.064,10.986,11.064,0,0
UNI_PE,D,20080919,000000,11.064,11.064,11.064,11.064,0,0
UNI_PE,D,20080922,000000,10.83,11.064,10.83,11.064,0,0
UNI_PE,D,20080923,000000,10.752,10.752,10.516,10.673,0,0
UNI_PE,D,20080924,000000,10.673,10.673,10.673,10.673,0,0
UNI_PE,D,20080925,000000,10.673,10.673,10.437,10.437,0,0
UNI_PE,D,20080926,000000,10.437,10.909,10.437,10.909,0,0
UNI_PE,D,20080929,000000,10.673,11.064,10.673,11.064,0,0
UNI_PE,D,20080930,000000,10.752,10.752,10.516,10.673,0,0
UNI_PE,D,20081001,000000,10.986,11.064,10.673,11.064,0,0
UNI_PE,D,20081002,000000,11.301,11.301,10.986,11.064,0,0
UNI_PE,D,20081003,000000,11.144,11.144,10.673,10.673,0,0
UNI_PE,D,20081006,000000,10.125,10.516,10.125,10.437,0,0
UNI_PE,D,20081007,000000,10.281,10.83,10.281,10.83,0,0
UNI_PE,D,20081008,000000,10.202,10.83,10.202,10.673,0,0
UNI_PE,D,20081009,000000,10.673,10.673,10.673,10.673,0,0
UNI_PE,D,20081010,000000,10.045,10.673,10.045,10.673,0,0
UNI_PE,D,20081013,000000,10.752,10.752,10.673,10.673,0,0
UNI_PE,D,20081014,000000,10.673,10.752,10.673,10.673,0,0
UNI_PE,D,20081015,000000,10.202,10.673,10.202,10.281,0,0
UNI_PE,D,20081016,000000,10.281,10.281,10.202,10.202,0,0
UNI_PE,D,20081017,000000,10.281,10.281,10.202,10.202,0,0
UNI_PE,D,20081020,000000,10.437,10.437,10.437,10.437,0,0
UNI_PE,D,20081021,000000,10.516,10.594,10.516,10.594,0,0
UNI_PE,D,20081022,000000,10.594,10.594,10.516,10.516,0,0
UNI_PE,D,20081023,000000,9.968,10.516,9.26,10.516,0,0
UNI_PE,D,20081024,000000,9.968,10.437,9.887,10.437,0,0
UNI_PE,D,20081027,000000,10.359,10.359,9.968,10.359,0,0
UNI_PE,D,20081028,000000,10.281,10.281,10.281,10.281,0,0
UNI_PE,D,20081029,000000,9.968,9.968,9.968,9.968,0,0
UNI_PE,D,20081030,000000,9.4963,9.574,9.4963,9.574,0,0
UNI_PE,D,20081031,000000,9.81,9.81,9.732,9.732,0,0
UNI_PE,D,20081103,000000,10.437,10.437,10.437,10.437,0,0
UNI_PE,D,20081104,000000,10.359,10.437,10.359,10.437,0,0
UNI_PE,D,20081105,000000,10.359,10.437,10.359,10.359,0,0
UNI_PE,D,20081106,000000,10.359,10.437,10.359,10.437,0,0
UNI_PE,D,20081107,000000,10.516,10.516,9.732,9.732,0,0
UNI_PE,D,20081110,000000,9.574,9.574,9.4963,9.574,0,0
UNI_PE,D,20081112,000000,9.26,9.26,9.0247,9.26,0,0
UNI_PE,D,20081113,000000,8.8682,9.1032,8.8682,9.1032,0,0
UNI_PE,D,20081114,000000,9.26,9.4181,8.7117,8.7117,0,0
UNI_PE,D,20081117,000000,8.4755,8.79,8.4755,8.7117,0,0
UNI_PE,D,20081119,000000,8.7117,8.7117,8.7117,8.7117,0,0
UNI_PE,D,20081120,000000,8.79,8.8682,8.79,8.8682,0,0
UNI_PE,D,20081121,000000,8.7117,8.8682,8.0832,8.4755,0,0
UNI_PE,D,20081124,000000,8.162,8.3963,8.0048,8.0048,0,0
UNI_PE,D,20081125,000000,7.9264,8.162,7.9264,8.162,0,0
UNI_PE,D,20081126,000000,8.3963,8.3963,7.8477,7.8477,0,0
UNI_PE,D,20081127,000000,8.319,8.319,7.5339,7.6125,0,0
UNI_PE,D,20081128,000000,7.3769,7.3769,7.2199,7.2199,0,0
UNI_PE,D,20081201,000000,7.2199,7.2199,7.0631,7.0631,0,0
UNI_PE,D,20081202,000000,7.0631,7.0631,7.0631,7.0631,0,0
UNI_PE,D,20081203,000000,6.906,7.0631,6.8276,6.9845,0,0
UNI_PE,D,20081204,000000,6.9845,6.9845,6.906,6.9845,0,0
UNI_PE,D,20081205,000000,7.0631,7.0631,7.0631,7.0631,0,0
UNI_PE,D,20081208,000000,6.906,6.906,6.906,6.906,0,0
UNI_PE,D,20081209,000000,7.0631,7.0631,7.0631,7.0631,0,0
UNI_PE,D,20081210,000000,6.8276,6.8276,6.5137,6.7492,0,0
UNI_PE,D,20081211,000000,6.6707,6.6707,6.6707,6.6707,0,0
UNI_PE,D,20081212,000000,6.3567,6.4352,6.3567,6.4352,0,0
UNI_PE,D,20081215,000000,6.2782,6.2782,6.0429,6.1998,0,0
UNI_PE,D,20081216,000000,6.1998,6.1998,6.1998,6.1998,0,0
UNI_PE,D,20081217,000000,6.1998,6.1998,5.9643,5.9643,0,0
UNI_PE,D,20081218,000000,6.0429,6.0429,5.4934,5.5717,0,0
UNI_PE,D,20081222,000000,5.4151,5.4151,5.4151,5.4151,0,0
UNI_PE,D,20081223,000000,5.258,5.258,5.258,5.258,0,0
UNI_PE,D,20081229,000000,5.3365,5.3365,5.3365,5.3365,0,0
UNI_PE,D,20081230,000000,5.4151,5.4934,5.3365,5.3365,0,0
UNI_PE,D,20081231,000000,5.258,5.4151,5.258,5.3365,0,0
UNI_PE,D,20090105,000000,5.4151,5.4151,5.3365,5.4151,0,0
UNI_PE,D,20090106,000000,5.4934,5.5717,5.4934,5.5717,0,0
UNI_PE,D,20090107,000000,5.5717,5.5717,5.3365,5.3365,0,0
UNI_PE,D,20090108,000000,5.1796,5.1796,5.1796,5.1796,0,0
UNI_PE,D,20090109,000000,5.1012,5.1012,5.1012,5.1012,0,0
UNI_PE,D,20090112,000000,4.9443,4.9443,4.9443,4.9443,0,0
UNI_PE,D,20090113,000000,4.7871,4.7871,4.7871,4.7871,0,0
UNI_PE,D,20090114,000000,4.5518,4.6302,4.5518,4.6302,0,0
UNI_PE,D,20090115,000000,4.3948,4.6302,4.3948,4.3948,0,0
UNI_PE,D,20090116,000000,4.5518,4.5518,4.5518,4.5518,0,0
UNI_PE,D,20090119,000000,4.3948,4.4732,4.3948,4.4732,0,0
UNI_PE,D,20090120,000000,4.5518,4.5518,4.5518,4.5518,0,0
UNI_PE,D,20090121,000000,4.3163,4.3163,4.3163,4.3163,0,0
UNI_PE,D,20090122,000000,4.3948,4.3948,4.3948,4.3948,0,0
UNI_PE,D,20090123,000000,4.4732,4.5518,4.4732,4.5518,0,0
UNI_PE,D,20090126,000000,4.6302,4.7086,4.6302,4.7086,0,0
UNI_PE,D,20090127,000000,4.7086,4.7086,4.6302,4.7086,0,0
UNI_PE,D,20090128,000000,4.7086,4.8656,4.7086,4.8656,0,0
UNI_PE,D,20090129,000000,4.7086,4.9443,4.7086,4.9443,0,0
UNI_PE,D,20090130,000000,4.7871,4.8656,4.5518,4.5518,0,0
UNI_PE,D,20090202,000000,4.5518,4.5518,4.3948,4.5518,0,0
UNI_PE,D,20090203,000000,4.5518,4.5518,4.3163,4.3948,0,0
UNI_PE,D,20090204,000000,4.2378,4.3948,4.2378,4.3948,0,0
UNI_PE,D,20090205,000000,4.3948,4.3948,4.2378,4.3163,0,0
UNI_PE,D,20090206,000000,4.3163,4.3948,4.2378,4.3163,0,0
UNI_PE,D,20090209,000000,4.2378,4.2378,4.2378,4.2378,0,0
UNI_PE,D,20090210,000000,4.1593,4.2378,4.1593,4.2378,0,0
UNI_PE,D,20090211,000000,4.1593,4.3163,4.1593,4.3163,0,0
UNI_PE,D,20090212,000000,4.2378,4.3948,4.2378,4.3163,0,0
UNI_PE,D,20090213,000000,4.2378,4.3948,4.2378,4.3948,0,0
UNI_PE,D,20090216,000000,4.3163,4.3948,4.2378,4.3948,0,0
UNI_PE,D,20090217,000000,4.2378,4.2378,4.0022,4.081,0,0
UNI_PE,D,20090218,000000,4.1593,4.1593,3.8455,3.8455,0,0
UNI_PE,D,20090219,000000,3.9239,4.0022,3.9239,4.0022,0,0
UNI_PE,D,20090220,000000,4.0022,4.0022,3.9239,4.0022,0,0
UNI_PE,D,20090223,000000,3.9239,4.0022,3.6885,3.8455,0,0
UNI_PE,D,20090225,000000,3.9239,3.9239,3.8455,3.8455,0,0
UNI_PE,D,20090226,000000,3.8455,3.8455,3.8455,3.8455,0,0
UNI_PE,D,20090227,000000,3.8455,3.8455,3.8455,3.8455,0,0
UNI_PE,D,20090302,000000,3.8455,3.9239,3.4532,3.4532,0,0
UNI_PE,D,20090303,000000,3.4532,3.4532,3.2176,3.296,0,0
UNI_PE,D,20090304,000000,3.2176,3.2176,2.9035,2.9821,0,0
UNI_PE,D,20090305,000000,3.0606,3.0606,2.8252,3.0606,0,0
UNI_PE,D,20090306,000000,2.9035,2.9821,2.9035,2.9821,0,0
UNI_PE,D,20090309,000000,2.9035,2.9035,2.9035,2.9035,0,0
UNI_PE,D,20090310,000000,2.9821,2.9821,2.9821,2.9821,0,0
UNI_PE,D,20090311,000000,3.0606,3.0606,3.0606,3.0606,0,0
UNI_PE,D,20090312,000000,3.1392,3.1392,3.1392,3.1392,0,0
UNI_PE,D,20090313,000000,3.296,3.3745,3.296,3.3745,0,0
UNI_PE,D,20090316,000000,3.3745,3.4532,3.3745,3.4532,0,0
UNI_PE,D,20090317,000000,3.4532,3.4532,3.4532,3.4532,0,0
UNI_PE,D,20090318,000000,3.4532,3.4532,3.4532,3.4532,0,0
UNI_PE,D,20090319,000000,3.5316,3.5316,3.5316,3.5316,0,0
UNI_PE,D,20090320,000000,3.5316,3.5316,3.5316,3.5316,0,0
UNI_PE,D,20090323,000000,3.6099,3.6885,3.6099,3.6885,0,0
UNI_PE,D,20090324,000000,3.7669,3.8455,3.7669,3.8455,0,0
UNI_PE,D,20090325,000000,3.8455,3.9239,3.8455,3.9239,0,0
UNI_PE,D,20090326,000000,4.081,4.2378,4.081,4.2378,0,0
UNI_PE,D,20090327,000000,4.1593,4.1593,4.1593,4.1593,0,0
UNI_PE,D,20090330,000000,4.0022,4.081,4.0022,4.081,0,0
UNI_PE,D,20090331,000000,4.081,4.1593,4.081,4.081,0,0
UNI_PE,D,20090401,000000,3.9239,4.081,3.9239,4.081,0,0
UNI_PE,D,20090402,000000,4.2378,4.2378,4.2378,4.2378,0,0
UNI_PE,D,20090403,000000,4.3163,4.4732,4.3163,4.4732,0,0
UNI_PE,D,20090406,000000,4.5518,5.0227,4.5518,5.0227,0,0
UNI_PE,D,20090407,000000,5.0227,5.8076,4.8656,5.5717,0,0
UNI_PE,D,20090408,000000,5.4151,5.8858,5.258,5.8858,0,0
UNI_PE,D,20090409,000000,6.0429,6.0429,5.7288,6.0429,0,0
UNI_PE,D,20090414,000000,6.1998,6.2782,5.9643,5.9643,0,0
UNI_PE,D,20090415,000000,5.9643,5.9643,5.8858,5.8858,0,0
UNI_PE,D,20090416,000000,5.8858,5.9643,5.7288,5.8858,0,0
UNI_PE,D,20090417,000000,5.7288,5.8858,5.7288,5.8858,0,0
UNI_PE,D,20090420,000000,5.6504,5.8076,5.5717,5.6504,0,0
UNI_PE,D,20090421,000000,5.5717,5.8076,5.4934,5.8076,0,0
UNI_PE,D,20090422,000000,5.8076,5.8076,5.6504,5.6504,0,0
UNI_PE,D,20090423,000000,5.8076,5.8076,5.6504,5.8076,0,0
UNI_PE,D,20090424,000000,5.6504,5.6504,5.4934,5.5717,0,0
UNI_PE,D,20090427,000000,5.5717,5.5717,5.4934,5.5717,0,0
UNI_PE,D,20090428,000000,5.5717,5.5717,5.3365,5.3365,0,0
UNI_PE,D,20090429,000000,5.4151,5.4151,5.3365,5.3365,0,0
UNI_PE,D,20090430,000000,5.4151,5.8076,5.4151,5.6504,0,0
UNI_PE,D,20090504,000000,5.7288,5.7288,5.5717,5.6504,0,0
UNI_PE,D,20090505,000000,5.6504,5.6504,5.4934,5.4934,0,0
UNI_PE,D,20090506,000000,5.5717,5.5717,5.3365,5.5717,0,0
UNI_PE,D,20090507,000000,5.4934,5.5717,5.258,5.4151,0,0
UNI_PE,D,20090508,000000,5.3365,5.4934,5.3365,5.4934,0,0
UNI_PE,D,20090511,000000,5.4151,5.4934,5.4151,5.4934,0,0
UNI_PE,D,20090512,000000,5.4934,5.6504,5.4151,5.6504,0,0
UNI_PE,D,20090513,000000,5.4934,5.6504,5.4934,5.5717,0,0
UNI_PE,D,20090514,000000,5.4934,5.5717,5.258,5.5717,0,0
UNI_PE,D,20090515,000000,5.6504,5.6504,5.3365,5.4934,0,0
UNI_PE,D,20090518,000000,5.258,5.8858,5.258,5.8858,0,0
UNI_PE,D,20090519,000000,5.8858,5.8858,5.7288,5.7288,0,0
UNI_PE,D,20090520,000000,5.7288,5.8076,5.4151,5.5717,0,0
UNI_PE,D,20090521,000000,5.5717,5.5717,5.3365,5.4151,0,0
UNI_PE,D,20090522,000000,5.3365,5.4151,5.258,5.3365,0,0
UNI_PE,D,20090525,000000,5.258,5.4151,5.258,5.258,0,0
UNI_PE,D,20090526,000000,5.258,5.258,4.8656,5.1012,0,0
UNI_PE,D,20090527,000000,5.1012,5.1012,4.7871,5.0227,0,0
UNI_PE,D,20090528,000000,4.9443,4.9443,4.7871,4.8656,0,0
